#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
281,,André Bukia,0,0,19.29,81.11,6.07,50
282,,Zié Ouattara,0.09,0,21,77.71,4.86,38.89
283,,Filipe Ferreira,0.14,0.14,22.14,81.29,4.14,41.18
284,,Juninho Vieira,0.13,0,9.87,77.03,3.1,41.67
285,,Xavier Quintilla,0.08,0.08,22.62,75.17,5.38,44.83
286,,Rafik Guitane,0.15,0.08,19.23,80.8,5.15,76.92
287,,Kevin Villodres,0,0,12.38,76.15,4.48,58.82
288,,Mor Ndiaye,0,0,23.23,82.62,2,54.1
289,,Juan Manuel Boselli,0.04,0.04,13.15,76.34,4.7,37.04
290,,Mamadou Tounkara,0,0,31.29,82.19,2,38.64
291,,Rochinha,0.13,0.13,10.13,82.1,4.94,57.14
292,,Welinton Junior,0.13,0,16.13,71.06,5.21,55.56
293,,Geny Catamo,0,0,13.78,75.81,6.33,33.33
294,,Victor Bobsin,0.08,0.04,30.71,78.15,5.04,56.9
295,,Rúben Lima,0,0,26.17,71.13,4.11,38.71
296,,Diogo Gonçalves,0.2,0,14.2,81.69,5.4,0
297,,Hector Hernandez,0,0,11.59,77.65,3.27,75
298,,André Castro,0,0.04,17,86.52,2.88,52.94
299,,Takahiro Kunimoto,0.08,0.08,18.33,74.32,5.54,61.54
300,,Matheus Bueno,0,0.07,23.5,82.67,6.07,66.67
301,,Nigel Thomas,0.06,0.03,15.21,76.4,4.76,35.9
302,,André Pereira,0.24,0.14,14,79.59,2.95,42.86
303,,Álvaro Djaló,0.17,0.17,7.33,67.61,2.38,58.33
304,,Matheus Babi,0.04,0.04,10.19,63.02,2,11.11
305,,Ygor Nogueira,0,0,29.33,80.97,1.42,42.31
306,,Andrézinho,0.17,0,9.72,82.29,3.11,63.64
307,,Élder Santana,0.4,0.2,1.6,87.5,0.8,0
308,,Joca Fernandes,0,0.17,18.5,81.98,6.33,78.57
309,,Miguel Nóbrega,0.09,0.09,30.82,82.89,2.27,33.33
310,,Moustapha Seck,0.14,0.03,21.93,67.61,3.66,32.1
311,,Cláudio Ramos,0,0,19,100,0,100
312,,Ivan Zlobin,0,0,43,48.84,1,38.24
313,,Lucas Silva,0,0,8,87.5,2,0
314,,Volnei Feltes,0,0,3,100,0,0
315,,Manuel Silva,0,0,57,91.23,8,100
316,,Dinis Pinto,1,0,4,75,1,0
317,,Jason Bahamboula,0,0,2,0,0,0
318,,Roman Yaremchuk,0,0,8,81.25,4,0
319,,Sema Velázquez,0,0,0.5,0,0,0
320,,Mabrouk Rouai,0,0,5.5,63.64,1,0
321,,Flávio Nazinho,0.33,0,13,74.36,5.33,100
322,,Eduardo Fereira,0,0,3.33,60,0,0
323,,Pedro Silva,0,0,22.67,69.12,0.67,34.38
324,,Rodrigo Nascimento,0,0,20.75,55.42,0,29.41
325,,Alexander Schmidt,0.1,0,7.4,58.11,2.4,50
326,,Nelson Luz,0,0,11.34,82.67,3.38,33.33
327,,Rildo,0.04,0.04,6.35,68.49,2.09,50
328,,Luiz Carlos,0.05,0.05,26.15,86.23,4.55,79.25
329,,Maracás,0,0,37.06,89.52,0.59,58.9
330,,Pablo Felipe,0,0,10.33,78.06,2.6,80
331,,Sávio,0.07,0.07,15.57,82.57,3.14,58.06
332,,Héctor Bellerín,0.1,0,24.4,82.79,6.8,75
333,,Vítor Gomes,0.1,0.05,27,81.67,4.65,47.27
334,,Val Soares,0.11,0,40.78,82.83,8.22,61.11
335,,Rui Gomes,0.2,0.03,10.97,75.68,3.23,33.33
336,,Bernardo Sousa,0.21,0.14,11.76,74.49,4.1,45.45
337,,Erison,0.18,0,7,74.03,1.91,100
338,,Yony González,0.13,0.06,13.69,78.54,5.19,30
339,,Erick Ferigra,0,0,38.13,87.21,2.25,49.37
340,,Afonso Freitas,0.04,0.08,24.35,74.41,4.77,30.99
341,,Cassiano,0,0,7.73,56.9,1.53,33.33
342,,Diogo Mendes,0,0,23.65,85.2,4,73.68
343,,Paulo Henrique,0.11,0.05,32.26,74.39,4.37,48.42
344,,Adewale Sapara,0,0,6.4,93.75,0.8,80
345,,Diego Rosa,0.11,0,9.67,79.31,1.33,46.15
346,,Cláudio Winck,0.15,0.09,28.88,67.62,6.24,33.33
347,,Ukra,0.2,0.13,9.2,82.61,2.6,81.82
348,,Yago Cariello,0,0.04,10.88,62.13,2.48,42.86
349,,Pedro Tiba,0.15,0,23.73,80.88,5.73,56.14
350,,Oriol Busquets,0,0,27.54,86.84,3.38,76.27
351,,Fábio Ronaldo,0.13,0.1,19.06,82.23,4.52,47.5
352,,Antoñín,0,0,5.67,70.59,1.33,0
353,,Derick Poloni,0.09,0,17.65,73.15,3.83,15.38
354,,Gonçalo Borges,0,0,3.4,73.53,1.6,50
355,,Rodrigo Valente,0,0,7.4,78.38,2,20
356,,Carlos Eduardo,0.08,0,11.31,72.79,2.31,35.71
357,,João Afonso,0,0,26.96,82.38,3.46,64.38
358,,Hernâni,0.05,0.05,5.24,66.36,1.19,57.14
359,,Serginho,0,0,7.57,77.36,2.29,100
360,,Nwankwo Obiora,0.08,0,23.17,84.53,3.67,66.67
361,,Rodrigo Ribeiro,0,0,3,83.33,1,0
362,,Pedro Bicalho,0,0,14.4,61.11,1.8,13.33
363,,Ibrahima Camará,0.08,0.08,17.63,78.96,3.88,58
364,,Ali Alipour,0.13,0.07,9.6,70.14,3.73,50
365,,Hernani Infande,0,0,8.92,75.86,3.38,80
366,,Anderson Carvalho,0,0,17,73.26,3.09,41.18
367,,André Vidigal,0.09,0,16.53,77.88,5.84,60
368,,Kento Misao,0,0,23.59,78.3,3.76,54
369,,Joel Tagueu,0,0,14.36,71.14,3.36,50
370,,Euller,0,0,15.76,75.83,4.81,52.17
371,,Ítalo,0,0,35.5,79.11,1.33,37.5
372,,Martim Tavares,0,0,2.86,73.02,0.82,50
373,,Paulinho Mota,0.2,0.1,24,75.83,6.7,40
374,,Roan Wilson,0,0,12.6,92.06,1.4,66.67
375,,Théo Fonseca,0,0,4.8,66.67,1.4,0
376,,Ivanildo Fernandes,0.1,0,29.4,82.99,1.15,44.32
377,,Reggie Cannon,0,0,38.5,86.67,1.8,36.89
378,,Alexandre Guedes,0.06,0.06,8.88,70.42,1.75,44.44
379,,Miguel Baeza,0.14,0.05,17.73,81.79,4.14,53.85
380,,Allano,0.1,0,20.8,73.08,4.6,42.42
381,,Romário Baró,0.17,0.06,15.78,83.45,4.33,57.14
382,,Emilijus Zubas,0,0,30.33,61.54,1.33,46.77
383,,Anderson Oliveira,0.17,0,21.83,80.92,7.83,40
384,,Henrique Jocu,0.07,0,14.79,82.61,1.57,57.14
385,,Bilel Aouacheria,0.08,0.04,7.92,76.84,2.96,50
386,,Issah Abass,0.08,0,12,76.6,3.65,57.14
387,,Rodrigo Martins,0.1,0,10.7,74.77,3.47,42.86
388,,Filip Stevanović,0,0.14,7,67.35,1.57,66.67
389,,Matheus Pereira,0.11,0.11,24.56,71.95,3.5,19.64
390,,Gustavo Assunção,0.09,0.05,23.05,82.25,3.36,50.72
391,,Percy Liza,0,0,6.09,73.13,1.36,50
392,,Bruno Jordão,0,0,23.91,81.37,4.27,74.19
393,,João Graça,0,0.05,24.37,82.07,5.16,64.86
394,,Yan Eteki,0.12,0,15.59,83.02,2.88,57.14
395,,Ilija Vukotić,0,0,11.38,79.73,1.69,46.15
396,,Sidy Sarr,0,0,7.4,72.97,1.2,57.14
397,,Sotiris Alexandropoulos,0,0,10.33,75.81,2.17,66.67
398,,Fábio China,0.1,0,18,76.11,2.8,37.5
399,,Matheus Araújo,0.1,0,20.35,73.71,3.15,45.61
400,,Jô Batista,0,0,3.5,58.57,0.7,0
401,,Mohamed Aidara,0,0,17,86.27,0,38.46
402,,Friday Etim,0.16,0,5.05,69.79,1.84,0
403,,Bruno Gaspar,0.14,0.14,12,70.24,2.86,40
404,,Abbas Ibrahim,0,0,25.29,90.96,4.57,50
405,,Yusuf Lawal,0,0,3.33,86.67,1.67,33.33
406,,Alejandro Marqués,0,0,5.87,71.59,1.33,0
407,,Zé Carlos,0.38,0.13,28.63,82.1,3.88,50
408,,André Simões,0,0,11.11,81,2.22,66.67
409,,Rui Fonte,0,0,6.5,79.49,1.22,50
410,,Carlos Isaac,0,0,13.56,67.21,1.78,23.81
411,,Bryan Róchez,0.1,0.1,8.48,62.36,2.67,50
412,,N'Dri Koffi,0,0.08,7.25,65.52,1.67,100
413,,Paulo Vitor,0.12,0.04,13.8,83.19,2.4,57.14
414,,Jonny Arriba,0,0.08,14.08,80.33,4.46,75
415,,Carnejy Antoine,0,0,6.17,67.57,2,100
416,,Depú,0,0.2,3,80,0.6,0
417,,Sandro Cruz,0,0.08,19.38,77.38,2.85,39.13
418,,Wagner Leonardo,0,0,40,80,5,50
419,,Diogo Queirós,0,0,2,0,0,0
420,,Rui Costa,0,0,9,44.44,3,0
421,,João Gonçalves,0,0,22,68.18,0,12.5
422,,Bruno Rodrigues,0,0,55,87.27,1,66.67
423,,Zé Manuel,0,0,7,42.86,2,0
424,,Wilinton Aponzá,0,0,1,100,1,0
