#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
217,,Julien Lomboto,0,0,0,0,0,0
218,,Marco Pereira,0,0,0,0,0,0
219,,Flávio Ramos,0,0,0,0.33,0,0
220,,Antony Alves,0.18,0.24,51.52,1.58,0,0
221,,Gabriel Veron,0,0.12,28.57,0.94,0,0
222,,Nuno Lima,0.04,0.07,50,0.32,0,0
223,,Lucas Soares,0.04,0.11,65.85,0.96,0,0
224,,Jordan Holsgrove,0.08,0,64.29,1.5,0,0
225,,Uroš Račić,0.04,0.04,66.67,1.08,0,0
226,,Rui Pires,0,0,83.33,0.16,0,0
227,,Ricardo Esgaio,0.04,0.16,46.67,0.48,0,0
228,,Kenji Gorré,0.07,0.03,48.48,1.47,0,3.33
229,,Claudemir,0,0,50,0.45,0,0
230,,Daniel Silva,0.03,0,60,0.53,0.03,0
231,,Mohamed Diaby,0.04,0,77.14,0.68,0.04,0
232,,Adrián Marín,0,0,51.22,0.23,0,0
233,,Vincent Sasso,0.17,0.08,50,0.5,0.17,0
234,,Andreas Samaris,0,0,52.63,0.63,0,0
235,,Murilo Souza,0.18,0.11,41.82,1.79,0,0
236,,Jota Silva,0.07,0.1,25.71,1.4,0,0
237,,Gaius Makouta,0.06,0.03,53.45,1.09,0,0.63
238,,Róbert Boženík,0.17,0.13,53.33,1.52,0.04,0
239,,Bruno Lourenço,0.14,0.1,52.17,0.97,0,0
240,,João Mendes,0.06,0.1,46.77,1.45,0,0
241,,Saviour Godwin,0.13,0.23,41.35,2.7,0,0
242,,Léo Bolgado,0.09,0,0,0.18,0.09,0
243,,Paulo Bernardo,0.15,0.08,77.78,1.08,0,0
244,,Arthur Gomes,0.07,0.14,56.36,0.79,0,0
245,,Kiko Bondoso,0.06,0.24,50,1,0,0
246,,Neto,0.07,0,78.95,0.52,0,1.23
247,,Léo Natel,0,0,80,0.75,0,0
248,,Jordi,0,0,0,0,0,0
249,,Pedro Ortiz,0,0,66.67,0.22,0,0
