#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
225,,Uroš Račić,0,0.04,0,0,0.56,0
226,,Rui Pires,0,0.03,0,0,1.58,0.06
227,,Ricardo Esgaio,0,0.2,0,0,0.48,0.08
228,,Kenji Gorré,0,0,0,0,0.83,0.07
229,,Claudemir,0,0.09,0,0,0.64,0.18
230,,Daniel Silva,0,0.17,0,0,0.7,0.1
231,,Mohamed Diaby,0,0.04,0,0,0.92,0.04
232,,Adrián Marín,0,0.19,0,0,1.16,0
233,,Vincent Sasso,0,0.04,0,0,1.38,0.21
234,,Andreas Samaris,0,0.04,0,0,0.75,0.13
235,,Murilo Souza,0,0,0,0,1.11,0
236,,Jota Silva,0,0,0,0,0.4,0.07
237,,Gaius Makouta,0,0.13,0,0,1.38,0.16
238,,Róbert Boženík,0,0,0,0,0.7,0.09
239,,Bruno Lourenço,0,0.03,0,0,1,0.1
240,,João Mendes,0,0.03,0,0,0.74,0.19
241,,Saviour Godwin,0,0.13,0,0,0.9,0.07
242,,Léo Bolgado,0,0.09,0,0,0.45,0
243,,Paulo Bernardo,0,0.08,0,0,1.23,0
244,,Arthur Gomes,0,0.07,0,0,0.39,0
245,,Kiko Bondoso,0,0.24,0,0,0.71,0.18
246,,Neto,0,0,0,0,0.59,0.04
247,,Léo Natel,0,0,0,0,0,0
248,,Jordi,3.83,0,0,0,2.33,0
249,,Pedro Ortiz,0,0.11,0,0,0.33,0
250,,Brayan Riascos,0,0,0,0,0.81,0.13
251,,Joãozinho,0,0.23,0,0,1.07,0.17
252,,André André,0,0.05,0,0,0.9,0.2
253,,Mateus Quaresma,0,0.31,0,0,0.84,0.16
254,,Bruno Almeida,0,0,0,0,1.05,0.14
255,,Benji Michel,0,0,0,0,0.25,0
256,,Léo,0,0.17,0,0,2,0.08
257,,Rafael Brito,0,0,0,0,0.62,0.08
258,,Vitor Costa,0,0.18,0,0,1.25,0.21
259,,Leandro Sanca,0,0,0,0,0.57,0
260,,Ewerton,0,0,0,0,0.67,0
261,,Osama Rashid,0,0,0,0,0.22,0.06
262,,Matchoi Djaló,0,0.05,0,0,1.09,0.14
263,,Beni Mukendi,0,0.14,0,0,0.57,0.07
264,,José Marsà,0,0,0,0,0,0.5
