#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
252,,André André,0.3,0,33.33,52.55,2.55,1.6
253,,Mateus Quaresma,0.16,0.03,54.17,52.96,1.47,1.13
254,,Bruno Almeida,0.09,0.05,13.64,38.03,1.05,0.82
255,,Benji Michel,0,0,44.44,47.46,0.33,0
256,,Léo,0.25,0,56.76,58.82,0.33,0.75
257,,Rafael Brito,0.46,0,50,51.58,1.08,1.38
258,,Vitor Costa,0.32,0.04,55.17,54.17,1.5,1.68
259,,Leandro Sanca,0.14,0.07,62.5,43.16,0.57,1
260,,Ewerton,0.25,0,11.76,40.26,0.67,0.83
261,,Osama Rashid,0.17,0,81.82,53.13,0.28,0.33
262,,Matchoi Djaló,0.5,0.05,42.31,56.42,3.05,1.36
263,,Beni Mukendi,0.14,0.07,43.75,50.75,0.5,1
264,,José Marsà,0,0,100,50,0,0.5
265,,Dário Essugo,0,0.25,60,46.88,0.25,2.25
266,,Alemão,0,0,50,52.38,0.4,1
267,,Gabriel Batista,0.08,0,85.71,78.57,0.23,0
268,,Rodrigo Conceição,0,0,42.86,53.57,0.81,0.5
269,,Giorgi Aburjania,0.22,0,58.62,54.24,1.07,0.74
270,,Felippe Cardoso,0.18,0.09,41.94,40.2,0.91,1.64
271,,Adriano Firmino,0.26,0,32.26,51.76,0.71,0.97
272,,Zaidu Sanusi,0.17,0,65.63,49.45,0.22,0.83
273,,Helder Morim,0.29,0,0,65,1.14,0.71
274,,Rafael Martins,0.19,0,45.68,44.77,1.08,1.15
275,,James Léa Siliki,0.41,0,75,47.5,1.14,1.45
276,,Milutin Osmajić,0.16,0,34.59,38.89,1.06,0.81
277,,Carlinhos,0.22,0,33.33,41.33,0.89,1.44
278,,Juan Delgado,0.39,0,46.55,51.98,2.1,2.03
279,,Guima,0.59,0.07,63.89,48.9,1.48,1.41
280,,Emmanuel Boateng,0.18,0,43.9,43.17,1.68,1.36
281,,André Bukia,0.14,0,0,48.53,2.36,0.93
282,,Zié Ouattara,0.18,0,50,53.33,0.32,0.45
283,,Filipe Ferreira,0.43,0,57.14,54.55,0.14,0.57
284,,Juninho Vieira,0.03,0,37.78,41.46,1,0.73
285,,Xavier Quintilla,0.23,0,43.75,54.35,0.23,0.46
286,,Rafik Guitane,0.08,0,25,52.38,1.08,0.54
287,,Kevin Villodres,0.14,0,44.44,48.33,1.48,1.33
288,,Mor Ndiaye,0.15,0.04,59.26,56.83,0.5,0.69
289,,Juan Manuel Boselli,0.15,0,54.05,45.65,0.93,0.85
290,,Mamadou Tounkara,0.21,0,50,51.16,0.29,0.86
291,,Rochinha,0.13,0,0,47.06,0.81,0.19
292,,Welinton Junior,0.38,0,25.64,37.25,2.13,1.54
293,,Geny Catamo,0.11,0,20,50.77,1.33,0.44
294,,Victor Bobsin,0.33,0,53.33,44.62,0.63,1.46
295,,Rúben Lima,0.11,0,55.26,53.92,0.83,0.78
296,,Diogo Gonçalves,0,0,0,42.42,0.6,0.4
297,,Hector Hernandez,0.05,0,33.9,36.64,0.73,0.41
298,,André Castro,0.04,0,33.33,52.22,0.54,0.5
299,,Takahiro Kunimoto,0.21,0,41.67,34.11,0.58,1.17
300,,Matheus Bueno,0.07,0,75,55.56,1,0.64
301,,Nigel Thomas,0.09,0,34.48,41.35,0.94,0.88
302,,André Pereira,0.24,0,42,41.84,1.33,1.9
303,,Álvaro Djaló,0.21,0.04,41.46,35.26,0.46,1.08
304,,Matheus Babi,0.23,0,47.55,49.32,1.92,1.42
305,,Ygor Nogueira,0.33,0.08,54.9,58.33,0.92,1.17
306,,Andrézinho,0.06,0,40,46.48,0.78,0.33
307,,Élder Santana,0.2,0,20,19.05,0,0.8
308,,Joca Fernandes,0.17,0,40,43.9,1,0.67
309,,Miguel Nóbrega,0,0,46.15,48.15,0.55,0.73
310,,Moustapha Seck,0.24,0.03,62.69,53.85,1.14,1.38
311,,Cláudio Ramos,1,0,0,0,0,0
312,,Ivan Zlobin,0,0,100,100,0,0
313,,Lucas Silva,0,0,0,50,1,0
314,,Volnei Feltes,0,0,50,50,0,0
315,,Manuel Silva,0,0,0,25,0,1
316,,Dinis Pinto,0,0,0,100,1,0
317,,Jason Bahamboula,0,0,33.33,33.33,0,0
318,,Roman Yaremchuk,0,0,0,50,0.5,0
319,,Sema Velázquez,0,0,100,100,0,0
320,,Mabrouk Rouai,0,0,100,75,0.5,0.5
321,,Flávio Nazinho,0,0,20,50,0,0
322,,Eduardo Fereira,0,0,0,25,0,0
323,,Pedro Silva,0.33,0,0,100,0.33,0
324,,Rodrigo Nascimento,0,0.25,100,50,0,0.5
