Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Robert Morales,0.19,0.19,75,1.25,0,0,0.38,0.13,0,0.13,0,0.56,0.13,0.06,10.5,74.4,3.25,40,0,0,0,0,0.56,0.06,0.25,0,37.93,38.78,0.75,0.94,16
Robert Ergas,0,0.13,53.33,0.44,0,0,1.19,0.38,0,0.44,0,0.5,0.19,0.06,10.31,78.18,2.31,52,0,0,0,0,0.19,0,0.13,0,50,52.44,0.63,0.5,16
Israel Reyes,0,0,100,0.11,0,0,0.67,1.33,0,1.33,0,0,0,0,45.22,91.89,2,60.87,0,0.11,0,0,0.67,0.11,0,0,33.33,54.84,0.56,0.33,9
Alexis Peña,0.12,0.06,33.33,0.53,0.12,0,1,1.18,0.06,3.82,0,0.47,0.06,0,34.88,82.63,2.35,45.69,0,0.24,0,0,1.29,0.29,0.06,0,54.72,52.53,0.29,0.71,17
Marino Hinestroza,0.08,0.15,56.25,1.46,0,0,0.69,0.23,0,0.15,0,0.62,0.08,0.08,17.08,81.98,4.69,50,0,0,0,0,0.54,0.08,0.08,0,25,45.83,1.23,0.69,13
Eduard Bello,0.13,0.13,43.75,0.53,0,0,1.07,0.4,0,0.93,0,0.4,0.07,0,13.87,80.77,4.33,40,0,0.07,0,0,0.53,0.13,0,0,41.18,55.26,0.8,0.27,15
Gabriel Carabajal,0,0.17,33.33,1.33,0,0,0.83,0,0,0.33,0,0.5,0.17,0.17,13.33,73.75,3,68.42,0,0,0,0,0.83,0,0.33,0.17,50,50,0.67,0.67,6
Alek Álvarez,0,0,100,0,0,0,1,0,0,1,0,0,0,0,5,100,0,100,0,0,0,0,1,0,0,0,0,66.67,0,1,1
Jonathan Perlaza,0,0,66.67,0.25,0,0,3.25,1.5,0,1.5,0,0.5,0,0,24.5,64.29,3.25,13.33,0,0.25,0,0,1.25,0,0.25,0,100,73.33,0.5,0.75,4
Daniel Vazquez,0,1,0,1,0,0,1,0,0,1,0,0,0,0,17,100,3,0,0,0,0,0,1,0,0,0,33.33,42.86,1,0,1
Alan Zubiri,0,0,0,0,0,0,1,3,0,6,0,0,0,0,44,93.18,0,33.33,0,0,0,0,2,0,0,0,50,50,0,1,1
Fernando González Peña,0,0,100,0.5,0,0,0,0,0,0,0,0.25,0,0,6.5,96.15,2.5,100,0,0,0,0,0,0,0,0,0,50,0,0,4
Misael Domínguez,0,0,60,0,0,0,0.2,0,0,0,0,0,0,0,11.4,84.21,7.6,50,0,0,0,0,0.4,0,0,0,100,66.67,1,0.2,5
Santiago Naveda,0,0,100,0.43,0,0,0.57,0.71,0,0.29,0,0,0,0,10,84.29,1.14,71.43,0,0,0,0,0.29,0,0,0,50,72.22,0.43,0.14,7
Gaddi Aguirre,0,0,100,0.25,0,0,0.88,1.63,0,2.13,0,0.13,0,0,36.5,91.44,0.63,62.96,0,0.13,0,0,0.75,0.25,0.13,0,60,53.66,0.25,1.25,8
Sergio Flores,0.06,0,50,0.25,0,0,2.44,0.69,0,1.31,0.06,0.81,0,0,33.19,85.31,4.63,54.55,0,0.13,0,0,0.75,0.25,0.13,0,40,50.48,0.13,1.19,16
David Terans,0,0.36,69.23,2.55,0,0,0.36,0,0,0.09,0,0.36,0,0,17.27,79.47,5.73,76.47,0,0,0,0,0.73,0,0.36,0,0,31.58,0.45,1.18,11
Ramón Juárez,0,0.09,0,0.36,0,0,1.18,0.91,0,3.27,0,0.27,0,0,30.73,86.98,0.45,21.05,0,0.18,0,0,0.45,0.18,0.09,0,57.69,55.13,0,1,11
Alexis Vega,0.1,0.1,52.17,1.4,0,0,0.4,0.2,0,0,0,0.1,0,0,17.7,75.14,5.8,50,0,0,0,0,0.4,0.2,0,0.1,54.55,50,1.3,0.8,10
Oussama Idrissi,0.14,0,56.52,0.86,0,0,1.43,0.14,0,0,0,1.29,0,0.14,19.57,83.94,5.86,73.68,0,0,0,0,0.57,0.14,0.14,0.14,0,39.06,0.29,1.57,7
Sebastián Saucedo,0.08,0.08,61.54,1.15,0,0,0.85,0.23,0,0.31,0,0.77,0.08,0,16.92,85.91,4.77,73.91,0,0,0,0,1,0.23,0.23,0.08,11.11,55.56,2,0.38,13
Joao Rojas,0.15,0.08,38.1,1.15,0,0,0.31,0.15,0.08,0.08,0,0.31,0.15,0,11.31,85.03,4.69,66.67,0,0,0,0,0.15,0,0.08,0,0,31.37,0.31,0.31,13
Diego Gómez,0,0,33.33,0.5,0,0,1,0.33,0,0.33,0,1.17,0.33,0.17,14,75,3.17,75,0,0,0,0,0.5,0.17,0.17,0,28.57,38.89,0.83,1,6
Silvio Martínez,0.14,0.14,44.44,1.21,0,0,1,0.36,0,0.21,0,0.64,0.14,0,15.64,69.86,4.86,15.38,0,0,0,0,0.86,0.14,0,0,20,44.87,0.57,0.79,14
Juan Brigido,0.11,0,80,0.33,0,0,0.56,0,0,0,0,0.11,0.11,0,8.33,80,2.44,75,0,0,0,0,0.33,0,0,0,16.67,50,0.22,0.33,9
Alfredo Talavera,0,0,100,0,0,0,0,0,0,0.53,0.12,0.12,0,0,27.94,66.32,0.53,38.04,3.06,0,0.18,0,1.65,0.29,0.12,0.06,66.67,72.73,0.29,0,17
Ozziel Herrera,0.25,0.13,26.67,0.75,0.13,0,0.94,0.31,0,0.38,0,0.25,0.06,0.06,11.63,80.11,2.75,50,0,0,0,0,0.38,0.06,0.25,0,56.52,55.56,1.13,0.38,16
