#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
152,,Cristian Calderón,0,0.13,53.85,0.53,0,0
153,,Rogelio Funes Mori,0.41,0.29,30,1.59,0.18,0
154,,Jordy Caicedo,0.36,0.57,45,2.57,0.07,0
155,,Luis Fuentes,0,0.05,22.22,0.1,0,0
156,,José Caicedo,0,0,20,0.6,0,0
157,,Gustavo Cabral,0,0.06,50,0.5,0,0
158,,Pablo González,0,0,100,0.59,0,0
159,,Miguel Jiménez,0,0,0,0,0,0
160,,Pedro Aquino,0.07,0,66.67,0.27,0.07,0
161,,Aldo Rocha,0.14,0.07,46.67,1,0.07,0
162,,Willer Ditta,0.07,0.07,92.31,0.53,0,0
163,,Ricardo Marín,0.22,0.33,33.33,1.56,0.17,0
164,,José Alvarado,0.16,0.16,60,1.58,0.11,0
165,,Emanuel Gularte,0.06,0.18,100,0.76,0,0
166,,Bryan Colula,0.07,0,33.33,0.43,0,0
167,,Daniel Álvarez,0,0,42.42,1.27,0,0
168,,Lucas Romero,0,0.06,60,0.63,0,0
169,,Sergio Barreto,0,0,0,0.75,0,0
170,,Alan Mozo,0,0,46.3,0.53,0,0
171,,Sait Tlaxcalteco,0,0,100,0,0,0
172,,Julio Furch,0,1,0,3,0,0
173,,Haret Ortega,0,0,0,0,0,0
174,,Daniel Parra,0,0,0,4,0,0
175,,Ramón Pasquel,0,0,0,0,0,0
176,,Raúl Gudiño,0,0,0,0,0,0
177,,Luis Olivas,0,0,40,0.82,0,0
178,,José Abella,0,0,33.33,0.35,0,0
179,,Julio César Domínguez,0.1,0,100,0.4,0.1,0
180,,Miguel Rodriguez,0,0,48.78,0.53,0,0
181,,Carlos Acevedo,0,0,0,0,0,0
182,,Érick Gutiérrez,0.07,0.21,50,1.29,0,0
183,,Érick Aguirre,0,0,0,0.29,0,0
184,,Samir Caetano,0,0.05,37.5,0.42,0,0
185,,Yoel Bárcenas,0.09,0.27,43.24,2.45,0,0
186,,Jhon Murillo,0.05,0.14,57.78,1.24,0,0
187,,Lisandro Magallán,0,0.11,100,0.5,0,0
188,,Sebastian Olmedo,0.06,0,66.67,0.06,0.06,0
189,,Javier López,0,0,66.67,1.38,0,0
190,,Víctor Guzmán,0,0.14,60,1.21,0,0
191,,Isaac Brizuela,0,0.15,55.56,1.08,0,0
192,,Nicolás Benedetti,0.22,0,37.5,1.78,0,0
193,,Alexis Canelo,0,0.33,40,2.33,0,0
194,,Fabricio Formiliano,0,0,0,0.33,0,0
195,,Juan Vigón,0.17,0.09,73.68,0.7,0.04,0
196,,Rodrigo Huescas,0,0,53.33,0.31,0,0
197,,Luis Malagón,0,0,0,0,0,0
198,,Iván Moreno,0.05,0.05,41.38,0.89,0.05,0
199,,Bryan González,0.43,0.29,41.67,1.29,0,0
200,,Pedro Raul,0.14,0.14,76.92,1.36,0,0
201,,Jaziel Martínez,0.07,0,37.5,0.64,0,0
202,,Carlos Robles,0,0,0,0.29,0,0
203,,Borja Sánchez,0.1,0.1,53.85,0.7,0,0
204,,Carlos Salcedo,0,0,100,0.33,0,0
205,,Kevin Balanta,0,0.07,77.78,0.4,0,0
206,,Lucas Merolla,0,0.25,50,0.5,0,0
207,,Kevin Ortega,0,0,100,0,0,0
208,,Elias Montiel,0,0,65.22,0.82,0,0
209,,Diber Cambindo,0.25,0.19,63.16,1.94,0,0
210,,Jürgen Damm,0.06,0.06,54.55,0.59,0,0
211,,Alan Cervantes,0.05,0.05,66.67,1,0,0
212,,Ángel Zapata,0.08,0,40,0.42,0,0
213,,Juan Dinenno,0.3,0.3,44.44,1.95,0.05,0
214,,Aitor García,0.27,0.07,56.76,2.53,0,0
215,,Rodolfo Cota,0,0,100,0,0,0
216,,Erik Lira,0,0,81.82,0.15,0,0
217,,José Rodríguez,0,0,66.67,0.24,0,0
218,,Francisco Venegas,0.18,0.09,62.5,0.82,0,0
219,,Denzell Garcia,0.07,0.07,81.25,1,0,0
220,,Gustavo del Prete,0.11,0.11,46.67,0.89,0,0
221,,Byron Castillo,0,0,35.29,0.7,0,0
222,,Jefferson Intriago,0.06,0,61.76,0.61,0,0
223,,Claudio Baeza,0,0,75,0.13,0,0
224,,Antonio Briseño,0.08,0,0,0.54,0,0
225,,Arturo Ortiz,0,0,50,0.44,0,0
226,,Roberto de la Rosa,0.07,0.33,50,2.53,0,0
227,,Jesús Molina,0,0.08,100,0.46,0,0
228,,Guido Pizarro,0,0,42.86,0.45,0,0
229,,Camilo Sanvezzo,0.15,0.31,66.67,1.92,0,1.1
230,,Ismael Govea,0,0,0,0.25,0,0
231,,Juan Escobar,0,0.14,20,0.43,0,0
232,,Robert Morales,0.19,0.19,75,1.25,0,0
233,,Robert Ergas,0,0.13,53.33,0.44,0,0
234,,Israel Reyes,0,0,100,0.11,0,0
235,,Alexis Peña,0.12,0.06,33.33,0.53,0.12,0
236,,Marino Hinestroza,0.08,0.15,56.25,1.46,0,0
237,,Eduard Bello,0.13,0.13,43.75,0.53,0,0
238,,Gabriel Carabajal,0,0.17,33.33,1.33,0,0
239,,Alek Álvarez,0,0,100,0,0,0
240,,Jonathan Perlaza,0,0,66.67,0.25,0,0
241,,Daniel Vazquez,0,1,0,1,0,0
242,,Alan Zubiri,0,0,0,0,0,0
243,,Fernando González Peña,0,0,100,0.5,0,0
244,,Misael Domínguez,0,0,60,0,0,0
245,,Santiago Naveda,0,0,100,0.43,0,0
246,,Gaddi Aguirre,0,0,100,0.25,0,0
247,,Sergio Flores,0.06,0,50,0.25,0,0
248,,David Terans,0,0.36,69.23,2.55,0,0
249,,Ramón Juárez,0,0.09,0,0.36,0,0
250,,Alexis Vega,0.1,0.1,52.17,1.4,0,0
251,,Oussama Idrissi,0.14,0,56.52,0.86,0,0
252,,Sebastián Saucedo,0.08,0.08,61.54,1.15,0,0
253,,Joao Rojas,0.15,0.08,38.1,1.15,0,0
254,,Diego Gómez,0,0,33.33,0.5,0,0
255,,Silvio Martínez,0.14,0.14,44.44,1.21,0,0
256,,Juan Brigido,0.11,0,80,0.33,0,0
257,,Alfredo Talavera,0,0,100,0,0,0
258,,Ozziel Herrera,0.25,0.13,26.67,0.75,0.13,0
259,,Alexei Dominguez Figueroa,0,0,44.44,0.5,0,0
260,,Jorge Rodríguez,0,0,80,1,0,0
261,,Iker Moreno,0,0,25,0,0,0
262,,Jesús Hernández,0.1,0.1,52.63,1,0,0
263,,Carlos Baltazar,0.07,0,53.33,1,0,0
264,,Luís Rodríguez,0,0,52,0.44,0,0
265,,Edgar Méndez,0.13,0.2,53.85,1.6,0,0
266,,Sebastián Córdova,0.06,0.22,48.78,1.78,0.06,0
267,,Vicente Poggi,0,0,66.67,1,0,0
268,,Kevin Castaño,0,0.08,80,0.77,0,0
269,,Jhon Chancellor,0,0,0,0,0,0
270,,Ramiro Árciga,0,0.2,80,0.6,0,0
271,,Andres Montaño,0,0,62.5,1,0,0
272,,Pedro Pedraza,0,0,50,0.22,0,0
273,,William Tesillo,0,0.07,47.06,0.8,0,0
274,,Duván Vergara,0.05,0.11,47.27,1.32,0,0
275,,Israel Luna,0,0,0,1.5,0,0
276,,Carlos Rodríguez,0,0,0,0,0,0
277,,Everardo López,0,0,0,0,0,0
278,,Fernando Navarro,0,0,50,0.2,0,0
279,,Jesús Orozco,0,0,60,0.43,0,0
280,,Illian Hernandez,0.14,0.21,0,1.29,0,0
281,,Augusto Solari,0.09,0,55,0.36,0.09,0
282,,Francisco Contreras,0,0,14.29,0.27,0,0
283,,Mateo Klimowicz,0.06,0.17,53.85,1.39,0,0
284,,Brian Rubio,0.07,0.07,83.33,0.86,0,0
285,,Kevin Escamilla,0.07,0,25,1.14,0.07,0
286,,Eduardo Aguirre,0.08,0.08,33.33,1.58,0,0
287,,Aldo Lopez,0,0,66.67,0.29,0,0
288,,Braian Samudio,0.09,0,20,1,0,0
289,,Jahaziel Marchand,0,0,66.67,0,0,0
290,,Raúl López,0,0,52.94,0.33,0,0
291,,Sebastian Santos,0,0.2,66.67,1,0,0
292,,Léo Bonatini,0.24,0.38,50,1.62,0,0
293,,Omar Fernández,0.06,0.06,45.45,0.22,0.06,0
294,,Ulises Rivas,0.1,0,55.56,0.85,0,0
295,,Jorge Ruvalcaba,0,0,33.33,0.33,0,0
296,,Mateo García,0,0.17,65.22,0.42,0,0
297,,Jeremy Márquez,0,0.13,28.57,0.93,0,0
298,,Diego Chávez,0.06,0.13,52.63,1.13,0,0
299,,Santiago Trigos,0,0,55.56,0.43,0,0
300,,David Ramírez,0,0,45.45,0.17,0,0
301,,Agustín Oliveros,0,0,33.33,0.71,0,0
302,,Carlos Orrantia,0,0,50,0.33,0,0
303,,Jonathan Padilla,0.17,0.06,58.82,0.89,0,0
304,,Emilio Lara,0,0,0,0,0,0
305,,Raúl Martínez,0,0,50,0.2,0,0
306,,Moisés,0.06,0.12,54.17,1.18,0,0
307,,Omar Campos,0,0,50,0.42,0,0
308,,Amaury Escoto,0.2,0.1,20,1,0.1,0
309,,Jose Garcia,0.07,0.13,0,0.67,0.07,0
310,,Jesus Angel Garza Garcia,0,0,100,0.2,0,0
311,,Jonathan Gonzalez,0,0,50,0,0,0
312,,Christian Tabó,0,0.06,47.37,0.56,0,0
313,,Miguel Sansores,0.08,0.08,50,0.46,0,0
314,,Pablo Bennevendo,0,0,38.46,0.06,0,0
315,,Jorge Rodríguez,0,0.08,31.58,0.33,0,0
316,,Emerson Rodríguez,0.11,0.11,40.35,1.11,0,0
317,,Javier Correa,0.07,0.2,47.06,1.8,0,0
318,,Vladimir Loroña,0,0,75,0.25,0,0
319,,Hugo Rodríguez,0,0,100,0.57,0,0
320,,Gustavo Ferrareis,0,0,38.89,0.76,0,0
321,,Omar Mendoza,0,0,80,0.31,0,0
322,,Leonel Prieto,0,0,0,0,0,0
323,,Roberto Meraz,0,0,0,0,0,0
324,,Hiram Mier,0,0,0,0,0,0
325,,Edson Gutiérrez,0,0,0,0,0,0
326,,Benjamín Galdames,0,0,50,0.5,0,0
327,,Aarón Mejía,0,0,33.33,0.33,0,0
328,,Alberto García,0,0,100,0.5,0,0
329,,Agustín Urzi,0.09,0,35,0.91,0,0
330,,Jesus Venegas,0,0,50,0.09,0,0
331,,Nicolás Cordero,0.11,0.22,25,1.11,0,0
332,,Sebastián Pérez Bouquet,0,0,37.5,0.88,0,0
333,,Eduardo Águila,0,0,50,0.17,0,0
334,,Jordan Sierra,0,0.12,69.23,0.65,0,0
335,,Marcelo Flores,0.1,0,41.67,0.6,0,0
336,,Daniel Aguilar,0,0,33.33,0.8,0,0
337,,Andrés Sánchez,0,0,0,0,0,0
338,,Moises Mosquera,0,0,50,0.31,0,0
339,,Alan Torres,0,0,0,0.25,0,0
340,,Salvador Reyes,0,0,44.44,0.38,0,0
341,,Jorge Berlanga,0,0,0,0.29,0,0
342,,Rafael Guerrero,0,0,85.71,0.3,0,0
343,,Raymundo Fulgencio,0.2,0.07,56.25,1,0,0
344,,Augusto Lotti,0,0,0,1.67,0,0
345,,Alejandro Mayorga,0,0.14,57.14,0.86,0,0
346,,Celso Ortiz,0,0,66.67,0.29,0,0
347,,Raúl Camacho,0,0,100,0.3,0,0
348,,Diego Campillo,0.2,0.4,0,1,0,0
349,,Santiago Muñoz,0,0,42.86,0.25,0,0
350,,Jesús Sánchez,0,0,0,0,0,0
351,,Jesús Dueñas,0,0,0,0,0,0
352,,Rodrigo Godinez,0,0,0,0,0,0
353,,Heriberto De Jesus,0,0,50,0.75,0,0
354,,Luis Amarilla,0.27,0.2,40.91,1.2,0,0
355,,Marco García,0,0,33.33,0.75,0,0
356,,Paolo Yrizar,0,0,100,0,0,0
357,,Angel Jordan,0,0,100,0,0,0
358,,Fernando Ordonez,0,0,0,0.17,0,0
359,,Jaime Gomez,0,0,56.25,0.62,0,0
360,,Mauricio Andre Isais,0,0,48.28,0.22,0,0
361,,Emilio Martinez,0,0,0,0.22,0,0
362,,Rodrigo Lopez,0,0,66.67,0.64,0,0
363,,Eduardo Armenta,0,0,30.77,0.58,0,0
364,,Pavel Pérez,0,0.11,37.5,0.56,0,0
365,,Dória,0,0.11,100,1.67,0,0
366,,José Joaquín Esquivel,0,0.08,44.44,0.31,0,0
367,,Alan Medina,0,0,51.43,0.38,0,0
368,,Juan Castro,0,0,40,0.18,0,0
369,,Martín Barragán,0,0.35,30.77,2.06,0,0
370,,Santiago Ormeño,0.14,0,100,0.57,0,0
371,,Rogelio Cortéz Pineda,0.14,0,100,0.43,0,0
372,,José Lozano,0,0,50,0.27,0,0
373,,Omar Moreno Villegas,0,0,100,0.25,0,0
374,,Efrain Orona,0,0,0,0.13,0,0
375,,Alexis Gutiérrez,0,0,66.67,0.11,0,0
376,,Ventura Alvarado,0,0,0,0.2,0,0
377,,Owen González,0,0,60,0.2,0,0
378,,Andres Colorado,0,0,80,0.1,0,0
379,,Christopher Trejo,0,0.1,31.25,0.6,0,0
380,,Rodrigo Aguirre,0,0.43,20,1.43,0,0
381,,Jonathan Torres,0,0,0,0,0,0
382,,Luis Iturbide,0,0,0,2,0,0
383,,Raymundo Rubio,0,0,0,0,0,0
384,,Diego Zago Gravito,0,0,0,1,0,0
385,,José Galindo,0,0,0,0,0,0
386,,Joaquín Moxica,0,0,0,0,0,0
387,,Eugenio Pizzuto,0,0,0,0.5,0,0
388,,Jesús Ocejo,0,0,0,0.5,0,0
389,,Edson Mata,0,0,0,0,0,0
390,,Patricio Salas,0,0,0,1,0,0
391,,Juan Gamboa,0,0.67,0,1,0,0
392,,Isaias Violante,0,0,33.33,0.4,0,0
393,,Ettson Ayon Calderon,0,0.1,66.67,1.2,0,0
394,,Ronaldo Prieto,0,0.18,66.67,0.45,0,0
395,,Gibran Lajud,0,0,0,0,0,0
396,,Joaquín Montecinos,0,0.11,42.86,1.67,0,0
397,,Lucas Paul De los Santos,0,0,50,0,0,0
398,,José Madueña,0.09,0,50,0.18,0,0
399,,Javier Salas,0,0,50,0.67,0,0
400,,Diego Medina,0.05,0,51.85,0.32,0,0
401,,Mauro Manotas,0,0.11,54.55,1.11,0,0
402,,Mario Osuna,0,0,0,0.17,0,0
403,,Lucas Cavallini,0.09,0,27.27,1.09,0,0
404,,Aldo Cruz,0,0,66.67,0.18,0,0
405,,Edgar Zaldívar,0,0,100,0.25,0,0
406,,Braian Romero,0,0,0,0.33,0,0
407,,Facundo Waller,0,0,66.67,0.33,0,0
408,,Jesús Vega,0,0,42.86,0.71,0,0
409,,Iván Tona,0,0,40,0.56,0,0
410,,Fernando Tapia,0,0,100,0,0,0
411,,Pablo Monroy,0,0,72.73,0.73,0,0
412,,Ronaldo Cisneros,0.15,0.23,0,1,0,0
