#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
232,,Robert Morales,0.25,0,37.93,38.78,0.75,0.94
233,,Robert Ergas,0.13,0,50,52.44,0.63,0.5
234,,Israel Reyes,0,0,33.33,54.84,0.56,0.33
235,,Alexis Peña,0.06,0,54.72,52.53,0.29,0.71
236,,Marino Hinestroza,0.08,0,25,45.83,1.23,0.69
237,,Eduard Bello,0,0,41.18,55.26,0.8,0.27
238,,Gabriel Carabajal,0.33,0.17,50,50,0.67,0.67
239,,Alek Álvarez,0,0,0,66.67,0,1
240,,Jonathan Perlaza,0.25,0,100,73.33,0.5,0.75
241,,Daniel Vazquez,0,0,33.33,42.86,1,0
242,,Alan Zubiri,0,0,50,50,0,1
243,,Fernando González Peña,0,0,0,50,0,0
244,,Misael Domínguez,0,0,100,66.67,1,0.2
245,,Santiago Naveda,0,0,50,72.22,0.43,0.14
246,,Gaddi Aguirre,0.13,0,60,53.66,0.25,1.25
247,,Sergio Flores,0.13,0,40,50.48,0.13,1.19
248,,David Terans,0.36,0,0,31.58,0.45,1.18
249,,Ramón Juárez,0.09,0,57.69,55.13,0,1
250,,Alexis Vega,0,0.1,54.55,50,1.3,0.8
251,,Oussama Idrissi,0.14,0.14,0,39.06,0.29,1.57
252,,Sebastián Saucedo,0.23,0.08,11.11,55.56,2,0.38
253,,Joao Rojas,0.08,0,0,31.37,0.31,0.31
254,,Diego Gómez,0.17,0,28.57,38.89,0.83,1
255,,Silvio Martínez,0,0,20,44.87,0.57,0.79
256,,Juan Brigido,0,0,16.67,50,0.22,0.33
257,,Alfredo Talavera,0.12,0.06,66.67,72.73,0.29,0
258,,Ozziel Herrera,0.25,0,56.52,55.56,1.13,0.38
259,,Alexei Dominguez Figueroa,0,0,33.33,48.15,0.5,0.5
260,,Jorge Rodríguez,0.42,0,46.67,54.46,0.92,1.08
261,,Iker Moreno,0,0,33.33,51.72,0.57,0.43
262,,Jesús Hernández,0,0,30.77,40.91,1.5,0.8
263,,Carlos Baltazar,0.07,0,50,62.12,1.29,0.21
264,,Luís Rodríguez,0.31,0,68.42,55.91,1,1
265,,Edgar Méndez,0.13,0,46.27,45.83,1,1
266,,Sebastián Córdova,0.28,0,41.46,41.7,2.11,2
267,,Vicente Poggi,0.56,0,58.33,42.31,0.44,1.89
268,,Kevin Castaño,0.15,0,35.29,45,0.85,0.85
269,,Jhon Chancellor,0,0,75,60.71,0,0.6
270,,Ramiro Árciga,0,0,0,66.67,0.8,0.4
271,,Andres Montaño,0,0.11,57.14,52.38,0.89,0.67
272,,Pedro Pedraza,0.11,0,33.33,47.83,0.56,1.11
273,,William Tesillo,0.27,0,50.79,51.68,0.53,1.07
274,,Duván Vergara,0.16,0,25,45.27,1.05,0.95
275,,Israel Luna,0,0,25,38.46,0,0
276,,Carlos Rodríguez,0,0,100,100,0,0
277,,Everardo López,0,0,0,85.71,0.5,0
278,,Fernando Navarro,0.2,0,75,56.25,0.2,0.2
279,,Jesús Orozco,0.21,0,62.22,57.14,0.29,1
280,,Illian Hernandez,0.07,0,42.62,39.02,0.21,0.36
281,,Augusto Solari,0.09,0,33.33,44.44,1.18,0.82
282,,Francisco Contreras,0,0,50,54.55,0.55,0.64
283,,Mateo Klimowicz,0.28,0,14.29,48.62,0.22,0.89
284,,Brian Rubio,0.07,0.07,36.84,43.18,1,1.14
285,,Kevin Escamilla,0.29,0,48.28,44.12,0.43,1.29
286,,Eduardo Aguirre,0.17,0,32.5,33.66,1,0.92
287,,Aldo Lopez,0.12,0,41.67,45.95,0.53,0.53
288,,Braian Samudio,0,0.09,53.66,39.19,0.09,0.82
289,,Jahaziel Marchand,0,0,71.43,48.28,0.33,1.33
290,,Raúl López,0.07,0,33.33,50,0,0.27
291,,Sebastian Santos,0,0,0,50,0.2,0.6
292,,Léo Bonatini,0,0,34.78,40.74,0.62,0.19
293,,Omar Fernández,0.06,0,30,34.55,0.33,0.17
294,,Ulises Rivas,0.15,0,44.44,49.11,0.35,0.85
295,,Jorge Ruvalcaba,0,0,0,37.5,0.33,0
296,,Mateo García,0,0.08,57.14,58.23,1.08,0.17
297,,Jeremy Márquez,0,0,62.5,51.49,0.93,0.47
298,,Diego Chávez,0.13,0,42.86,43.7,0.38,0.88
299,,Santiago Trigos,0.14,0.07,46.67,43.33,0.14,1.5
300,,David Ramírez,0,0,46.67,49.15,0.56,0.17
301,,Agustín Oliveros,0,0,44.44,51.28,0.86,0.86
302,,Carlos Orrantia,0,0,40,48,0.22,0.22
303,,Jonathan Padilla,0.11,0,15.38,42.15,0.44,0.89
304,,Emilio Lara,0.2,0,66.67,61.11,0.2,0.4
305,,Raúl Martínez,0,0,46.67,51.61,1,1
306,,Moisés,0,0,33.33,40.95,0.29,0.29
307,,Omar Campos,0.21,0,54.55,54.82,0.95,0.74
308,,Amaury Escoto,0,0,44.83,46.51,0.6,0.1
309,,Jose Garcia,0.27,0,53.03,52.73,0.33,1
310,,Jesus Angel Garza Garcia,0.2,0,0,75,0.4,0.2
311,,Jonathan Gonzalez,0.07,0,50,51.28,0.27,0.27
312,,Christian Tabó,0.19,0,28.13,42.39,0.81,0.75
313,,Miguel Sansores,0.15,0,41.18,41.46,0.54,0.92
314,,Pablo Bennevendo,0.12,0.06,36.84,51.49,0.59,0.76
315,,Jorge Rodríguez,0.17,0,26.67,37.5,0.58,1
316,,Emerson Rodríguez,0.11,0,26.09,35.35,0.74,1.21
317,,Javier Correa,0,0.13,40,44.44,0.07,0.4
318,,Vladimir Loroña,0,0,66.67,57.89,0,0.13
319,,Hugo Rodríguez,0.29,0,40,48.57,0.14,1.14
320,,Gustavo Ferrareis,0.29,0,53.85,47.59,1.06,1.24
