Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Tiago Silva,0.18,0,56.52,1.04,0,0,1.68,0.96,0,0.36,0,0.86,0.14,0.04,44.39,85.52,9.82,69.74,0,0.21,0,0,0.61,0.11,0.39,0.07,42.11,50.84,1.43,1.86,28
Matheus,0,0,83.33,0,0,0,0.06,0.03,0,0.84,0.03,0.06,0,0,33.31,74.02,1.16,45.77,2.53,0.5,0.16,0,0.81,0.06,0.13,0.03,100,88.89,0.38,0.03,32
Steven Vitória,0.23,0.03,50,0.97,0.06,0,0.65,1,0.03,3.68,0.03,0.16,0.06,0,39.71,85.3,1.32,42.57,0,0.26,0,0,0.9,0.23,0.16,0.03,63.37,60.34,0.61,0.77,31
Vítor Carvalho,0.1,0,54.17,1.06,0.06,0,2.68,1.39,0,1.52,0,0.77,0.06,0,57.55,85.54,10.29,63.16,0,0.23,0,0,1.23,0.03,0.32,0.03,57.02,53.39,1.16,2.03,31
Jhonatan,0,0,0,0,0,0,0.03,0,0,0.75,0.06,0.06,0,0,26.13,67.22,0.69,38.39,3.41,0.31,0.09,0.06,1,0.22,0.09,0,80,84.21,0.34,0,32
Manuel Ugarte,0,0,62.5,0.61,0,0,3.9,1.84,0,0.52,0,1.84,0.03,0,50.87,91.76,7.39,73.2,0,0.06,0,0,0.68,0.1,0.35,0,62.5,56.28,1.68,2.06,31
Aderllan Santos,0.03,0.06,80,0.66,0.03,0,1.72,1.66,0,5.22,0,0.38,0,0,55.97,87.49,1.84,45.02,0,0.28,0,0,1.06,0.16,0.09,0.03,59.49,59.5,0.41,1.06,32
Francisco Trincão,0.29,0.24,47.12,1.85,0,0,1.06,0.24,0,0.09,0,0.74,0.09,0.06,25,84.35,10.03,70.37,0,0.15,0,0,0.56,0.12,0.06,0,20,47.39,1.09,0.53,34
Pepê,0.12,0.06,52.82,1,0,0,1.21,1.29,0.03,0.47,0,0.85,0.24,0.21,35.71,78.01,10.38,60.76,0,0.32,0,0,0.44,0.03,0.06,0,38.3,52.32,2.03,0.65,34
David Neres,0.19,0.23,51.82,1.61,0,0,0.68,0.1,0,0,0,0.55,0.32,0.26,31.68,83.81,14.77,70.83,0,0.03,0,0,0.29,0,0.06,0,23.53,43.8,0.77,0.81,31
Bruno Wilson,0,0.13,100,0.5,0,0,0.88,1.75,0.04,5.04,0,0.17,0.04,0.04,36.25,74.37,2.38,36.4,0,0.25,0,0,0.79,0.17,0.17,0,54.81,58.28,0.63,0.71,24
Félix Correia,0.15,0.08,54.55,1.31,0,0,1.15,0.23,0,0.08,0,0.54,0.31,0.23,18.77,81.15,7.85,71.88,0,0,0,0,0.92,0.08,0.15,0,16.67,51.09,1,0.69,13
Luiz Júnior,0,0,0,0,0,0,0,0,0,1.36,0.03,0.12,0,0,26.39,64.29,1.3,42.83,3.27,0.3,0.27,0.06,1.21,0.15,0.09,0,88.89,80.65,0.33,0,33
Bruno Langa,0,0.03,64.71,0.62,0,0,1.21,1.07,0,2.03,0,0.45,0.21,0,35.48,73.08,6.93,42.54,0,0.24,0,0,0.79,0.14,0.24,0,48.78,62.5,2.07,0.86,29
João Teixeira,0.16,0.09,46.97,2.47,0,0,2.13,0.75,0,0.59,0,1.75,0.09,0.13,41.75,83.38,12.28,72.66,0,0.16,0,0,0.88,0.19,0.22,0.03,53.13,45.63,1.63,1.28,32
Pepe,0,0.04,62.5,0.29,0,0,1.71,1.04,0.04,2.29,0,0.5,0,0,60.46,87.87,5.83,61.31,0,0.42,0,0,0.67,0.04,0.17,0,63.16,66.08,0.83,0.46,24
Paulo Estrela,0.08,0.04,66.67,0.42,0,0,1.5,1.35,0,0.96,0,0.88,0.04,0.04,29.92,81.88,5.31,62.04,0,0,0,0,0.77,0.12,0.19,0,60.87,50.77,0.46,1.04,26
Alan Ruiz,0.1,0.03,57.3,2.16,0,0,1.26,0.29,0,0.68,0.03,0.77,0.19,0.06,41.52,79.72,10.32,62.57,0,0.16,0,0,0.9,0.13,0.32,0,50.69,50.54,2.35,2,31
