#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
40,,Jesús Castillo,0,0.07,0,0,1.03,0.17
41,,William Mimbela,0,0,0,0,0.8,0
42,,Jimmy Valoyes,0,0.41,0,0,0.83,0.17
43,,Irven Ávila,0,0.06,0,0,0.8,0.14
44,,Joel López Pisano,0,0.13,0,0,0.96,0.04
45,,Jairo Concha,0,0.06,0,0,0.45,0.1
46,,Yoshimar Yotún,0,0.13,0,0,0.75,0.13
47,,Fernando Márquez,0,0.17,0,0,1.17,0
48,,Patricio Arce,0,0,0,0,1,0
49,,Leonardo Rugel,0,0.6,0,0,0.2,0
50,,Facundo Peraza,0,0.15,0,0,1.24,0.09
51,,Rodrigo Salinas,0,0.18,0,0,0.82,0.09
52,,Jersson Vásquez,0,0.34,0,0,0.84,0.09
53,,Róger Torres,0,0,0,0,0.63,0.17
54,,Edy Renteria,0,0.11,0,0,1.78,0.11
55,,Alejandro Ramos,0,0.56,0,0,0.66,0.03
56,,Nicolás Marotta,0,0.36,0,0,0.76,0.16
57,,José Carvallo,2.83,0.5,0.1,0,0.7,0.03
58,,Federico Alonso,0,0.38,0,0,0.77,0.04
59,,Raúl Fernández,3.55,0.32,0.18,0.09,1.23,0.09
60,,Ángelo Campos,2.96,0.44,0.11,0,0.63,0.15
61,,Carlos Grados,2.97,0.33,0.15,0.03,0.91,0.09
62,,Alejandro Hohberg,0,0.03,0,0,0.5,0
63,,Federico Ramos,0,0,0,0,0.67,0
64,,Alejandro Duarte,3.32,0.44,0.08,0,0.92,0.12
65,,Yonatan Murillo,0,0.34,0,0,0.75,0.25
66,,Gaspar Gentile,0,0.13,0,0,1.26,0.13
67,,Josué Estrada,0,0.26,0,0,0.77,0.32
68,,Janio Pósito,0,0.08,0,0,0.58,0.23
69,,Paolo Fuentes,0,0.31,0,0,0.94,0.25
70,,Diego Buonanotte,0,0.05,0,0,0.32,0.11
71,,Robert Ardiles,0,0.04,0,0,0.79,0.11
72,,Pablo Míguez,0,0.36,0,0,0.48,0.16
73,,Omar Merlo,0,0.42,0,0,0.91,0.15
74,,Jhon Narvaez,0,0.19,0,0,1.37,0.11
75,,Luis Iberico,0,0.14,0,0,0.54,0.03
76,,Adrián Ugarriza,0,0.18,0,0,0.68,0.21
77,,Sebastián Gularte,0,0.08,0,0,0.85,0.23
78,,Patricio Álvarez,3.55,0.26,0.35,0.13,1.48,0.1
79,,Martín Pérez Guedes,0,0.05,0,0,0.49,0
80,,Yorleys Mena,0,0.19,0,0,0.81,0.08
81,,Piero Quispe,0,0.03,0,0,0.71,0.06
82,,Josepmir Ballón,0,0.5,0,0,0.59,0.12
83,,Ricardo Salcedo,0,0.24,0,0,0.72,0.03
84,,Jostin Alarcón,0,0.11,0,0,1.11,0.07
85,,Leonel Galeano,0,0.41,0,0,0.63,0.07
86,,Fernando Guerrero,0,0.07,0,0,0.46,0.14
87,,Edhu Oliva,0,0,0,0,1.5,0.1
88,,Ángel Zamudio,3,0.33,0.09,0,0.91,0.18
89,,Pedro Ynamine,4.33,0,0.33,0,1.33,0
90,,Diego Penny,3.03,0.3,0.23,0.03,0.97,0.27
91,,Fernando Melgar,0,0,0,0,0.75,0
92,,Carlos Cáceda,2.06,0.61,0.06,0,0.67,0.03
93,,Renzo Garces,0,0.25,0,0,0.89,0.11
94,,Nicolás Rinaldi,0,0.07,0,0,0.63,0.2
95,,Rodrigo Pastorini,0,0.03,0,0,1,0.13
96,,Diego Enríquez,2.94,0.33,0.15,0.09,0.82,0.24
97,,Danilo Carando,0,0.06,0,0,0.48,0.21
98,,Maximiliano Amondarain,0,0.23,0,0,0.92,0.31
99,,Alejandro Ramirez,0,0,0,0,0.25,0.05
100,,Aldo Corzo,0,0.46,0,0,0.62,0.04
101,,Christian Gonzalo Limousin,3.55,0.18,0.18,0.03,1.24,0.18
102,,Nelinho Quina,0,0.38,0,0,0.76,0.07
