#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
146,,Ademar Robles,0,0,50,0.25,0,0
147,,Luciano Nieto,0.07,0.17,52.5,1.7,0,0
148,,Ángel Cayetano,0.06,0.06,25,1,0,0
149,,Beto Da Silva,0.17,0.1,41.77,1.63,0.03,0
150,,Ángel Ojeda,0.11,0,54.55,0.71,0,0
151,,Julio Landauri,0.17,0,55.56,0.5,0,0
152,,Joaquín Aguirre,0.1,0.1,56,0.71,0,0
153,,Herve Kambou,0.06,0.06,100,0.5,0.06,0
154,,Johan Madrid,0,0,44.12,0.1,0,0
155,,Othoniel Arce,0.18,0.27,45.45,1.91,0.09,0
156,,Yuriel Celi,0.13,0.07,36.54,1.23,0,0
157,,Jordan Guivin,0.13,0.07,25,1.4,0,0
158,,Emiliano Ciucci,0.03,0.07,56.52,1.03,0,0
159,,Cristian Florez,0.11,0.04,83.33,0.74,0.04,1.85
160,,Hideyoshi Arakaki,0.41,0.24,43.48,2.24,0.21,0
161,,Daniel Morales,0.09,0,81.82,0.86,0,0.91
162,,Ignacio Barrios,0,0,0,0,0,0
163,,Jesús Reyes,0,0,80,0,0,0
164,,Renato Solís,0,0,0,0,0,0
165,,Marco Saravia,0.07,0.03,33.33,0.41,0,0
166,,Iván Santillán,0,0,47.37,0.74,0,0
167,,Ronal Huaccha,0.24,0.32,73.68,1.65,0,0
168,,Hansell Riojas,0.11,0,66.67,0.33,0,0
169,,Matías Lazo,0,0,50,0.09,0,0
170,,Osnar Noronha,0.26,0.15,46.43,1.32,0.03,0
171,,Nicolás Royón,0.2,0.16,75,1.96,0.04,0
172,,Erinson Ramirez,0.06,0.06,31.03,1.94,0,0
173,,Alexis Rojas,0.42,0.13,46.75,1.1,0.03,0
174,,Adrián Ascues,0.32,0.03,54.67,1.68,0,0
175,,Daniel Franco,0.1,0,90,0.57,0.05,0
176,,Gabriel Leyes,0.47,0,41.86,2.2,0,0
177,,Luis Garro,0,0,56.52,0.54,0,0
178,,Jhilmar Lora,0,0,52.17,0.13,0,0
179,,Alexis Blanco,0.35,0.41,50,1.59,0.12,0
180,,Jair Céspedes,0.03,0,63.16,0.23,0,0
181,,Hoover Crespo,0.13,0.04,59.38,1.26,0,0
182,,Werner Schuler,0,0,50,0.42,0,0
183,,Carlos Diez,0,0,65,0.52,0,0
184,,Leonel Solís,0.1,0.1,84.38,0.43,0,0
185,,Alfonso Barco,0,0,25,0.63,0,0
186,,Yimy Gamero,0.07,0.03,56.25,1.13,0,0
187,,Jean Pierre Fuentes,0,0.25,0,0.75,0,0
188,,Marco Aldair Rodríguez,0.09,0.09,42.5,1.18,0.03,0
189,,Franco Zanelatto,0.27,0.27,34.92,1.58,0,0
190,,Jeremy Martin Rostaing,0.05,0,45,0.67,0,0
191,,Horacio Orzan,0,0.03,88.24,0.31,0,0
192,,Kenji Cabrera,0.06,0.18,50,0.53,0,0
193,,José Rivera,0.23,0.1,47.37,1.84,0,0
194,,Luis Alvarez,0.08,0,45.83,0.46,0.04,0
195,,Diego Melián,0,0,0,0,0,0
196,,Mauro Guevgeozian,0.39,0.22,28.57,1.5,0.17,0
197,,Facundo Curuchet,0.06,0.16,52.24,1.26,0,0
198,,Joel Sánchez,0,0.05,52,1,0,0
199,,Cristian Benavente,0.26,0,71.43,1.35,0.04,1.09
200,,Percy Liza,0.24,0.12,38.89,0.94,0.18,0
201,,Abdiel Arroyo,0.08,0,58.54,1.4,0,0
202,,Santiago Rebagliati,0.11,0,100,1.11,0,0
203,,Bryan Urrutia,0,0,0,1,0,0
204,,Jhunior Berrocal,0,0,0,0,0,0
205,,Diego Angles,0,0,0,0,0,0
206,,Giancarlo Peña,0,0,0,0.33,0,0
207,,Salomon Libman,0,0,0,0,0,0
208,,Erick Barrios,0.04,0.04,52.38,0.84,0,0
209,,Carlos Cabello,0.03,0,47.54,0.23,0,0
210,,Marco Huaman,0.03,0.1,58.62,1.03,0,0
211,,Italo Regalado,0.08,0.15,25,1.31,0.08,0
212,,Victor Perlaza,0.26,0.18,44.44,1.62,0.06,0
213,,Aldair Salazar,0.03,0,33.33,0.67,0.03,0
214,,Kevin Serna,0.47,0.42,43.82,3.21,0,0
215,,Joyce Conde,0.26,0.26,28.57,1.16,0.11,0
216,,Joffré Escobar,0.28,0.24,39.13,1.59,0.17,1.15
217,,Axel Moyano,0.04,0,50,0.14,0,0
218,,Emilio Gutiérrez,0,0,0,0.75,0,0
219,,Diego Carabaño,0,0.06,40,1.06,0,0
220,,Tarek Carranza,0.09,0.05,25,0.91,0,0
221,,Renato Espinosa,0.2,0.1,57.14,1.1,0,0
222,,Gu Choi,0.08,0.17,66.67,0.75,0.08,0
223,,Jose Antonio Parodi,0.1,0,25,0.8,0,0
224,,Nicolás Ortíz,0.07,0.03,71.43,0.66,0.03,0
225,,Diego Chávez,0.11,0.18,37.5,1.86,0,0
226,,Hernán Rengifo,0.39,0.28,33.33,1.17,0.22,0
227,,Lucas Federico Trejo,0.1,0.07,83.33,0.34,0,0
228,,Jean Deza,0.42,0.08,34,2,0,0
229,,Manuel Tejada,0.06,0.06,60,0.35,0,0
230,,Gonzalo Verón,0.07,0.37,47.96,2.19,0.07,0
231,,Gabriel Tellas,0.17,0.04,100,1,0.08,0
232,,Luis Garcia,0.1,0.05,85.71,0.48,0,0
233,,Luciano Recalde,0,0.19,100,1,0,0
234,,Joao Grimaldo,0.18,0.14,37.5,0.82,0,0
235,,Arón Sánchez,0,0.05,66.67,0.59,0,0
236,,Ayrthon Quintana,0.04,0,42.31,0.82,0,0
237,,Giancarlo Carmona,0.1,0,51.22,0.74,0,0
238,,Sinclair García,0.33,0,40,0.67,0,0
239,,Jorge Murrugarra,0,0,33.33,0.14,0,0
240,,Nicolás Olivera,0,0,100,0.7,0,0
241,,Diego Soto,0,0,58.33,0.56,0,0
242,,Anthony Rosell,0.07,0,66.67,0.7,0.03,0
243,,Christian Ramos,0,0,100,0.36,0,0
244,,Alvaro Ampuero,0.04,0,82.61,0.58,0,0
245,,Juan Tuesta,0.13,0,66.67,0.7,0,0
246,,Juan Morales,0,0.03,70.97,0.17,0,0
247,,Arley Rodríguez,0.13,0.07,40.74,0.7,0.07,0
248,,Kevin Quevedo,0.16,0.4,44.68,2.12,0,0
249,,Relly Fernández,0.14,0.14,44.19,1.32,0,0
250,,Sebastián Gonzalez Zela,0.12,0.06,66.67,1.24,0.06,0
251,,Jesus Chavez,0.1,0.24,40.63,1.14,0.05,0.95
252,,Luis Ramírez,0.07,0,44.9,0.83,0.03,0
253,,Alexis Rodríguez,0.32,0.11,36.11,1.71,0.04,0
254,,Federico Nicosia,0,0,0,0,0,0
255,,Óscar Pinto,0,0,44.44,1.13,0,0
256,,Hugo Ancajima,0,0,46.43,0.41,0,0
257,,Jonathan Bilbao,0,0.12,50,0.59,0,0
258,,Jeickson Reyes,0,0,75,0.14,0,0
259,,Santiago Arias,0.07,0.03,50,1.21,0.03,0
260,,Aryan Romani,0.05,0,61.54,1.1,0,0
261,,Miguel Cornejo,0.06,0,50,0.41,0,0
262,,Fernando Pacheco,0,0,55.56,0.71,0,0
263,,Paulo De La Cruz,0.09,0.09,43.48,1.09,0.04,0
264,,Manuel Ganoza,0.05,0.1,100,0.29,0.05,0
265,,Kevin Moreno,0,0,55.56,0,0,0
266,,Piero Vivanco,0.07,0.04,52.31,0.96,0,0
267,,Erick Gonzales,0,0,71.43,0.95,0,0
268,,Charles Monsalvo,0.22,0.11,37.5,1,0,0
269,,Jhosep Nuñez,0,0,36.84,0.57,0,0
270,,Ángel Romero,0,0,71.43,0.32,0,0
271,,Cristian Mejia,0.03,0.03,77.27,0.97,0.03,0
272,,Walter Tandazo,0,0,44.44,0.62,0,0
273,,Elvis Payé,0.11,0.22,0,0.89,0,0
274,,Santiago Pallares,0,0.25,50,1.25,0,0
275,,Alexander Succar,0.2,0.16,27.27,1.6,0.12,0
276,,Mathias Carpio,0.08,0,65.63,0.44,0,0
277,,Adrian Gutierrez,0,0,50,0.29,0,0
278,,Jimmy Pérez,0.04,0.04,51.52,1.38,0,0
279,,Williams Guzmán,0,0,60,0.11,0,0
280,,Luis Machado,0.1,0,40,0.8,0,0
281,,Franco Medina,0,0,56.1,0.1,0,0
282,,Juan Diego Lojas,0,0,100,0.29,0,0
283,,Yorkman Tello,0.21,0,100,0.43,0,0
284,,Emilio Saba,0,0,56.25,0.27,0,0
285,,Jean Pierre Archimbaud,0.1,0,50,0.71,0.03,0
286,,Christian Velarde,0.2,0,61.9,0.8,0.07,0
287,,Claudio Torrejón,0,0,50,0.32,0,0
288,,Diego Espinoza,0.05,0,56.1,0.8,0.05,0
289,,José De la Cruz,0.1,0,25,0.65,0,0
290,,Elsar Rodas,0.05,0,36.36,0.21,0,0
291,,José Zevallos,0.2,0,0,0.2,0,0
292,,Marcelo Gaona,0.07,0.07,33.33,0.73,0,0
293,,Luis Carranza,0,0,87.5,0.71,0,0
294,,Carlos Montoya,0,0,0,0,0,0
295,,Waldir Calderon,0,0,0,0.5,0,0
296,,Koichi Aparicio,0,0,0,0.75,0,0
297,,Juan Quiñones,0,0,0,0.14,0,0
298,,Willy Pretel,0,0,100,0.38,0,0
299,,Juan Goyoneche,0,0,0,0,0,0
300,,Carlos Ascues,0,0.03,64,0.48,0,0
301,,Marcos Ortiz,0,0.09,75,0.27,0,0
302,,Jose Eduardo Caballero,0,0,0,0.12,0,0
303,,Ángel Pérez,0,0,66.67,0.32,0,0
304,,Erick Canales,0,0,33.33,0.14,0,0
305,,Jacson Pita Mina,0.15,0.15,66.67,0.85,0.08,0
306,,Aldair Fuentes,0,0,0,0.13,0,0
307,,Carlos Olascuaga,0,0,66.67,1,0,0
308,,Benjamín Ampuero,0.08,0,0,0.25,0.08,0
309,,Emanuel Ibáñez,0,0.04,50,0.81,0,0
310,,Kevin Ruiz,0.08,0.04,41.94,1.13,0.04,0
311,,Fabio Rojas,0,0,0,0.31,0,0
312,,Marcos Delgado,0.17,0,50,0.71,0.13,0
313,,Leonardo Villar,0,0,0,0.17,0,0
314,,Jesús Barco,0,0,60,0.27,0,0
315,,Bryan Reyna,0.22,0.33,60.26,1.93,0,0
316,,Alfredo Rojas,0,0,80,0.48,0,0
317,,Óscar Vílchez,0,0,72.22,0.4,0,0
318,,Joazhiño Arroé,0.07,0,69.57,0.78,0,0
319,,Jean Tragodara,0,0.09,100,0.36,0,0
320,,Gerson Barreto,0,0,62.5,0.27,0,0
321,,Renzo Revoredo,0,0,100,0.5,0,0
322,,Neil Marcos,0,0,0,0.63,0,0
323,,Jefferson Portales,0,0,0,0.11,0,0
324,,Juan Pablo Carranza,0,0,33.33,0.3,0,0
325,,Aldair Perleche,0,0,50,0.27,0,0
326,,Alonso Tamaríz,0.04,0,18.52,0.19,0.04,0
327,,Armando Alfageme,0,0,100,0.41,0,0
328,,Alexis Cossio,0,0.15,75,0.4,0,0
329,,José Ramírez,0,0.03,62.5,0.19,0,0
330,,Christopher Olivares,0.06,0.06,72.73,0.63,0,0
