#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
187,,Jean Pierre Fuentes,1.33,0.33,0,2.17,0,0.5
188,,Marco Aldair Rodríguez,0.82,0.27,0,0.52,0,0.36
189,,Franco Zanelatto,1.12,0.73,0,0.35,0,0.69
190,,Jeremy Martin Rostaing,2.52,1.71,0,1.52,0,1.43
191,,Horacio Orzan,2.1,1.28,0.03,1.31,0,0.86
192,,Kenji Cabrera,0.76,0.12,0,0,0,0.24
193,,José Rivera,0.65,0.23,0,0.29,0,0.26
194,,Luis Alvarez,1.79,1.13,0,1.46,0,0.71
195,,Diego Melián,0.09,0,0.06,1.33,0.06,0.09
196,,Mauro Guevgeozian,0.22,0.11,0.06,1,0,0.28
197,,Facundo Curuchet,0.71,0.13,0,0.1,0,0.23
198,,Joel Sánchez,0.62,0.14,0,0.05,0,0.33
199,,Cristian Benavente,0.3,0.26,0,0.04,0,0.26
200,,Percy Liza,0.53,0.18,0,0.41,0,0.29
201,,Abdiel Arroyo,0.28,0.2,0,1.04,0,0.16
202,,Santiago Rebagliati,0.11,0.22,0,0.11,0,0.11
203,,Bryan Urrutia,0,1,0,0,0,0
204,,Jhunior Berrocal,2,0,0,0,0,0
205,,Diego Angles,2,0.5,0,2,0,0.5
206,,Giancarlo Peña,1.33,1.67,0,1.67,0,0.33
207,,Salomon Libman,0.07,0.03,0,0.97,0,0.03
208,,Erick Barrios,2.4,0.8,0,1.12,0,1.08
209,,Carlos Cabello,1.5,0.8,0,0.67,0,0.4
210,,Marco Huaman,1.45,0.69,0.03,0.69,0,0.55
211,,Italo Regalado,1.15,0.54,0,0.38,0,0.46
212,,Victor Perlaza,0.06,0.06,0,0.18,0,0.09
213,,Aldair Salazar,1.57,2.1,0.1,3.07,0,0.3
214,,Kevin Serna,1.26,0.58,0,0.47,0,0.53
215,,Joyce Conde,0.42,0.21,0,0.63,0,0.21
216,,Joffré Escobar,0.31,0,0,0.45,0,0.21
217,,Axel Moyano,2.64,1.86,0,0.36,0,1.11
218,,Emilio Gutiérrez,1.75,1.75,0,7,0,1.13
219,,Diego Carabaño,0.38,0.06,0,0,0,0.19
220,,Tarek Carranza,1.23,1,0,1.41,0,0.73
221,,Renato Espinosa,0.27,0.07,0,0.3,0,0.1
