#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
161,,Daniel Morales,0.09,0.05,15.41,79.65,4.36,60
162,,Ignacio Barrios,0,0.05,22.2,46.62,3.8,38.7
163,,Jesús Reyes,0,0,15,75,2.5,33.33
164,,Renato Solís,0,0,18.4,79.89,0.5,47.83
165,,Marco Saravia,0.07,0.07,50.07,82.23,4.38,52.81
166,,Iván Santillán,0.16,0.05,22.05,78.04,4.53,40
167,,Ronal Huaccha,0.06,0.09,12.76,75.35,4.5,50
168,,Hansell Riojas,0,0,47.33,80.52,4.89,54.64
169,,Matías Lazo,0,0,28.14,80.61,3.73,44.16
170,,Osnar Noronha,0.03,0,9.76,75,2.82,66.67
171,,Nicolás Royón,0.04,0.04,7.76,55.67,1.92,26.32
172,,Erinson Ramirez,0.19,0.13,18.69,74.92,6.06,60.78
173,,Alexis Rojas,0.13,0.03,22.06,73.39,6,40.82
174,,Adrián Ascues,0.1,0.06,26.77,77.23,7.71,47.96
175,,Daniel Franco,0,0,45.52,73.85,5.29,45.48
176,,Gabriel Leyes,0.33,0.47,15.2,58.33,2.8,52.38
177,,Luis Garro,0.08,0.04,22.62,76.87,4.19,39.19
178,,Jhilmar Lora,0.09,0.04,22.13,82.91,4.26,56
179,,Alexis Blanco,0.12,0.06,13.53,69.13,3.53,100
180,,Jair Céspedes,0.07,0.07,32.1,83.59,7.07,43.33
181,,Hoover Crespo,0.04,0.09,18.04,81.93,5.04,47.22
182,,Werner Schuler,0.03,0.03,30.84,77.72,1.19,49.77
183,,Carlos Diez,0.07,0.1,33.48,83.83,5.62,47.29
184,,Leonel Solís,0.1,0.05,51.1,89.84,7.57,68.12
185,,Alfonso Barco,0.08,0.04,29.63,84.95,5.08,60.92
186,,Yimy Gamero,0.03,0.03,35.57,85.38,6.03,64.49
187,,Jean Pierre Fuentes,0.17,0.08,24.58,71.19,3.5,52.38
188,,Marco Aldair Rodríguez,0.18,0.15,15.24,75.35,4.36,35.29
189,,Franco Zanelatto,0.04,0.12,14.54,69.31,3.85,37.5
190,,Jeremy Martin Rostaing,0.1,0.14,26.57,75.63,4.9,42.86
191,,Horacio Orzan,0.03,0.03,45.21,81.16,7.03,55.21
192,,Kenji Cabrera,0.12,0.06,14.71,78.4,6.41,70.59
193,,José Rivera,0.1,0.06,13.06,82.47,4.39,58.62
194,,Luis Alvarez,0,0,41.96,85.1,6.21,63.77
195,,Diego Melián,0,0,30.21,71.31,0.91,43.57
196,,Mauro Guevgeozian,0,0,12.17,62.56,2.5,35.29
197,,Facundo Curuchet,0.03,0.06,9.26,62.72,3.87,15.38
198,,Joel Sánchez,0.05,0.05,18.81,81.52,6.14,66.67
199,,Cristian Benavente,0,0,15.39,77.68,4.74,51.85
200,,Percy Liza,0.06,0.06,9.82,68.86,3.06,66.67
201,,Abdiel Arroyo,0.08,0.08,14.52,77.13,4.48,78.95
202,,Santiago Rebagliati,0,0,8.56,63.64,3.22,28.57
203,,Bryan Urrutia,0,0,5,60,2,0
204,,Jhunior Berrocal,0,0,21,85.71,8,0
205,,Diego Angles,0,0,30,90,1,33.33
206,,Giancarlo Peña,0,0,23,72.46,1,29.41
207,,Salomon Libman,0,0,20.43,62.32,0.87,41.58
208,,Erick Barrios,0.08,0,25.36,74.76,5.32,59.6
209,,Carlos Cabello,0.2,0.13,26.33,76.33,5.6,48.78
210,,Marco Huaman,0.1,0,33.24,85.68,8.79,47.73
211,,Italo Regalado,0.08,0.15,12.31,70.63,3.85,62.5
212,,Victor Perlaza,0,0,7.41,78.17,2.82,80
