#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
146,,Paolo Medina,0,0,31.27,79.94,4.36,41.38
147,,Andrei Ciobanu,0,0.08,27.38,86.8,7.54,77.27
148,,Baba Alhassan,0.07,0.07,32.1,83.8,5.5,63.64
149,,Cosmin Florin Achim,0,0,21.5,81.01,1.5,45.45
150,,Kévin Boli,0,0.04,34.2,87.25,1.76,58.02
151,,Joyskim Dawa,0.03,0.06,41.54,81.36,1.66,46.05
152,,Branislav Niňaj,0.03,0.03,47.76,85.1,2.56,51.61
153,,Desley Ubbink,0.18,0.15,25.67,71.9,7.64,47.37
154,,Funsho Bamgboye,0.08,0.08,12.67,73.03,4.67,40
155,,Mário Camora,0.03,0.03,33.1,77.29,7.72,39.45
156,,Basilio Ndong,0,0,34.53,80.69,6.53,40
157,,Alexandru Tudorie,0.11,0.03,11.81,69.88,3.61,62.5
158,,Cornel Ene,0.08,0.08,40.46,78.71,3,39.36
159,,Jair,0.09,0.06,37.32,83.29,7.85,47.19
160,,Deian Sorescu,0.06,0,30.17,68.32,7.5,35.29
161,,Ljuban Crepulja,0,0,50.9,89,10.4,67.9
162,,Naser Aliji,0.17,0.11,33.03,77.8,6.03,37.78
163,,Dejan Boldor,0,0,31.28,73.15,2.28,35.67
164,,Mario Rondon,0.13,0.05,12.85,61.09,2.85,50
165,,Jonathan Rodriguez,0.1,0.06,43.58,82.61,8.68,63.54
166,,Dorinel Oancea,0.08,0.03,31.58,67.37,5.94,35.04
167,,Marcelo Lopes,0.17,0.14,22.33,79.73,6.53,49.09
168,,Rassambek Akhmatov,0.07,0,36.83,79.4,8.38,63.55
169,,Antonio Sefer,0,0.05,16.38,69.8,5.97,32.2
170,,Vlad Muțiu,0,0,24,65.28,0.11,33.33
171,,Cătălin Căbuz,0,0,25.56,54.55,2.38,40.06
172,,Andrei Gorcea,0.04,0.04,25.64,46.02,1.24,30.51
173,,Alexandru Greab,0,0,25.86,52.3,1.43,34.62
174,,Ovidiu Bic,0.09,0.06,39.97,84.84,7.88,56.96
175,,Tony Njiké,0.12,0.09,41.56,80.61,7.26,42.86
176,,Ivan Martić,0,0,34.04,78.93,5.09,43.56
177,,Florin Bejan,0.04,0.04,38.04,76.63,1.81,31.87
178,,Bautista Cascini,0.06,0.06,29.88,82.53,5.44,60
179,,Emmanuel Yeboah,0.1,0.1,16.1,59.32,4.61,42
180,,Plamen Iliev,0,0,26.06,60.43,0.69,36.47
181,,Eduard Pap,0,0,30.93,56.25,0.77,35.03
182,,Lovro Cvek,0.07,0.03,31.03,81.31,7.6,62.14
183,,Daniel Marius Serbanica,0,0,30.08,74.94,2.92,32.65
184,,Marco Dulca,0,0,37.21,75.25,6.63,43.27
185,,Mihai Căpățînă,0.03,0,36.33,86.06,6.87,53.77
186,,Giedrius Arlauskis,0,0,22.14,75.48,0.14,45.31
187,,Andrei Chindriş,0.09,0,39.45,75.23,3.05,45.92
188,,Hervin Ongenda,0,0,18.5,67.57,6,44.44
189,,Răzvan Began,0,0,34.25,72.99,1.5,44.62
190,,Ștefan Vlădoiu,0.07,0.07,22.97,73.88,4.53,28.33
191,,Eduard Florescu,0.1,0,22.38,75.53,6.29,53.49
192,,Cephas Malele,0.06,0.11,14.72,60,5,71.43
193,,Răzvan Onea,0.18,0.09,31.91,73.5,7.48,37.59
194,,Andreas Leitner,0,0,29.09,61.25,0.91,35.08
195,,Marius Constantin,0.04,0.04,32.43,73.59,2.48,37.65
196,,Jefferson Junior,0,0,40.33,85.95,9.33,80.95
197,,Grigore Ioan Turda,0,0,38.3,80.42,1.5,39.29
198,,Cătălin Golofca,0.06,0,7.94,64.34,2.39,28.57
199,,Juan Pablo Passaglia,0,0,29.81,80.29,6.13,47.83
200,,Márk Tamás,0,0.06,48.5,85.22,2.78,53.85
201,,Iustin Popescu,0,0,22.59,51.82,1.71,32.97
202,,Silviu Balaure,0.1,0.1,20.9,73.87,5.44,32.79
203,,Pavol Šafranko,0.07,0.1,16.07,61.62,5.1,33.33
204,,Antonio Jakoliš,0.25,0.06,19.94,70.85,4.88,46.94
205,,Alexandru Ioniță,0.15,0.29,18.91,69.05,6.82,46.67
206,,Florentin Matei,0.17,0,17.25,86.47,4.42,87.5
207,,Virgiliu Postolachi,0.05,0.08,20.27,63.87,5.11,62.5
208,,Ștefan Pănoiu,0.14,0.03,16.16,76.92,4.3,46.88
209,,Ante Roguljić,0.22,0.15,11.04,75.84,3.81,60.87
210,,Radoslav Dimitrov,0,0.04,39.3,77.29,8.93,49.03
211,,Stefan Aškovski,0,0,12,50,2,100
212,,Ivan Mamut,0,0,3.5,85.71,2,0
213,,Alexandru Mățan,0,0,11.83,85.92,4.83,0
214,,Erjon Hoxhallari,0,0,35.08,74.67,2.92,38.61
215,,Blerim Krasniqi,0.13,0.04,11.65,70.9,3.3,40
216,,Amine Benchaib,0.2,0.07,17.27,72.59,4.2,50
217,,Claudiu Petrila,0.11,0.11,19.55,75.5,6.42,29.17
218,,Stefan Purtić,0,0,16.77,75.69,2.23,37.5
219,,Ioan Filip,0.08,0.05,28.14,79.06,6.86,56.94
220,,Mario Bratu,0.05,0,9.76,77.56,3,38.46
221,,Simone Scuffet,0,0,27,51.42,2.44,42.52
222,,Adrian Mazilu,0,0.05,16,74.01,6.26,55.56
223,,Paul Arnold Garita,0.06,0.03,13.72,64.17,3.03,69.57
224,,Ion Gheorghe,0.17,0.1,18.63,77.46,4.47,58.18
225,,Marquinhos Pedroso,0.08,0,33.58,73.45,5.33,31.25
226,,Marius Antoche,0,0,41.26,80.23,2.37,36.51
227,,David Meza Colli,0.03,0,47.29,84.2,6.12,53.91
