#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
154,,Funsho Bamgboye,0,0.17,0,0,1,0.25
155,,Mário Camora,0,0.31,0,0,0.79,0.1
156,,Basilio Ndong,0,0.13,0,0,0.93,0.07
157,,Alexandru Tudorie,0,0.03,0,0,0.56,0.06
158,,Cornel Ene,0,0.08,0,0,1.23,0.23
159,,Jair,0,0.26,0,0,0.94,0.12
160,,Deian Sorescu,0,0.17,0,0,0.89,0
161,,Ljuban Crepulja,0,0.2,0,0,0.75,0.1
162,,Naser Aliji,0,0.22,0,0,0.64,0.31
163,,Dejan Boldor,0,0.08,0,0,1.2,0.04
164,,Mario Rondon,0,0,0,0,0.43,0.18
165,,Jonathan Rodriguez,0,0.13,0,0,0.61,0.13
166,,Dorinel Oancea,0,0.17,0,0,1,0.17
167,,Marcelo Lopes,0,0.08,0,0,0.58,0.22
168,,Rassambek Akhmatov,0,0.1,0,0,0.97,0.17
169,,Antonio Sefer,0,0,0,0,0.78,0.14
170,,Vlad Muțiu,2.78,0.22,0.22,0,1.11,0.11
171,,Cătălin Căbuz,2.71,0.21,0.21,0.03,1.15,0.12
172,,Andrei Gorcea,2.2,0.44,0.28,0.08,0.88,0.12
173,,Alexandru Greab,3.48,0.19,0.19,0,1.29,0.24
174,,Ovidiu Bic,0,0.24,0,0,0.67,0.15
175,,Tony Njiké,0,0.18,0,0,1.03,0.06
176,,Ivan Martić,0,0.39,0,0,0.78,0.09
177,,Florin Bejan,0,0.26,0,0,0.81,0.11
178,,Bautista Cascini,0,0.06,0,0,0.69,0.22
179,,Emmanuel Yeboah,0,0.1,0,0,0.19,0.1
180,,Plamen Iliev,2.5,0.31,0.31,0.06,1.06,0.13
181,,Eduard Pap,2.93,0.3,0.2,0.07,1.23,0.23
182,,Lovro Cvek,0,0.03,0,0,0.47,0.13
183,,Daniel Marius Serbanica,0,0.08,0,0,1.08,0
184,,Marco Dulca,0,0.04,0,0,1.08,0.17
185,,Mihai Căpățînă,0,0.1,0,0,0.53,0
186,,Giedrius Arlauskis,2,0.29,0.14,0,1,0
187,,Andrei Chindriş,0,0.14,0,0,0.82,0.23
188,,Hervin Ongenda,0,0,0,0,0.5,0
189,,Răzvan Began,3.75,0,0.25,0,0.75,0.75
190,,Ștefan Vlădoiu,0,0.07,0,0,0.7,0.1
191,,Eduard Florescu,0,0,0,0,0.33,0.1
192,,Cephas Malele,0,0,0,0,0.61,0
193,,Răzvan Onea,0,0.24,0,0,1.12,0.12
194,,Andreas Leitner,3.18,0.27,0.36,0.09,1.64,0.27
195,,Marius Constantin,0,0.26,0,0,0.91,0.09
196,,Jefferson Junior,0,0,0,0,0.67,0.17
197,,Grigore Ioan Turda,0,0.2,0,0,1.05,0.1
198,,Cătălin Golofca,0,0,0,0,0.17,0
199,,Juan Pablo Passaglia,0,0.06,0,0,0.81,0
200,,Márk Tamás,0,0.17,0,0,0.94,0.17
201,,Iustin Popescu,2.88,0.18,0,0,1.41,0.12
202,,Silviu Balaure,0,0.03,0,0,0.51,0.08
203,,Pavol Šafranko,0,0.03,0,0,0.63,0.13
204,,Antonio Jakoliš,0,0.06,0,0,0.88,0.06
205,,Alexandru Ioniță,0,0.03,0,0,0.53,0.06
206,,Florentin Matei,0,0,0,0,0.42,0
207,,Virgiliu Postolachi,0,0.03,0,0,0.78,0.22
208,,Ștefan Pănoiu,0,0.05,0,0,0.41,0.03
209,,Ante Roguljić,0,0,0,0,0.41,0.04
210,,Radoslav Dimitrov,0,0.22,0,0,0.74,0.15
211,,Stefan Aškovski,0,0,0,0,0,0
212,,Ivan Mamut,0,0,0,0,0,0
213,,Alexandru Mățan,0,0,0,0,0,0
214,,Erjon Hoxhallari,0,0.15,0,0,0.96,0.12
215,,Blerim Krasniqi,0,0.04,0,0,0.74,0.13
216,,Amine Benchaib,0,0,0,0,0.67,0.13
217,,Claudiu Petrila,0,0.03,0,0,0.58,0.11
218,,Stefan Purtić,0,0.08,0,0,0.85,0.08
219,,Ioan Filip,0,0.11,0,0,0.68,0.05
220,,Mario Bratu,0,0,0,0,0.62,0
221,,Simone Scuffet,2.35,0.26,0.18,0.03,0.91,0.18
222,,Adrian Mazilu,0,0,0,0,0.63,0.11
223,,Paul Arnold Garita,0,0.08,0,0,1.11,0.08
224,,Ion Gheorghe,0,0.07,0,0,0.4,0.17
225,,Marquinhos Pedroso,0,0.08,0,0,1.42,0.25
226,,Marius Antoche,0,0.42,0,0,0.63,0.05
227,,David Meza Colli,0,0.18,0,0,0.82,0.12
228,,Francois Marquet,0,0,0,0,0.14,0.07
229,,Dragoş Balauru,2.33,0.11,0.11,0,0.78,0.11
230,,Gabriel Iancu,0,0,0,0,0.25,0
231,,Daniel Florea,0,0.06,0,0,0.22,0.16
232,,Andreas Calcan,0,0.03,0,0,0.77,0.06
