#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
226,,Marius Antoche,1.21,1.26,0,3.74,0.05,0.58
227,,David Meza Colli,0.85,1.09,0,0.91,0,0.5
228,,Francois Marquet,0.29,0.21,0,0.21,0,0.21
229,,Dragoş Balauru,0.11,0,0,1.33,0.11,0
230,,Gabriel Iancu,0.5,0.21,0,0.21,0,0.38
231,,Daniel Florea,0.28,0.06,0,0.09,0,0.31
232,,Andreas Calcan,1.31,0.51,0.03,0.23,0,0.57
233,,Alexandru Crețu,1.12,0.26,0.06,0.85,0,0.53
234,,Robert Popa,0.05,0,0,0.57,0,0
235,,Modestas Vorobjovas,1.52,1.06,0,0.58,0,0.61
236,,Alexandru Mateiu,1.73,0.67,0,0.42,0,1.09
237,,David Kiki,1.92,0.97,0.03,1.47,0,0.82
238,,Mihai Roman II,0.63,0.13,0,0.59,0,0.22
239,,Sekou Camara,0.3,0.09,0,0.42,0,0.03
240,,Daniel Celea,1.59,1.29,0.06,4.74,0.06,0.47
241,,Takayuki Seto,1.54,0.94,0,0.77,0,0.6
242,,Matheus Mascarenhas,1.33,0.6,0,1.07,0,0.6
243,,Mimito Biai,1.27,0.82,0,0.27,0.09,1.09
244,,Erico da Silva,0.77,1.92,0,3.54,0,0.38
245,,Cosmin Atanase,0.91,0,0,0.09,0,0.45
246,,Jovan Marković,0.68,0.05,0,0.51,0,0.27
247,,Călin Popescu,0.97,0.47,0,0.37,0,0.47
248,,Giovanni,1.1,0,0,0.3,0,0.7
249,,David Lazar,0.07,0,0,0.6,0,0
250,,Georgi Pashov,2.19,1.31,0,1.63,0,0.69
251,,Carlo Casap,0.31,0.38,0,0.17,0,0.14
252,,Vitalie Damașcan,0.78,0.22,0,0.59,0,0.5
253,,Costinel Tofan,1.38,1.21,0.03,2.32,0,0.5
254,,Alexandru Ișfan,0.76,0.24,0,1.14,0,0.81
255,,Ștefan Târnovanu,0.03,0,0,0.32,0.05,0
256,,Petrişor Petrescu,0.88,0.35,0.03,0.41,0,0.35
257,,Claudiu Keșerü,0.58,0.15,0.04,0.5,0,0.19
258,,Liviu Antal,0.5,0.33,0,0.23,0,0.5
259,,Gabriel Eugen David,0.5,0,0,1,0,0
260,,Rachid Bouhenna,0.75,1.5,0,2.25,0,0.75
261,,George Micle,0,0,0.25,0.75,0,0
262,,Daniel Bîrligea,0.58,0.23,0,0.35,0,0.29
263,,Elvir Koljić,0.2,0.08,0,0.52,0,0.2
264,,Alexandru Iacob,2,2.25,0,2.5,0.13,0.38
265,,Valentin Coșereanu,0.65,0.04,0,0.09,0,0.17
266,,Rareș Sebastian Ispas,0.85,1.15,0,1.35,0,0.35
267,,Marko Vukčević,1.83,1.21,0.03,1.86,0,0.62
268,,Bogdan Țîru,0,0.4,0,0.6,0,0
269,,Cristian Ignat,0.67,0.33,0,2.67,0,0
270,,Jayson Papeau,0.9,0.25,0,0.1,0,0.85
271,,Christopher Braun,1.33,0.9,0.03,1.43,0.03,0.23
272,,Marius Cioiu,1.11,0.26,0,0.04,0,0.59
273,,Mihai Roman,0.61,0,0,0.39,0,0.17
274,,Billel Omrani,0.5,0.14,0,0.41,0,0.32
275,,Terrence Tisdell,0.25,0,0,0,0,0.5
276,,Ovidiu Popescu,0.47,0.59,0,0.59,0,0.65
