#,Team,Name,Saves,Clean sheets,Penalties faced,Goals conceded inside the box,Penalties saved,Goals conceded outside the box
163,,Hugo Mallo,0,0.19,0,1.04,0,0.27
164,,Jose Antonio de la Rosa,0,0,0,0.5,0,0
165,,Rober González,0,0,0,0,0,0
166,,Sergio Camello,0,0,0,0.92,0,0.08
167,,Daniel Vivian,0,0.28,0,0.76,0,0.07
168,,Yannick Carrasco,0,0,0,0.69,0,0.03
169,,Fernando,0,0.09,0,0.86,0,0.09
170,,Víctor Ruiz,0,0.1,0,0.5,0,0.3
171,,Óscar Rodríguez,0,0.03,0,0.67,0,0.27
172,,Thomas Lemar,0,0,0,0.3,0,0.07
173,,Marcão,0,0.2,0,0.6,0,0.4
174,,Vinícius Souza,0,0.12,0,1.24,0,0.15
175,,Nacho Fernández,0,0.26,0,0.48,0,0.04
176,,Rodri Sánchez,0,0.03,0,0.37,0,0.13
177,,Nabil Fekir,0,0.07,0,0.53,0,0.13
178,,Jon Ander Olasagasti,0,0,0,0,0,0
179,,Diego Lopez,0,0,0,0.6,0,0
180,,Fernando Pacheco,3.47,0.18,0.29,1.88,0.06,0.18
181,,Valentin Castellanos,0,0,0,1.03,0,0.14
182,,Alfonso Espino,0,0.33,0,0.97,0,0.22
183,,Ansu Fati,0,0.03,0,0.11,0,0.03
184,,Jawad El Yamiq,0,0.08,0,1.12,0,0.2
185,,Giorgi Mamardashvili,2.76,0.18,0.13,1.05,0,0.13
186,,Gorka Guruzeta,0,0,0,0.5,0,0.03
187,,Raúl de Tomás,0,0,0,0.58,0,0.11
188,,Papu Gómez,0,0.05,0,0.58,0,0.21
189,,Rubén García,0,0,0,0.34,0,0.1
190,,Santi Comesaña,0,0.06,0,0.86,0,0.09
191,,Andrés Guardado,0,0.12,0,0.69,0,0.19
192,,Álex Moreno,0,0.4,0,0.47,0,0.4
193,,Franco Cervi,0,0.06,0,0.78,0,0.25
194,,Samu Castillejo,0,0,0,0.48,0,0.12
195,,Andriy Lunin,1.71,0.43,0,1,0,0
196,,Oihan Sancet,0,0.03,0,0.78,0,0.03
197,,Manu Morlanes,0,0,0,0.69,0,0.13
198,,Sergio Escudero,0,0.13,0,0.87,0,0.04
199,,Cenk Özkaçar,0,0.24,0,1,0,0.06
200,,Julen Agirrezabala,1.63,0.25,0,0.75,0,0
201,,El Bilal Touré,0,0,0,1,0,0.1
202,,Justin Kluivert,0,0,0,0.77,0,0.04
203,,Kiko Femenía,0,0.1,0,0.6,0,0.1
204,,Iván Sánchez,0,0,0,0.64,0,0.12
205,,Saúl Ñíguez,0,0.03,0,0.35,0,0.1
206,,Pablo Maffeo,0,0.26,0,1.03,0,0.11
207,,Nico Williams,0,0.14,0,0.78,0,0.06
208,,Kike Pérez,0,0.11,0,1.14,0,0.08
209,,Jesús Corona,0,0,0,0.5,0,0
210,,Alexander Isak,0,0,0,1.5,0,0
211,,Isco,0,0,0,1.17,0,0
212,,Jorge Cuenca,0,0.1,0,0.7,0,0
213,,Álvaro Odriozola,0,0,0,0,0,0
214,,Federico Fernández,0,0,0,0,0,2
215,,Dominik Greif,5,0,0,3,0,0
216,,Kike Barja,0,0.04,0,0.63,0,0.04
217,,Dani García,0,0.04,0,0.72,0,0.04
218,,Óscar de Marcos,0,0.19,0,0.89,0,0.03
219,,Jon Moncayola,0,0.05,0,0.86,0,0.11
220,,Ferran Torres,0,0.12,0,0.33,0,0
221,,Youssef En-Nesyri,0,0.06,0,0.58,0,0.13
222,,Omar Alderete,0,0.2,0,0.84,0,0.12
223,,Rodrigo Ely,0,0.08,0,1.56,0,0.14
224,,Luiz Felipe,0,0.22,0,0.83,0,0.17
225,,Arnau Martínez,0,0.06,0,1.3,0,0.18
226,,Samuel Costa,0,0.03,0,1.38,0,0.09
227,,Gabriel Paulista,0,0.05,0,1,0,0.14
228,,Unai Simón,2.26,0.29,0.1,1.1,0,0.1
229,,Álvaro Negredo,0,0,0,0.76,0,0.05
230,,Hugo Guillamón,0,0.16,0,0.76,0,0.16
231,,Pere Milla,0,0,0,1.23,0,0.19
232,,Fran García,0,0.24,0,1.26,0,0.13
233,,Kike Salas,0,0,0,0.67,0,0.17
234,,Paul Akouokou,0,0.08,0,0.25,0,0.25
235,,Javi Sánchez,0,0.16,0,1.25,0,0.09
236,,Álvaro Rodríguez,0,0,0,0.33,0,0
237,,Alfonso Pedraza,0,0.23,0,0.58,0,0
238,,Lucas Pérez,0,0.14,0,0.79,0,0.21
239,,Luis Pérez,0,0.17,0,1.44,0,0.17
240,,Domingos Duarte,0,0.26,0,1.1,0,0.19
241,,Jon Pacheco,0,0.24,0,0.47,0,0.29
242,,Ander Guevara,0,0,0,0.13,0,0
243,,Joaquín Fernández,0,0.19,0,1.37,0,0.19
