#,Team,Name,Appearances
308,,Srđan Babić,34
309,,Umar Sadiq,5
310,,Jorge Meré,10
311,,Rubén Alcaraz,31
312,,Óliver Torres,32
313,,Alex Telles,27
314,,Ayoze Pérez,19
315,,Carles Pérez,35
316,,Ronaël Pierre-Gabriel,8
317,,Giovanni González,15
318,,Aimar Oroz,31
319,,Miguel Gutiérrez,34
320,,José Luis Morales,29
321,,Roque Mesa,29
322,,José Ángel Carmona,19
323,,Yangel Herrera,20
324,,Unai García,21
325,,Jaume Costa,32
326,,Ander Herrera,17
327,,Stefan Mitrović,22
328,,Edgar González,25
329,,Álex Fernández,28
330,,Sergi Guardiola,31
331,,Rodrigo Riquelme,34
332,,Aitor Paredes,16
333,,Ivan Balliu,37
334,,Johan Mojica,20
335,,Pierre-Emerick Aubameyang,1
336,,Hugo Sotelo,1
337,,Carlos Domínguez,3
338,,Aleix Garrido,1
339,,Moi Parra,1
340,,Adnan Januzaj,2
341,,Franco Russo,3
342,,Iker Benito,4
343,,Kike García,35
344,,Unai López,34
345,,Óscar Mingueza,21
346,,Javi Puado,37
347,,Karim Rekik,16
348,,Tino Kadewere,15
349,,Sergio León,29
350,,Juan Cruz,27
351,,Darko Brašanac,25
352,,Matheus Cunha,11
353,,Darwin Machís,11
354,,Benjamin Lecomte,10
355,,Renato Tapia,28
356,,Haris Seferović,18
357,,Ferland Mendy,18
358,,Miguel Rodríguez,7
359,,Pedro Bigas,28
360,,César Montes,20
361,,Alejandro Pozo,30
362,,Bernardo Espinosa,20
363,,Bono,25
364,,Raúl García,35
365,,Willian José,28
366,,Íñigo Eguaras,25
367,,Dyego Sousa,20
368,,Iván Villar,19
369,,Matija Nastasić,14
370,,Erik Lamela,32
371,,Rubén Peña,20
372,,Kasper Dolberg,4
373,,Toni Lato,24
374,,Borja Mayoral,35
375,,Gonzalo Plata,34
376,,Iván Fresneda,22
377,,Ruben Sanchez Saez,18
378,,Franck Kessié,28
379,,César de la Hoz,25
380,,Luiz Henrique,33
381,,Juan Cala,3
382,,Francisco Portillo,27
383,,Alberto Moreno,24
