#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Was fouled,Fouls,Total duels won %
230,,Hugo Guillamón,0.2,0,50,1.36,1.4,46.58
231,,Pere Milla,0.23,0,46.77,1.42,0.61,49.18
232,,Fran García,0.03,0,25.93,0.68,0.58,54.61
233,,Kike Salas,0.17,0.17,60,0.17,0.67,50
234,,Paul Akouokou,0.25,0,46.15,0.33,0.58,55.77
235,,Javi Sánchez,0.34,0,50.55,0.28,1.06,53.85
236,,Álvaro Rodríguez,0,0,33.33,0,0.5,28.57
237,,Alfonso Pedraza,0.19,0,50,0.58,0.77,48.82
238,,Lucas Pérez,0.14,0,20,0.29,0.36,30.95
239,,Luis Pérez,0.11,0,30.43,0.89,0.67,59.52
240,,Domingos Duarte,0.29,0.03,60.26,0.68,1.03,58.93
241,,Jon Pacheco,0.12,0,56.6,0.65,1.06,55.66
242,,Ander Guevara,0.25,0,60,0.38,0.63,53.85
243,,Joaquín Fernández,0.15,0,64.63,0.41,0.59,64.29
244,,Asier Illarramendi,0.21,0,44.44,0.54,1.04,48.32
245,,Óscar Plano,0.09,0,40.48,1.48,0.7,50.18
246,,Lucas Torró,0.27,0,63.24,0.94,1.94,53.01
247,,Nemanja Maksimović,0.1,0,60,0.28,0.86,54.8
248,,Fran Beltrán,0.11,0,27.27,0.44,0.72,38.18
249,,Edinson Cavani,0.24,0,41.67,0.32,0.72,35.45
250,,Carlos Clerc,0.16,0,46.51,0.97,1,58.91
251,,Selim Amallah,0.29,0.14,46.67,1.14,1.43,49.4
252,,Axel Witsel,0.06,0.03,53.25,0.45,0.61,57.65
253,,Jesús Navas,0.16,0,34.88,1.03,0.22,55.71
254,,Daniel Carvajal,0.22,0.04,52.63,0.56,0.81,52.8
255,,Álex Sola,0.1,0,70,0.8,0.3,66.1
256,,Agustín Marchesín,0.16,0,100,0.21,0,87.5
257,,Zouhair Feddal,0.13,0,50,0.25,0.5,48
258,,Abdessamad Ezzalzouli,0.07,0.07,15,1.21,0.96,48.83
259,,Stole Dimitrievski,0.11,0,90,0.08,0,86.67
260,,Dani Rodríguez,0.23,0,22.92,0.94,1.4,40
261,,Juanmi Latasa,0.11,0,55.28,0.61,1.17,49.71
262,,Théo Bongonda,0.06,0,51.85,1.19,0.48,50.42
263,,Damián Suárez,0.25,0,48.39,0.61,1.54,46.73
264,,Munir El Haddadi,0.14,0,50,1.21,0.5,49.14
265,,Alexander Sørloth,0.12,0,52.63,0.47,0.94,39.05
266,,Léo Baptistão,0.25,0,40.3,0.82,1.07,44.04
267,,Joaquín,0.09,0,16.67,0.36,0.05,53.49
268,,Malcom Ares,0,0,100,1,0.25,74.07
269,,Curro,0.5,0,0,0,0.5,33.33
270,,Manu Bueno,0,0,25,1,0.5,55
271,,Jon Magunazelaia,0,0,0,0.5,0.5,37.5
272,,Williot Swedberg,0.25,0,0,0.25,0.25,71.43
273,,Lucas Rosa,0.18,0,55.56,0.65,1.12,57.36
274,,Yan Couto,0.12,0,12.5,0.6,0.48,51.11
275,,Ilaix Moriba,0.17,0.08,48.08,1.38,1.33,54.12
276,,Borja García,0.09,0,46.15,1.82,0.36,56
277,,Martin Braithwaite,0.16,0.03,44.86,1.35,0.65,47.41
278,,Íñigo Lekue,0.05,0,68,0.3,0.75,58
279,,Fali,0.24,0,50.94,0.72,0.64,56.59
280,,Joan Jordán,0.35,0,47.83,0.52,1.48,43.8
281,,Lucas Olaza,0.13,0,47.37,0.87,0.52,53.96
282,,Lisandro Magallán,0,0.07,47.22,0.36,1.07,56
283,,Óscar Valentín,0.32,0,37.5,1.47,2.21,44.9
284,,Ángel Correa,0.06,0.03,23.81,0.57,0.54,35.71
285,,Lucas Boyé,0.2,0.03,46.67,1.29,1.74,44.16
286,,Tete Morente,0.16,0,62.5,0.66,1,47.64
287,,Florian Lejeune,0.13,0.1,64.13,0.29,0.74,60.61
288,,Ramón Terrats,0.04,0,30,0.88,0.71,45.99
289,,Ander Barrenetxea,0.17,0,42.31,0.61,1,45.98
290,,Luis Javier Suárez,0.19,0.05,39.13,1.05,1.71,37.45
291,,Andoni Gorosabel,0.11,0,36.54,0.63,0.93,49.71
292,,Felipe,0,0,50,1,1.33,50
293,,Javier Hernández,0.12,0,50,0.84,0.36,61.76
294,,Lucas Ocampos,0.37,0,63.83,1.26,0.79,49.75
295,,Fernando Calero,0.22,0,54.69,0.33,0.81,55.83
296,,Gonzalo Melero,0.19,0,46.88,1.11,0.89,46.73
297,,Manu Vallejo,0,0,0,0.86,0.14,37.93
298,,Nicolás González,0.04,0,64.29,0.5,1.27,53.07
299,,Álex Centelles,0,0.07,29.17,0.33,0.47,48.78
300,,Cristhian Stuani,0.25,0,46.67,0.72,1.22,41.61
301,,Jørgen Strand Larsen,0.13,0,47.19,1.34,1.06,44.36
302,,Francis Coquelin,0.13,0,60,0.44,0.69,51.56
303,,Juan Iglesias,0.25,0,44.12,0.66,1.38,48.67
304,,Aitor Ruibal,0.15,0.04,45.45,0.69,0.85,51.34
305,,Leandro Cabrera,0.25,0.06,62.38,0.63,0.91,60.54
306,,Mohamed-Ali Cho,0.05,0,25,0.63,0.58,43.81
307,,Sergi Gómez,0,0.07,55,0.28,0.31,62.02
308,,Srđan Babić,0.15,0,61.02,0.26,0.71,54.37
309,,Umar Sadiq,0.2,0,31.58,0.6,2.4,26.23
310,,Jorge Meré,0,0,66.67,0.3,0.1,69.05
311,,Rubén Alcaraz,0.32,0,50.85,1.06,1.45,45.04
312,,Óliver Torres,0.06,0,28,1.41,0.94,41.57
313,,Alex Telles,0.22,0,61.9,0.52,0.93,52.82
314,,Ayoze Pérez,0.16,0,25,1.53,1.68,44
315,,Carles Pérez,0.11,0,13.04,1.06,1,39.13
316,,Ronaël Pierre-Gabriel,0,0.13,66.67,0.5,0.5,61.7
317,,Giovanni González,0.33,0,52.17,1.13,1.07,52.48
318,,Aimar Oroz,0.19,0,30.36,1.97,1.16,44.7
319,,Miguel Gutiérrez,0.18,0,36,0.71,0.68,49.77
320,,José Luis Morales,0.07,0,33.33,0.34,0.21,37.39
321,,Roque Mesa,0.31,0.03,32.35,0.86,1.31,39.39
322,,José Ángel Carmona,0.37,0.11,32.14,0.68,1.74,42.47
323,,Yangel Herrera,0.2,0,36.73,1.1,1.7,42.86
324,,Unai García,0.29,0.05,56.72,0.19,1.05,53.03
325,,Jaume Costa,0.34,0,51.72,1,1.38,52.59
326,,Ander Herrera,0.24,0.06,58.33,0.65,1.18,45.56
327,,Stefan Mitrović,0.18,0,70.37,0.14,0.59,63.22
328,,Edgar González,0.16,0.08,59.76,0.52,0.92,56.88
329,,Álex Fernández,0,0,28.57,0.5,0.25,36.97
330,,Sergi Guardiola,0.1,0,30.77,0.97,0.68,41.09
331,,Rodrigo Riquelme,0.03,0,40.91,1.06,0.79,42.66
332,,Aitor Paredes,0.19,0,75,0.13,0.75,55.56
333,,Ivan Balliu,0.16,0,43.94,0.92,1.14,53.85
334,,Johan Mojica,0.1,0,68.75,0.85,0.35,61.29
335,,Pierre-Emerick Aubameyang,0,0,0,0,0,0
336,,Hugo Sotelo,0,0,0,0,0,0
337,,Carlos Domínguez,0,0,100,0,0,60
338,,Aleix Garrido,0,0,0,0,0,66.67
339,,Moi Parra,0,0,0,0,0,100
340,,Adnan Januzaj,0,0,0,1,0.5,50
341,,Franco Russo,0,0,60,0.67,0,63.64
342,,Iker Benito,0,0,20,0.5,0.5,40
343,,Kike García,0.14,0,43.14,0.74,0.74,44.9
344,,Unai López,0.06,0,29.17,0.5,0.65,41.46
345,,Óscar Mingueza,0.1,0,50,0.38,0.9,56.78
346,,Javi Puado,0.11,0,33.87,0.68,0.43,40.83
347,,Karim Rekik,0.13,0,66.67,0.31,1.25,51.9
348,,Tino Kadewere,0.07,0,60,0.2,0.4,51.09
349,,Sergio León,0,0.03,27.27,0.76,0.28,37.84
350,,Juan Cruz,0.26,0,45,0.33,0.63,50
351,,Darko Brašanac,0.2,0,50,0.56,0.64,52.99
352,,Matheus Cunha,0.18,0,17.65,0.55,0.64,38.78
353,,Darwin Machís,0.09,0,25,1.09,0.91,39.44
354,,Benjamin Lecomte,0.1,0.1,0,0,0.1,0
355,,Renato Tapia,0.21,0.04,59.09,0.57,1.04,54.05
356,,Haris Seferović,0.17,0,50,0.39,0.22,48.78
357,,Ferland Mendy,0.11,0,46.67,1,0.22,59.09
358,,Miguel Rodríguez,0,0,11.11,1.14,0.86,38
359,,Pedro Bigas,0.11,0.07,68.85,0.57,0.61,65.79
360,,César Montes,0.35,0,63.21,0.3,0.9,57.14
361,,Alejandro Pozo,0.07,0,34.29,0.47,0.5,47.47
362,,Bernardo Espinosa,0.25,0,65.85,0.5,0.6,58.54
363,,Bono,0.08,0,66.67,0.04,0,61.54
364,,Raúl García,0.11,0,51.25,0.54,0.4,50.66
365,,Willian José,0.04,0,44.44,0.21,0.32,41.25
366,,Íñigo Eguaras,0.24,0,37.5,0.32,0.28,46.43
367,,Dyego Sousa,0.05,0,51.92,0.6,0.5,50.47
368,,Iván Villar,0,0,66.67,0.11,0,66.67
369,,Matija Nastasić,0.21,0,60,0,0.86,47.5
370,,Erik Lamela,0.25,0.03,34.78,0.66,1.84,37.54
371,,Rubén Peña,0.1,0.05,41.18,0.7,1.3,47.31
372,,Kasper Dolberg,0,0,42.86,1,0.5,47.37
373,,Toni Lato,0.04,0,17.39,0.38,0.5,48.86
374,,Borja Mayoral,0.11,0,30,1.09,0.46,33.95
375,,Gonzalo Plata,0.03,0,27.87,1.21,0.65,44.6
376,,Iván Fresneda,0.14,0,30.77,1.14,0.59,53.04
377,,Ruben Sanchez Saez,0.06,0,75,0.39,1,56.14
378,,Franck Kessié,0.14,0,46.67,0.57,0.61,48.45
379,,César de la Hoz,0.24,0,46.3,0.48,0.84,50.97
380,,Luiz Henrique,0.18,0,40.58,1.24,0.76,46.49
381,,Juan Cala,0,0,42.86,1.67,0.33,58.82
382,,Francisco Portillo,0.04,0,50,0.11,0.07,45.45
383,,Alberto Moreno,0.29,0,54.55,0.38,1.08,44.64
384,,Josan,0.12,0,41.67,0.69,0.38,53.08
385,,Manuel Sánchez,0.1,0,40.54,0.32,0.84,44.88
386,,Arnaut Danjuma,0,0,0,0.7,0.2,44.83
387,,José Carlos Lazo,0,0,0,0.55,0.27,48.15
388,,Martin Hongla,0.31,0.13,30.43,0.19,1.31,42.53
389,,Ismaila Ciss,0.13,0,54.84,0.41,1.19,47.15
390,,Enzo Roco,0.18,0.05,70.15,0.45,1.55,60.53
391,,Álvaro Fernández,0.09,0,75,0.18,0,66.67
392,,Iván Martín,0.08,0,42.86,0.54,0.75,36.59
393,,Gonçalo Paciência,0.08,0.04,55.77,0.68,0.76,45.11
394,,Aihen Muñoz,0.09,0,45.83,0.7,1.26,45.19
395,,Djené,0.3,0.03,64.29,1.15,1.48,57.03
396,,Pape Gueye,0.13,0.19,52.78,2.13,1.88,56.52
397,,Luca Koleosho,0,0,0,0,0.25,50
398,,Clément Grenier,0.33,0,25,0.62,1,44.32
399,,Kaiky,0.38,0,37.5,0.23,0.54,43.24
400,,Haissem Hassan,0,0,50,0.5,0,50
401,,Alexander Callens,0.17,0,0,0.17,0.5,44.44
402,,Iddrisu Baba,0.17,0,57.58,1.03,1.07,53.17
403,,Rafa Mir,0.04,0,46.84,0.42,0.88,37.84
404,,Gastón Álvarez,0.36,0.05,49.21,0.55,1.23,50.57
405,,Mikel Oyarzabal,0.04,0,34.09,0.7,0.65,36.69
406,,Jaime Mata,0.28,0,40,0.39,0.94,36.78
407,,Marcos André,0.12,0.06,40,0.71,0.53,51.47
408,,Javier Guerra,0,0,42.86,0.7,1.3,39.81
409,,Pablo Marín,0.1,0,36.36,0.2,1.2,40.38
410,,Iker Munoz,0,0,66.67,0.5,0.63,50
411,,Pablo Barrios,0.19,0,40,0.57,0.33,54.17
412,,Dennis Hadžikadunić,0.13,0,55.17,0.25,0.75,58.7
413,,Rubén Sobrino,0.33,0,47.24,1.61,1.52,46.9
414,,Fidel,0.22,0,25,0.7,0.37,38.33
415,,Sergio Reguilón,0.09,0.09,61.54,0.55,0.36,61.54
416,,Cristhian Mosquera,0,0,60,0.33,0,72.73
417,,Carlos Martín,0.25,0,0,0,0.5,40
418,,Fede San Emeterio,0.42,0,43.4,0.67,1.76,41.9
419,,Víctor Chust,0.21,0,48.48,0.29,0.79,46.88
420,,Oier Zarraga,0.19,0,42.86,0.46,0.65,43.48
421,,Keidi Bare,0,0,35.71,0.72,0.61,52.24
422,,Helibelton Palacios,0.29,0,45.65,0.79,1.25,53.8
423,,Thomas Delaney,0.38,0,81.82,0.63,0.5,62.07
424,,Valery Fernández,0.04,0,66.67,0.64,0.24,61.45
