#,Team,Name,Goals,Successful dribbles %,Total shots,Headed goals,Big chances missed,Set piece conversion %
55,,Isi Palazón,0.24,49.5,2.54,0,0.16,0
56,,Takefusa Kubo,0.26,49.49,2.06,0,0.11,0
57,,Lucas Vázquez,0.17,73.68,0.61,0,0.04,0
58,,Ronald Araújo,0,76.92,0.82,0,0.18,0
59,,Nicolas Jackson,0.46,67.65,1.58,0,0.27,0
60,,Reinildo Mandava,0,33.33,0.27,0,0.05,0
61,,Marcos Acuña,0.1,53.06,0.7,0.03,0,0
62,,Vedat Muriqi,0.43,44.44,2.17,0.14,0.31,0
63,,Viktor Tsygankov,0.16,62.96,1,0,0,0
64,,Juan Foyth,0.04,60,0.58,0.04,0.08,0
65,,David Silva,0.07,50,1.07,0,0.25,0
66,,Carlos García,0,100,0,0,0,0
67,,Marko Dmitrović,0,0,0,0,0,0
68,,Iñigo Martínez,0.07,0,0.67,0,0.13,2.22
69,,Iker Muniain,0,72.22,0.93,0,0.17,0
70,,Álex Remiro,0,0,0,0,0,0
71,,Álvaro García,0.14,45.65,1.49,0,0.06,0
72,,Sergio Canales,0.13,59.57,1.26,0,0.06,0
73,,Édgar Badía,0,0,0,0,0,0
74,,Marcos Llorente,0.05,48,1.09,0,0.05,0
75,,Geoffrey Kondogbia,0,71.43,0.55,0,0,0
76,,Juan Miranda,0.14,56.25,1,0,0.19,0
77,,João Félix,0.29,28.57,1.86,0.07,0.36,0
78,,David Soria,0,0,0,0,0,0
79,,Yeray Álvarez,0.04,85.71,0.29,0.04,0,0
80,,Yuri Berchiche,0.03,44.44,0.97,0,0,0
81,,Gabri Veiga,0.31,53.42,1.72,0,0.11,0
82,,Nemanja Gudelj,0.09,60,1.12,0,0.06,0
83,,Gerard Moreno,0.33,59.18,2.05,0,0.62,0
84,,Iza Carcelén,0,70,0.26,0,0,0
85,,Luka Modrić,0.12,46.34,0.91,0,0.03,0
86,,José Copete,0.04,90.48,0.21,0.04,0.04,0
87,,Luis Milla,0,85.71,0.3,0,0,0
88,,Raúl Albiol,0,57.14,0.08,0,0,0
89,,André Almeida,0.06,59.21,0.68,0,0.03,0.98
90,,Mario Hermoso,0.12,65,0.58,0.04,0.04,0
91,,Anuar,0.33,100,1,0,0.33,0
92,,Héctor Bellerín,0,75,0,0,0,0
93,,David García,0.06,100,0.47,0.06,0,0
94,,Rui Silva,0,100,0,0,0,0
95,,Sergi Roberto,0.17,55.56,0.78,0,0.09,0
96,,Dani Ceballos,0,64.52,0.6,0,0,0
97,,Suso,0.08,65.79,0.96,0,0.04,0
98,,William Carvalho,0.09,64.44,0.79,0,0.06,0
99,,Jan Oblak,0,100,0,0,0,0
100,,Robin Le Normand,0,100,0.36,0,0,0
101,,Adrián Embarba,0.13,46.73,1.67,0,0.07,0.26
102,,Fernando Martínez,0,100,0,0,0,0
103,,Eric García,0.04,50,0.29,0,0,0
104,,Ivo Grbić,0,0,0,0,0,0
105,,Alejandro Baena,0.17,51.92,1.77,0.03,0.09,0.95
106,,Alex Collado,0.07,50,1.13,0,0.07,0
107,,Omar Mascarell,0,67.74,0.32,0,0,0
108,,Samuel Chukwueze,0.16,53.09,1.62,0,0.14,0
109,,Unai Núñez,0,84.62,0.42,0,0,0
110,,José Gragera,0.11,0,0.44,0,0,0
111,,Eray Cömert,0.04,100,0.43,0,0,0
112,,Martín Zubimendi,0.03,47.37,0.36,0,0.06,0
113,,Monchu,0.09,58.82,1.18,0.03,0.03,0
114,,Álvaro Aguado,0.03,59.09,0.59,0,0,0
115,,Alejandro Catena,0.03,100,0.4,0.03,0,0
116,,Youssouf Sabaly,0.04,59.38,0.52,0,0,0
117,,Luis Hernández,0,100,0.2,0,0,0
118,,Fernando Medrano,0,0,0,0,0,0
119,,Paulo Gazzaniga,0,100,0,0,0,0
120,,Germán Pezzella,0,66.67,0.32,0,0.03,0
121,,Marcos Alonso,0.04,100,0.25,0.04,0.04,0
122,,Aridane Hernández,0,100,0.22,0,0,0
123,,Álex Berenguer,0.11,45.68,1.51,0,0.11,0
124,,Álvaro Morata,0.36,55.56,1.97,0.03,0.44,0
125,,Iñaki Williams,0.28,49.47,2.36,0.06,0.39,0
126,,Thierry Correia,0,46.43,0.22,0,0,0
127,,Mauro Arambarri,0,100,0.62,0,0,0
128,,Samuel Lino,0.16,51.46,2.53,0,0.18,0
129,,Oriol Romeu,0.06,95.24,0.73,0.03,0.03,0
130,,Cyle Larin,0.42,40,2.68,0.05,0.42,0
131,,Edu Expósito,0.07,61.11,0.68,0,0,0
132,,Alejandro Balde,0.03,58.14,0.58,0,0.06,0
133,,Martin Valjent,0,0,0.2,0,0,0
134,,Ante Budimir,0.26,54.84,1.87,0.13,0.13,0
135,,Lázaro,0.32,53.57,1.32,0,0.16,0
136,,Predrag Rajković,0,83.33,0,0,0,0
137,,Koke,0,61.9,0.48,0,0.03,0
138,,Yéremy Pino,0.11,58.54,1.39,0,0.31,0
139,,Gavi,0.06,50.94,0.78,0,0.06,0
140,,Nahuel Molina,0.12,46.67,0.64,0,0.09,0
141,,Mouctar Diakhaby,0.1,55.56,0.72,0.07,0.07,0
142,,Borja Iglesias,0.43,44.44,1.83,0,0.31,0
143,,Santiago Bueno,0,100,0.38,0,0,0
144,,Eduardo Camavinga,0,60.32,0.49,0,0,0
145,,Igor Zubeldia,0.03,100,0.19,0.03,0,0
146,,Aïssa Mandi,0,50,0.1,0,0.05,0
147,,Diego Rico,0,59.09,0.45,0,0,0
148,,Ivan Rakitić,0.03,50,1,0,0.06,0
149,,Étienne Capoue,0.11,58.49,0.93,0,0.11,0
150,,Stefan Savić,0,100,0.09,0,0.05,0
151,,Chimy Ávila,0.28,54.84,2.31,0.14,0.21,0
152,,David Alaba,0.04,75,0.61,0,0.04,0.87
153,,Memphis Depay,0.5,43.75,1.7,0,0.5,0
154,,Pepe Reina,0,100,0,0,0,0
155,,Sergio Herrera,0,100,0,0,0,0
156,,Mikel Vesga,0.08,55.56,0.78,0,0.08,0
157,,Antonio Rüdiger,0.03,75,0.67,0,0.03,0
158,,Chris Ramos,0.07,42.11,2.07,0,0.2,0
159,,Iñigo Ruiz de Galarreta,0,59.38,0.33,0,0,0
160,,Joseph Aidoo,0.09,80,0.4,0.09,0,0
161,,Javi Galán,0,54.14,0.35,0,0.03,0
