#,Team,Name,Goals,Successful dribbles %,Total shots,Headed goals,Big chances missed,Set piece conversion %
483,,Sergio Arribas,0,0,0.5,0,0,0
484,,Loren Morón,0,0,0,0,0,0
485,,Beñat Turrientes,0,50,0,0,0,0
486,,Ángel Rodríguez,0.06,33.33,0.76,0,0.24,0
487,,Roger Martí,0.04,61.54,0.81,0,0.27,0
488,,Abdón Prats,0.04,37.5,0.23,0.04,0.08,0
489,,Ángel Algobia,0,66.67,0.27,0,0,0
490,,Robert Navarro,0,43.75,0.71,0,0.06,0
491,,Salvi Sánchez,0,33.33,0.38,0,0.04,0
492,,Josep Chavarría,0,46.67,0.13,0,0,0
493,,Iván Alejo,0,32.43,0.74,0,0,0
494,,Manu Trigueros,0,40,0.35,0,0,0
495,,Juan Cruz,0.17,50,0.83,0,0,0
496,,Pol Lirola,0.08,41.18,0.08,0,0,0
497,,Eden Hazard,0,50,0.5,0,0.33,0
498,,Ander Capa,0,66.67,0,0,0,0
499,,Diego Moreno,0,27.27,0.45,0,0,0
500,,Jesús Vázquez,0,35.71,0.6,0,0,0
501,,Aritz Elustondo,0,62.5,0.32,0,0.04,0
502,,Toni Villa,0.04,34.72,0.65,0,0,0
503,,Joel Roca Casals,0,38.46,0.8,0,0,0
504,,Omar El Hilali,0,0,0,0,0,0
505,,Shon Weissman,0.07,50,1.2,0,0.33,0
506,,Abdul Mumin,0,55.56,0.38,0,0,0
507,,Radamel Falcao,0.07,13.33,0.78,0,0.15,0
508,,Lautaro Blanco,0,43.48,0.06,0,0,0
509,,Augusto Solari,0,25,0.17,0,0.08,0
510,,Jesús Vallejo,0,0,1,0,1,0
511,,Mamady Diarra,0,33.33,1.5,0,0,0
512,,Roger Martínez,0,0,1,0,0,0
513,,Casemiro,0,0,0,0,0,0
514,,Nabil Touaizi,0,0,0,0,0,0
515,,Carlos Álvarez,0,0,0,0,0,0
516,,Iván Romero,0,0,0,0,0,0
517,,Diego Mariño,0,0,0,0,0,0
518,,Babatunde Akinsola,0,0,0,0,0,0
519,,Javi Llabrés,0,0,0,0,0,0
520,,Alberto del Moral,0,0,0,0,0,0
521,,Roberto Arroyo,0,100,0,0,0,0
522,,Fran Delgado,0,0,0,0,0,0
523,,Matt Doherty,0,0,0,0,0,0
524,,Pablo Durán,0,33.33,0,0,0,0
525,,Raúl Parra,0,0,0,0,0,0
526,,Kevin Vázquez,0,100,0,0,0,0
527,,Joseba Zaldúa,0,37.5,0.1,0,0,0
528,,Raúl Guti,0,38.46,0.71,0,0.07,0
529,,Diego González,0,33.33,0.38,0,0.13,0
530,,Tomás Alarcón,0,0,0.5,0,0,0
531,,Pol Lozano,0,0,0,0,0,0
532,,Amath Ndiaye,0.07,46.67,0.82,0,0.18,0
533,,Dani Gómez,0,33.33,0,0,0,0
534,,José Pozo,0,33.33,0.13,0,0,0
535,,Unai Vencedor,0,50,0.3,0,0.2,0
536,,Fernando Niño,0,0,0.33,0,0,0
537,,Mikel Balenziaga,0,100,0.33,0,0,0
538,,David Torres,0,100,0.14,0,0.14,0
539,,Kenedy,0,30.77,0.5,0,0.08,0
540,,Antonio Sánchez,0,46.15,0.38,0,0.03,0
541,,Juan Narváez,0,50,0.6,0,0,0
542,,Youba Diarra,0,0,0,0,0,0
543,,Maximiliano Gómez,0,0,1,0,0,0
544,,Ludwig Augustinsson,0,0,0,0,0,0
545,,John Nwankwo,0,71.43,0.14,0,0,0
546,,Awer Mabil,0,50,0.6,0,0.2,0
547,,Jordan Amavi,0,0,0,0,0,0
548,,Mickaël Malsa,0,100,0,0,0,0
549,,Abner Vinícius,0,30,0.38,0,0.23,0
550,,Sekou Gassama,0,0,2,0,1,0
551,,Fabrizio Angileri,0,40,0.2,0,0,0
552,,Ángel Alarcón,0,0,0.25,0,0,0
553,,Marko Milovanović,0,0,0.5,0,0,0
554,,Mamadou Fall,0,0,0,0,0,0
555,,Axel Werner,0,100,0,0,0,0
556,,Álvaro Giménez,0,0,0,0,0,0
557,,Gonzalo Verdú,0.06,0,0.56,0,0.06,0
558,,Wassim Keddari,0,0,0,0,0,0
559,,Domingos Quina,0,62.5,0.6,0,0,0
560,,Filip Jörgensen,0,0,0,0,0,0
561,,Mario Suárez,0,0,0,0,0,0
562,,Fran Pérez,0,62.5,0.14,0,0,0
563,,Javier Pastore,0,0,0,0,0,0
564,,Pablo Muñoz,0,0,0,0,0,0
565,,Santiago Arzamendia,0,33.33,0.33,0,0,0
566,,Pape Cheikh,0,0,0,0,0,0
567,,Houboulang Mendes,0,50,0.07,0,0,0
568,,Lamine Yamal,0,0,1,0,1,0
569,,Antonio Gomis,0,0,0,0,0,0
570,,Alejandro Alfaro,0,0,0,0,0,0
571,,Iñaki Peña,0,0,0,0,0,0
572,,Mario Hernández,0,0,0.67,0,0,0
573,,Diego Hormigo,0,0,0,0,0,0
574,,Joan García,0,0,0,0,0,0
575,,Diego López,0,0,0,0,0,0
576,,Jorge Herrando,0,0,0,0,0,0
577,,Chadi Riad,0,0,0,0,0,0
578,,Pedro Ortiz,0,0,0,0,0,0
579,,Esteban Saveljich,0,0,0,0,0,0
580,,Diego Mendez,0,0,0,0,0,0
581,,Ruben Quintanilla,0,0,0,0,0,0
582,,Álex Revuelta,0,0,0,0,0,0
