#,Team,Name,Tackles,Errors lead to goal,Interceptions,Penalty committed,Clearances,Dribbled past
141,,Mouctar Diakhaby,1.03,0.03,0.69,0,3.62,0.24
142,,Borja Iglesias,0.23,0,0.03,0,0.49,0.31
143,,Santiago Bueno,1.85,0.06,0.91,0.03,3,0.35
144,,Eduardo Camavinga,1.84,0,0.46,0,0.54,1.08
145,,Igor Zubeldia,1.13,0,0.68,0,2.94,0.29
146,,Aïssa Mandi,0.86,0,1,0,2.76,0.29
147,,Diego Rico,1.75,0,1,0,1.95,0.75
148,,Ivan Rakitić,1.19,0,0.87,0,0.61,0.68
149,,Étienne Capoue,0.75,0,0.68,0,0.68,0.29
150,,Stefan Savić,1.77,0,1.5,0,2.73,0.59
151,,Chimy Ávila,0.28,0,0.28,0,0.48,0.59
152,,David Alaba,0.65,0,0.61,0.04,1.57,0.26
153,,Memphis Depay,0.2,0,0,0,0,0.2
154,,Pepe Reina,0,0.09,0.05,0,0.41,0.05
155,,Sergio Herrera,0.12,0,0.06,0.06,0.41,0
156,,Mikel Vesga,1.58,0.03,1,0,1.03,1.19
157,,Antonio Rüdiger,0.55,0,0.58,0,2.06,0.27
158,,Chris Ramos,0.8,0,0.07,0,1.27,0.47
159,,Iñigo Ruiz de Galarreta,1.8,0,1,0.03,0.57,1.07
160,,Joseph Aidoo,1.46,0,0.89,0.03,4.06,0.34
161,,Javi Galán,2.81,0,1.11,0.03,1.49,1.35
162,,Brian Oliván,1.57,0,0.73,0,1.93,0.3
163,,Hugo Mallo,2.04,0,0.92,0.04,2.46,0.54
164,,Jose Antonio de la Rosa,1,0,0,0,0,0
165,,Rober González,0,0,0.5,0,0,0.5
166,,Sergio Camello,0.42,0,0.05,0,0.68,0.32
167,,Daniel Vivian,1.97,0.03,0.83,0,3,0.31
168,,Yannick Carrasco,1,0,0.34,0,0.46,0.89
169,,Fernando,1.55,0,1.09,0,1.23,0.55
170,,Víctor Ruiz,0.5,0,0.6,0,3.2,0
171,,Óscar Rodríguez,0.97,0,0.73,0.03,0.39,0.45
172,,Thomas Lemar,1.11,0,0.26,0,0.41,0.67
173,,Marcão,0.4,0,1.2,0,2.6,0
174,,Vinícius Souza,2.94,0.03,1.41,0.06,1.35,0.76
175,,Nacho Fernández,0.89,0,0.67,0,1.22,0.63
176,,Rodri Sánchez,0.53,0,0.43,0,0.03,0.3
177,,Nabil Fekir,0.73,0,0.07,0,0,0.47
178,,Jon Ander Olasagasti,1.33,0,0,0,0.33,0.33
179,,Diego Lopez,0.2,0,0.3,0,0.2,1.3
180,,Fernando Pacheco,0,0,0.06,0,1.06,0.06
181,,Valentin Castellanos,0.34,0,0.17,0,0.74,0.51
182,,Alfonso Espino,2.42,0.06,1.33,0.08,2.44,1.33
183,,Ansu Fati,0.44,0,0.14,0,0.14,0.36
184,,Jawad El Yamiq,0.68,0,1.48,0.04,3.84,0.2
185,,Giorgi Mamardashvili,0,0.08,0.03,0.03,0.63,0
186,,Gorka Guruzeta,0.8,0,0.13,0,0.23,0.43
187,,Raúl de Tomás,0.16,0,0,0,0.32,0.21
188,,Papu Gómez,0.32,0,0.21,0.05,0.26,0.42
189,,Rubén García,0.69,0,0.41,0,0.28,0.59
190,,Santi Comesaña,2.03,0,0.91,0,0.43,1.26
191,,Andrés Guardado,1.58,0,0.85,0,0.85,0.96
192,,Álex Moreno,1.93,0,1.13,0.07,2.2,1.2
193,,Franco Cervi,2.11,0,1,0,0.39,0.92
194,,Samu Castillejo,0.84,0,0.36,0,0,1.28
195,,Andriy Lunin,0,0,0,0,0.29,0
196,,Oihan Sancet,0.75,0,0.11,0,0.25,0.72
197,,Manu Morlanes,1.56,0,0.38,0,0.69,0.69
198,,Sergio Escudero,1.43,0,1.13,0,1.7,0.87
199,,Cenk Özkaçar,1.59,0.06,0.71,0,2.71,0.29
200,,Julen Agirrezabala,0,0,0,0,0.38,0
201,,El Bilal Touré,0.19,0,0.05,0,1,0.14
202,,Justin Kluivert,0.65,0,0.27,0,0.12,0.23
203,,Kiko Femenía,0.9,0,1,0,1.05,0.25
204,,Iván Sánchez,0.8,0,0.32,0,0.16,0.68
205,,Saúl Ñíguez,1.35,0,0.48,0.03,0.84,0.48
206,,Pablo Maffeo,2.14,0,0.74,0,1.66,0.94
207,,Nico Williams,0.86,0,0.22,0,0.19,0.61
208,,Kike Pérez,1.86,0,0.56,0,0.72,1.19
209,,Jesús Corona,0.25,0,0.25,0,0.25,0.25
210,,Alexander Isak,0.5,0,0,0,1,0
211,,Isco,1.25,0,0.83,0,0.25,0.5
212,,Jorge Cuenca,0.9,0,0.6,0.1,4.3,0.3
213,,Álvaro Odriozola,0,0,0,0,0,0
214,,Federico Fernández,1,0,2,0,12,0
215,,Dominik Greif,0,0,0,0,0,0
216,,Kike Barja,0.56,0,0.15,0,0.11,0.59
217,,Dani García,1.84,0.04,0.76,0,0.8,0.72
218,,Óscar de Marcos,1.81,0,0.78,0,1.51,0.97
219,,Jon Moncayola,1.49,0.03,0.46,0,0.76,1.24
220,,Ferran Torres,0.39,0,0.09,0,0.12,0.45
221,,Youssef En-Nesyri,0.52,0,0.13,0,0.52,0.32
222,,Omar Alderete,1.4,0,1.04,0,3.28,0.48
223,,Rodrigo Ely,0.83,0,0.86,0,5.61,0.19
224,,Luiz Felipe,1.48,0,1.22,0,4.35,0.7
225,,Arnau Martínez,2.09,0,0.76,0.03,1.36,1.42
226,,Samuel Costa,1.91,0,1.16,0,1.91,1
227,,Gabriel Paulista,0.81,0,1.52,0.05,3.67,0.29
228,,Unai Simón,0.06,0.03,0,0,0.42,0
229,,Álvaro Negredo,0.24,0,0,0,0.38,0
230,,Hugo Guillamón,0.8,0,0.76,0.08,1.12,0.64
231,,Pere Milla,1,0,0.29,0,0.55,0.87
232,,Fran García,2.21,0,1.16,0.05,1.34,1.08
233,,Kike Salas,0.17,0,0.83,0.17,3.83,0
234,,Paul Akouokou,1.33,0,1,0,1.33,0.58
235,,Javi Sánchez,1.34,0,1.44,0.06,3.47,0.28
236,,Álvaro Rodríguez,0.33,0,0,0,0.17,0
237,,Alfonso Pedraza,1.35,0,0.69,0,0.81,0.38
238,,Lucas Pérez,0.21,0,0.07,0,0.21,0.14
239,,Luis Pérez,2.44,0,0.89,0,1.44,0.61
240,,Domingos Duarte,0.84,0,1.26,0.06,4.52,0.23
241,,Jon Pacheco,0.94,0.06,0.71,0.06,2.18,0.24
242,,Ander Guevara,0.63,0,0.25,0,0.38,0.38
243,,Joaquín Fernández,1.3,0,1,0.04,3.59,0.41
244,,Asier Illarramendi,1.5,0,0.75,0,0.67,1.17
245,,Óscar Plano,1.21,0,0.88,0,0.55,0.76
246,,Lucas Torró,1.45,0,1.27,0,1.94,0.73
247,,Nemanja Maksimović,1.41,0,1.17,0,0.93,0.45
248,,Fran Beltrán,0.94,0,1.47,0.03,0.92,1.14
249,,Edinson Cavani,0.28,0,0.08,0,0.4,0.48
250,,Carlos Clerc,2.34,0,0.88,0,2.56,0.59
251,,Selim Amallah,2.14,0,0.71,0,0.14,0.43
252,,Axel Witsel,1.09,0,0.7,0,2.21,0.42
253,,Jesús Navas,0.59,0,0.69,0,1.31,0.34
254,,Daniel Carvajal,1.19,0,0.56,0.04,1.48,0.63
255,,Álex Sola,1.7,0,0.7,0,1,0.3
256,,Agustín Marchesín,0,0,0,0,0.63,0.05
257,,Zouhair Feddal,0.5,0,0.63,0.13,3.38,0.13
258,,Abdessamad Ezzalzouli,1.04,0,0.14,0,0.21,0.36
259,,Stole Dimitrievski,0.03,0.08,0.03,0,0.81,0.03
260,,Dani Rodríguez,1.2,0,0.6,0,0.26,0.71
261,,Juanmi Latasa,0.28,0,0.06,0,0.44,0
262,,Théo Bongonda,0.9,0,0.19,0,0.26,0.74
263,,Damián Suárez,1.75,0,0.54,0,1.07,0.79
264,,Munir El Haddadi,0.43,0,0.32,0,0.14,0.29
265,,Alexander Sørloth,0.53,0,0.06,0,0.76,0.21
266,,Léo Baptistão,1.14,0,0.68,0,0.32,0.71
267,,Joaquín,0.14,0,0.18,0,0.18,0.09
268,,Malcom Ares,0.5,0,0.25,0,0.13,0
269,,Curro,1,0,0,0,0,0.5
270,,Manu Bueno,3.5,0,0,0,1,1.5
271,,Jon Magunazelaia,0.5,0,0,0,0.5,1
272,,Williot Swedberg,0.75,0,0,0,0.25,0
273,,Lucas Rosa,2.29,0,0.88,0,1.12,0.47
274,,Yan Couto,1,0,0.2,0,0.4,0.32
275,,Ilaix Moriba,1.46,0,0.17,0,0.5,0.42
276,,Borja García,0.91,0,0.45,0,0.36,0.64
277,,Martin Braithwaite,0.39,0,0.16,0,0.35,0.29
278,,Íñigo Lekue,1.2,0.05,0.65,0,1.25,0.35
279,,Fali,1.08,0,0.52,0,2.68,0.44
280,,Joan Jordán,1.39,0.04,0.7,0,0.57,0.96
281,,Lucas Olaza,1.04,0,0.61,0,1.3,0.39
282,,Lisandro Magallán,1.36,0,0.93,0,2.14,0.14
283,,Óscar Valentín,2.71,0,1.29,0,0.76,2.21
284,,Ángel Correa,0.34,0.03,0.29,0,0.14,0.31
285,,Lucas Boyé,1.03,0,0.43,0,1.29,0.51
286,,Tete Morente,1.03,0,0.78,0.03,0.75,0.66
287,,Florian Lejeune,0.9,0,0.48,0.03,3.84,0.26
288,,Ramón Terrats,0.79,0,0.46,0,0.38,0.5
289,,Ander Barrenetxea,0.91,0,0.22,0,0.3,0.7
290,,Luis Javier Suárez,0.81,0,0.14,0,0.48,0.95
291,,Andoni Gorosabel,1.52,0,0.63,0,0.78,0.63
292,,Felipe,1,0,0,0,2.33,0.67
293,,Javier Hernández,0.84,0,0.28,0.04,1.44,0.32
294,,Lucas Ocampos,1.16,0,0.42,0,0.26,1.21
295,,Fernando Calero,1.7,0,0.48,0,1.93,0.48
296,,Gonzalo Melero,1.19,0,0.26,0,0.7,1.04
297,,Manu Vallejo,0.57,0,0.14,0,0.14,0.71
298,,Nicolás González,1.04,0,0.73,0.04,0.54,0.62
299,,Álex Centelles,1.47,0,0.73,0,2.27,0.4
300,,Cristhian Stuani,0.41,0,0.06,0,0.16,0.28
301,,Jørgen Strand Larsen,0.47,0,0.09,0,0.75,0.72
302,,Francis Coquelin,1.13,0,0.56,0,0.38,0
303,,Juan Iglesias,1.91,0,0.66,0,2.19,1
304,,Aitor Ruibal,1.85,0,0.92,0,1.23,1.04
305,,Leandro Cabrera,1.44,0.03,1.34,0.03,3.34,0.47
306,,Mohamed-Ali Cho,0.68,0,0.11,0,0.11,0.32
307,,Sergi Gómez,1,0,0.93,0,4.14,0.14
308,,Srđan Babić,0.82,0,0.85,0,3.56,0.5
309,,Umar Sadiq,0.2,0,0,0,0.6,0.4
310,,Jorge Meré,1.1,0,0.6,0,3.1,0.3
311,,Rubén Alcaraz,1.39,0,0.61,0.03,1.13,1.13
312,,Óliver Torres,1.22,0,0.31,0,0.19,1.28
313,,Alex Telles,0.78,0,0.74,0,1.3,0.44
314,,Ayoze Pérez,1.63,0,0.63,0,0.16,1.58
315,,Carles Pérez,1.11,0,0.17,0,0.23,1.26
316,,Ronaël Pierre-Gabriel,2.13,0,1.13,0,1.25,0.75
317,,Giovanni González,1.07,0,0.47,0,1.4,0.87
318,,Aimar Oroz,0.84,0,0.77,0,0.13,0.71
319,,Miguel Gutiérrez,1.21,0.03,0.53,0,1.03,0.41
320,,José Luis Morales,0.24,0,0.07,0,0.07,0.41
321,,Roque Mesa,0.93,0,0.45,0.03,0.62,0.9
322,,José Ángel Carmona,1.53,0,0.79,0,1.21,0.89
323,,Yangel Herrera,1.3,0,0.2,0,0.6,0.45
324,,Unai García,1.1,0.05,0.9,0.05,2.71,0.24
325,,Jaume Costa,1.56,0.03,0.69,0,1.16,0.69
326,,Ander Herrera,1.06,0,0.65,0,0.65,0.71
327,,Stefan Mitrović,0.64,0.05,0.77,0,4.05,0.18
328,,Edgar González,1.12,0,0.84,0,4.76,0.52
329,,Álex Fernández,0.46,0,0.29,0,0.68,0.36
330,,Sergi Guardiola,0.68,0,0.16,0,0.42,0.35
331,,Rodrigo Riquelme,0.59,0,0.32,0.03,0.15,0.76
332,,Aitor Paredes,0.44,0,0.88,0,1.63,0.31
333,,Ivan Balliu,1.41,0,0.68,0.05,1.81,0.32
334,,Johan Mojica,0.95,0,0.4,0.05,0.8,0.25
335,,Pierre-Emerick Aubameyang,0,0,0,0,0,0
336,,Hugo Sotelo,0,0,0,0,0,0
337,,Carlos Domínguez,0.33,0,0,0,2.33,0.33
338,,Aleix Garrido,2,0,0,0,0,0
339,,Moi Parra,1,0,0,0,0,0
340,,Adnan Januzaj,0,0,0.5,0,0,0.5
341,,Franco Russo,0.67,0,1,0,1.33,0.33
342,,Iker Benito,1,0,0.5,0,0.75,0.5
343,,Kike García,0.17,0,0.03,0,0.37,0.09
344,,Unai López,0.94,0.03,0.44,0,0.18,0.71
345,,Óscar Mingueza,1.76,0,0.57,0.1,1,0.33
346,,Javi Puado,0.54,0,0.27,0,0.27,0.43
347,,Karim Rekik,0.69,0,0.63,0,1.44,0.06
348,,Tino Kadewere,0.4,0,0.13,0,0.07,0.33
349,,Sergio León,0.21,0,0,0,0.14,0.1
350,,Juan Cruz,0.89,0,0.48,0,1.96,0.41
351,,Darko Brašanac,1.16,0,0.48,0.04,0.36,0.44
352,,Matheus Cunha,0.36,0,0.18,0,0.27,0.27
353,,Darwin Machís,0.27,0,0.27,0,0.36,0.64
354,,Benjamin Lecomte,0,0.2,0,0,1,0
355,,Renato Tapia,1.68,0,0.68,0.04,1.21,0.68
356,,Haris Seferović,0.33,0,0.06,0,0.33,0.28
357,,Ferland Mendy,1.17,0,0.78,0,0.67,0.44
358,,Miguel Rodríguez,1,0,0.14,0,0.43,1
359,,Pedro Bigas,1.32,0,1.18,0.04,3.29,0.39
360,,César Montes,0.85,0,0.7,0.05,4.95,0.4
361,,Alejandro Pozo,1.23,0,0.87,0.03,1.07,0.87
362,,Bernardo Espinosa,0.3,0.05,0.6,0.05,3.45,0.3
363,,Bono,0.08,0.04,0.08,0,0.76,0.12
364,,Raúl García,0.34,0,0.17,0,0.2,0.29
365,,Willian José,0.32,0,0.04,0,0.54,0.18
366,,Íñigo Eguaras,0.44,0,0.24,0,0.6,0.52
367,,Dyego Sousa,0.5,0,0.05,0,0.7,0.05
368,,Iván Villar,0,0,0,0,0.79,0.05
369,,Matija Nastasić,0.71,0.07,1.29,0,3.07,0.21
370,,Erik Lamela,1.44,0,0.22,0,0.09,0.69
371,,Rubén Peña,1.6,0,0.85,0,1.2,1.05
372,,Kasper Dolberg,0.25,0,0,0,1.25,0.5
373,,Toni Lato,0.96,0,0.25,0,0.5,0.5
374,,Borja Mayoral,0.26,0,0.09,0,0.23,0.74
375,,Gonzalo Plata,1.94,0,0.35,0,0.21,1.38
376,,Iván Fresneda,2.18,0,0.68,0,2,0.82
377,,Ruben Sanchez Saez,1.67,0,1,0,0.78,0.5
378,,Franck Kessié,0.54,0,0.43,0,0.39,0.36
379,,César de la Hoz,1.52,0,0.56,0.04,1.44,0.72
