#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
194,,Koen Jansen,0,0,66.67,0.4,0,0
195,,Ismail Azzaoui,0.15,0.2,62.79,1.95,0,0
196,,Thibaut Lesquoy,0,0,40,0.44,0,0
197,,Naoufal Bannis,0.27,0.12,31.71,1.7,0.03,0
198,,Rick Dekker,0.09,0,64.29,0.39,0,0
199,,Tom Beugelsdijk,0,0,50,0.62,0,0
200,,Nick Venema,0.33,0.19,41.67,2.83,0.06,0
201,,Sontje Hansen,0.17,0,57.33,1.09,0,0
202,,Arno Van Keilegom,0.15,0.06,59.57,1,0,0
203,,Jarno Janssen,0,0,0,0.43,0,0
204,,Tidjany Touré,0.4,0.07,57.69,1.73,0,0
205,,Kornelius Hansen,0.11,0.11,50,1.44,0,0
206,,Anas Ouahim,0.28,0.14,58.57,1.79,0,0
207,,Roshon van Eijma,0.06,0.03,71.43,0.7,0.06,0
208,,Jasper Schendelaar,0,0,0,0,0,0
209,,Tristan Dekker,0.09,0,43.24,0.43,0,0
210,,Guus Joppen,0.06,0.06,66.67,0.39,0,0
211,,Daryl Werker,0,0,0,0.56,0,0
212,,Lion Kaak,0,0,80,0.75,0,0
213,,Ozan Kökçü,0.17,0,44.19,1.09,0.06,0
214,,Michael de Leeuw,0.21,0.06,100,0.82,0.06,0
215,,Anthony Descotte,0.5,0.33,61.54,2.33,0,0
216,,Teun van Grunsven,0.08,0,61.54,0.36,0,0
217,,Jorrit Smeets,0,0,100,0.61,0,0
218,,Djevencio van der Kust,0,0,30,0.33,0,0
219,,Cas Faber,0,0,50,0,0,0
220,,Philip Brittijn,0.05,0.11,56,0.97,0,0
221,,Amourricho van Axel-Dongen,0.14,0.07,60.53,1.21,0,0
222,,Bram Van Vlerken,0.06,0,36.36,0.25,0,0
223,,Evan Rottier,0.23,0.14,46.34,1.03,0,0
224,,Boyd Reith,0.03,0,51.22,0.4,0,0
225,,Yannick Leliendal,0.03,0,55.95,0.42,0,0
226,,Joël Zwarts,0.19,0.19,61.82,1.81,0.03,0
227,,Hakon Lorentzen,0.14,0.05,36.36,1.27,0,0
228,,Delvechio Blackson,0,0.16,52.94,0.68,0,0
229,,Thomas Poll,0.08,0.08,66.67,0.64,0.04,0
230,,David Min,0.22,0.25,55.56,1.78,0,0
231,,Anselmo Garcia McNulty,0,0,75,0.47,0,0
232,,Mathis Suray,0.04,0.12,46.88,1.27,0,0
233,,Jorrel Hato,0.08,0,53.85,0.31,0,0
234,,Lukáš Zima,0,0,0,0,0,0
235,,Ömer Gündüz,0,0,11.11,0.15,0,0
236,,Bryan Limbombe,0.2,0.17,42.14,2.03,0.03,0.57
237,,Hidde Jurjus,0,0,0,0,0,0
238,,Melayro Bogarde,0,0,37.5,0.4,0,0
239,,Tijs Velthuis,0.04,0,100,0.36,0.04,0
240,,Peter van Ooijen,0.1,0.03,66.67,0.9,0,0
241,,Fedde De Jong,0.12,0.04,46.88,1.04,0,0
242,,Ezechiel Banzuzi,0.16,0.03,56.25,1.06,0.06,0
243,,Nicky Souren,0.18,0.06,55.26,0.61,0,0
244,,Sabir Agougil,0.06,0.03,64.44,0.81,0,0
245,,Christopher Mamengi,0.07,0.07,60,0.39,0.04,0
246,,Orhan Dzepar,0.03,0,48.28,1,0,0
247,,Phil Sieben,0.04,0.04,71.05,0.28,0,0
248,,Youri Baas,0.1,0,54.55,0.5,0,0
249,,Kostas Lamprou,0,0,0,0,0,0
250,,Brian Brobbey,0,0,0,1,0,0
251,,Naci Ünüvar,0,1,33.33,4,0,0
252,,Joël Drommel,0,0,0,0,0,0
253,,Jeppe Kjaer,0,0,0,0,0,0
254,,Ramon Hendriks,0,0,100,0.5,0,0
255,,Jereno Van Gom,0,0,50,0,0,0
256,,Taylor Booth,0,0,42.86,3,0,0
257,,Valentino Vermeulen,0,0,0,0.33,0,0
258,,Gedion Zelalem,0,0,50,0.42,0,0
259,,Manel Royo,0.03,0,43.75,0.7,0,0
260,,Samuele Longo,0.33,0.22,43.55,1.94,0.14,0
261,,Samir Lagsir,0.17,0,30.77,1.42,0,0
262,,Xander Severina,0.17,0.2,41.58,1.54,0,0
