#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
66,,Nordin Bakker,3.03,0.36,0.06,0,0.86,0.19
67,,Stijn Keller,3,0.5,0,0,1.5,0
68,,Iman Griffith,0,0.09,0,0,1.06,0.18
69,,Martijn Kaars,0,0.11,0,0,1.3,0.16
70,,Sven Van Doorm,0,0.03,0,0,0.84,0.23
71,,Ozgur Aktas,0,0.35,0,0,1.12,0.12
72,,Apostolos Vellios,0,0.03,0,0,0.52,0.13
73,,Thomas Beelen,0,0.3,0,0,1,0.1
74,,Elías Már Ómarsson,0,0.06,0,0,1.31,0.31
75,,Sven Blummel,0,0.08,0,0,1.19,0.16
76,,Jesse Bosch,0,0.26,0,0,0.77,0.03
77,,Victor van den Bogert,0,0.12,0,0,1.38,0.23
78,,Anouar El Azzouzi,0,0.22,0,0,1.58,0.19
79,,Christian Kjelder Rasmussen,0,0.07,0,0,1.28,0.28
80,,Johan Bakayoko,0,0,0,0,1,0.33
81,,Finn van Breemen,0,0.33,0,0,0.94,0.06
82,,Álvaro Peña,0,0.35,0,0,0.81,0.19
83,,Youri Regeer,0,0.04,0,0,1.35,0.27
84,,Collin Seedorf,0,0.21,0,0,1,0.24
85,,Jeredy Hilterman,0,0.03,0,0,0.53,0.14
86,,Derensili Sanches Fernandes,0,0.07,0,0,1.47,0.13
87,,Jizz Hornkamp,0,0.03,0,0,0.44,0.19
88,,Younes Taha,0,0.06,0,0,0.67,0.03
89,,Ruben van Bommel,0,0.06,0,0,1.19,0.1
90,,Wouter Goes,0,0.18,0,0,1.05,0.18
91,,Nigel Owusu,0,0,0,0,0.5,0
92,,Pim Lukassen,0,0,0,0,0.33,0
93,,Jaden Pinas,0,0,0,0,1,1
94,,Brian Koglin,0,0.18,0,0,1.18,0.18
95,,Robin Schouten,0,0.15,0,0,1.07,0.11
96,,Robin Van der Meer,0,0.22,0,0,1,0.13
97,,Olivier Aertssen,0,0.06,0,0,1.47,0.28
98,,Malik Sellouki,0,0,0,0,0.82,0
99,,Kian Fitz-Jim,0,0.07,0,0,1.3,0.3
100,,Mathijs Tielemans,0,0.08,0,0,1.46,0.16
101,,Elton Kabangu,0,0,0,0,0.61,0.07
102,,Boyd Lucassen,0,0.14,0,0,1.05,0.19
103,,Anass Ahannach,0,0.05,0,0,1.36,0.32
104,,Anass Najah,0,0.3,0,0,1.19,0.14
105,,Lewis Schouten,0,0.03,0,0,0.87,0.17
106,,Matteo Waem,0,0.15,0,0,1.56,0.21
107,,Xian Emmers,0,0,0,0,0.25,0.25
108,,Kristian Hlynsson,0,0.05,0,0,1.46,0.3
109,,Thomas Bruns,0,0.03,0,0,0.7,0.08
110,,Ryan Thomas,0,0.06,0,0,0.61,0
111,,Denzel Hall,0,0.19,0,0,1.38,0.16
112,,Samuel Armenteros,0,0.12,0,0,0.79,0.12
113,,Ruben Roosken,0,0.3,0,0,0.84,0.14
114,,Richard Ledezma,0,0.17,0,0,1,0.17
115,,Emmanuel van de Blaak,0,0.08,0,0,0.83,0.25
116,,Fabian De Keijzer,3.09,0.18,0,0,0.91,0.27
117,,Mawouna Amevor,0,0.22,0,0,1.08,0.28
118,,Zico Buurmeester,0,0.15,0,0,0.89,0.19
