#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
210,,Guus Joppen,1.13,1.19,0,3.03,0,0.48
211,,Daryl Werker,0.94,1.94,0.06,4,0,0.56
212,,Lion Kaak,1.7,0.9,0,0.9,0,0.7
213,,Ozan Kökçü,0.49,0.23,0,0.2,0,0.26
214,,Michael de Leeuw,0.39,0.27,0,0.15,0,0.21
215,,Anthony Descotte,0.67,0.17,0,0,0,0.67
216,,Teun van Grunsven,1.32,1.32,0.04,3.92,0,0.56
217,,Jorrit Smeets,1,1.28,0,0.67,0,0.94
218,,Djevencio van der Kust,1.67,0.33,0,2.33,0,0.33
219,,Cas Faber,3.33,0,0,0.33,0,0.33
220,,Philip Brittijn,1.73,1.49,0,0.97,0,1
221,,Amourricho van Axel-Dongen,0.43,0.21,0,0.14,0,0.21
222,,Bram Van Vlerken,1.88,1.31,0,2.03,0,0.81
223,,Evan Rottier,0.4,0.23,0,0.26,0,0.29
224,,Boyd Reith,2.2,1.11,0.03,1.34,0,0.74
225,,Yannick Leliendal,2.26,1.68,0,1.58,0.03,0.58
226,,Joël Zwarts,0.56,0.19,0,0.59,0,0.25
227,,Hakon Lorentzen,0.55,0.18,0,0.36,0,0.27
228,,Delvechio Blackson,1.88,1.08,0.04,1.36,0,0.32
229,,Thomas Poll,1.72,0.6,0,1.04,0,0.28
230,,David Min,0.88,0.06,0,0.59,0,0.22
231,,Anselmo Garcia McNulty,2.53,1.28,0,3.06,0,1.03
232,,Mathis Suray,2.27,0.88,0,0.27,0,1.15
233,,Jorrel Hato,1.85,0.62,0,1.46,0,0.77
234,,Lukáš Zima,0,0,0,1.71,0,0
235,,Ömer Gündüz,3.15,1.24,0.03,1.06,0,0.3
236,,Bryan Limbombe,0.46,0.26,0,0.06,0,0.34
237,,Hidde Jurjus,0.03,0.03,0,0.65,0,0.03
238,,Melayro Bogarde,1.4,0.9,0,1.1,0,0.3
239,,Tijs Velthuis,0.89,0.93,0.04,2.82,0,0.39
240,,Peter van Ooijen,0.65,0.23,0.03,0.23,0.03,0.55
241,,Fedde De Jong,1.15,0.58,0.04,0.58,0,0.23
242,,Ezechiel Banzuzi,1.65,0.45,0,0.94,0,0.32
243,,Nicky Souren,1.3,1.09,0,0.7,0,0.61
244,,Sabir Agougil,1.34,0.84,0,0.41,0.03,0.22
245,,Christopher Mamengi,1.07,1.21,0.07,2.36,0,0.18
246,,Orhan Dzepar,1.2,2,0,1.97,0,1.03
247,,Phil Sieben,1.2,0.28,0,0.28,0,0.4
248,,Youri Baas,1.7,1.3,0,1,0,1
249,,Kostas Lamprou,0.04,0,0.04,0.19,0.04,0.04
250,,Brian Brobbey,0,0,0,1,0,0
251,,Naci Ünüvar,2,0,0,0,0,0
252,,Joël Drommel,0,0,0,2,0,0
253,,Jeppe Kjaer,1.5,0,0,0,0,0
254,,Ramon Hendriks,0.5,3,0,3.5,0,0
255,,Jereno Van Gom,1.5,0.5,0,1,0,0
256,,Taylor Booth,0.67,0,0,0.67,0,0
257,,Valentino Vermeulen,0,0.33,0,1.33,0,0
258,,Gedion Zelalem,3.67,2.42,0,0.42,0,1
259,,Manel Royo,1.52,0.97,0,1.39,0,0.61
260,,Samuele Longo,0.61,0.19,0,0.56,0,0.39
261,,Samir Lagsir,0.58,0.33,0,0.5,0,0.25
262,,Xander Severina,1,0.37,0,0.11,0,0.49
263,,Boris van Schuppen,1.42,0.08,0,0.17,0,0.17
264,,Dylan Timber,2.1,2,0.1,1.4,0,0.1
265,,Pascu,0.81,0.27,0,0.16,0,0.89
266,,Mees Kaandorp,0.72,0.24,0,0.52,0,0.36
267,,Nick Twisk,2,1.24,0,1.08,0,1
268,,Mylian Jimenez,2.18,0.77,0,1.09,0,0.91
269,,Tommy St. Jago,1.14,1.14,0.14,2.86,0,0.43
270,,Marcelencio Esajas,2.36,1.21,0,0.21,0,0.86
271,,Daan Huisman,1.13,0.5,0,0.38,0,0.31
272,,Amar Ćatić,0.53,0.13,0,0.28,0,0.13
273,,Joey Houweling,0,0,0,0.83,0,0
274,,Devin Haen,0.34,0.14,0,0.24,0,0.07
275,,Mario Bilate,0.27,0.14,0,0.45,0,0.09
276,,Siem de Jong,0.88,0.27,0,0.5,0,0.19
277,,Sven Zitman,0.64,0.36,0.09,0.45,0,0.09
278,,Mitch Apau,0.92,0.84,0.03,1.76,0,0.11
279,,Mateja Milovanović,1.42,0.58,0,0.83,0,0.25
280,,Charlison Benschop,0.35,0.23,0,0.48,0,0.13
281,,Xandro Schenk,0.75,0.35,0,2,0,0.2
282,,Xander Lambrix,1.25,1.33,0.08,2.58,0,0.33
283,,Pjotr Kestens,1,0.1,0,0.05,0,0.33
284,,Clint Essers,2.25,1.05,0,2.15,0,0.65
285,,Livano Comenencia,2.48,1.73,0,2.58,0,0.82
286,,Patrickson Delgado,1,0.25,0,1,0,0.25
287,,Amir Absalem,2.25,1.94,0,1.13,0,0.75
288,,Loek Postma,1.64,1.05,0.05,2.14,0,0.23
289,,Romano Postema,0.55,0.19,0,0.1,0,0.23
290,,Rick Stuy van den Herik,1.74,1.41,0.04,1.04,0,0.85
291,,Ilounga Pata,2.29,2.33,0.08,2.13,0,0.92
292,,Gylermo Siereveld,1.14,1.86,0,2,0,0.43
293,,Florian Mayer,0.7,0.4,0,1.4,0,0.3
294,,Richard Sedláček,2.16,1,0.03,0.72,0,1.03
295,,Sacha Komljenovic,1,0.18,0,0.27,0,0.36
296,,Joshua Rawlins,1.83,1.46,0,2,0.04,0.75
