#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
275,,Mario Bilate,0.05,0.05,70.21,50.47,0.5,0.36
276,,Siem de Jong,0,0,70.97,50,0.23,0.92
277,,Sven Zitman,0,0.09,66.67,65.22,1.27,0.36
278,,Mitch Apau,0.08,0,64.44,67.39,2.13,0.79
279,,Mateja Milovanović,0.25,0,41.67,56.45,0.67,0.58
280,,Charlison Benschop,0.03,0,50.5,41.62,0.45,0.97
281,,Xandro Schenk,0.2,0,51.61,54.84,0.15,0.3
282,,Xander Lambrix,0.17,0,57.53,57.86,0.75,0.92
283,,Pjotr Kestens,0,0,40,54,0.67,0.33
284,,Clint Essers,0.25,0,61.29,60.43,0.7,1.05
285,,Livano Comenencia,0.15,0,53.85,56.23,0.82,0.79
286,,Patrickson Delgado,0.06,0,33.33,64.81,0.69,0.31
287,,Amir Absalem,0.25,0.06,66.67,57.04,1.19,1.19
288,,Loek Postma,0.23,0.05,41.94,61.15,1,0.82
289,,Romano Postema,0.16,0,28,43.37,1,0.84
290,,Rick Stuy van den Herik,0.11,0,40.35,50.23,1.07,0.85
291,,Ilounga Pata,0.04,0,48.57,55.29,0.58,0.67
292,,Gylermo Siereveld,0.14,0,53.33,52.78,0.43,0.86
293,,Florian Mayer,0,0,88.89,75,0.3,0.1
294,,Richard Sedláček,0.13,0,38.64,50,0.72,1.03
295,,Sacha Komljenovic,0.27,0,28.57,41.18,0.27,1
296,,Joshua Rawlins,0.08,0,52.17,60.14,0.88,0.46
297,,Ivar Jenner,0.31,0,30.77,48.84,0.92,1.38
298,,Sam Kersten,0.05,0,58.62,54.12,0.16,0.74
299,,Anwar Bensabouh,0.03,0,47.22,47.32,0.86,0.86
300,,Rein Smit,0,0,23.53,32.43,0.27,0.33
301,,Martijn Berden,0.17,0,66.67,42.99,1.17,0.83
302,,Marko Kleinen,0.12,0,52.78,51.98,0.65,0.88
303,,Rodrigo Rêgo,0.07,0,78.57,67.74,0.73,0.4
304,,Jamie Yayi Mpie,0.11,0,36.84,40.63,0.44,0.11
305,,Aimé Omgba,0.06,0,33.33,46.15,0.53,0.71
306,,Gibson Yah,0.27,0,62.5,55.32,0.09,0.55
307,,Lasse Wehmeyer,0.05,0,64.29,49.18,0.35,0.25
