#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
181,,Juan Mata,0,0.06,16.81,86.25,6.44,69.23
182,,Wilson Eduardo,0.13,0.06,9.56,79.74,2.63,57.14
183,,Danijel Aleksić,0.03,0.03,20.1,83.42,4.73,70.83
184,,Bengali-Fodé Koita,0,0.07,18.79,79.09,6.57,62.5
185,,Oğuz Gürbulak,0.14,0.11,29.71,80.89,5.57,64.95
186,,Sofiane Feghouli,0.11,0.11,20.67,85.48,4.78,55
187,,Emrah Başsan,0.15,0.15,18.69,82.92,5.54,69.23
188,,Miguel Cardoso,0.16,0.19,23.06,78.74,5.94,52.27
189,,Ahmed Hassan,0.08,0.04,18.25,75.57,3.13,68.42
190,,João Figueiredo,0.12,0.03,17.41,75.17,4.68,63.64
191,,Furkan Bayır,0.03,0,62.72,88.54,5.31,52.51
192,,Mehmet Yeşil,0.03,0,30.42,75.8,1.36,36.76
193,,Florian Loshaj,0.13,0.13,14,77.68,2.88,61.54
194,,Ömer Toprak,0,0,46.3,83.57,1.83,36.15
195,,Furkan Soyalp,0.23,0.23,20.04,75.62,3.81,48.08
196,,Isaac Cofie,0,0,27.07,84.98,3.13,69.44
197,,Gökhan Töre,0,0,11.83,87.32,4.33,100
198,,Sam Adekugbe,0.13,0.04,38.88,84.78,7.46,62.86
199,,Bafetimbi Gomis,0.04,0,5.39,68.55,1.91,50
200,,Manolis Siopis,0,0,41.47,88.83,8.53,77.45
201,,Berkan Kutlu,0,0,20.04,80.46,3.42,36.36
202,,Jetmir Topalli,0.21,0.11,18.36,72.57,5.64,61.11
203,,Ghayas Zahid,0.25,0.07,24.46,86.86,8.71,81.25
204,,Ahmed Touba,0,0,58.75,88.44,4.75,54.88
205,,Rayyan Baniya,0.04,0,57.36,86.89,1.2,46.2
206,,Veysel Sarı,0.06,0.03,46.74,80.95,3.48,39.43
207,,Bernard Mensah,0.15,0.11,36.74,87.9,6.81,70.93
208,,Emre Taşdemir,0,0,23.6,82.2,7.2,61.54
209,,Bersant Celina,0.22,0.06,21.11,82.11,7.33,62.5
210,,Diego Rossi,0.12,0.15,19.94,86.17,7.88,60
211,,Mustapha Yatabaré,0.04,0.04,20.85,63.59,5.07,25
212,,Emeka Eze,0.27,0.13,15.33,57.83,3.07,37.5
213,,Allyson,0,0,47.33,88.31,3,60.71
214,,Atakan Çankaya,0,0,32.05,81.9,1.55,32.65
215,,Eduart Rroca,0.09,0.17,33.09,76.87,8.17,48.28
216,,Florent Hadergjonaj,0.12,0.04,30.84,71.47,7,39.88
217,,Fredrik Gulbrandsen,0.26,0.13,6.57,79.47,1.87,100
218,,Bertrand Traoré,0.08,0.08,19.92,78.24,7,60
219,,Emre Gökay,0,0,7,66.67,3.67,100
220,,Stefano Denswil,0,0,39.42,90.52,3.11,57.41
221,,Bruma,0,0,7,85.71,4,0
222,,Oguzhan Efe Yilmaz,0,0,2,50,0,0
223,,Francisco Montero,0,0,47.67,88.81,4.67,56.52
224,,Berkay Vardar,0,0,15.8,77.22,1.6,44.44
225,,Recep Burak Yılmaz,0,0,44.7,90.83,2.6,50
226,,Tarkan Serbest,0,0,32.82,86.7,1.82,50
227,,Mustafa Eser,0,0,33,85.67,2.09,60.87
228,,Eren Elmalı,0.15,0.09,42.64,84.86,7.24,48.57
