#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
180,,Caner Osmanpaşa,0.09,0,37.5,0.48,0.04,0
181,,Juan Mata,0.19,0.13,20,0.75,0.06,0
182,,Wilson Eduardo,0.25,0.13,50,1.19,0,0
183,,Danijel Aleksić,0.27,0.03,50,1.4,0,0
184,,Bengali-Fodé Koita,0.21,0.29,50,1.79,0.07,0
185,,Oğuz Gürbulak,0.04,0.07,62.5,0.79,0,0
186,,Sofiane Feghouli,0,0,66.67,0.78,0,0
187,,Emrah Başsan,0.08,0.04,39.29,1.19,0,0.77
188,,Miguel Cardoso,0.23,0.16,39.06,1.77,0.03,0
189,,Ahmed Hassan,0.42,0.46,45.45,2.25,0.13,0
190,,João Figueiredo,0.29,0.18,43.28,2.09,0,0
191,,Furkan Bayır,0.03,0,66.67,0.41,0.03,0
192,,Mehmet Yeşil,0.03,0,100,0.3,0.03,0
193,,Florian Loshaj,0,0,57.14,0.88,0,0
194,,Ömer Toprak,0.04,0.09,80,0.48,0.04,0
195,,Furkan Soyalp,0.04,0.08,43.75,1.19,0.04,0
196,,Isaac Cofie,0.13,0,66.67,0.73,0.13,0
197,,Gökhan Töre,0.17,0.17,33.33,0.5,0,0
198,,Sam Adekugbe,0,0,60,0.21,0,0
199,,Bafetimbi Gomis,0.35,0.35,75,1.39,0.13,0
200,,Manolis Siopis,0,0,80,0.43,0,0
201,,Berkan Kutlu,0,0,60,0.17,0,0
202,,Jetmir Topalli,0.18,0.18,50,1.36,0,0
203,,Ghayas Zahid,0.07,0.04,57.14,0.64,0,0
204,,Ahmed Touba,0,0,50,0.21,0,0
205,,Rayyan Baniya,0.08,0.08,53.85,0.44,0,0
206,,Veysel Sarı,0.06,0.1,40,0.52,0.06,0
207,,Bernard Mensah,0.19,0.07,57.38,1.74,0.04,0
208,,Emre Taşdemir,0.2,0,16.67,0.6,0.2,0
209,,Bersant Celina,0.06,0.11,54.29,1.28,0,0
210,,Diego Rossi,0.12,0.15,60.76,1.06,0,0
211,,Mustapha Yatabaré,0.22,0.37,50,1.85,0.07,0
212,,Emeka Eze,0.27,0.2,54.93,1.87,0.07,0
213,,Allyson,0,0,75,0.33,0,0
214,,Atakan Çankaya,0,0.05,66.67,0.25,0,0
215,,Eduart Rroca,0.13,0.17,45.71,0.87,0.04,0
216,,Florent Hadergjonaj,0.12,0,58.33,0.32,0,0
217,,Fredrik Gulbrandsen,0.09,0.04,50,0.96,0,0
218,,Bertrand Traoré,0.17,0.08,37.04,1.67,0,0
219,,Emre Gökay,0.33,0,50,1.67,0,0
220,,Stefano Denswil,0.05,0,50,0.32,0.05,0
221,,Bruma,0,0,100,1,0,0
222,,Oguzhan Efe Yilmaz,0,0,0,0,0,0
223,,Francisco Montero,0,0,100,0.33,0,0
224,,Berkay Vardar,0,0,50,0.6,0,0
225,,Recep Burak Yılmaz,0,0.1,100,0.2,0,0
226,,Tarkan Serbest,0,0,100,0,0,0
227,,Mustafa Eser,0,0,75,0.18,0,0
228,,Eren Elmalı,0,0.03,47.46,0.36,0,0
229,,Soner Dikmen,0.16,0.34,44.44,1.28,0.06,0
230,,Aaron Appindangoyé,0,0,100,0.44,0,0
231,,Uğurcan Çakır,0,0,0,0,0,0
232,,Leke James,0.21,0.14,50,1.5,0,0
233,,Tayfur Bingöl,0.07,0.03,53.33,0.7,0,0
234,,Jimmy Durmaz,0,0.08,57.89,1.23,0,0
235,,Olarenwaju Kayode,0.27,0.45,33.33,1.64,0,0
236,,Erdoğan Yeşilyurt,0.1,0.1,41.54,2,0.07,0
237,,Burak Öksüz,0.09,0,100,0.27,0,0
238,,Geraldo,0.03,0.1,49.47,1.24,0,0
239,,Emiliano Viviano,0,0,100,0,0,0
240,,Ali Karimi,0.1,0,58.62,0.9,0,0
241,,Emre Kılınç,0.07,0.1,46.67,1.1,0,0
242,,Ermir Lenjani,0,0.06,50,0.39,0,0
243,,Ali Şaşal Vural,0,0,100,0,0,0
244,,Helton Leite,0,0,0,0,0,0
245,,Valentin Rosier,0.04,0.04,45.9,0.48,0,0
246,,Ángelo Sagal,0.13,0,57.89,1.13,0,0
247,,Rúben Ribeiro,0,0,66.67,0.79,0,0
248,,Daniel Candeias,0.04,0.07,45.45,0.52,0,0
249,,Jesse Sekidika,0.08,0.08,55,1.38,0,0
250,,Faruk Can Genç,0.08,0,0,0.08,0,0
251,,Kerim Frei,0.17,0,57.14,0.28,0.06,0
252,,Ayoub El Kaabi,0.38,0.71,27.78,2.67,0,0
253,,Antonio Mršić,0.2,0.03,57.14,0.83,0,0
254,,Görkem Sağlam,0.03,0.03,65,0.83,0,0
255,,Barış Alper Yılmaz,0.16,0.04,45,1.28,0.04,0
256,,Artem Dzyuba,0.25,0,0,0.75,0,0
257,,Emre Mor,0.07,0.07,60.61,1.25,0,0
258,,Robin Yalçın,0.05,0.09,62.5,0.82,0,0
259,,Birkir Bjarnason,0,0.22,100,1,0,0
260,,Mert Hakan Yandaş,0,0,58.33,0.67,0,0
261,,Zymer Bytyqi,0,0.11,39.13,1.26,0,0
262,,Hayrullah Bilazer,0,0.03,40.63,0.42,0,0
263,,Leroy Fer,0.03,0.1,61.76,0.63,0.03,0
264,,Abdullah Durak,0,0,66.67,0.33,0,0
265,,Erhun Öztümer,0,0,100,0,0,0
266,,Dorukhan Toköz,0,0,33.33,0.5,0,0
267,,Babajide David Akintola,0.21,0.1,47.89,1.38,0.07,0
268,,Lamine Diack,0.08,0.08,76.19,0.5,0,0
269,,Jean Evrard Kouassi,0.18,0.24,48.39,1.35,0,0
270,,Saba Lobjanidze,0.1,0.16,50.79,1.39,0,0
271,,Kaan Kanak,0.06,0.06,64.29,0.81,0,0
272,,İrfan Can Eğribayat,0,0,100,0,0,0
273,,Stéphane Bahoken,0.15,0.27,64.71,1.73,0.04,0
274,,Andrea Bertolacci,0.05,0.05,50,0.48,0,0
275,,Murat Paluli,0,0,44,0.05,0,0
276,,Mounir Chouiar,0.09,0.13,52.76,1.63,0.03,1.04
277,,Ebrima Colley,0.04,0.04,48.84,0.85,0,0
278,,Mickael Tirpan,0,0,70.83,1,0,0
279,,Erdem Canpolat,0,0,0,0,0,0
280,,Alaaddin Okumuş,0,0,50,0.07,0,0
281,,Kamil Ahmet Çörekçi,0,0,66.67,0.24,0,0
282,,Jean-Philippe Gbamin,0,0,66.67,0.37,0,0
283,,Patryk Szysz,0.12,0.04,50,0.64,0,0
284,,Naci Ünüvar,0.13,0,62.5,1.38,0,0
285,,Kenan Karaman,0,0,0,1,0,0
286,,Sergen Piçinciol,0,0,100,0,0,0
287,,Muhammed Alperen Uysal,0,0,0,0,0,0
288,,Samba Camara,0,0,100,0,0,0
289,,Serdar Gürler,0.19,0.1,40,1.35,0.1,0
290,,Uğur Çiftçi,0,0,45.45,0.3,0,0
291,,Simon Deli,0,0.1,0,0.5,0,0
292,,Ertuğrul Taşkıran,0,0,0,0,0,0
293,,Miha Zajc,0.13,0.09,60.47,1.09,0,0
294,,Philippe Keny,0.15,0.19,38.46,0.92,0.04,0
295,,Efthymios Koulouris,0.3,0.2,61.54,1.1,0,0
296,,Fredrik Midtsjø,0.05,0,53.85,0.29,0,0
297,,Oğuz Aydın,0.04,0.07,40.48,1.07,0,0
298,,Taylan Antalyalı,0.1,0.03,56.52,0.84,0,0
299,,Ezgjan Alioski,0.06,0,33.33,0.41,0,0
300,,Pedrinho,0,0.04,42.11,0.79,0,0
301,,Onur Ayık,0.07,0.13,50,0.77,0,0
302,,Bahadır Han Güngördü,0,0,0,0,0,0
303,,Kévin Soni,0,0.33,100,1,0,0
304,,Arif Boşluk,0,0,87.5,0.33,0,0
305,,Bruno Paz,0.04,0,55.56,0.39,0,0
306,,Necip Uysal,0,0,50,0.14,0,0
307,,Uğurcan Yazğılı,0.07,0,100,0.29,0.07,0
308,,Welinton,0,0,0,0.86,0,0
309,,Stelios Kitsiou,0.06,0.09,48.98,1.09,0,0
310,,Yusuf Ozdemir,0.08,0.08,50,0.56,0,0
311,,Berkay Özcan,0.09,0.03,51.92,0.82,0,0
312,,Andreas Bouchalakis,0,0,60,0.25,0,0
313,,Bertuğ Özgür Yıldırım,0.21,0.21,30.43,1,0,0
314,,João Pedro Galvão,0.2,0.1,20,1.1,0,0
315,,Dele Alli,0.15,0.08,38.89,0.54,0,0
316,,Hakan Özmert,0,0,44.44,0.22,0,0
317,,Georges-Kévin N'Koudou,0.2,0.2,48,1.1,0,5
318,,Durel Avounou,0.19,0.22,48.65,1.37,0,0
319,,Robert Murić,0,0.04,55.56,0.61,0,0
320,,Musa Çağıran,0,0,100,0.5,0,0
321,,Talha Ülvan,0,0,100,0.14,0,0
322,,Borja Sainz,0.28,0.25,47.86,2.13,0,0
323,,Efkan Bekiroğlu,0.16,0.24,56.67,1.48,0,2
324,,Batuhan Ahmet Şen,0,0,0,0,0,0
325,,Münir Levent Mercan,0.07,0,40.63,0.34,0,0.86
326,,Isaac Sackey,0,0,68.75,0.43,0,0
327,,Hüseyin Türkmen,0,0,100,0.14,0,0
328,,Luiz Adriano,0.11,0.26,40,1.11,0.05,0
329,,Ryan Donk,0.05,0,70,0.4,0,0
330,,Mario Gavranović,0.18,0.32,47.06,1,0,0
331,,Anastasios Chatzigiovanis,0.04,0.2,68.42,1.4,0,0
332,,Alexis Pérez,0,0.08,50,1.24,0,0
333,,Erencan Yardımcı,0.21,0.21,33.33,0.79,0,0
334,,Zinedine Ferhat,0.04,0.17,38.89,0.65,0,0
335,,İsmail Yüksek,0,0,66.67,0.42,0,0
336,,Niko Rak,0,0,0,0,0,0
337,,Umit Akdag,0,0,0,0,0,0
338,,Emirhan Zaman,0,0,0,3,0,0
339,,Salih Malkoçoglu,0,0,0,0,0,0
340,,Osman Bugra Erdogan,0,0,0,0,0,0
341,,Francis Nzaba,0,0,0,0,0,0
342,,Kaan Ayhan,0,0.2,0,0.6,0,0
343,,Bruno Rodrigues,0,0,0,0,0,0
344,,Joseph Attamah,0,0,100,0.33,0,0
345,,Abdulkadir Parmak,0,0,50,0.11,0,0
346,,Şener Özbayraklı,0,0,72.73,0,0,0
347,,Alper Uludağ,0.03,0.03,44.44,0.65,0,0
348,,Stefano Okaka,0.05,0.1,46.15,0.67,0,0
349,,Bünyamin Balcı,0,0.03,48.28,0.47,0,0
350,,İbrahim Yilmaz,0,0.18,35.71,1.82,0,0
351,,Robert Mejía,0.03,0,59.26,0.55,0,0
352,,Umut Güneş,0.07,0.04,68.42,0.59,0,0
353,,Serdar Aziz,0,0.07,0,0.36,0,0
354,,Mahmut Tekdemir,0,0.08,20,0.46,0,0
355,,Ali Yaşar,0.04,0.04,62.5,0.32,0,2
356,,Dimitris Kolovetsios,0,0.03,100,0.53,0,0
357,,İlhan Parlak,0.09,0.09,25,0.82,0.05,0
358,,Andrej Đokanović,0,0,62.5,0.21,0,0
