#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
363,,Ognjen Vranješ,0,0.13,0,0,1.73,0.13
364,,Ziya Erdal,0,0.06,0,0,1.06,0.18
365,,Gökhan Sazdağı,0,0.03,0,0,1,0.42
366,,Brandley Kuwas,0,0,0,0,0.85,0.26
367,,Clinton N'Jie,0,0,0,0,0.62,0.1
368,,Salih Dursun,0,0.05,0,0,0.68,0.09
369,,Ruud Boffin,3.43,0.14,0.14,0,1.71,0.29
370,,Onurcan Piri,2.74,0.09,0.3,0.09,1.48,0.39
371,,Mehdi Boudjemaa,0,0.05,0,0,0.84,0.05
372,,Lazar Marković,0,0.04,0,0,0.85,0.11
373,,Hakan Arslan,0,0.07,0,0,0.69,0.07
374,,Jesé Rodríguez,0,0,0,0,0.5,0.14
375,,Fedor Kudryashov,0,0.15,0,0,1.08,0.23
376,,Kadir Seven,0,0.13,0,0,0.67,0.07
377,,Giorgi Beridze,0,0,0,0,0.86,0.17
378,,Demeaco Duhaney,0,0.33,0,0,1.22,0.22
379,,Idrissa Doumbia,0,0.08,0,0,1.12,0.24
380,,Domagoj Pavičić,0,0,0,0,0.29,0
381,,Mustafa Eskihellaç,0,0,0,0,0.84,0
382,,Mamadou Fall,0,0.09,0,0,1.44,0.09
383,,Junior Caiçara,0,0.25,0,0,0.75,0.08
384,,Strahil Popov,0,0.05,0,0,1.82,0.09
385,,Famara Diédhiou,0,0,0,0,0,0
386,,Muhammet Arslantaş,0,0,0,0,0.5,0
387,,Taha Altıkardeş,0,0,0,0,0.67,0.67
388,,Admir Mehmedi,0,0,0,0,0.2,0.3
389,,Jeffrey Bruma,0,0.2,0,0,1.4,0
390,,Murat Cem Akpinar,0,0,0,0,0.4,0.07
391,,Endri Çekiçi,0,0,0,0,0.8,0.1
392,,Raoul Petretta,0,0,0,0,1.67,0
393,,Yasin Güreler,0,0.07,0,0,0.64,0.29
394,,Serkan Göksu,0,0,0,0,1.14,0.1
395,,Ramazan Civelek,0,0,0,0,0.41,0.14
396,,Mert Çetin,0,0.1,0,0,0.7,0.3
397,,Henry Onyekuru,0,0.07,0,0,0.79,0.14
398,,Emrecan Uzunhan,0,0.07,0,0,0.87,0.07
399,,Adel Bettaieb,0,0,0,0,0.52,0.05
400,,Davide Biraschi,0,0.07,0,0,1.62,0.28
401,,Britt Assombalonga,0,0,0,0,0.33,0
402,,Valmir Veliu,0,0,0,0,0.31,0
403,,Cebrail Karayel,0,0.06,0,0,0.25,0.06
404,,Sadik Bas,0,0,0,0,0.6,0
405,,Arnaud Lusamba,0,0.07,0,0,0.93,0.14
406,,Yasin Özcan,0,0.05,0,0,1.42,0.11
407,,Berke Özer,4.4,0,0.6,0,2.8,0
408,,Umut Meraş,0,0,0,0,0.33,0.2
409,,Rayane Aabid,0,0.05,0,0,1.29,0.1
410,,Kevin Varga,0,0,0,0,0.64,0
411,,Tuncer Duhan Aksu,0,0.07,0,0,1.18,0.32
412,,Doğucan Haspolat,0,0.05,0,0,0.47,0.26
413,,Joher Khadim Rassoul,0,0.08,0,0,1.38,0.31
414,,Kerem Atakan Kesgin,0,0,0,0,0.25,0.38
