#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
139,,Charis Charisis,0.12,0,45.71,58.09,1.62,1.08
140,,Enis Bardhi,0.07,0,45.45,45.88,0.87,1.1
141,,Erdal Rakip,0.13,0,64.58,57.67,1.47,1.53
142,,Umut Bozok,0.11,0,32.61,41.06,0.74,0.89
143,,Adil Demirbağ,0.33,0.04,54.72,53.59,0.93,1.15
144,,Marlon,0.08,0.08,47.83,58,0.77,0.92
145,,Aytaç Kara,0.16,0,50,56.82,0.44,0.63
146,,Yonathan Del Valle,0.11,0,75,48.24,0.56,0.78
147,,Adnan Januzaj,0.09,0.09,33.33,49.45,1.18,0.64
148,,Ertuğrul Ersoy,0.3,0.04,50.82,59.4,0.35,0.74
149,,Patrick van Aanholt,0.2,0,61.54,61.36,0.5,0.6
150,,Papy Djilobodji,0.34,0.03,54.44,53.29,0.45,0.66
151,,Altay Bayındır,0.08,0,100,80,0.31,0.08
152,,Fredrik Ulvestad,0.14,0,62.69,58.17,0.96,1.14
153,,Kerim Alıcı,0,0,57.14,39.13,0,1
154,,Jovan Manev,0,0,78.26,62.5,0.13,0.75
155,,Haris Hajradinović,0.24,0,29.73,47.13,1.12,1.73
156,,Ali Sowe,0,0,32.39,36.49,1.34,1.44
157,,Lucas Biglia,0.24,0,48.65,50.24,1.04,1.16
158,,Okan Erdoğan,0.23,0,50.68,57.69,0.43,0.87
159,,Muammer Yıldırım,0,0,50,66.67,0.17,0
160,,Riad Bajić,0.03,0,34.91,41.39,1.32,0.62
161,,Volkan Babacan,0,0,66.67,66.67,0.24,0
162,,Vukan Savićević,0.23,0,51.61,51.79,1.19,0.77
163,,Benjamin Stambouli,0.1,0.03,58.14,54.67,0.77,0.73
164,,Bilal Bayazit,0.07,0.03,87.5,84.21,0.17,0.07
165,,Mame Thiam,0.07,0,48.6,44.13,0.78,1.41
166,,Muammer Sarıkaya,0.23,0,48.78,55.4,1.32,1.32
167,,Mame Biram Diouf,0,0.04,60.4,54.5,0.5,0.79
168,,Arif Kocaman,0.07,0,56.86,55.29,0.07,0.57
169,,Bruno Peres,0.43,0,50,60.42,0.43,1.29
170,,Mert Günok,0,0,83.33,85.71,0.17,0
171,,Onur Ergün,0.2,0,51.28,50,0.37,1.2
172,,Luan Peres,0.09,0.09,88.24,65.75,0.27,1
173,,Gökhan Inler,0.07,0,58.33,47.71,0.43,0.86
174,,Max Gradel,0.1,0.03,36.67,44.13,1.73,1
175,,Lionel Carole,0.17,0,61.22,56.79,1.22,1.17
176,,Fredy,0.19,0.04,37.5,48.89,0.85,1.19
177,,Léo Dubois,0.05,0,54.55,52.63,0.71,0.29
178,,Valon Ethemi,0.2,0,36.36,42.12,1.23,0.83
179,,Ömer Ali Şahiner,0.11,0.04,46.67,54.35,0.52,0.74
180,,Caner Osmanpaşa,0.13,0,62.92,59.88,0.43,0.61
181,,Juan Mata,0.06,0,0,40,0.38,0.19
182,,Wilson Eduardo,0.13,0,34.48,39.71,0.25,0.88
