#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
154,,Sung-joon Kim,0,0,28.57,46.67,0.5,0.5
155,,Hyeong-mo Yang,0,0,85.71,83.33,0.22,0
156,,Tae-hwan Kim,0.25,0,52.94,46.02,0.5,1
157,,Jong-seong Lee,0.38,0.05,52.63,55.49,1.38,1.05
158,,Seung-hun Oh,0.14,0,100,100,0.14,0
159,,In-jae Hwang,0.08,0,100,95.45,0.11,0
160,,Ung-heui Lee,0.18,0,57.89,58.57,0.27,0.82
161,,Thomás,0.14,0,16.67,51.12,1.89,0.68
162,,Dong-geon No,0.08,0,88.89,85.71,0.08,0
163,,Fejsal Mulić,0.09,0,54.74,50,0.5,0.45
164,,Geon-ung Kim,0.26,0,48,40.38,0.13,1.13
165,,Kim Shin-jin,0.19,0,45.65,44.5,0.59,1.04
166,,Shi-yeong Lee,0.13,0,54.55,58.11,0.4,0.4
167,,Moon-hwan Kim,0,0.09,54.55,50.79,0.45,0.64
168,,Ji-hwan Mun,0.3,0,68.57,55.47,0.63,0.78
169,,Gustavo,0.07,0,52.74,49.06,0.7,0.93
170,,Masatoshi Ishida,0,0,26.67,39.05,0.6,0.8
171,,Dong-Won Ji,0.1,0,64.71,50,0.6,0.5
172,,Seung-gyu Han,0.12,0,36.36,45.95,0.29,0.59
173,,Jeong-hwan Kim,0,0,25,22.22,0.5,0.5
174,,Sang-min Shim,0.05,0,45.45,54.13,1.33,0.48
175,,Young-sun Yun,0,0,100,100,0,0
176,,Wi-je Cho,0,0,50,53.85,1,1
177,,Lim Hyung-jin,0,0,66.67,50,0,1
178,,Hwang Do-yoon,0,0,0,60,0,1
179,,Ho-yeong Seong,0,0,50,66.67,1,0.5
180,,Song Jun-Seok,0,0,75,53.85,1.5,2.5
181,,Park Jin-hong,0,0,50,50,0.5,1
182,,Gang-han Lee,0,0,0,60,0,0
183,,Kim Seung Woo,0,0,50,53.57,0.2,0.4
184,,Jun Lee,0.15,0,100,85.71,0.08,0
185,,Jin-su Seo,0.06,0,31.25,40.8,1.15,0.59
186,,Jong-beom Baek,0.08,0,100,92.31,0.15,0
187,,Yeong-eun Choi,0.22,0,100,100,0.28,0
188,,Murilo,0.13,0,39.13,46.72,1.4,0.67
189,,Dong-jin Park,0.18,0,35.42,34.04,0.41,0.88
190,,Bo-seob Kim,0.06,0,28.57,38.4,0.64,0.94
191,,Jeong-hyeob Lee,0.1,0,36.36,38.52,0.4,0.45
192,,Bo-kyung Choi,0,0,41.18,57.58,0.54,0.23
193,,Park Cheol-woo,0.1,0,58,59.58,0.94,0.68
194,,Byong-jun An,0.03,0,54.09,51.06,1.1,0.72
195,,Lucas Barcellos,0.1,0,22.73,40.13,1.48,1.45
196,,Lim Jong Eun,0,0,55,65.38,0.5,0
197,,Oh-kyu Kim,0.27,0,64.13,58.18,0.73,0.67
198,,Park Jae-yong,0,0,48.89,41.18,0.38,0.38
199,,Hugo Gomes,0.18,0.06,67.07,66.05,0.88,0.59
200,,Seung-mo Lee,0.2,0,46.88,48.21,0.5,0.7
201,,Keita Suzuki,0.19,0,33.33,53.75,0.62,0.42
202,,Yago Cariello,0,0,45.24,48,0.64,0.55
