#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
201,,Keita Suzuki,1.69,0.81,0,0.65,0,0.65
202,,Yago Cariello,0.55,0.64,0,0.36,0,0.36
203,,Mu-yeol Ko,0.33,0.17,0,0.17,0,0
204,,Seok-yeong Yun,1,0.91,0.03,2.5,0,0.5
205,,Lee Ho-jae,0.42,0.14,0,0.33,0,0.31
206,,Go Myeong Seok,1.23,0.86,0,3.5,0,0.55
207,,Soon-min Hwang,1.5,0.13,0,1.13,0,0.25
208,,Seon-min Moon,0.5,0.18,0,0.21,0,0.59
209,,Seung-dae Kim,0.47,0.29,0,0.21,0,0.35
210,,Seung-seob Kim,0.45,0.17,0,0.14,0,0.07
211,,Seon-min Kim,1.43,1.67,0.03,1.23,0,0.77
212,,Bae Jun-Ho,1.24,0.65,0,0.35,0,0.65
213,,Jeong-won Eo,1,0,0,0.5,0,0
214,,Ju-kong Kim,1.39,0.32,0,0.18,0,0.75
215,,In-su Yu,1.59,0.56,0,0.89,0,0.85
216,,Su-il Park,1.42,0.97,0,1.17,0,0.39
217,,Koo Ja-Cheol,1.31,0.56,0,0.44,0,0.19
218,,Dong-ho Jeong,1.7,0.73,0,0.93,0.07,0.67
219,,Hyeon-sik Lee,2,1,0.03,1.03,0,0.79
220,,Seung-un Ha,0.61,0.17,0,0.28,0,0.56
221,,Joo-won Kim,0.68,0.96,0,4.25,0,0.25
222,,Min-deok Kim,1,1.27,0,3.27,0,0.38
223,,Seong-ung Maeng,1.06,1.06,0,0.53,0,1
224,,Kwang-hun Shin,0.38,0.81,0,0.48,0,0.33
225,,Seong-Hoon Cheon,0.17,0,0.06,0.67,0,0
226,,Bae-jong Park,0,0,0,1.58,0,0.08
227,,Jackson Lachlan,1.16,1,0,4.4,0,0.16
228,,Kang Hyun Yu,0.42,0.19,0,0.31,0,0.23
229,,Anton Krivotsyuk,1.52,1.06,0.03,2.94,0,0.85
230,,Kyo-won Han,0.71,0.29,0,0.43,0,0.43
231,,Park Seung-ho,1.11,0.22,0,0.56,0,1
232,,Yoon Jae-woon,0.83,0.67,0,0.83,0,0
233,,Jo Hyun-tae,0.1,0.1,0,1,0,0
234,,Lee Kang-Hyeon,0.77,0.54,0,0.96,0,0.31
235,,Ju-yong Lee,1.88,1.21,0,1.18,0,0.58
236,,Jun-yeob Kim,1.29,0.89,0,0.93,0,0.68
237,,Soo-bin Lee,1.79,0.64,0,0.79,0,0.93
238,,Yeong-uk Kim,1.27,0.73,0,0.82,0,0.64
239,,Kyeong-min Kim,0.22,0.22,0,0.11,0,0
240,,Beka Mikeltadze,0.7,0.6,0,1,0,0.6
241,,Hyeon-uh Kim,1.27,0.54,0.04,3.65,0,0.31
242,,Park Sang-Hyeok,0.6,0.12,0,0.08,0,0.28
243,,Dong-jun Lee,0.83,0.22,0,0.26,0,0.52
244,,Tae-hwan Kim,1.63,0.92,0,2.04,0,0.58
245,,Si-hoo Hong,0.67,0.33,0,0.33,0,0.25
246,,Dino Islamović,0.5,0.13,0,0.88,0,0.13
247,,Jang Si-young,0.78,0.22,0,0.11,0,0.11
248,,Shin Sang-Eun,0.53,0.21,0,0.21,0,0.11
249,,Jin-yong Lee,2.32,0.81,0,0.65,0,0.81
