#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
357,,Dae-kwang Lee,0,0,0,0,0,0.2
358,,In-sung Kim,0,0,0,0,0.38,0.15
359,,Kim Dae-Woo,0,0,0,0,0.27,0.18
360,,Lee Sang-min,0,0.05,0,0,0.45,0.05
361,,Kang Sang-Yun,0,0,0,0,0.33,0.33
362,,Dae-jung Kim,0,0,0,0,0,0
363,,Kim Do-Yoon,0,0,0,0,0.33,0
364,,Yun-seong Kang,0,0,0,0,1.38,0.15
365,,Kim Ye-sung,0,0,0,0,0.6,0
366,,Jeon Seong-jin,0,0,0,0,0,0
367,,Werik Popó,0,0,0,0,0.57,0
368,,Jang Jae-Woong,0,0,0,0,0.24,0.1
369,,Hyeon-je Kang,0,0,0,0,1.5,0
370,,Eun-woo Jeong,0,0,0,0,0,0
371,,Beom-young Lee,4.67,0.33,0.33,0,2.67,0.33
372,,Kim Hyun-seo,0,0,0,0,0,0
373,,Jae-min Seo,0,0,0,0,0,0
374,,Hyeong-keun Kim,0,0,0,0,0,0
375,,Paulo Rocha,0,0,0,0,0.5,0.5
376,,Won-jin Jeong,0,0,0,0,0,0.5
377,,Kim Jong-Seok,0,0,0,0,0.5,0.5
378,,Hyun-soo Hwang,0,0,0,0,0.36,0
379,,Han Jong-Mu,0,0,0,0,0.29,0.18
380,,Jun-jae Myung,0,0,0,0,1.13,0.13
381,,Sang-ki Lee,0,0.11,0,0,0.42,0
382,,Gi Sang-wook,0,0,0,0,0.11,0
383,,Dae-hwan Kim,0,0,0,0,0.2,0
384,,Chang-woo Park,0,0,0,0,0.33,0
385,,Sunho Kwon,0,0,0,0,0.08,0.08
386,,Jae-hee Jeong,0,0,0,0,0.43,0.29
387,,Seo Dong-han,0,0,0,0,0.67,0
388,,Sang-hoon Paik,0,0,0,0,0.5,0
389,,Kyung-rok Park,0,0.5,0,0,0.5,0.5
390,,Yo-han Go,0,0,0,0,0.17,0
391,,Kim Yeong-jun,0,0,0,0,0.22,0
392,,Ju Young-Jae,0,0,0,0,0.13,0.13
393,,Son Seung-beom,0,0,0,0,1,0
394,,Yun-ho Jang,0,0,0,0,0.5,0
395,,Seong-min Kim,0,0,0,0,0,0
396,,Kyu-hyeong Kim,0,0,0,0,0.2,0.2
397,,Kang Min-Sung,0,0,0,0,0.25,0
398,,Hu-sung Oh,0,0,0,0,0.33,0
399,,Jae-hun Choi,0,0,0,0,0.5,0.5
400,,Lee Seon-yu,0,0,0,0,0.5,0
401,,Seung-uh Ryu,0,0,0,0,0.75,0.25
402,,Seung-woo Seo,0,0,0,0,1,0
403,,Seong-min Hwang,3,0,0,0,2,0
404,,Sang-ki Min,0,0,0,0,3,0
405,,Kwang-Il Park,0,0,0,0,0,0.5
406,,Kim Jae-hyun,0,0,0,0,0,0
