#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
192,,Bo-kyung Choi,0,0,100,0,0,0
193,,Park Cheol-woo,0,0,52,0.39,0,0
194,,Byong-jun An,0.17,0.28,31.58,1.93,0.03,0
195,,Lucas Barcellos,0.16,0.13,42.5,2.03,0,0
196,,Lim Jong Eun,0,0,100,0.25,0,0
197,,Oh-kyu Kim,0.03,0,52.94,0.37,0,0
198,,Park Jae-yong,0.25,0,0,0.88,0.13,0
199,,Hugo Gomes,0.06,0,0,0.88,0.06,0
200,,Seung-mo Lee,0.1,0.1,63.64,1,0,0
201,,Keita Suzuki,0.08,0,50,0.46,0,0
202,,Yago Cariello,0.09,0.18,57.14,1,0,0
203,,Mu-yeol Ko,0,0,66.67,0.67,0,0
204,,Seok-yeong Yun,0,0,44.44,0.25,0,0
205,,Lee Ho-jae,0.22,0.14,37.93,1.17,0.03,0
206,,Go Myeong Seok,0,0.05,100,0.27,0,0
207,,Soon-min Hwang,0,0,50,0.13,0,0
208,,Seon-min Moon,0.18,0.06,44.62,1.44,0,0
209,,Seung-dae Kim,0.09,0.18,26.92,0.62,0,0
210,,Seung-seob Kim,0.07,0.03,46.51,0.79,0.03,0
211,,Seon-min Kim,0,0,66.67,0.43,0,0
212,,Bae Jun-Ho,0.12,0,53.33,0.76,0.06,0
213,,Jeong-won Eo,0,0,0,0.5,0,0
214,,Ju-kong Kim,0.11,0.25,47.54,1.64,0.07,0
215,,In-su Yu,0.04,0.07,62.96,0.59,0.04,0
216,,Su-il Park,0.03,0.08,43.18,0.44,0,0
217,,Koo Ja-Cheol,0,0.06,41.18,0.94,0,0
218,,Dong-ho Jeong,0,0,40,0.47,0,0
219,,Hyeon-sik Lee,0.07,0,50,0.41,0,0
220,,Seung-un Ha,0.11,0.06,33.33,0.67,0,0
221,,Joo-won Kim,0,0,100,0.18,0,0
222,,Min-deok Kim,0.08,0.08,68.75,0.31,0,0
223,,Seong-ung Maeng,0,0.06,40,0.53,0,0
224,,Kwang-hun Shin,0,0,75,0.19,0,0
225,,Seong-Hoon Cheon,0.33,0.17,46.67,1.44,0.11,0
226,,Bae-jong Park,0,0,0,0,0,0
227,,Jackson Lachlan,0,0.12,60,0.64,0,0
228,,Kang Hyun Yu,0.04,0.15,42.86,1.12,0,0
229,,Anton Krivotsyuk,0.03,0,51.52,0.33,0,0
230,,Kyo-won Han,0.18,0.11,33.33,1.25,0.04,0
231,,Park Seung-ho,0.11,0.11,16.67,1,0,0
232,,Yoon Jae-woon,0,0,33.33,0.5,0,0
233,,Jo Hyun-tae,0,0,0,0,0,0
234,,Lee Kang-Hyeon,0.04,0,56.25,0.35,0,0
235,,Ju-yong Lee,0,0.03,50,0.79,0,0
236,,Jun-yeob Kim,0.04,0.04,33.33,0.29,0,0
237,,Soo-bin Lee,0,0,61.11,0.64,0,0
238,,Yeong-uk Kim,0,0,44.44,0.32,0,0
239,,Kyeong-min Kim,0.22,0.11,30,0.56,0,0
240,,Beka Mikeltadze,0.2,0,45.45,0.8,0,0
241,,Hyeon-uh Kim,0,0.04,80,0.23,0,0
242,,Park Sang-Hyeok,0.16,0.08,0,0.8,0,0
243,,Dong-jun Lee,0,0.04,25,0.7,0,0
244,,Tae-hwan Kim,0,0.04,47.83,0.54,0,0
245,,Si-hoo Hong,0.17,0.17,0,0.92,0,0
246,,Dino Islamović,0,0,33.33,1.13,0,0
247,,Jang Si-young,0.11,0.11,36.36,0.44,0,0
248,,Shin Sang-Eun,0.21,0.05,50,0.68,0,0
249,,Jin-yong Lee,0,0,46.67,0.29,0,0
250,,Gustav Ludwigson,0.23,0.27,31.43,1.38,0,0
251,,Galego,0.06,0.06,50,1.77,0,0
252,,Min-ho Yoon,0,0,75,0.67,0,0
253,,Seong-uk Jin,0,0,100,1,0,0
254,,Su-huk Jo,0,0,0,0,0,0
255,,Won-woo Lee,0,0,66.67,0.5,0,0
256,,Hosam Aiesh,0,0,0,0.67,0,0
257,,Lee Min-Hyeok,0,0,66.67,0.33,0,0
258,,Il-Lok Yun,0,0,70,0.71,0,0
259,,Son Ho-Jun,0,0,65,0.25,0,0
260,,Sang-hun Yu,0,0,0,0,0,0
261,,Kim Min-Seok,0.11,0,72.73,0.56,0,0
262,,Daewon Park,0,0,80,0.19,0,0
263,,Jae-hyeon Go,0.24,0.3,40.48,1.89,0.08,0
264,,Han-gil Kim,0.1,0.03,50,0.59,0.03,0
265,,Min-hyeon Kong,0,0,66.67,0.2,0,0
266,,Kyeong-hyeon Min,0,0,59.38,0.37,0,0
267,,Welinton Junior,0,0.33,10,2.22,0,0
268,,Jin-ho Kim,0.08,0.08,50,0.48,0,0
269,,Ji-hun Kang,0,0,46.15,0.5,0,0
270,,Shi-uh Song,0,0.14,28.57,1.29,0,0
271,,Lee Joon-Ho,0,0,50,0.25,0,0
272,,Uh-seok Kim,0,0,66.67,0.08,0,0
273,,Se-gye Sin,0,0,62.5,0.3,0,0
274,,Jin-woo Jeon,0.05,0.19,53.33,1.29,0.05,0
275,,Byeong-hyeon Park,0,0.08,100,0.33,0,0
276,,Byeon Jun-soo,0.07,0.07,0,0.4,0.07,0
277,,Sang-hyeob Lim,0.14,0.18,52,1.05,0,0
278,,Lim Yoo-seok,0,0,20,0.67,0,0
279,,Bo-kyung Kim,0,0.35,41.46,0.87,0,0
