#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
274,,William Kenndal,0,0,100,0,0,0
275,,Diego Alfonsi,0,0,0,0,0,0
276,,Alexander Lindskog,0,0,0,0,0,0
277,,Silas Nwankwo,0,0,100,0,0,0
278,,Rebin Sulaka,0,0,0,0,0,0
279,,Andre Boman,0,0,100,0,0,0
280,,David Mitov Nilsson,0,0,0,0,0,0
281,,Yahya Kalley,0,0,61.54,0.07,0,0
282,,Joseph-Claude Gyau,0.04,0,62.67,0.85,0,0
283,,Adam Wikman,0,0,25,0.35,0,0
284,,Jacob Trenskow,0,0.13,70.83,0.88,0,0
285,,Abdihakin Ali,0,0,43.75,0.23,0,0
286,,Stojan Lukić,0,0,0,0,0,0
287,,Jack Cooper Love,0.11,0.26,25.93,1.07,0.07,0
288,,Victor Kaj Edvardsen,0.18,0.27,25,1.27,0,0
289,,Tobias Sana,0.08,0.08,0,0.69,0,0
290,,Gustav Lindgren,0.19,0.06,66.67,0.5,0,0
291,,Oscar Uddenäs,0.1,0.2,45.45,0.7,0,0
292,,Charlie Vindehall,0,0,100,0.4,0,0
293,,Sebastian Eriksson,0,0.05,78.57,0.14,0,0
294,,Eric Alexander Johansson,0.08,0.04,36.36,1,0,0
295,,Jakob Voelkerling Persson,0,0.11,46.67,0.56,0,0
296,,Mads Borchers,0.08,0,14.29,1.69,0.08,0
297,,Camil Jebara,0,0,100,0.4,0,0
298,,Zachary Elbouzedi,0,0,66.67,0.29,0,0
299,,Noel Milleskog,0.09,0.09,60,0.91,0.09,0
300,,Laorent Shabani,0.07,0.13,68.75,0.67,0,0
301,,Adam Petersson,0,0,33.33,0.14,0,0
302,,Joseph Ceesay,0,0,60.71,0.42,0,0
303,,Jonas Olsson,0,0,0,0,0,0
304,,Musa Qurbanlı,0.14,0.43,69.23,1.57,0.07,0
305,,Marcus Baggesen,0,0,35.9,0.36,0,0
306,,Ali Youssef,0.4,0.2,25,1.2,0,0
307,,Adrian Skogmar,0,0,75,0,0,0
308,,Søren Rieks,0.11,0.18,27.27,1,0,0
309,,Arvid Brorsson,0.07,0.14,14.29,0.55,0,0
310,,Tim Rönning,0,0,0,0,0,0
311,,Victor Andersson,0,0.5,75,1,0,0
312,,Viktor Agardius,0,0,0,0,0,0
313,,Malte Pahlsson,0,0,0,0,0,0
314,,Kristopher Da Graca,0,0,50,0.38,0,0
315,,Gabriel Wallentin,0.07,0.07,50,0.4,0.07,0
316,,Oliver Silverholt,0,0,45.45,0.54,0,0
317,,Kevin Höög Jansson,0,0.22,75,0.56,0,0
318,,Victor Karlsson,0.07,0,40.63,1.18,0,0
319,,Axel Lindahl,0,0,61.54,0.08,0,0
320,,Jacob Laursen,0,0,20,0.6,0,0
321,,Edi Sylisufaj,0.07,0,28.57,0.79,0,0
322,,Anton Kralj,0,0,60,0.27,0,0
323,,Suleiman Abdullahi,0,0.08,100,0.75,0,0
324,,John Guidetti,0.07,0.29,66.67,1.5,0,0
325,,Fredrik Nissen,0,0,0,0.4,0,0
326,,Dijan Vukojevic,0.23,0.69,40.74,3.62,0,0
327,,Wilmer Odefalk,0.07,0.07,44.44,0.79,0,0
328,,Freddy Winst,0,0,80,0.2,0,0
329,,Edvin Becirovic,0.13,0.13,60,0.38,0,0
330,,Ola Kamara,0,0.17,0,0.33,0,0
331,,Ludvig Carlius,0,0,0,0,0,0
332,,Andri Guðjohnsen,0,0,80,0.38,0,0
333,,Ahmed Qasem,0.04,0.11,40.28,0.86,0,0
334,,Viktor Bergh,0.04,0,54.55,0.46,0,0
335,,Vá,0.18,0.18,39.13,1.09,0.09,0
336,,Sean Sabetkar,0,0,100,0,0,0
337,,Mamudo Moro,0,0.11,54.55,0.78,0,0
338,,Harun Ibrahim,0,0,100,0,0,0
339,,August Mikkelsen,0.05,0.05,41.18,0.71,0,0
340,,Noah Shamoun,0.11,0.07,40.91,0.85,0,0
341,,Alex Timossi Andersson,0,0.13,63.64,0.88,0,0
342,,Oscar Lewicki,0,0.04,66.67,0.13,0,0
343,,Imam Jagne,0.09,0,46.15,1,0,0
344,,Taha Ayari,0.05,0.15,53.06,1.05,0,0
345,,Alexander Abrahamsson,0,0,60,0,0,0
346,,Joel Nilsson,0.06,0.13,60,0.5,0,0
347,,Kristoffer Khazeni,0.06,0.06,46.88,0.72,0,0
348,,Malcom Jeng,0,0,50,0.1,0,0
349,,Kevin Jensen,0,0,0,0.33,0,0
350,,Samuel Kotto,0,0,0,0,0,0
351,,Filip Linderoth,0,0,0,0,0,0
352,,Noel Sernelius,0,0,0,0,0,0
353,,Isak Brusberg,0,0,33.33,0,0,0
354,,Liam Jordan,0,0.13,100,1.13,0,0
355,,Carlos Moros Gracia,0,0.13,100,0.38,0,0
356,,Pashang Abdulla,0,0,50,1,0,0
357,,Thomas Boakye,0.05,0.14,30,1.14,0.05,0
358,,Marcus Rafferty,0,0.08,63.64,0.15,0,0
359,,Noah Söderberg,0.1,0.05,33.33,0.81,0,0
360,,Oliver Alfonsi,0.17,0,23.08,1.08,0,0
361,,Tommi Vaiho,0,0,100,0,0,0
362,,Alexander Johansson,0.09,0.18,35.71,1.18,0,0
363,,Fortune Akpan Bassey,0,0.09,71.43,0.64,0,0
364,,Justin Salmon,0.04,0,44.44,0.38,0,0
365,,Gottfrid Rapp,0,0.29,100,0.71,0,0
366,,Jesper Tolinsson,0,0,50,0.2,0,0
367,,Kenan Bilalovic,0,0,66.67,0.36,0,0
368,,Motaraghebjafarpour Arash,0,0,14.29,0,0,0
369,,Jonah Kusi Asare,0,0,100,0.5,0,0
370,,Jacob Ortmark,0,0,58.82,0.75,0,0
371,,Oskar Sverrisson,0,0,56.52,0.5,0,0
372,,Pavle Vagić,0,0,50,0,0,0
373,,Niklas Dahlström,0.04,0,54.55,0.48,0,0
374,,Linus Carlstrand,0,0.06,62.5,0.5,0,0
375,,Erik Lindell,0.25,0,50,0.5,0,0
376,,Yusuf Abdulazeez,0,0,100,0.5,0,0
377,,Bubacarr Trawally,0,0,33.33,1,0,0
378,,Carl Johansson,0,0,50,0.33,0,0
379,,Filip Olsson,0,0,100,0,0,0
380,,Ture Sandberg,0,0,100,0.33,0,0
381,,Saku Ylätupa,0,0,100,0,0,0
382,,De Pievre Ilunga,0,0,100,0,0,0
383,,Robin Tranberg,0.08,0,60.87,0.67,0.04,0
384,,Anders Trondsen,0,0,71.43,0.33,0,0
385,,Jakob Kindberg,0,0,0,0,0,0
386,,Filipe Sissé,0,0,54.55,0.2,0,0
387,,Kristoffer Hoven,0,0.27,50,0.73,0,0
388,,Abundance Salaou,0,0,33.33,0.5,0,0
389,,Carl Björk,0.11,0.22,42.86,0.67,0,0
390,,Emin Hasić,0,0,0,0,0,0
391,,Frank Adjei,0,0,33.33,0.89,0,0
392,,Oliver Stanisic,0.08,0.15,0,0.77,0,0
393,,Gustav Sandberg Magnusson,0,0,37.5,0.65,0,0
394,,Filip Trpcevski,0,0.25,20,1,0,0
395,,Villiam Granath,0,0.08,66.67,0.08,0,0
396,,Oscar Wallin,0,0.08,73.33,0.15,0,0
397,,Lamaur Neto,0,0,28.57,0.78,0,0
398,,Ari Freyr Skúlason,0,0,50,0.07,0,0
399,,Mahamé Siby,0,0,0,1,0,0
400,,Saidou Alioum Moubarak,0,0,0,0,0,0
401,,Daníel Tristan Gudjohnsen,0,0,0,0,0,0
402,,Isak Bjerkebo,0,0,0,0,0,0
403,,Vilmer Tyren,0,0,0,0,0,0
404,,Deniz Gul,0,0.67,50,1.67,0,0
405,,Albin Ahlstrand,0,0,66.67,0,0,0
406,,Christian Kouakou,0,0,0,0.2,0,0
407,,August Ljungberg,0,0,100,0.2,0,0
408,,Vilmer Ronnberg,0,0,85.71,0.31,0,0
409,,Ishaq Abdulrazak,0,0,16.67,0.29,0,0
410,,Axel Bjornström,0,0.07,66.67,0.43,0,0
411,,Anton Kurochkin,0,0,33.33,0.86,0,0
412,,Lukas Hägg Johansson,0,0,0,0,0,0
413,,Andre Picornell,0,0,0,0,0,0
414,,Emil Roback,0,0,0,0.33,0,0
415,,Kevin Holmén,0,0,50,0,0,0
