#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
288,,Victor Kaj Edvardsen,0.36,0,0,0,0,0.45
289,,Tobias Sana,0.23,0,0,0.23,0,0
290,,Gustav Lindgren,0.19,0.13,0,0.19,0,0.38
291,,Oscar Uddenäs,1.1,0.4,0,0.1,0,0.7
292,,Charlie Vindehall,1,0,0,0.8,0,0.4
293,,Sebastian Eriksson,1.05,0.68,0,0.64,0,0.77
294,,Eric Alexander Johansson,0.71,0.33,0,0.17,0,0.67
295,,Jakob Voelkerling Persson,1.19,1,0.04,3.33,0,0.78
296,,Mads Borchers,1.85,0.38,0,1.08,0,1.46
297,,Camil Jebara,0,0,0,0,0,0
298,,Zachary Elbouzedi,0.43,0.14,0,0,0,0
299,,Noel Milleskog,0.36,0.09,0,0,0,0.09
300,,Laorent Shabani,0.87,0.73,0,0.2,0,0.67
301,,Adam Petersson,0.57,0.29,0,0.57,0,0.71
302,,Joseph Ceesay,1,0.21,0,1.05,0,0.21
303,,Jonas Olsson,0,0.17,0,2,0,0
304,,Musa Qurbanlı,0.36,0.07,0,0.21,0,0.36
305,,Marcus Baggesen,1.18,1.07,0,1.61,0,0.43
306,,Ali Youssef,0.2,0.2,0,0.2,0,0
307,,Adrian Skogmar,1.6,0.6,0,0.2,0,0.6
308,,Søren Rieks,0.43,0.39,0,0.32,0,0.61
309,,Arvid Brorsson,1,0.9,0,1.52,0.07,0.48
310,,Tim Rönning,0,0,0,0.5,0,0
311,,Victor Andersson,0,0.5,0,0,0,0
312,,Viktor Agardius,1,2,0,4.5,0,0.5
313,,Malte Pahlsson,0,0.17,0,0.83,0.17,0
314,,Kristopher Da Graca,0.75,0.63,0,0.88,0,0
315,,Gabriel Wallentin,0.47,0.67,0.07,4.73,0,0
316,,Oliver Silverholt,0.92,0.58,0,1.04,0.04,0.65
317,,Kevin Höög Jansson,0.89,1.22,0.11,1,0,0.22
318,,Victor Karlsson,0.75,0.75,0,0.71,0,0.93
319,,Axel Lindahl,1.33,0.92,0.04,0.83,0,0.54
320,,Jacob Laursen,0.2,0.4,0,0.6,0,0.2
321,,Edi Sylisufaj,0.36,0.14,0,0.14,0,0.21
322,,Anton Kralj,0.36,0.64,0,0.55,0,0.09
323,,Suleiman Abdullahi,0.25,0.08,0,0.08,0,0
324,,John Guidetti,0.21,0.21,0,0.43,0,0.29
325,,Fredrik Nissen,0.2,0,0,1.2,0,0.1
326,,Dijan Vukojevic,0.31,0,0,0.46,0,0.23
327,,Wilmer Odefalk,0.86,0.29,0,0.07,0,0.93
328,,Freddy Winst,0.6,0.35,0,0.85,0,0.5
329,,Edvin Becirovic,0.63,0,0,0.13,0,0.63
330,,Ola Kamara,0.08,0.08,0,0.08,0,0.08
331,,Ludvig Carlius,0.4,0.2,0,0,0,0
332,,Andri Guðjohnsen,0.38,0.31,0,0.31,0,0.44
333,,Ahmed Qasem,1.25,0.29,0,0.36,0,0.75
334,,Viktor Bergh,1.11,0.71,0,1.21,0,0.61
335,,Vá,0.73,0.27,0,0.09,0,0.18
336,,Sean Sabetkar,0.2,0.4,0,0.4,0,0.4
337,,Mamudo Moro,0.33,0.33,0,0.22,0,0.22
338,,Harun Ibrahim,0.33,0.17,0,0.5,0,0
339,,August Mikkelsen,0.57,0.14,0,0.24,0,0.48
340,,Noah Shamoun,1.07,0.3,0,0.33,0,0.52
341,,Alex Timossi Andersson,0.88,0,0,0.38,0,0.38
342,,Oscar Lewicki,0.61,0.35,0,0.3,0,0.22
343,,Imam Jagne,0.55,0,0,0.36,0,0.27
344,,Taha Ayari,1.35,0.15,0,0.1,0,0.75
345,,Alexander Abrahamsson,1.55,1.64,0,3.55,0.09,0.91
346,,Joel Nilsson,0.56,0.5,0.06,0.38,0,0.5
347,,Kristoffer Khazeni,0.78,0.22,0,0.11,0,0.61
348,,Malcom Jeng,0.5,0.7,0,2.35,0,0.4
349,,Kevin Jensen,0.25,0,0,0.25,0,0.58
350,,Samuel Kotto,0,0,0,0,0,0
351,,Filip Linderoth,0,1,0,0,0,0
352,,Noel Sernelius,0,0.5,0,0,0,0.5
353,,Isak Brusberg,0.5,0,0,0,0,0
354,,Liam Jordan,0.63,0.38,0,0.13,0,0.5
355,,Carlos Moros Gracia,0.63,0.13,0,2.13,0,0
356,,Pashang Abdulla,0.36,0.07,0,0.21,0,0.14
357,,Thomas Boakye,1.14,0.57,0,1,0,0.71
358,,Marcus Rafferty,0.08,0,0,0.08,0,0
359,,Noah Söderberg,0.67,0.62,0,0.57,0,1
360,,Oliver Alfonsi,1.5,0.83,0,0.42,0,0.92
361,,Tommi Vaiho,0,0,0.14,1.14,0,0
362,,Alexander Johansson,0.55,0.32,0,0.09,0,0.32
363,,Fortune Akpan Bassey,0.27,0.18,0,0.09,0,0.27
364,,Justin Salmon,0.67,0.17,0,0.54,0,0.38
365,,Gottfrid Rapp,0.29,0.14,0,0.14,0,0
366,,Jesper Tolinsson,0.9,0.7,0,1.7,0,0.3
367,,Kenan Bilalovic,0.45,0,0,0.09,0,0.18
368,,Motaraghebjafarpour Arash,0.28,0.44,0,0.56,0,0.11
369,,Jonah Kusi Asare,0,0,0,0,0,0
370,,Jacob Ortmark,0.5,0.69,0,0.5,0,0.56
371,,Oskar Sverrisson,1.27,0.91,0,2,0,0.64
372,,Pavle Vagić,0.33,0.11,0,0,0,0.22
373,,Niklas Dahlström,1,0.64,0.04,1.88,0,0.4
374,,Linus Carlstrand,0.38,0,0,0.63,0,0.38
375,,Erik Lindell,0,0,0,0.75,0,0.75
376,,Yusuf Abdulazeez,0.5,0,0,0,0,0.5
377,,Bubacarr Trawally,0.67,0,0,0,0,0
378,,Carl Johansson,0,0,0,0,0,0
379,,Filip Olsson,0,0,0,0.33,0,0
380,,Ture Sandberg,0,0,0,0,0,0.33
381,,Saku Ylätupa,0,0,0,0.25,0,0.25
382,,De Pievre Ilunga,1.25,0,0,0.25,0,0.5
383,,Robin Tranberg,0.79,0.67,0,0.58,0,0.75
384,,Anders Trondsen,0.33,0.58,0,0.25,0,0.42
385,,Jakob Kindberg,0,0,0,1,0,0.2
386,,Filipe Sissé,1.27,0.2,0,0.07,0,0.33
387,,Kristoffer Hoven,0.36,0.09,0,0.36,0,0.09
388,,Abundance Salaou,0.75,0.33,0,0.33,0,0.33
389,,Carl Björk,1.11,0,0,0.78,0,0.56
390,,Emin Hasić,0.25,0,0,0.75,0,0
391,,Frank Adjei,0.44,0.22,0,0.11,0,0.67
392,,Oliver Stanisic,1.08,0.38,0.08,3.38,0,0.15
393,,Gustav Sandberg Magnusson,0.7,0.45,0,1.1,0,0.4
394,,Filip Trpcevski,0,0,0,0.25,0,0.25
395,,Villiam Granath,0,0.17,0,0.33,0,0.42
396,,Oscar Wallin,1.62,1.08,0.08,1.92,0,0.46
397,,Lamaur Neto,0.56,0.33,0,0.33,0,0.56
398,,Ari Freyr Skúlason,0.29,0.29,0,0.71,0,0.21
399,,Mahamé Siby,0,0,0,1,0,0
400,,Saidou Alioum Moubarak,0,0,0,0,0,0
401,,Daníel Tristan Gudjohnsen,0,0,0,1,0,0
402,,Isak Bjerkebo,0,0,0,0,0,0
403,,Vilmer Tyren,0,0,0,0.5,0,0
404,,Deniz Gul,0,0,0,0,0,0
405,,Albin Ahlstrand,0,0,0,0,0,0
406,,Christian Kouakou,0,0,0,0,0,0
407,,August Ljungberg,0.2,0,0,0.2,0,0.4
408,,Vilmer Ronnberg,0.46,1.23,0.08,2,0,0.08
409,,Ishaq Abdulrazak,1.57,0.14,0.14,0.14,0,0.86
410,,Axel Bjornström,0.36,0.36,0,0.57,0,0.43
411,,Anton Kurochkin,1,0.86,0,0.14,0,1
412,,Lukas Hägg Johansson,0.14,0,0,0.57,0.14,0.29
413,,Andre Picornell,0,0,0,1.5,0,0
414,,Emil Roback,0.33,0,0,0,0,0.33
415,,Kevin Holmén,0.67,0.67,0,0.33,0,1
416,,Elai Ali Fadel,0.25,0,0,1,0,0
417,,Astrit Selmani,0.5,0.17,0,0.5,0,0.58
418,,Gustav Friberg,0.8,1.2,0,1.4,0,0.8
419,,Richie Omorowa,0,0,0,0,0,0.22
420,,Yassine El Ouatki,1.68,0.68,0.05,0.37,0,1.37
421,,Stephen Bolma,2,0,0,2,0,1
422,,Johnbosco Samuel Kalu,0,0,0,0,0,0
423,,Anomnachi Chinasa Chidi,0,0,0,0,0,0
424,,Noah Astrand John,1,0,0,0,0,1
425,,Elias Durmaz,0.5,0,0,0,0,0
426,,Villiam Dahlström,0.5,0,0,0,0,0
427,,Rony Jansson,0.5,0,0,0.75,0,0
428,,Elias Olsson,0.25,0.5,0,1.13,0.13,0.38
429,,Emil Özkan,0.22,0.33,0,0,0.11,0
430,,Fredrik Andersson,0,0,0,0.75,0.13,0.13
431,,Adnan Marić,0.5,0,0,1,0,0
432,,Maxime Anne Marie Sainte,0.53,0.21,0,0.74,0,0.53
433,,Love Bjornson,0.33,0,0,0,0,0
434,,Carl Ljungberg,1,0,0,0,0,1
435,,Jesper Dickman,0,0,0,0,0,0.33
