#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
145,,Bersant Celina,0.22,0,76.92,49.37,0.56,0.89
146,,Daniel Eid,0.15,0,55.71,51.69,0.85,1
147,,Colin Rösler,0.07,0,59.46,59.87,0.63,0.83
148,,David Löfquist,0.08,0,36,35.8,0.27,0.69
149,,Elyas Bouzaiene,0.11,0,58.54,56.45,1.21,0.86
150,,Ibrahim Sadiq,0.1,0.1,50,39.09,1.4,1.3
151,,David Olsson,0,0,100,71.43,0.2,0.1
152,,Herman Johansson,0.27,0,61.9,50.51,1,2.08
153,,Torbjörn Heggem,0.07,0,62.5,62.05,0.46,0.82
154,,Jens Jakob Thomasen,0.17,0,54.55,57.14,0.17,0.33
155,,Marco Lund,0.19,0.04,52.34,52.74,0.69,1.31
156,,Hugo Bolin,0.13,0,17.86,44.8,0.88,0.69
157,,Viktor Gustafson,0.07,0,56.25,52.76,1.14,1.64
158,,Fredrik Hammar,0.32,0,64.1,56.25,1.55,1.41
159,,Marko Johansson,0,0.09,100,83.33,0.09,0
160,,Piotr Johansson,0.1,0,56.67,55.41,1.17,1.03
161,,Loret Sadiku,0.13,0,54.9,49.01,0.54,1
162,,Andreas Johansson,0.11,0,48.48,54.55,0.36,0.61
163,,Emil Salomonsson,0.04,0,50,47.49,0.8,1
164,,Simon Sandberg,0.12,0,50,51.49,0.24,0.48
165,,Anton Eriksson,0.33,0,49.44,50.25,0.81,1.74
166,,Robin Tihi,0.08,0,37.93,54.65,0.23,0.46
167,,Phil Ofosu-Ayeh,0.07,0,52.27,55.02,1.04,0.93
168,,Moutaz Neffati,0.5,0,100,61.54,0.5,1
169,,Ivan Kričak,0.5,0,52.38,58.7,0.7,0.8
170,,Dino Beširović,0.08,0,44.83,50.93,1.67,1.67
171,,Kazper Karlsson,0.33,0,38.89,55.51,1.54,1.42
172,,Noah Eile,0.29,0,64.58,55.3,0.42,0.75
173,,Gustav Wikheim,0,0,31.25,47.67,0.91,0.45
174,,Aron Bjarnason,0.11,0,29.41,45.14,0.46,0.68
175,,Nathaniel Adjei,0.19,0.05,61.54,61.48,0.57,0.81
176,,Jetmir Haliti,0.14,0,55.56,58.91,0.62,0.57
177,,Albion Ademi,0.04,0,17.65,46.67,1.11,0.48
178,,Ísak Andri Sigurgeirsson,0,0,36.84,47.13,1.55,0.45
179,,Victor Larsson,0.17,0,52.11,51.71,0.69,0.9
180,,Sebastian Ohlsson,0.14,0,70.97,54.3,0.29,0.86
181,,Patrick Nwadike,0,0.11,58.97,56.76,1.11,1.33
182,,Pontus Dahlberg,0.04,0,100,92.31,0.21,0
183,,Jesper Lofgren,0.08,0,59.55,59.38,0.5,0.77
184,,Malkolm Nilsson,0.06,0,100,75,0.13,0
185,,Noel Tornqvist,0.07,0,75,70,0.07,0.07
186,,Assad Al-Hamlawi,0.13,0,47.62,36.36,0.25,1.75
187,,Sondre Rossbach,0,0,100,90.91,0.08,0.04
188,,Vincent Thill,0.13,0,0,50,1.5,0.63
189,,Albin Lohikangas,0.07,0,20,60,0.36,0.14
190,,Amane Romeo,0.22,0,51.52,50.2,1.96,1.04
191,,Joel Allansson,0.1,0,42.5,49.38,0.55,0.45
192,,Haris Radetinac,0.13,0,55,51.28,1.33,1.13
193,,Jacob Widell Zetterström,0.04,0.04,100,83.33,0.09,0.04
194,,Simon Hedlund,0.13,0,30,45,1.25,0.63
195,,Amadeus Sögaard,0.18,0.04,62.24,60,0.93,0.89
196,,Filip Sidklev,0.05,0,92.31,88.89,0.1,0.05
197,,Melker Hallberg,0.08,0,42.31,34.18,0.33,1.42
198,,Montader Madjed,0,0,28.57,53.95,0.5,0.31
199,,Markus Karlsson,0.11,0,37.5,57.36,0.95,0.53
200,,Jusef Erabi,0.09,0,41.56,45,1.48,0.74
201,,Tim Soderstrom,0.05,0,53.33,52.4,1.62,0.71
202,,Johan Martensson,0.11,0,52.17,51.02,0.44,0.89
203,,Jonathan Svedberg,0.21,0,51.85,41.81,0.46,1.17
204,,Theo Bergvall,0,0,0,0,0,0.5
205,,Davor Blažević,0,0,0,100,0.5,0
206,,Niklas Gunnarsson,0.09,0,75.68,68.97,0.55,0.64
207,,Rasmus Sjöstedt,0.07,0,43.37,41.26,0.17,0.66
208,,Naeem Mohammed,0.12,0,31.34,41.9,1.38,1.04
209,,Marijan Cosic,0,0,50,54.55,1.21,0.46
210,,Simon Thern,0.04,0,38.1,41.11,1.13,0.61
211,,Joeri de Kamps,0.31,0,38.46,42.74,0.31,2.54
212,,Jesper Gustavsson,0.21,0,34.21,51.38,1.66,1.52
213,,Wenderson,0.1,0,35.9,48.64,1.38,0.79
214,,Hampus Zackrisson,0.04,0,58.89,50.27,0.41,1.26
215,,Srđan Hrstić,0,0,52.63,47.62,0.8,0.7
216,,Tomas Totland,0,0,31.25,50,0.57,0.33
217,,Patriot Sejdiu,0,0,50,60.71,0.3,0
218,,Abdussalam Magashy,0.07,0,45.83,50,1.47,1.33
219,,Max Fenger,0.07,0,42.86,42.77,1.37,1.03
220,,Johan Dahlin,0,0,100,77.78,0,0
221,,Omar Faraj,0.08,0,34.02,43.24,1.79,0.96
222,,Besard Sabović,0.16,0,52.94,52.42,0.76,1.24
223,,Albin Mörfelt,0.5,0,66.67,65,1.25,0.5
224,,Johan Bångsbo,0,0,57.89,57.41,0.32,0.47
225,,Gustaf Norlin,0.14,0,38.2,52.13,1.34,0.66
226,,Moustafa Zeidan,0,0,0,52,0.63,0
227,,André Calisir,0.29,0,69.7,61.18,0.36,0.93
228,,Kristoffer Nordfeldt,0.07,0,100,77.78,0.1,0
229,,Jesper Ceesay,0.41,0,62.3,55.43,1.18,1.23
230,,Sveinn Aron Guðjohnsen,0.1,0,44.95,38.84,0.63,1.23
231,,Nikola Vasic,0.15,0,58.62,49.15,1.12,1.69
232,,Elliot Stroud,0.1,0,22.22,56.82,0.7,0.35
233,,Alexander Fesshaie,0.2,0,22.22,30.65,0.1,1.1
234,,Sebastian Hausner,0.13,0,49.37,48.08,0.58,1.25
235,,Simon Strand,0.23,0.04,48.89,53.3,1.35,1.5
236,,Jacob Bergström,0.1,0,42.22,42.42,0.38,0.71
237,,Magnus Kaastrup,0,0,11.11,57.14,1.7,0.5
238,,Per Frick,0.14,0,43.75,40.82,1.05,1.57
239,,Viktor Fischer,0,0,50,51.28,1.25,0.13
240,,Davíð Kristján Ólafsson,0.03,0,64.41,58.52,0.7,0.77
241,,Damjan Pavlović,0.24,0,69.23,53.16,0.29,1.06
242,,Dion Krasniqi,0.22,0,14.29,29.71,1.04,1.83
243,,Gudmundur Baldvin Nokkvason,0.14,0,20,48,0.14,0.57
244,,Vinicius Nogueira,0.1,0,59.26,56.59,1.8,0.85
245,,Leonard Žuta,0,0,100,100,0,0
246,,Argjend Miftari,0,0,66.67,50,0,0.5
247,,Marcus Olsson,0.09,0,57.75,53.45,0.17,0.52
248,,Peter Gwargis,0,0,16.67,44.35,0.54,0.21
249,,Maic Sema,0,0,44.44,47.83,0.24,0.35
250,,Jakob Tånnander,0,0,87.5,75,0.11,0
251,,Omur Pektas,0,0,80,46.15,0.2,0.4
252,,Bernardo Vilar,0,0,75,66.67,0.33,0.5
253,,Abdelkarim Chaouche,0.11,0,66.18,57.46,0.5,0.5
254,,Johan Karlsson,0,0,63.64,58.73,1.38,0.5
255,,Joakim Lindner,0.08,0,54.26,56.77,0.88,1.13
256,,Hampus Nasstrom,0.11,0,47.54,44.72,0.41,1.52
257,,Franklin Tebo,0,0,50,50,0.29,0.43
258,,Herman Sjögrell,0.06,0,33.33,34.62,0.13,0.38
259,,Lucas Bergvall,0.08,0,51.85,48.15,0.88,0.68
260,,Besfort Zeneli,0.07,0,50,43.64,0.57,0.43
261,,Kadir Hodžić,0.2,0,0,50,0.2,0.4
262,,Benjamin Hjertstrand,0,0,46.15,62.16,0.38,0.38
263,,Eman Marković,0,0,14.29,52.94,0.58,0.42
264,,Adi Nalić,0.04,0,36.11,37.84,0.81,0.96
265,,Jacob Une Larsson,0,0,63.41,59.21,0.5,0.71
266,,Alper Demirol,0.06,0,25,57.61,1.06,0.88
267,,Lucas Kåhed,0.05,0,18.75,48.8,1.26,0.63
268,,Samuel Kroon,0.08,0,0,38.46,0.08,0.5
269,,Hussein Carneil,0.17,0,42.11,42.22,0.58,1.33
270,,Oskar Fallenius,0.08,0,33.33,41.04,0.77,0.62
271,,Nahom Girmai,0.14,0,40.74,42.47,0.69,0.83
272,,Jalal Abdulai,0.3,0.1,56.25,28.89,0,1.7
273,,Abdelrahman Boudah,0,0,36.84,40.98,0.15,0.23
274,,William Kenndal,0,0,0,100,0,1
275,,Diego Alfonsi,0.5,0,100,40,0,1
276,,Alexander Lindskog,0,0,0,0,0,0.5
277,,Silas Nwankwo,0,0,42.86,60,0.33,0
278,,Rebin Sulaka,0,0,0,50,0.25,0.25
279,,Andre Boman,0,0,57.14,56.25,0.43,0.43
280,,David Mitov Nilsson,0,0,100,100,0,0
281,,Yahya Kalley,0.07,0,45,63.03,1.26,0.93
282,,Joseph-Claude Gyau,0.12,0,56,61.06,1.27,0.46
283,,Adam Wikman,0.13,0,33.33,40.68,0.3,0.48
284,,Jacob Trenskow,0,0,7.14,49.37,0.63,0.19
285,,Abdihakin Ali,0.08,0,0,49.25,1.08,0.62
286,,Stojan Lukić,0,0,100,100,0.17,0
287,,Jack Cooper Love,0.04,0,35.23,34.81,0.59,0.78
288,,Victor Kaj Edvardsen,0.09,0,20,26.53,0.27,0.64
289,,Tobias Sana,0.08,0,50,42.86,0.38,0.08
290,,Gustav Lindgren,0.19,0,26.83,38.89,1.06,0.63
291,,Oscar Uddenäs,0,0,54.55,46.43,0.4,0.5
292,,Charlie Vindehall,0,0,14.29,50,0.2,0.2
293,,Sebastian Eriksson,0.14,0,38.1,48.18,0.5,1
294,,Eric Alexander Johansson,0.13,0,41.94,39.76,1,1.46
295,,Jakob Voelkerling Persson,0.19,0,56.06,46.6,0.48,1.33
296,,Mads Borchers,0,0,50.72,47.8,1.15,1.08
297,,Camil Jebara,0,0,0,33.33,0,0
298,,Zachary Elbouzedi,0,0,0,62.5,0,0.14
299,,Noel Milleskog,0.09,0,24,38.98,0.91,0.73
300,,Laorent Shabani,0.07,0,14.29,48.44,0.4,0.67
301,,Adam Petersson,0.14,0,71.43,50,0.29,0.29
302,,Joseph Ceesay,0.05,0,55.56,58.04,0.74,0.63
303,,Jonas Olsson,0,0,100,100,0.33,0
304,,Musa Qurbanlı,0,0,11.11,29.11,0.43,0.64
305,,Marcus Baggesen,0.04,0,28.57,39.66,0.36,0.75
306,,Ali Youssef,0,0,0,15.38,0,0.6
307,,Adrian Skogmar,0,0,0,55.56,0.8,0.6
308,,Søren Rieks,0.21,0,36.36,37.62,0.61,0.54
309,,Arvid Brorsson,0.07,0,53.57,49,0.79,0.97
310,,Tim Rönning,0,0,0,0,0,0
311,,Victor Andersson,0,0,0,62.5,1,0.5
312,,Viktor Agardius,0,0,100,80,0,0
313,,Malte Pahlsson,0.17,0,0,0,0,0
314,,Kristopher Da Graca,0,0,57.14,58.33,0.25,0.38
315,,Gabriel Wallentin,0.13,0.07,68.18,60.29,0.2,0.73
316,,Oliver Silverholt,0.08,0,43.24,44.27,0.5,0.73
317,,Kevin Höög Jansson,0,0,45,41.51,0.22,1.44
318,,Victor Karlsson,0.18,0,38.1,39.16,0.57,0.68
319,,Axel Lindahl,0.04,0,31.82,52.87,0.88,0.83
320,,Jacob Laursen,0,0,42.86,35,0.4,0.4
321,,Edi Sylisufaj,0,0,7.69,27.78,0.5,0.43
322,,Anton Kralj,0,0,33.33,60,0.27,0
323,,Suleiman Abdullahi,0.08,0,50,55.56,0.25,0.42
324,,John Guidetti,0,0,48.28,43.06,0.71,0.86
325,,Fredrik Nissen,0,0,55.56,46.15,0,0.5
326,,Dijan Vukojevic,0,0,27.27,33.91,0.92,1.08
327,,Wilmer Odefalk,0.07,0,57.14,38.46,0.36,0.86
328,,Freddy Winst,0.05,0,38.46,47.46,0.35,0.4
329,,Edvin Becirovic,0,0,0,43.33,0.63,0.38
330,,Ola Kamara,0,0,23.08,31.82,0.25,0.25
331,,Ludvig Carlius,0.2,0,0,37.5,0.2,0.2
332,,Andri Guðjohnsen,0,0,44.9,47.13,0.56,0.31
333,,Ahmed Qasem,0.11,0,45,40.68,0.89,1.43
334,,Viktor Bergh,0.07,0,33.33,47.8,0.93,0.64
335,,Vá,0,0,50,39.71,0.36,0.45
336,,Sean Sabetkar,0.2,0,100,50,0.2,0.6
337,,Mamudo Moro,0,0,18.52,38.27,0.78,0.61
338,,Harun Ibrahim,0,0,0,60,0,0.17
339,,August Mikkelsen,0.05,0,20,44.14,1.24,0.48
340,,Noah Shamoun,0.11,0,42.11,41.86,0.63,0.78
341,,Alex Timossi Andersson,0.13,0,0,52.5,0.88,0.63
342,,Oscar Lewicki,0.13,0,53.85,44.07,0.13,0.52
343,,Imam Jagne,0.27,0,40,44.74,0.27,0.09
344,,Taha Ayari,0.05,0,38.46,50.54,1.55,1
345,,Alexander Abrahamsson,0.27,0,35,46.34,1.09,1.27
346,,Joel Nilsson,0.06,0,10,43.75,0.75,0.38
347,,Kristoffer Khazeni,0,0,25,40.45,0.33,0.56
348,,Malcom Jeng,0,0,46.15,45.71,0.15,0.25
349,,Kevin Jensen,0.08,0,0,16,0.08,0.33
350,,Samuel Kotto,0,0,0,0,0,0
351,,Filip Linderoth,0,0,0,50,1,1
352,,Noel Sernelius,0,0,0,0,0,0
353,,Isak Brusberg,0,0,0,40,0,0
354,,Liam Jordan,0.13,0,60,44,0.13,0.75
355,,Carlos Moros Gracia,0.25,0,42.11,50,0.38,0.63
356,,Pashang Abdulla,0.14,0,35.29,33.1,0.5,1.43
357,,Thomas Boakye,0.1,0,33.33,39.25,0.38,0.71
358,,Marcus Rafferty,0.08,0,66.67,61.54,0.62,0.23
359,,Noah Söderberg,0.14,0,58.06,34.51,0.19,1.43
360,,Oliver Alfonsi,0.17,0,29.03,43.07,2.42,1.58
361,,Tommi Vaiho,0.14,0,0,66.67,0.43,0.14
362,,Alexander Johansson,0.05,0,27.27,33.02,0.32,0.5
363,,Fortune Akpan Bassey,0,0,48.28,47.06,0.18,0.18
364,,Justin Salmon,0.04,0,60,43.28,0.13,0.46
365,,Gottfrid Rapp,0,0,0,36.36,0.14,0.86
366,,Jesper Tolinsson,0.1,0,46.67,46.3,0.1,0.9
367,,Kenan Bilalovic,0,0,25,46.67,0.36,0.36
368,,Motaraghebjafarpour Arash,0.11,0,53.85,43.59,0.28,0.28
369,,Jonah Kusi Asare,0,0,40,50,0.5,0.25
370,,Jacob Ortmark,0.25,0,36.84,41.82,1.31,1.56
