Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Andy Vidal,0,0,100,0,0,0,0,0,0,1.11,0.04,0.04,0.04,0.04,21.78,54.93,2,36.59,3.56,0.11,0.26,0.04,1.41,0.22,0,0,71.43,70,0.04,0,27
Alberto Quintero,0.13,0.06,50,1.03,0,0,0.91,0.28,0,0.22,0,0.16,0.16,0.09,29.53,80.63,9.22,63.49,0,0.13,0,0,0.53,0.03,0.13,0,36.36,53.2,1.97,0.63,32
Miguel Vargas,0,0,0,0,0,0,0.03,0.03,0,0.59,0,0.07,0.03,0.03,22.03,74.65,1.34,51.68,2.55,0.38,0.28,0.1,0.86,0.28,0.07,0,50,60,0.1,0,29
Alec Deneumostier,0,0.03,100,0.37,0,0,1.97,1.13,0,2.6,0.03,0.5,0,0.03,43.67,82.21,4,52.23,0,0.47,0,0,0.67,0.03,0.27,0.1,62.62,63.04,0.33,1.03,30
Diego Saffadi,0.11,0.07,41.18,1.52,0,0,1.22,0.22,0,0.3,0,0.52,0.22,0.15,11.74,70.98,3.63,50,0,0,0,0,0.93,0.07,0.22,0,40,49.59,2.04,1.07,27
Leandro Fleitas,0.03,0,80,0.41,0.03,0,0.79,2.03,0,4.17,0,0.21,0,0.03,42.24,79.1,3.03,56.81,0,0.21,0,0,1.03,0.14,0.24,0,60.22,53.98,0.41,1.14,29
Sebastián Ramírez,0,0.1,100,1.2,0,0,1,1.6,0,3.5,0,0.1,0.1,0,27,72.59,4.1,51.92,0,0.6,0,0,1.6,0.1,0.6,0.1,60,62.3,1,1.2,10
Gianfranco Chávez,0.07,0.07,100,0.32,0.04,0,1.11,1.96,0.04,3.07,0.04,0.18,0.04,0,38.89,84.57,2.5,43.03,0,0.36,0,0,0.96,0.18,0.29,0,49.12,56.43,0.68,0.93,28
Leandro Sosa,0.14,0.09,61.76,1.26,0,0,0.69,0.29,0,0.46,0,0.49,0.06,0.11,23.2,82.64,7.86,59.68,0,0.09,0,0,0.63,0.11,0.03,0,37.5,52.11,1.11,0.23,35
Jhon Marchán,0,0,60,0.95,0,0,0.95,0.37,0,0.11,0,0.58,0.26,0.11,13.42,74.51,4.95,58.62,0,0,0,0,0.95,0.05,0.32,0,35.71,48.76,0.63,0.84,19
Hugo Ángeles,0.09,0.09,76.92,0.5,0,0,1.59,1.09,0.05,1.95,0,0.59,0.05,0,35.14,86.03,5.73,61.19,0,0.18,0,0,0.77,0.14,0.18,0,56.25,57.96,0.86,1,22
Marcio Valverde,0.13,0.04,81.82,1.5,0,0,0.33,0.46,0,0.88,0,0.33,0.25,0.04,19.92,71.55,5,54.61,0,0.08,0,0,0.71,0.21,0.21,0.04,45.83,43.48,0.5,0.46,24
Minzun Quina,0.13,0.07,75,0.67,0,0.95,1.3,1.57,0.03,3.63,0,0.4,0,0,35.17,76.59,5.07,49.28,0,0.17,0,0,1.13,0.17,0.3,0,56.44,54.63,0.53,1.2,30
Lucas Rodríguez,0.08,0,81.82,1.31,0,0,3.69,1.31,0,1.23,0,1.38,0,0.08,30.38,74.18,6.46,47.92,0,0.08,0,0,1.54,0.15,0.31,0,41.38,56.21,1.31,1.38,13
José Ataupillco,0,0,100,0,0,0,4.5,2,0,0,0,1,0,0,23,71.74,4,62.5,0,0,0,0,1.5,0,0,0,0,57.14,1,2.5,2
Sergio Barboza,0,0,57.14,0.29,0,0,3.57,1.14,0,0.86,0,1,0,0,18.57,70.77,3.14,40,0,0,0,0,1,0,0,0,20,54.55,0.86,1.86,7
Javier Núñez,0.29,0.1,47.5,1.24,0.05,0,0.76,0.71,0,0.29,0,0.62,0.1,0,17.9,71.01,5.29,57.78,0,0.1,0,0,0.67,0.24,0.14,0,43.75,47.33,1.38,1.05,21
Brandon Palacios,0.38,0.19,50,1.19,0,0,1.13,0.81,0,0.31,0,0.5,0.13,0.06,16.13,71.32,3.13,48.28,0,0,0,0,1.44,0.31,0.44,0,50,50.76,1.25,0.88,16
