#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
124,,Adrián Guerrero,0.11,0,43.75,50.77,0.64,0.54
125,,Christián Herc,0.28,0,58.54,49.06,0.81,1.22
126,,Ifeanyi Mathew,0.23,0,36.36,51.89,0.92,1.23
127,,Jhon Espinoza,0.13,0,42.11,53.57,0.63,0.25
128,,Nasser Djiga,1,0,100,50,0,2
129,,Gezim Pepsi,0,0,0,50,0,0
130,,Issa Kaloga,0,0,0,100,0,0
131,,Victor Ruiz,0,0,0,36.67,1,2
132,,Emmanuel Essiam,0,0,0,52.63,0.25,1
133,,Filip Stojilković,0.17,0,21.43,30.77,0.39,0.72
134,,Markus Kuster,0,0,100,77.78,0.25,0
135,,Musa Araz,0.29,0,39.29,47.06,0.58,1.16
136,,Enzo Crivelli,0.17,0,50.82,41.3,0.28,0.56
137,,Nathanaël Saintini,0.15,0,57.95,55.74,0.44,0.59
138,,Hussayn Touati,0.1,0,25,37.21,0.2,0.5
139,,Samba Diba,0.14,0,61.54,57.63,0.21,0.64
140,,Denis Simani,0.36,0.09,55.42,58.23,0.45,0.91
141,,Georg Margreitter,0.06,0,58.06,60.38,0.59,0.18
142,,Samir Ramizi,0.44,0.04,33.33,45.78,1.16,1
143,,Dereck Kutesa,0.11,0,24.24,44.06,0.75,0.57
144,,Yanick Brecher,0.06,0,100,75,0.03,0
145,,Bradley Fink,0.04,0,34.48,37.5,0.48,0.64
146,,Vaso Vasić,0,0,0,0,0,0
147,,Antonio Marchesano,0.06,0,20.93,41.63,1.18,1.06
148,,Itaitinga,0.07,0,60,52.27,1.25,0.57
149,,Basil Stillhart,0.15,0.04,72.6,53.02,0.54,0.73
150,,Jakub Kadák,0.1,0,41.67,53.45,0.9,0.2
151,,Giotto Morandi,0.06,0,39.34,47.16,0.72,0.56
152,,Moritz Bauer,0.1,0,55.56,52.78,0.5,0.5
153,,Sofyan Chader,0.1,0.1,25,42.34,0.57,1.29
154,,Liam Millar,0.15,0,55.88,46.33,0.85,0.88
155,,Lindrit Kamberi,0.19,0,54.84,58.6,0.88,0.84
156,,Noah Loosli,0.13,0.07,54.12,51.46,0.17,0.63
157,,Joel Schmied,0.17,0,58.49,59.7,0.38,0.79
158,,Chinwendu Johan Nkama,0,0,100,80,0.33,0.33
159,,Maren Haile-Selassie,0.07,0,62.5,43.42,0.87,0.8
160,,Fidan Aliti,0.34,0,44.74,56.05,1.52,1.1
161,,Andy Pelmard,0.12,0,58.06,48.48,0.26,1.06
162,,Asumah Abubakar,0.11,0,24.14,47.42,0.93,0.93
163,,Shkelqim Demhasaj,0.08,0,34.78,38.89,0.38,0.69
164,,Justin Hammel,0,0,100,100,0,0
165,,Karol Mets,0.08,0,56.67,60,0.23,0.15
166,,Roy Gelmi,0.22,0,35.42,52.29,0.74,0.57
167,,Petar Pušić,0.12,0,23.81,22.61,0.21,0.65
168,,Dimitri Cavaré,0.21,0.04,74.58,62.11,0.29,0.88
169,,Taulant Xhaka,0.4,0.05,52,45.07,1,1.45
170,,Kevin Rüegg,0.1,0,20,55.38,0.6,0.8
171,,Hicham Mahou,0.17,0.06,68.18,53.38,1.44,0.78
172,,Christian Witzig,0.16,0,45,45.99,1,0.91
173,,Lorik Emini,0.33,0,40,55,0.33,0.5
174,,Nicolas Moumie Ngamaleu,0.14,0,33.33,46.67,0.71,1
175,,Leonidas Stergiou,0.09,0,51.56,53.68,0.14,0.57
176,,Meritan Shabani,0.08,0.04,32.26,52.51,1.42,0.96
177,,Noe Holenstein,0.13,0,33.33,42.86,0.13,0.75
178,,Stefano Guidotti,0.11,0,50,53.33,0.22,0.44
