#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
224,,Jean-Kévin Augustin,0,0,0,0,0.75,0.05
225,,Alessio Besio,0,0,0,0,0.25,0
226,,Numa Lavanchy,0,0.09,0,0,1.91,0.15
227,,Marc Hornschuh,0,0.05,0,0,0.68,0.05
228,,Boris Babić,0,0,0,0,0.27,0.04
229,,Nishan Burkart,0,0,0,0,1.08,0.04
230,,Luca Zuffi,0,0,0,0,0.85,0.15
231,,Selmin Hodza,0,0,0,0,1.33,0.33
232,,Joel Monteiro,0,0.04,0,0,0.32,0.04
233,,Hekuran Kryeziu,0,0.04,0,0,1,0.04
234,,Boris Cespedes,0,0,0,0,0.63,0.06
235,,Anton Kade,0,0,0,0,0.44,0.17
236,,Ricardo Azevedo Alves,0,0,0,0,0.46,0.08
237,,Souleymane Diaby,0,0.17,0,0,1,0.1
238,,Sayfallah Ltaief,0,0,0,0,0.62,0.14
239,,Mihailo Stevanović,0,0,0,0,0,0
240,,Ilyes Chaibi,0,0,0,0,0.5,0
241,,Andrea Padula,0,0,0,0,0.5,0
242,,Samuele Campo,0,0,0,0,0.44,0
243,,Amir Abrashi,0,0.04,0,0,1.19,0
244,,Kevin Halabaku,0,0,0,0,0.45,0.05
245,,Neftali Manzambi,0,0,0,0,0.63,0
246,,Donis Avdijaj,0,0,0,0,1.43,0
247,,Michael Gonçalves,0,0.15,0,0,1.27,0.08
248,,Lei Li,0,0,0,0,1.5,0.17
249,,Thibault Klidje,0,0,0,0,0.57,0.07
250,,Baltazar Costa,0,0.08,0,0,1.5,0.12
251,,Tobias Schättin,0,0.04,0,0,1.42,0.15
252,,Kevin Fickentscher,2.33,0,0.33,0,1.67,0
253,,Samuel Ballet,0,0,0,0,0.6,0.05
254,,Thibault Corbaz,0,0,0,0,1.19,0.11
255,,Willem Geubbels,0,0,0,0,0.18,0
256,,Miguel Changa Chaiwa,0,0,0,0,0.5,0
257,,Randy Schneider,0,0,0,0,0.43,0.14
258,,Lars Villiger,0,0,0,0,0.64,0.18
259,,Alexandre Dias Patricio,0,0,0,0,0.33,0
260,,Sang-bin Jeong,0,0,0,0,0.43,0
261,,Stephan Seiler,0,0,0,0,0.62,0
262,,Dimitri Oberlin,0,0,0,0,0,0.25
263,,Florian Kamberi,0,0,0,0,0.92,0.08
264,,Wilfried Gnonto,0,0,0,0,2.17,0
265,,Dennis Iapichino,0,0,0,0,1.53,0.13
266,,Bledian Krasniqi,0,0,0,0,0.88,0.09
267,,Fabian Rohner,0,0,0,0,0.52,0.07
268,,Aaron Akale,0,0,0,0,1,0
269,,Noah Rupp,0,0,0,0,1,0
270,,Baba Souare,0,0,0,0,0,0
271,,Leon Dajaku,0,0,0,0,1.08,0.08
272,,Mamady Diambou,0,0,0,0,0.42,0.08
273,,Nadjack,0,0,0,0,1,0
274,,Akaki Gogia,0,0,0,0,0,0
275,,Dion Kacuri,0,0,0,0,0.46,0
276,,Patrick Sutter,0,0.08,0,0,1.08,0.13
277,,Leny Meyer,0,0,0,0,0,0.5
278,,Nando Toggenburg,0,0,0,0,0.5,0
279,,Sidiki Camara,0,0,0,0,0.5,0
