#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
140,,Denis Simani,0,0,100,0.41,0,0
141,,Georg Margreitter,0,0,100,0.18,0,0
142,,Samir Ramizi,0.2,0,54.29,1.36,0,0
143,,Dereck Kutesa,0.11,0.21,53.42,1.61,0,0
144,,Yanick Brecher,0,0,0,0,0,0
145,,Bradley Fink,0.2,0.08,62.5,1.12,0.08,0
146,,Vaso Vasić,0,0,0,0,0,0
147,,Antonio Marchesano,0.06,0.24,43.1,1.64,0,0
148,,Itaitinga,0.14,0.21,43.02,1.54,0.07,0
149,,Basil Stillhart,0.12,0.04,43.48,0.77,0.04,0
150,,Jakub Kadák,0.1,0.1,66.67,2,0,0
151,,Giotto Morandi,0.06,0,50,0.75,0.03,0
152,,Moritz Bauer,0.1,0,0,0.1,0,0
153,,Sofyan Chader,0.19,0.29,48.78,2.38,0,0
154,,Liam Millar,0,0.08,47.95,1.08,0,0
155,,Lindrit Kamberi,0.03,0.03,100,0.56,0.03,0
156,,Noah Loosli,0.03,0.07,100,0.43,0.03,0
157,,Joel Schmied,0.04,0.17,33.33,0.33,0.04,0
158,,Chinwendu Johan Nkama,0,0,100,0,0,0
159,,Maren Haile-Selassie,0.07,0.13,36.36,0.8,0.07,0
160,,Fidan Aliti,0,0,80,0.38,0,0
161,,Andy Pelmard,0,0,52.63,0.12,0,0
162,,Asumah Abubakar,0.11,0.11,61.33,0.89,0,0
163,,Shkelqim Demhasaj,0.23,0.38,43.75,1.23,0,0
164,,Justin Hammel,0,0,0,0,0,0
165,,Karol Mets,0,0,100,0.23,0,0
166,,Roy Gelmi,0,0,33.33,0.26,0,0
167,,Petar Pušić,0.15,0.03,27.27,0.82,0.03,0
168,,Dimitri Cavaré,0.04,0.04,68.57,0.33,0.04,0
169,,Taulant Xhaka,0,0,35.71,0.45,0,0
170,,Kevin Rüegg,0,0,75,0,0,0
171,,Hicham Mahou,0.06,0.06,54.29,1,0,0
172,,Christian Witzig,0.09,0,42.86,1.06,0,0
173,,Lorik Emini,0,0,50,0.67,0,0
174,,Nicolas Moumie Ngamaleu,0.14,0.14,61.54,1.71,0,0
175,,Leonidas Stergiou,0,0,25,0.23,0,0
176,,Meritan Shabani,0.12,0.08,46.77,0.73,0,0
177,,Noe Holenstein,0.13,0,50,0.38,0,0
178,,Stefano Guidotti,0,0.11,66.67,0.89,0,0
179,,Michael Lang,0.04,0.04,41.18,0.41,0.04,0
180,,Uran Bislimi,0.07,0,61.9,0.53,0,0
181,,Mauricio Willimann,0,0,0,0,0,0
182,,Valton Behrami,0,0,0,1,0,0
183,,Diogo Monteiro,0,0,0,0,0,0
184,,Alexandre Jankewitz,0,0,0,0,0,0
185,,Sebastian Osigwe,0,0,0,0,0,0
186,,Mickaël Facchinetti,0,0,0,0.22,0,0
187,,Gaetan Karlen,0,0.05,37.5,0.68,0,0
188,,Heinz Lindner,0,0,100,0,0,0
189,,Hugo Novoa Ramos,0.08,0,35.71,0.25,0,0
190,,Alexis Antunes,0.07,0.15,70.97,0.96,0.04,0
191,,Ayumu Seko,0,0.06,50,0.23,0,0
192,,Yassin Fortune,0.14,0.14,47.06,1,0,0
193,,Granit Lekaj,0,0.04,57.14,0.3,0,0
194,,Roman Buess,0.18,0.09,50,0.97,0,0
195,,Kevin Bua,0.04,0.21,46.43,0.79,0,0
196,,Adrian Durrer,0,0,100,0.5,0,0
197,,Mamadou Kaly Sene,0,0.2,50,0.8,0,0
198,,Severin Ottiger,0,0.25,70,1,0,0
199,,Alessandro Kräuchi,0,0,100,0.2,0,0
200,,Timothy Fayulu,0,0,0,0,0,0
201,,Albert Vallci,0,0.05,45.45,0.64,0,0
202,,Remo Arnold,0,0.04,91.67,0.32,0,0
203,,Bećir Omeragić,0,0,68.75,0.43,0,0
204,,Allan Arigoni,0.04,0,58.33,0.46,0.04,0
205,,Andy Diouf,0,0.12,53.21,0.97,0,0
206,,Donat Rrudhani,0,0.12,38.46,1.2,0,0
207,,Gora Diouf,0,0.17,57.14,0.67,0,0
208,,Mirko Salvi,0,0,0,0,0,0
209,,Luca Jaquez,0,0,0,0.33,0,0
210,,Ádám Szalai,0,0,0,1.4,0,0
211,,Fabio Daprelà,0,0,0,0.16,0,0
212,,Mohamed Dräger,0.1,0.07,35.09,1.23,0,0
213,,Eris Abedini,0,0,33.33,0.3,0,0
214,,Benjamin Mbunga-Kimpioka,0.17,0.17,0,0.5,0,0
215,,Calixte Ligue,0.11,0,75,0.33,0,0
216,,Gregory Karlen,0.15,0.15,47.06,0.8,0,0
217,,Mohamed Haj Mahmoud,0.05,0.11,66.67,0.68,0,0
218,,Filipe de Carvalho Ferreira,0.06,0,43.48,0.39,0,0
219,,Boubacar Fofana,0.14,0.05,48.65,1.27,0,0
220,,Yannick Schmid,0,0,0,0.42,0,0
221,,Théo Magnin,0,0,60,0.13,0,0
222,,Wylan Cyprien,0.17,0.06,55.56,1.44,0,1.85
223,,Noha Ndombasi Nlandu,0,0.09,56.25,0.64,0,0
224,,Jean-Kévin Augustin,0.15,0,39.53,0.75,0,0
225,,Alessio Besio,0,0,100,0.5,0,0
226,,Numa Lavanchy,0,0.03,63.64,0.39,0,0
227,,Marc Hornschuh,0.05,0,0,0.11,0.05,0
228,,Boris Babić,0.08,0.08,50,0.69,0,0
229,,Nishan Burkart,0.13,0.08,37.5,0.67,0.04,0
230,,Luca Zuffi,0.05,0,20,0.1,0,0
231,,Selmin Hodza,0,0,66.67,0.67,0,0
232,,Joel Monteiro,0.04,0.29,46.34,0.89,0,0
233,,Hekuran Kryeziu,0,0,33.33,0.09,0,0
234,,Boris Cespedes,0,0,83.33,0.5,0,0
235,,Anton Kade,0,0,37.5,0.83,0,0
236,,Ricardo Azevedo Alves,0,0,46.15,1,0,0
237,,Souleymane Diaby,0,0,61.29,0.3,0,0
238,,Sayfallah Ltaief,0.05,0.05,50,0.95,0.05,0
239,,Mihailo Stevanović,0,0,0,0,0,0
240,,Ilyes Chaibi,0,0,66.67,1,0,0
241,,Andrea Padula,0,0,66.67,0,0,0
242,,Samuele Campo,0,0,0,0.22,0,0
243,,Amir Abrashi,0,0,46.15,0.3,0,0
244,,Kevin Halabaku,0,0.05,55.56,0.35,0,0
245,,Neftali Manzambi,0,0.05,0,0.84,0,0
246,,Donis Avdijaj,0,0,57.14,0.29,0,0
247,,Michael Gonçalves,0,0,57.14,0.12,0,0
248,,Lei Li,0,0,0,0,0,0
249,,Thibault Klidje,0,0.21,50,0.93,0,0
250,,Baltazar Costa,0,0.04,52,0.38,0,0
251,,Tobias Schättin,0,0.04,50,0.19,0,0
252,,Kevin Fickentscher,0,0,0,0,0,0
253,,Samuel Ballet,0.05,0,58.33,0.65,0,0
254,,Thibault Corbaz,0,0,27.27,0.26,0,0
255,,Willem Geubbels,0.12,0.12,50,0.76,0,0
256,,Miguel Changa Chaiwa,0,0,20,0.33,0,0
257,,Randy Schneider,0,0,69.23,0.57,0,0
258,,Lars Villiger,0.09,0.27,36.36,0.91,0,0
259,,Alexandre Dias Patricio,0,0,0,0.67,0,0
260,,Sang-bin Jeong,0,0,75,0.57,0,0
261,,Stephan Seiler,0.08,0,61.54,0.15,0,0
262,,Dimitri Oberlin,0,0,66.67,0,0,0
263,,Florian Kamberi,0.08,0.08,50,0.69,0,0
264,,Wilfried Gnonto,0,0.17,26.67,1.83,0,0
265,,Dennis Iapichino,0,0,75,0.07,0,0
266,,Bledian Krasniqi,0.03,0.03,57.69,0.69,0,0
267,,Fabian Rohner,0.04,0.11,50,0.89,0,0
268,,Aaron Akale,0,0,0,0,0,0
269,,Noah Rupp,0,0,0,0,0,0
270,,Baba Souare,0,0,0,0,0,0
271,,Leon Dajaku,0,0.25,56.52,1.33,0,0
272,,Mamady Diambou,0,0,100,0.33,0,0
273,,Nadjack,0,0,25,0.14,0,0
274,,Akaki Gogia,0,0,50,1.5,0,0
275,,Dion Kacuri,0.08,0,28.57,0.23,0,0
276,,Patrick Sutter,0,0.04,34.29,0.58,0,0
277,,Leny Meyer,0,0,33.33,0,0,0
278,,Nando Toggenburg,0,0.25,0,0.25,0,0
279,,Sidiki Camara,0,0,100,0,0,0
280,,Laurin Vogele,0,0,0,0.5,0,0
281,,Jose Aguilar Martinez,0,0,0,0,0,0
282,,François Moubandje,0,0,50,0.75,0,0
283,,Fabrizio Cavegn,0,0,0,0,0,0
284,,Carmine Chiappetta,0,0.17,50,0.83,0,0
285,,Abdel Rachid Zagré,0,0.17,33.33,1,0,0
286,,Varol Tasar,0,0,0,0,0,0
287,,Daniel Afriyie,0,0,0,0,0,0
288,,Alexandros Safarikas,0,0,0,0,0,0
289,,Teruki Hara,0,0,28.57,0.25,0,0
290,,Jozef Pukaj,0,0,0,0,0,0
291,,Adriano Onyegbule,0,0,0,0,0,0
292,,Florian Hoxha,0,0,33.33,0,0,0
293,,Ivan Santini,0,0,33.33,0.64,0,0
294,,Hugo Vogel,0,0,60,0,0,0
295,,Ruben Dantas,0,0,0,1,0,0
296,,Marvin Akahomen,0,0,100,0,0,0
297,,Ramon Guzzo,0,0,0,0,0,0
298,,Alessandro Casciato,0,0,0,0,0,0
299,,Gilles Richard,0,0,0,0,0,0
300,,Johann Angstmann,0,0,0,0,0,0
301,,Noah Blasucci,0,0,0,0,0,0
