#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
103,,Ondřej Zmrzlý,0,0.18,0,0,0.94,0.15
104,,Christ Junior Tiehi,0,0.08,0,0,0.46,0.31
105,,Erik Jirka,0,0,0,0,0.21,0
106,,Matěj Polidar,0,0.13,0,0,1.13,0.37
107,,Michal Kadlec,0,0.3,0,0,1.03,0.15
108,,Vit Benes,0,0.2,0,0,0.9,0.33
109,,Antonín Růsek,0,0.13,0,0,0.75,0.25
110,,Dion Cools,0,0.25,0,0,1.38,0.13
111,,Matěj Ryneš,0,0.08,0,0,1.13,0.13
112,,Martin Pospisil,0,0.21,0,0,1.14,0.21
113,,Eduardo Santos,0,0.33,0,0,0.42,0.25
114,,Jaroslav Zelený,0,0.15,0,0,0.62,0.09
115,,Jan Laštůvka,3.21,0.17,0.04,0,1.42,0.13
116,,Olivier Vliegen,3.29,0.18,0.25,0.04,1.18,0.29
117,,Matěj Valenta,0,0.05,0,0,0.91,0.14
118,,Filip Balaj,0,0,0,0,0.5,0.13
119,,Milan Škoda,0,0.06,0,0,0.72,0.17
120,,Mohamed Doumbia,0,0,0,0,0.85,0.05
121,,Daniel Trubač,0,0.06,0,0,1.5,0.13
122,,Marek Icha,0,0.16,0,0,1.24,0.16
123,,Jiří Texl,0,0.09,0,0,1.44,0.32
124,,Lukáš Hůlka,0,0.29,0,0,1.29,0.26
125,,Vojtech Smrz,0,0.21,0,0,1.18,0.11
126,,Awer Mabil,0,0,0,0,0.21,0
127,,Ondřej Kolář,2,0.4,0.12,0,0.52,0.36
128,,Florent Poulolo,0,0,0,0,0.31,0.19
129,,Michal Hlavatý,0,0.03,0,0,1.38,0.22
130,,Vojtech Kubista,0,0.21,0,0,1,0.13
131,,Matěj Jurásek,0,0.05,0,0,0.33,0.05
132,,Petr Mikulec,3.43,0.29,0.29,0,1.29,0.14
133,,Libor Kozák,0,0,0,0,1.09,0.22
134,,Tomáš Vlček,0,0.16,0,0,1.35,0.23
135,,Jhon Mosquera,0,0.03,0,0,0.88,0.06
136,,Nemanja Kuzmanović,0,0.03,0,0,0.84,0.06
137,,Jakub Kolar,0,0.19,0,0,1.42,0.15
138,,Michal Tomič,0,0.05,0,0,0.71,0.14
139,,Vladislav Levin,0,0.11,0,0,0.89,0.22
140,,Qazim Laci,0,0.12,0,0,0.29,0
141,,Dominik Plechatý,0,0.25,0,0,1.09,0.25
142,,Jiři Fleisman,0,0.1,0,0,1.27,0.1
143,,Lamin Jawo,0,0,0,0,0.93,0.07
144,,Matěj Hybš,0,0.17,0,0,1.5,0.17
145,,Jan Sýkora,0,0.1,0,0,0.76,0.1
146,,Adam Gabriel,0,0.12,0,0,1.12,0.12
147,,Patrik Vydra,0,0.2,0,0,0.8,0.2
148,,Martin Minchev,0,0,0,0,0.17,0.03
149,,Michal Reichl,2.81,0.29,0.24,0.05,1.29,0.1
150,,Tomáš Břečka,0,0,0,0,0.67,0.17
151,,Filip Nguyen,2.53,0.32,0.15,0,1.12,0.21
152,,Matěj Vydra,0,0,0,0,0.5,0.13
153,,Milan Havel,0,0.24,0,0,0.83,0.1
154,,David Puskac,0,0,0,0,0.76,0.16
155,,Jakub Trefil,2.21,0.32,0.05,0,0.79,0.32
156,,Muhamed Tijani,0,0,0,0,0.48,0
157,,Vladimir Jovović,0,0,0,0,1,0.2
158,,Pavel Černý,0,0,0,0,1.06,0.21
159,,Jiří Spáčil,0,0,0,0,0.46,0.08
160,,Jan Kovařík,0,0.06,0,0,0.91,0.18
161,,Ondřej Ševčík,0,0,0,0,1,0
162,,Jiří Klíma,0,0.04,0,0,0.89,0
163,,Petr Reinberk,0,0.19,0,0,1,0.19
164,,Neđeljko Kovinić,0,0,0,0,0.26,0
165,,Lukáš Provod,0,0,0,0,0.14,0.23
166,,Denis Ventura,0,0.13,0,0,0.78,0.26
167,,Nemanja Mićević,0,0.24,0,0,1.65,0.06
168,,Roman Vales,2.88,0.18,0.12,0,1.12,0.24
169,,Jan Navratil,0,0.09,0,0,0.91,0.29
170,,Martin Vitík,0,0.41,0,0,0.82,0.09
171,,Filip Prebsl,0,0.19,0,0,0.96,0.19
172,,František Čech,0,0.15,0,0,1.23,0.04
173,,Filip Kubala,0,0.04,0,0,1.07,0.11
174,,Matej Kovar,1.82,0.36,0.11,0.04,0.86,0.14
175,,Daniel Mareček,0,0.03,0,0,1.03,0.1
176,,Lukáš Mareček,0,0.15,0,0,1.04,0.15
177,,Martin Hruby,4,0,0,0,2,0
178,,Radek Látal,0,0,0,0,1.5,0
179,,Jakub Pešek,0,0,0,0,0.33,0.33
180,,Michal Trávník,0,0.07,0,0,0.44,0.11
181,,David Houska,0,0.13,0,0,1.33,0.13
182,,Milan Petržela,0,0,0,0,0.8,0
183,,Robert Jukl,0,0.07,0,0,1.34,0.21
184,,Adam Fousek,0,0,0,0,0.26,0.04
185,,Dominik Simersky,0,0.12,0,0,1.42,0.18
186,,Filip Souček,0,0.1,0,0,1.1,0.2
187,,Radim Breite,0,0.15,0,0,0.85,0.24
188,,Martin Suchomel,0,0.31,0,0,0.54,0.08
189,,Matúš Macík,3.15,0.23,0.15,0.08,1.38,0.23
190,,Karel Pojezný,0,0.11,0,0,1.15,0.11
191,,Václav Sejk,0,0,0,0,0.97,0.3
192,,Martin Cedidla,0,0.08,0,0,1.5,0.21
193,,Lukáš Havel,0,0.13,0,0,1.37,0.17
194,,Pavel Šulc,0,0.06,0,0,1.31,0.28
195,,Libor Holík,0,0.19,0,0,0.77,0.04
196,,Jakub Šural,0,0.13,0,0,1.54,0.33
197,,Martin Janáček,3.55,0.1,0.1,0,1.8,0.1
198,,Petr Kodes,0,0.27,0,0,1.17,0.1
199,,Martin Jedlička,3.07,0.33,0.07,0,1.47,0.2
200,,Jakub Hora,0,0.08,0,0,0.92,0
201,,Tom Sloncik,0,0,0,0,0.79,0.14
202,,Václav Drchal,0,0.03,0,0,0.7,0.2
203,,Stepan Chaloupek,0,0.2,0,0,1.6,0.1
204,,Marios Pourzitidis,0,0.11,0,0,1.07,0.04
205,,Dominik Preisler,0,0,0,0,1.04,0.15
206,,Daniel Vasulin,0,0.12,0,0,1,0.08
207,,Youba Drame,0,0,0,0,0.54,0.04
208,,Jakub Pokorný,0,0.19,0,0,1.16,0.23
209,,Denis Višinský,0,0,0,0,0.47,0.2
210,,Filip Zorvan,0,0.04,0,0,0.56,0.22
211,,Seung-bin Kim,0,0,0,0,0.58,0
212,,Marek Suchý,0,0.29,0,0,1.26,0.13
213,,Jan Matoušek,0,0,0,0,0.73,0
214,,Šimon Falta,0,0.04,0,0,0.85,0.15
215,,Lukas Vrastil,0,0.24,0,0,0.71,0.24
216,,Robin Hranáč,0,0.18,0,0,1.36,0.21
217,,Joss Didiba,0,0.07,0,0,1.07,0.18
218,,Oscar Dorley,0,0.12,0,0,0.48,0.32
219,,Filip Kaloč,0,0.17,0,0,1.21,0.07
220,,Michal Rabušic,0,0,0,0,0.23,0.18
221,,Matej Rakovan,3.25,0.13,0.13,0,1.54,0.21
222,,Tomas Kucera,0,0.14,0,0,1.39,0.18
223,,Matej Trusa,0,0.07,0,0,0.57,0.07
224,,Václav Pilař,0,0,0,0,0.31,0
225,,Jakub Martinec,0,0.1,0,0,1.19,0.38
226,,Jakub Fulnek,0,0.24,0,0,1.03,0.1
227,,Wale Musa Alli,0,0.03,0,0,1.03,0.26
228,,Jan Knapík,0,0.05,0,0,1.35,0.2
229,,Dominik Mares,0,0.08,0,0,0.23,0.08
230,,Filip Žák,0,0,0,0,1.07,0.13
231,,Pavel Zifcak,0,0.04,0,0,0.61,0.11
232,,Martin Hála,0,0,0,0,0.8,0.12
233,,Jan Kalabiška,0,0.23,0,0,0.9,0.13
234,,Ondřej Mihálik,0,0,0,0,0.77,0.2
235,,David Buchta,0,0.04,0,0,0.63,0.04
236,,Martin Dostal,0,0.13,0,0,1.09,0.19
