#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
264,,Imad Rondić,0.11,0.11,9.71,63.24,2.5,43.33
265,,Jan Král,0,0,44.95,73.19,3.37,30.22
266,,Bartosz Pikul,0.13,0.13,11.94,69.11,4,43.75
267,,Roman Potočný,0,0,12.48,65.47,3.03,48.48
268,,Lukas Bartosak,0.04,0.04,17.52,59.13,3.56,34.62
269,,Daniel Tetour,0,0,22.6,75.66,6.1,40.91
270,,Aleš Mandous,0,0,29.9,86.96,1,62.24
271,,Jan Mikula,0,0.05,25.74,67.89,5.89,38.6
272,,Jan Shejbal,0.13,0.25,16.25,75.38,2.5,56.25
273,,Denis Darmovzal,0.06,0,16.35,77.34,4.06,67.57
274,,Josef Jindrisek,0.03,0.03,28.5,63.88,5.68,43.43
275,,Jan Hellebrand,0,0,4.14,51.72,1.14,33.33
276,,Babacar Sy,0,0,6.8,64.71,2.5,20
277,,Filip Vecheta,0,0.04,8.67,58.12,1.85,50
278,,Krystof Daněk,0.07,0.19,14.81,76.75,4.3,60.71
279,,Dele Israel,0,0,14.2,69.01,3,30
280,,Michal Sáček,0,0,9.4,80.85,2,33.33
281,,Michal Škoda,0,0,8.95,66.5,2.59,55.56
282,,Tomáš Hübschman,0.08,0.08,32,69.5,5.24,42.33
283,,Patrik Čavoš,0.04,0.04,22.36,77.96,4.29,50
284,,Jiri Boula,0,0,15.53,76.14,3.88,42.11
285,,Abubakar Ghali,0.19,0.06,15.63,74,4.25,39.13
286,,Martin Polaček,0,0,29.33,53.98,3.67,38.17
287,,Jan Mejdr,0.04,0,20.92,72.98,6.12,37.31
288,,David Pech,0,0.04,24.26,72.58,7.17,36.17
289,,Michal Fukala,0.11,0.05,15.37,63.7,3.32,23.68
290,,Antonin Fantis,0,0.05,15.6,71.79,3.5,37.5
291,,Jiří Skalák,0.05,0.05,9.1,72.77,3.67,46.15
292,,Fortune Akpan Bassey,0,0,6.58,65.82,2.25,75
293,,Kamil Vacek,0.03,0.03,23.33,75.29,4.17,56.48
294,,David Vaněček,0,0,1.88,53.33,0.88,0
295,,David Stepanek,0,0,27.43,70.83,3.36,28.77
296,,Michal Leibl,0.07,0,28,65.48,5.13,35.4
297,,Matěj Helešic,0,0.04,21.32,69.18,6.43,34.88
298,,Jakub Klíma,0,0.06,39.32,70.47,6.19,41.57
299,,Jan Hlavica,0,0,25.33,72.53,2.38,33.63
300,,Jakub Janetzky,0,0.04,20,75.77,4.65,44.19
301,,Matyáš Kozák,0.04,0.04,5,68.7,1.26,14.29
302,,Jan Fortelný,0.21,0.07,11.57,66.67,4.21,40
303,,Daniel Souček,0,0.04,30.63,69.93,4.38,37.78
304,,Jan Hladík,0.13,0.1,13,67.25,3.81,45.71
305,,Antonín Křapka,0,0,23.14,70.64,2.31,45.86
306,,Marek Hlinka,0,0.05,26.82,73.22,4.32,44.64
307,,Ubong Ekpai,0,0,14.67,67.61,3.67,38.1
308,,Tadeas Vachousek,0.06,0.06,8.81,63.83,2.06,14.29
309,,Mohamed Tijani,0,0,45.24,75.55,2.12,40.63
310,,Samuel Dancak,0,0,19.05,80.19,4.45,55.36
311,,Jakub Matoušek,0.14,0.07,5.86,63.41,1.71,31.58
312,,David Huf,0,0,5,57.5,1.63,50
313,,Jakub Urbanec,0,0,18.11,68.24,4.39,32.26
314,,Emil Tischler,0,0,12.65,71.54,2.4,66.67
315,,Joshua Akpudje,0,0,39.29,72.73,2.79,32.74
316,,Filip Mucha,0,0,30.33,44.4,2.33,31.78
317,,Václav Procházka,0,0,33.67,68.98,4.52,39.24
318,,Ivan Varfolomieiev,0,0.14,13.5,73.02,2,42.11
319,,Gigli Ndefe,0.09,0,27.41,73.13,6.32,37.84
320,,Daniel Holzer,0.12,0,13.8,65.51,3.76,38.46
321,,Robert Mišković,0.09,0.09,14.77,78.77,4,47.62
322,,Patrik Žitný,0,0,11.47,73.84,2.6,55.56
323,,Michal Kohút,0.06,0,16.76,72.28,3.94,71.43
324,,Martin Novy,0.07,0,3.67,49.09,1.13,33.33
325,,Dāvis Ikaunieks,0.1,0.1,4.6,73.91,1.45,20
326,,Patrik Šimko,0,0,24.57,72.09,2.43,49.46
327,,Denis Granečný,0.04,0.04,26.68,64.39,4.39,34.39
328,,Filip Blecha,0,0,13.59,81.61,3.05,78.13
329,,Daniel Smekal,0,0,3.78,47.06,0.89,25
330,,Matej Sin,0,0,13.82,74.34,4.73,66.67
331,,Michal Beran,0.04,0.13,18.25,67.12,6.33,30.16
332,,Pech Dominik,0,0,8,87.5,0,0
333,,Vlastimil Hruby,0,0,34,38.24,3,32.26
334,,Libor Bobcik,0,0,0,0,0,0
335,,Adam Goljan,0,0,3.5,85.71,0.5,0
336,,Adam Hloušek,0.5,0,3,83.33,2.5,100
337,,Martin Košťál,0,0,1.5,66.67,0.5,0
338,,Daniel Šmiga,0,0,6.5,84.62,4,100
339,,David Krch,0,0,6.5,76.92,1.5,80
340,,Tomáš Polyak,0,0,4.57,68.75,0.86,25
341,,Samuel Šimek,0,0,6.29,63.64,1.43,50
342,,Pavel Dvorak,0,0,2.82,68.75,1,25
343,,Martin Sladký,0.09,0.05,25.32,71.81,4.05,41.74
344,,Denis Donát,0,0,14.55,68.38,1.8,38.78
345,,Lukáš Greššák,0,0,15.95,77.56,2.21,72.5
346,,Vojtech Stransky,0,0.07,6.2,65.59,1.4,37.5
347,,Tomas Grigar,0,0,30.95,50.51,2.21,35.92
348,,Ondřej Šašinka,0,0,6.47,56.1,2.05,0
