#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
140,,Qazim Laci,0.18,0,69.23,52.7,0.76,1.29
141,,Dominik Plechatý,0.03,0,40,58.51,1.09,0.91
142,,Jiři Fleisman,0.2,0,48.48,55,0.97,0.97
143,,Lamin Jawo,0.26,0,45.12,43.13,1.48,2.15
144,,Matěj Hybš,0.2,0,63.64,63.07,1.27,1.03
145,,Jan Sýkora,0.14,0,11.11,39.58,0.71,0.62
146,,Adam Gabriel,0.04,0.04,43.18,53.61,1.58,1.19
147,,Patrik Vydra,0.6,0,70,48.15,0.6,1.6
148,,Martin Minchev,0.24,0.03,43.75,44.9,0.72,0.86
149,,Michal Reichl,0.14,0,100,60,0.1,0
150,,Tomáš Břečka,0,0,58.33,57.14,0.5,0.67
151,,Filip Nguyen,0.03,0,100,100,0.21,0
152,,Matěj Vydra,0,0,35,48.21,0.75,0.31
153,,Milan Havel,0.1,0,36.36,50.82,0.45,0.52
154,,David Puskac,0.16,0,41.89,38.1,0.84,1.28
155,,Jakub Trefil,0.11,0,100,100,0.05,0
156,,Muhamed Tijani,0.19,0,50,41.79,0.55,0.9
157,,Vladimir Jovović,0.27,0.03,45.45,44.24,1.47,0.93
158,,Pavel Černý,0.09,0,52.78,50.28,1.18,0.91
159,,Jiří Spáčil,0.08,0,18.18,46.51,0.15,0.46
160,,Jan Kovařík,0.09,0,70.97,59.82,0.53,0.59
161,,Ondřej Ševčík,0,0,57.89,60.47,1,0.56
162,,Jiří Klíma,0.07,0,52.17,39.29,0.37,0.67
163,,Petr Reinberk,0.07,0,50,50.64,0.7,0.85
164,,Neđeljko Kovinić,0,0,38.1,36.59,0.32,0.21
165,,Lukáš Provod,0.09,0,58.33,51.9,1,0.68
166,,Denis Ventura,0.13,0.04,54.55,44.62,0.61,1.61
167,,Nemanja Mićević,0.24,0,67.5,58.76,0.47,1.41
168,,Roman Vales,0.18,0,50,55.56,0.29,0.12
169,,Jan Navratil,0.03,0,40.91,50,1.29,1.23
170,,Martin Vitík,0.14,0,52.5,47.62,0.32,1
171,,Filip Prebsl,0.08,0,56.25,52.75,0.23,0.69
172,,František Čech,0.27,0,51.72,55.12,1.12,1.27
173,,Filip Kubala,0.11,0,42.11,35.91,1.07,1.22
174,,Matej Kovar,0.07,0,100,76.92,0.11,0.04
175,,Daniel Mareček,0.2,0,50,48.57,0.9,1.1
176,,Lukáš Mareček,0.11,0.04,60,51.88,0.74,1
