#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
136,,Nemanja Kuzmanović,0.09,0.06,36.36,1.25,0.03,0
137,,Jakub Kolar,0.08,0,0,0.54,0.08,0
138,,Michal Tomič,0.1,0.05,42.11,1.19,0.05,0
139,,Vladislav Levin,0,0,0,0.56,0,0
140,,Qazim Laci,0,0.12,85.71,0.94,0,0
141,,Dominik Plechatý,0,0,87.5,0.06,0,0
142,,Jiři Fleisman,0.1,0,30,0.7,0.07,0.83
143,,Lamin Jawo,0.22,0.22,34.62,1.89,0.04,0
144,,Matěj Hybš,0.13,0,70,0.53,0,0
145,,Jan Sýkora,0.1,0,31.82,1,0,0
146,,Adam Gabriel,0.08,0.04,40,1.19,0,0
147,,Patrik Vydra,0,0,50,0.6,0,0
148,,Martin Minchev,0.17,0.07,60,0.97,0.03,0
149,,Michal Reichl,0,0,0,0,0,0
150,,Tomáš Břečka,0,0,0,0,0,0
151,,Filip Nguyen,0,0,0,0,0,0
152,,Matěj Vydra,0.25,0.19,50,2,0,0
153,,Milan Havel,0.1,0.07,60,0.79,0,0
154,,David Puskac,0.24,0.12,44.44,1.44,0.04,0
155,,Jakub Trefil,0,0,100,0,0,0
156,,Muhamed Tijani,0.29,0.26,20,1.52,0.16,0
157,,Vladimir Jovović,0.1,0.03,35.21,1.57,0.03,0
158,,Pavel Černý,0.18,0.06,20,1,0.03,0
159,,Jiří Spáčil,0.08,0,50,1.08,0,0
160,,Jan Kovařík,0.06,0,71.43,0.74,0,0.49
161,,Ondřej Ševčík,0.11,0,0,0.33,0.11,0
162,,Jiří Klíma,0.19,0.19,73.33,1.67,0,0
163,,Petr Reinberk,0.11,0.04,28.57,1.07,0.04,0
164,,Neđeljko Kovinić,0.16,0.05,100,0.95,0.05,0
165,,Lukáš Provod,0.09,0.05,33.33,0.91,0,0
166,,Denis Ventura,0.13,0.04,50,0.96,0,0
167,,Nemanja Mićević,0,0,0,0.35,0,0
168,,Roman Vales,0,0,0,0,0,0
169,,Jan Navratil,0.14,0.06,33.33,0.91,0,0
170,,Martin Vitík,0,0,50,0.73,0,0
171,,Filip Prebsl,0.04,0,0,0.42,0,0
172,,František Čech,0,0,50,0.15,0,0
173,,Filip Kubala,0.26,0.3,11.76,2.41,0.04,0
174,,Matej Kovar,0,0,100,0,0,0
175,,Daniel Mareček,0.17,0.03,66.67,1.53,0,0
176,,Lukáš Mareček,0.04,0,40,0.7,0,0
177,,Martin Hruby,0,0,0,0,0,0
178,,Radek Látal,0,0,0,0,0,0
179,,Jakub Pešek,0,0,100,1,0,0
180,,Michal Trávník,0.07,0.11,45.45,0.93,0,0
181,,David Houska,0,0,50,0.47,0,0
182,,Milan Petržela,0.1,0.03,43.24,0.77,0,0
183,,Robert Jukl,0.03,0.03,40,0.62,0,0
184,,Adam Fousek,0.04,0.04,20,0.78,0,0
185,,Dominik Simersky,0.06,0.06,0,0.45,0,0
186,,Filip Souček,0.05,0,66.67,0.8,0,0
187,,Radim Breite,0.03,0.06,66.67,0.94,0,0
188,,Martin Suchomel,0,0,55.56,0.77,0,0
189,,Matúš Macík,0,0,100,0,0,0
190,,Karel Pojezný,0,0,66.67,0.33,0,0
191,,Václav Sejk,0.23,0.2,46.15,1.73,0.07,0
192,,Martin Cedidla,0.04,0,87.5,0.67,0.04,0
193,,Lukáš Havel,0.13,0.03,33.33,0.53,0.1,0
194,,Pavel Šulc,0.16,0.06,58,1.06,0,0
195,,Libor Holík,0,0,56.25,0.5,0,0
196,,Jakub Šural,0.04,0,50,0.54,0,0
197,,Martin Janáček,0,0,0,0,0,0
198,,Petr Kodes,0.07,0,66.67,0.57,0,0
199,,Martin Jedlička,0,0,0,0,0,0
200,,Jakub Hora,0,0,33.33,0.42,0,0
201,,Tom Sloncik,0.14,0.14,52,1.29,0,0
202,,Václav Drchal,0.2,0.13,52.94,1.43,0,0
203,,Stepan Chaloupek,0,0,100,0.3,0,0
204,,Marios Pourzitidis,0.04,0.04,100,0.39,0,0
205,,Dominik Preisler,0,0.12,16.67,1,0,0
206,,Daniel Vasulin,0.23,0.19,25,2.08,0.04,0
207,,Youba Drame,0.07,0.07,38.89,1.25,0.04,0
208,,Jakub Pokorný,0.06,0.06,0,0.71,0.03,0
209,,Denis Višinský,0.07,0,46.15,1.07,0,0
210,,Filip Zorvan,0.04,0,33.33,0.56,0,0
211,,Seung-bin Kim,0.17,0,33.33,0.75,0,0
212,,Marek Suchý,0,0.03,0,0.32,0,0
213,,Jan Matoušek,0.23,0.08,31.58,1.5,0,0
214,,Šimon Falta,0,0,37.5,0.81,0,0
215,,Lukas Vrastil,0.05,0,0,0.24,0.05,0
216,,Robin Hranáč,0.04,0,100,0.61,0,0
217,,Joss Didiba,0.04,0,75,0.64,0,0
218,,Oscar Dorley,0,0.04,46.67,0.52,0,0
219,,Filip Kaloč,0.07,0.03,75,1.34,0,0
220,,Michal Rabušic,0.05,0.05,0,0.64,0,0
221,,Matej Rakovan,0,0,0,0,0,0
222,,Tomas Kucera,0.11,0,40,0.93,0,0
223,,Matej Trusa,0.14,0,42.86,0.79,0,0
224,,Václav Pilař,0.06,0,75,0.44,0,0
225,,Jakub Martinec,0.1,0.05,66.67,0.48,0.05,0
226,,Jakub Fulnek,0.07,0.03,31.25,1,0,0
227,,Wale Musa Alli,0.09,0.06,51.43,1.11,0.03,0
