Name,Goals,Successful dribbles %,Total shots,Headed goals,Big chances missed,Set piece conversion %,Tackles,Errors lead to goal,Interceptions,Penalty committed,Clearances,Dribbled past,Big chances created,Total passes,Assists,Accurate final third passes,Accurate passes %,Accurate long balls %,Saves,Clean sheets,Penalties faced,Goals conceded inside the box,Penalties saved,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Was fouled,Fouls,Total duels won %,RangoEdad
Kang-in Lee,0.17,72.58,1.28,0.0,0.06,0.0,1.17,0.0,0.31,0.0,0.14,1.19,0.39,24.36,0.17,7.36,80.27,44.44,0.0,0.08,0.0,0.75,0.0,0.14,0.28,0.0,28.4,1.69,1.42,48.76,1
Lucas Robertone,0.05,48.21,1.0,0.03,0.03,0.0,1.35,0.0,1.24,0.0,1.14,0.97,0.35,32.65,0.19,7.19,82.45,55.78,0.0,0.05,0.0,1.19,0.0,0.08,0.19,0.0,36.84,2.41,0.89,55.03,2
Mikel Merino,0.06,57.89,1.27,0.03,0.15,0.0,2.33,0.0,0.61,0.0,1.52,0.94,0.36,44.36,0.27,11.67,77.66,51.16,0.0,0.24,0.0,0.76,0.0,0.18,0.18,0.03,65.7,1.45,2.24,54.64,2
Rodrygo,0.26,54.36,2.88,0.0,0.53,0.37,0.5,0.0,0.24,0.0,0.12,0.56,0.29,29.74,0.24,13.41,89.61,81.82,0.0,0.12,0.0,0.76,0.0,0.03,0.12,0.0,37.84,1.44,0.53,50.47,1
David López,0.15,100.0,0.55,0.05,0.05,0.0,1.55,0.05,0.7,0.0,3.15,0.4,0.05,59.85,0.05,3.6,90.14,53.15,0.0,0.05,0.0,1.15,0.0,0.05,0.25,0.0,47.54,0.8,0.8,59.42,3
Jules Koundé,0.03,62.5,0.48,0.03,0.1,0.0,1.28,0.03,0.66,0.0,1.93,0.34,0.17,63.93,0.1,12.14,88.83,52.17,0.0,0.62,0.0,0.31,0.0,0.1,0.07,0.0,65.15,0.41,0.76,56.91,2
Jorge Pascual,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1
Alvaro Aceves Catalina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,80.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,1
Giovani Lo Celso,0.09,59.46,1.36,0.05,0.14,0.0,1.45,0.0,0.27,0.0,0.09,0.41,0.27,29.64,0.14,11.45,86.5,85.25,0.0,0.0,0.0,0.55,0.0,0.0,0.14,0.0,28.57,1.41,0.68,57.24,2
Joselu,0.47,45.0,2.71,0.09,0.35,0.0,0.38,0.0,0.24,0.0,1.24,0.38,0.06,21.74,0.06,5.18,61.03,41.18,0.0,0.15,0.0,1.62,0.0,0.18,0.09,0.0,61.92,2.06,0.68,57.05,3
Moi Gómez,0.09,71.05,0.58,0.0,0.03,0.0,0.79,0.0,0.3,0.0,0.15,0.52,0.15,43.39,0.06,12.15,88.83,71.07,0.0,0.15,0.0,0.7,0.0,0.12,0.15,0.0,21.88,0.79,0.42,50.29,2
Antonio Raíllo,0.06,66.67,0.42,0.03,0.0,0.0,1.1,0.03,1.0,0.0,5.06,0.16,0.13,34.87,0.1,1.77,83.16,45.77,0.0,0.32,0.0,0.84,0.0,0.16,0.35,0.03,63.89,0.68,1.35,59.84,3
Guido Rodríguez,0.03,73.33,0.65,0.03,0.03,0.0,3.38,0.03,1.24,0.0,2.0,1.38,0.0,49.15,0.0,7.41,87.43,59.06,0.0,0.29,0.0,0.82,0.0,0.12,0.24,0.0,49.45,1.88,1.32,59.61,2
Carlos Soler,0.33,100.0,1.67,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.67,0.33,0.0,35.67,0.0,10.33,84.11,50.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,50.0,1.33,0.67,61.54,2
Aitor Fernández,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,1.38,0.05,0.0,33.43,0.0,2.86,61.4,44.73,2.81,0.38,0.0,0.76,0.0,0.14,0.05,0.0,75.0,0.0,0.0,66.67,3
Gonzalo Escalante,0.29,77.78,1.0,0.07,0.14,0.0,2.5,0.0,1.21,0.07,1.71,1.0,0.14,30.36,0.07,5.79,75.76,31.91,0.0,0.29,0.0,0.93,0.0,0.0,0.29,0.0,49.09,1.21,1.0,56.58,2
Jordi Masip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.04,0.0,0.5,0.07,0.0,30.0,0.0,1.04,66.43,38.85,3.75,0.29,0.32,1.43,0.11,0.07,0.14,0.0,77.78,0.18,0.0,75.0,3
Loïc Badé,0.05,75.0,0.21,0.0,0.0,0.0,1.42,0.0,1.21,0.0,3.89,0.68,0.0,44.11,0.0,3.05,87.47,46.84,0.0,0.37,0.0,0.74,0.0,0.11,0.21,0.0,55.74,0.21,0.68,55.91,1
Vinícius Júnior,0.3,42.11,2.33,0.03,0.39,0.0,0.91,0.0,0.18,0.0,0.0,0.76,0.42,32.12,0.27,15.03,80.57,81.08,0.0,0.15,0.0,0.94,0.0,0.03,0.3,0.0,25.0,3.7,1.42,47.76,1
Andreas Christensen,0.04,0.0,0.43,0.04,0.04,0.0,0.87,0.0,0.91,0.0,2.0,0.26,0.04,65.04,0.04,6.13,93.98,67.01,0.0,0.35,0.0,0.52,0.0,0.04,0.09,0.0,68.85,0.3,0.78,60.0,2
Brais Méndez,0.24,30.61,1.76,0.03,0.09,0.33,1.71,0.0,0.35,0.0,0.41,1.15,0.18,34.56,0.12,10.59,82.47,63.53,0.0,0.09,0.0,0.62,0.0,0.12,0.18,0.0,45.45,1.59,1.76,44.31,2
Pau Torres,0.03,78.79,0.35,0.0,0.06,0.0,1.26,0.03,0.38,0.0,4.09,0.38,0.06,63.62,0.0,8.09,85.34,55.83,0.0,0.29,0.0,0.97,0.0,0.06,0.29,0.0,55.14,0.5,0.59,61.18,2
Isi Palazón,0.24,49.5,2.54,0.0,0.16,0.0,1.22,0.0,0.46,0.0,0.73,1.14,0.19,31.41,0.14,11.14,78.92,46.43,0.0,0.05,0.0,1.11,0.0,0.11,0.11,0.0,26.32,2.81,1.0,45.44,2
Takefusa Kubo,0.26,49.49,2.06,0.0,0.11,0.0,1.26,0.0,0.26,0.0,0.09,0.63,0.29,22.51,0.11,8.83,75.76,42.86,0.0,0.11,0.0,0.49,0.0,0.11,0.09,0.0,39.02,1.37,1.0,47.87,1
Lucas Vázquez,0.17,73.68,0.61,0.0,0.04,0.0,1.48,0.0,0.3,0.0,0.43,0.35,0.09,34.74,0.04,8.35,88.74,50.0,0.0,0.09,0.0,0.48,0.0,0.04,0.09,0.0,16.67,0.7,1.0,58.04,3
Ronald Araújo,0.0,76.92,0.82,0.0,0.18,0.0,1.18,0.0,0.55,0.0,1.77,0.14,0.05,56.91,0.09,5.59,89.06,55.47,0.0,0.55,0.0,0.23,0.0,0.0,0.27,0.05,62.16,0.77,0.73,64.71,1
Nicolas Jackson,0.46,67.65,1.58,0.0,0.27,0.0,0.54,0.0,0.08,0.0,0.12,0.23,0.27,12.23,0.15,4.77,76.42,80.0,0.0,0.04,0.0,0.62,0.0,0.08,0.15,0.04,30.23,1.0,1.23,40.0,1
Reinildo Mandava,0.0,33.33,0.27,0.0,0.05,0.0,3.0,0.0,1.36,0.0,2.36,0.5,0.0,43.32,0.0,4.95,87.09,38.81,0.0,0.36,0.0,0.68,0.0,0.09,0.18,0.0,60.0,1.36,1.45,61.21,2
Marcos Acuña,0.1,53.06,0.7,0.03,0.0,0.0,1.9,0.0,0.77,0.03,1.07,0.4,0.27,32.8,0.07,6.8,80.59,54.62,0.0,0.03,0.0,0.9,0.0,0.23,0.3,0.1,62.5,1.13,1.07,58.8,3
Vedat Muriqi,0.43,44.44,2.17,0.14,0.31,0.0,0.34,0.0,0.34,0.0,2.09,0.29,0.09,23.31,0.09,5.26,57.84,38.24,0.0,0.11,0.0,0.89,0.0,0.11,0.17,0.03,55.9,1.11,1.69,48.24,2
Viktor Tsygankov,0.16,62.96,1.0,0.0,0.0,0.0,0.42,0.0,0.37,0.0,0.47,0.68,0.11,29.37,0.32,7.89,72.94,60.0,0.0,0.05,0.0,0.84,0.0,0.16,0.0,0.0,35.0,1.11,0.42,47.32,2
Juan Foyth,0.04,60.0,0.58,0.04,0.08,0.0,3.04,0.0,0.83,0.04,2.38,0.67,0.13,45.38,0.0,8.67,87.79,67.65,0.0,0.17,0.0,1.0,0.0,0.0,0.25,0.0,62.07,0.38,1.67,56.86,2
David Silva,0.07,50.0,1.07,0.0,0.25,0.0,1.29,0.0,0.54,0.0,0.57,0.29,0.36,40.39,0.18,13.82,86.12,67.86,0.0,0.0,0.0,0.61,0.0,0.14,0.14,0.0,45.45,1.18,1.07,51.58,3
Carlos García,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0,1.0,0.0,83.33,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1
Marko Dmitrović,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,30.6,0.0,3.07,49.46,33.62,2.93,0.33,0.0,0.6,0.0,0.27,0.13,0.0,100.0,0.07,0.0,100.0,3
Iñigo Martínez,0.07,0.0,0.67,0.0,0.13,2.22,1.2,0.0,1.2,0.0,3.53,0.2,0.0,50.93,0.0,4.07,81.81,54.42,0.0,0.27,0.0,1.0,0.0,0.07,0.07,0.0,57.78,0.67,0.87,59.34,3
Iker Muniain,0.0,72.22,0.93,0.0,0.17,0.0,0.7,0.0,0.13,0.0,0.07,0.37,0.17,32.73,0.1,12.6,86.15,66.67,0.0,0.07,0.0,0.57,0.0,0.03,0.07,0.0,18.75,2.07,0.43,60.98,2
Álex Remiro,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.74,0.05,0.0,30.74,0.0,1.68,68.75,45.84,2.63,0.39,0.05,0.76,0.03,0.16,0.03,0.0,87.5,0.11,0.0,80.0,2
