Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Dawid Drachal,0.06,0.0,34.78,0.63,0.0,0.0,1.81,0.31,0.0,0.31,0.0,0.75,0.0,0.0,9.5,71.71,2.63,55.56,0.0,0.0,0.0,0.0,0.25,0.19,0.19,0.0,15.79,44.63,0.88,1.0,16,1,3,Polonia Ekstraklasa,3
Wiktor Kaminski,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,62.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,55.56,1.0,0.0,2,1,4,Polonia Ekstraklasa,3
Mateusz Stawny,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,6.0,0.0,0.0,0.0,0.0,21.0,85.71,0.5,66.67,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,44.44,53.85,1.5,0.5,2,1,2,Polonia Ekstraklasa,3
Kacper Smiglewski,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,3.0,66.67,1.0,50.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,66.67,33.33,0.0,0.67,3,1,4,Polonia Ekstraklasa,3
Bartosz Kwiecień,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,2.4,0.0,0.6,0.0,0.0,4.4,77.27,0.8,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,100.0,42.86,0.0,1.0,5,2,2,Polonia Ekstraklasa,3
Kevin Broll,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.0,34.2,62.57,0.6,37.31,3.1,0.2,0.0,0.0,1.6,0.2,0.0,0.1,100.0,60.0,0.1,0.1,10,2,1,Polonia Ekstraklasa,3
Paweł Olkowski,0.04,0.08,52.08,1.0,0.0,0.0,0.92,0.81,0.0,0.77,0.0,0.46,0.08,0.0,22.65,75.89,4.81,32.65,0.0,0.12,0.0,0.0,0.77,0.08,0.04,0.0,32.69,45.54,1.0,0.65,26,3,3,Polonia Ekstraklasa,3
Michal Siplak,0.0,0.0,71.43,0.48,0.0,0.0,0.38,0.67,0.1,1.48,0.0,0.14,0.1,0.1,16.19,71.18,3.62,32.69,0.0,0.19,0.0,0.0,0.52,0.14,0.24,0.0,68.97,53.25,0.38,1.0,21,2,2,Polonia Ekstraklasa,3
Kristián Vallo,0.09,0.14,35.0,0.95,0.05,0.0,1.05,0.27,0.0,0.68,0.0,0.77,0.14,0.18,19.09,74.76,5.59,33.33,0.0,0.09,0.0,0.0,0.68,0.23,0.05,0.0,36.0,34.9,0.27,0.91,22,2,3,Polonia Ekstraklasa,3
Aurelien Nguiamba,0.0,0.0,0.0,0.18,0.0,0.0,0.73,1.0,0.0,0.64,0.0,0.27,0.0,0.09,23.73,88.89,3.64,66.67,0.0,0.0,0.0,0.0,0.91,0.09,0.36,0.0,62.5,47.83,0.36,1.09,11,1,3,Polonia Ekstraklasa,3
Maciej Żurawski,0.13,0.16,42.11,0.77,0.06,0.0,0.58,0.61,0.0,0.32,0.0,0.45,0.1,0.1,14.39,77.58,2.94,64.52,0.0,0.0,0.0,0.0,0.52,0.1,0.1,0.0,35.14,42.86,0.81,0.48,31,1,3,Polonia Ekstraklasa,3
Kamil Koscielny,0.0,0.0,100.0,0.32,0.0,0.0,0.63,0.37,0.05,1.05,0.0,0.21,0.05,0.0,18.32,75.0,2.63,46.34,0.0,0.16,0.0,0.0,0.47,0.05,0.11,0.0,54.29,50.93,0.21,0.84,19,3,2,Polonia Ekstraklasa,3
Jasmin Burić,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.8,48.74,0.2,26.51,2.2,0.2,0.6,0.4,1.6,0.2,0.2,0.0,0.0,100.0,0.2,0.0,5,3,1,Polonia Ekstraklasa,3
Bartosz Klebaniuk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,24.4,75.41,0.6,35.56,2.4,0.0,0.2,0.2,1.6,0.4,0.0,0.0,100.0,100.0,0.0,0.0,5,1,1,Polonia Ekstraklasa,3
Mato Miloš,0.04,0.08,50.72,0.79,0.0,0.0,0.96,0.67,0.0,1.17,0.0,0.83,0.17,0.04,21.71,76.39,5.71,42.11,0.0,0.17,0.0,0.0,0.79,0.25,0.13,0.0,41.67,42.86,0.46,0.75,24,2,3,Polonia Ekstraklasa,3
Gustav Berggren,0.04,0.0,44.44,0.28,0.0,0.0,0.52,0.44,0.0,0.52,0.0,0.28,0.08,0.04,12.44,83.92,2.96,22.73,0.0,0.0,0.0,0.0,0.2,0.0,0.16,0.0,45.0,42.17,0.36,0.92,25,2,3,Polonia Ekstraklasa,3
Jonatan Kotzke,0.0,0.0,28.57,0.69,0.0,0.0,0.81,1.06,0.0,0.94,0.0,0.56,0.0,0.0,25.81,83.29,3.75,48.28,0.0,0.06,0.0,0.0,0.81,0.19,0.13,0.0,52.63,46.88,0.63,0.75,16,3,3,Polonia Ekstraklasa,3
Mateusz Wdowiak,0.1,0.1,46.15,0.83,0.03,0.0,0.23,0.13,0.0,0.1,0.0,0.37,0.13,0.07,11.23,77.74,4.33,37.5,0.0,0.0,0.0,0.0,0.23,0.1,0.13,0.0,36.67,39.23,0.7,0.77,30,2,3,Polonia Ekstraklasa,3
Łukasz Bejger,0.1,0.0,63.64,0.33,0.0,0.0,0.71,0.57,0.05,2.14,0.0,0.38,0.1,0.05,34.57,82.23,3.76,36.59,0.0,0.14,0.0,0.0,1.0,0.19,0.1,0.05,50.0,54.21,0.76,0.62,21,1,2,Polonia Ekstraklasa,3
Mateusz Bochnak,0.13,0.13,58.82,1.0,0.0,0.0,0.69,0.19,0.0,0.44,0.0,0.5,0.0,0.0,13.06,75.12,3.56,44.44,0.0,0.06,0.0,0.0,0.5,0.13,0.06,0.0,33.33,42.47,0.31,0.44,16,2,3,Polonia Ekstraklasa,3
Miłosz Matysik,0.0,0.0,50.0,0.13,0.0,0.0,0.53,1.33,0.0,2.53,0.0,0.27,0.0,0.07,29.07,80.73,2.53,31.25,0.0,0.0,0.0,0.0,1.0,0.13,0.27,0.0,51.61,48.15,0.67,0.87,15,1,2,Polonia Ekstraklasa,3
Dariusz Stalmach,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0,13.33,85.0,2.33,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,40.0,1.0,1.0,3,1,3,Polonia Ekstraklasa,3
Tomasz Walczak,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.33,0.0,3,1,4,Polonia Ekstraklasa,3
Filip Koperski,0.0,0.0,33.33,0.0,0.0,0.0,1.71,0.14,0.0,0.57,0.0,0.14,0.0,0.0,12.57,70.45,2.86,25.0,0.0,0.0,0.0,0.0,0.86,0.14,0.0,0.0,40.0,54.05,0.43,0.71,7,1,2,Polonia Ekstraklasa,3
Adam Frączczak,0.0,0.22,25.0,1.0,0.0,0.0,0.44,0.22,0.0,0.22,0.0,0.11,0.0,0.0,8.33,60.0,2.22,30.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,17.39,29.17,0.56,0.89,9,3,4,Polonia Ekstraklasa,3
Michael Kostka,0.0,0.04,52.0,0.59,0.0,0.0,1.07,0.59,0.0,0.81,0.0,0.37,0.04,0.0,13.59,71.12,2.3,33.33,0.0,0.04,0.0,0.0,0.67,0.11,0.11,0.0,44.0,51.59,0.44,0.63,27,1,2,Polonia Ekstraklasa,3
Mateusz Lewandowski,0.13,0.13,60.0,0.63,0.06,0.0,0.44,0.06,0.0,0.31,0.0,0.44,0.0,0.0,6.56,74.29,1.69,100.0,0.0,0.0,0.0,0.0,0.5,0.06,0.06,0.0,41.67,36.92,0.25,0.88,16,1,4,Polonia Ekstraklasa,3
