Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Jean Pierre Vilchez,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,1,1,3,Peru Liga 1,3
Luis Duque,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,18.5,75.68,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,66.67,66.67,1.5,0.0,2,1,3,Peru Liga 1,3
Víctor Salas,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.33,0.0,2.67,0.0,0.0,0.0,0.0,15.67,51.06,0.67,15.79,0.0,0.0,0.0,0.0,1.67,0.0,0.67,0.0,83.33,77.78,1.0,1.0,3,2,2,Peru Liga 1,3
Roberto Villamarín,0.0,0.05,45.16,0.95,0.0,0.0,1.43,1.19,0.0,1.24,0.0,0.43,0.05,0.1,24.71,65.9,4.29,37.65,0.0,0.1,0.0,0.0,1.19,0.1,0.14,0.0,33.33,43.87,0.71,1.14,21,2,2,Peru Liga 1,3
Leonardo Mifflin,0.06,0.0,50.0,0.61,0.0,0.0,1.44,1.83,0.0,1.28,0.0,0.78,0.0,0.11,24.72,75.51,3.17,31.91,0.0,0.11,0.0,0.0,1.0,0.06,0.17,0.06,52.17,43.24,0.28,1.44,18,1,3,Peru Liga 1,3
Jose Carlos Fernandez,0.0,0.16,33.33,0.92,0.0,0.0,0.16,0.04,0.0,0.56,0.0,0.04,0.0,0.04,8.56,59.35,1.72,33.33,0.0,0.0,0.0,0.0,0.32,0.0,0.16,0.04,59.14,56.74,0.8,0.56,25,3,4,Peru Liga 1,3
Bryan Ríos,0.0,0.08,57.14,0.31,0.0,0.0,2.0,1.38,0.0,2.69,0.0,0.85,0.0,0.0,21.31,69.31,3.0,32.76,0.0,0.15,0.0,0.0,1.38,0.15,0.31,0.0,52.94,55.56,0.92,0.85,13,1,2,Peru Liga 1,3
Dylan Caro,0.0,0.0,0.0,0.2,0.0,0.0,1.5,0.6,0.0,0.7,0.0,0.1,0.0,0.0,10.1,72.28,2.1,57.89,0.0,0.0,0.0,0.0,1.1,0.1,0.1,0.0,25.0,43.14,0.5,1.0,10,1,2,Peru Liga 1,3
Baruj Aburto,0.0,0.0,88.89,0.27,0.0,0.0,0.45,0.27,0.09,0.09,0.0,0.27,0.0,0.0,5.73,80.95,2.18,71.43,0.0,0.0,0.0,0.0,0.55,0.09,0.09,0.0,0.0,45.71,0.27,0.55,11,1,4,Peru Liga 1,3
Yhirbis Cordova,0.0,0.0,50.0,0.54,0.0,0.0,1.42,1.35,0.0,2.77,0.0,0.54,0.04,0.04,33.65,72.34,8.15,49.28,0.0,0.12,0.0,0.0,2.12,0.19,0.23,0.0,54.55,50.77,1.12,0.96,26,3,2,Peru Liga 1,3
Mario Ceballos,0.08,0.0,0.0,0.5,0.0,0.0,0.58,0.17,0.0,0.25,0.0,0.08,0.0,0.0,5.83,75.71,1.58,50.0,0.0,0.0,0.0,0.0,0.75,0.0,0.08,0.0,26.92,35.19,0.42,0.75,12,3,4,Peru Liga 1,3
Jhamir D´Arrigo,0.18,0.07,49.07,0.96,0.0,0.0,1.11,0.93,0.0,0.18,0.0,0.61,0.18,0.11,21.64,71.45,6.43,50.0,0.0,0.07,0.0,0.0,0.96,0.07,0.11,0.0,21.95,41.85,2.0,0.93,28,1,3,Peru Liga 1,3
Mauricio Montes,0.0,0.08,0.0,0.83,0.0,0.0,0.25,0.08,0.0,0.5,0.0,0.17,0.0,0.0,5.58,65.67,1.17,50.0,0.0,0.0,0.0,0.0,0.5,0.17,0.0,0.0,42.86,48.78,0.67,0.17,12,3,4,Peru Liga 1,3
Gianmarco Gambetta,0.0,0.06,66.67,0.24,0.0,0.0,0.71,0.82,0.06,3.41,0.0,0.41,0.0,0.0,26.41,70.6,2.65,42.75,0.0,0.06,0.0,0.0,1.12,0.24,0.12,0.0,66.67,52.81,0.29,1.12,17,3,2,Peru Liga 1,3
Carlos Aliaga,0.0,0.0,70.0,0.25,0.0,0.0,1.63,0.13,0.0,0.25,0.0,0.88,0.0,0.13,8.38,68.66,2.88,16.67,0.0,0.13,0.0,0.0,0.75,0.13,0.25,0.0,29.41,49.3,1.25,0.88,8,3,4,Peru Liga 1,3
Rodrigo Menancho,0.0,0.0,100.0,0.5,0.0,0.0,0.5,0.75,0.0,1.75,0.0,0.0,0.0,0.0,17.0,77.94,0.25,36.36,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,57.14,52.94,0.5,1.25,4,1,2,Peru Liga 1,3
Jhon Vega,0.0,0.0,100.0,0.17,0.0,0.0,0.58,0.5,0.0,0.25,0.0,0.25,0.08,0.0,22.0,92.05,2.92,58.82,0.0,0.0,0.0,0.0,0.58,0.25,0.08,0.0,50.0,53.85,0.17,0.33,12,2,3,Peru Liga 1,3
