Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Georgiy Harutyunyan,0.0,0.0,100.0,0.0,0.0,0.0,2.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,78.5,89.17,1.0,57.14,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,62.5,62.5,0.0,1.5,2,1,2,Rusia Premier Liga,4
Alexander Dovbnya,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.5,0.17,0.0,0.0,0.0,23.5,42.55,0.83,34.19,5.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,100.0,0.33,0.0,6,3,1,Rusia Premier Liga,4
Jimmy Marín,0.28,0.16,32.26,2.16,0.08,0.0,0.48,0.08,0.0,0.08,0.0,0.24,0.12,0.12,13.2,82.12,5.88,81.82,0.0,0.0,0.0,0.0,1.12,0.16,0.04,0.0,30.0,37.96,0.64,0.36,25,2,4,Rusia Premier Liga,4
Andrey Mostovoy,0.28,0.14,44.26,1.72,0.0,0.0,0.45,0.45,0.0,0.1,0.0,0.38,0.14,0.17,26.03,84.5,12.9,81.58,0.0,0.0,0.0,0.0,0.38,0.07,0.0,0.0,42.86,50.84,1.45,0.45,29,2,4,Rusia Premier Liga,4
Igor Diveev,0.1,0.0,62.5,0.8,0.1,0.0,0.75,1.0,0.0,3.4,0.0,0.35,0.1,0.05,41.65,77.91,3.55,55.95,0.0,0.35,0.0,0.0,0.6,0.2,0.05,0.0,68.6,63.7,0.35,0.6,20,1,2,Rusia Premier Liga,4
Artem Timofeev,0.31,0.04,64.29,1.62,0.12,0.0,2.12,1.73,0.0,1.15,0.0,1.62,0.04,0.04,30.88,71.61,7.38,35.79,0.0,0.12,0.0,0.0,1.12,0.19,0.19,0.04,51.72,53.92,0.92,0.5,26,2,3,Rusia Premier Liga,4
Germán Conti,0.0,0.0,0.0,0.33,0.0,0.0,1.33,2.0,0.0,6.0,0.0,1.0,0.0,0.0,36.0,73.15,1.33,11.76,0.0,0.33,0.0,0.0,1.0,0.0,0.0,0.0,61.9,60.0,0.33,0.33,3,2,2,Rusia Premier Liga,4
Nene Bi Junior Gbamble,0.2,0.0,60.0,1.0,0.2,0.0,1.8,0.4,0.0,0.0,0.0,0.2,0.2,0.0,13.0,73.85,5.6,66.67,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,52.17,0.6,1.2,5,1,4,Rusia Premier Liga,4
Darko Todorović,0.07,0.0,75.0,0.93,0.0,0.0,1.79,2.0,0.0,1.79,0.0,0.93,0.21,0.29,24.36,68.62,4.71,20.0,0.0,0.14,0.0,0.0,1.0,0.14,0.29,0.0,63.64,58.33,0.29,0.5,14,2,2,Rusia Premier Liga,4
Roman Akbashev,0.21,0.07,40.0,1.61,0.04,0.0,0.96,0.71,0.0,0.39,0.0,0.75,0.11,0.14,21.71,73.85,6.5,45.59,0.0,0.14,0.0,0.0,1.04,0.21,0.25,0.0,46.51,41.62,0.57,1.0,28,3,4,Rusia Premier Liga,4
Ivan Sergeev,0.38,0.15,33.33,1.42,0.08,0.0,0.19,0.0,0.0,0.08,0.0,0.15,0.15,0.15,9.46,68.29,3.08,66.67,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,44.44,39.44,0.23,0.19,26,2,4,Rusia Premier Liga,4
Damien Le Tallec,0.0,0.0,100.0,0.0,0.0,0.0,1.33,2.89,0.0,3.33,0.0,0.22,0.0,0.0,26.22,70.76,2.89,39.02,0.0,0.0,0.0,0.0,0.89,0.11,0.22,0.0,50.0,56.0,0.22,0.67,9,3,2,Rusia Premier Liga,4
Sergey Pinyaev,0.25,0.15,57.45,2.7,0.0,0.0,0.85,0.5,0.0,0.15,0.0,0.25,0.05,0.05,19.6,70.66,6.3,54.05,0.0,0.0,0.0,0.0,0.85,0.05,0.1,0.0,53.33,50.82,0.5,0.3,20,1,3,Rusia Premier Liga,4
Lazar Ranđelović,0.17,0.22,50.0,1.39,0.0,0.0,0.39,0.44,0.0,0.0,0.0,0.72,0.33,0.22,18.94,68.91,6.22,41.38,0.0,0.0,0.0,0.0,0.61,0.06,0.17,0.0,17.39,26.88,0.56,0.61,18,2,3,Rusia Premier Liga,4
Roman Zobnin,0.1,0.14,55.93,1.83,0.0,0.0,1.48,1.24,0.0,1.21,0.0,0.69,0.07,0.03,40.62,82.85,13.66,65.82,0.0,0.24,0.0,0.0,1.0,0.24,0.1,0.0,40.91,51.2,1.9,0.9,29,2,3,Rusia Premier Liga,4
Ruslan Litvinov,0.12,0.08,20.0,1.24,0.04,0.0,1.44,1.24,0.0,1.76,0.0,0.4,0.04,0.04,59.44,85.4,10.64,63.52,0.0,0.2,0.0,0.0,0.64,0.2,0.2,0.04,49.18,47.62,0.56,1.32,25,1,2,Rusia Premier Liga,4
Artem Karpukas,0.07,0.04,56.25,0.48,0.0,0.0,3.93,1.44,0.0,1.19,0.04,1.52,0.04,0.04,43.93,81.2,7.56,37.1,0.0,0.15,0.0,0.0,0.96,0.11,0.19,0.0,52.0,60.0,1.44,0.89,27,1,3,Rusia Premier Liga,4
Lucas Fasson,0.0,0.33,100.0,1.33,0.0,0.0,1.0,0.33,0.0,1.33,0.0,0.0,0.0,0.0,44.33,88.72,9.33,75.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,72.73,68.42,0.33,1.0,3,1,2,Rusia Premier Liga,4
Vladimir Pisarskiy,0.54,0.19,40.43,2.88,0.12,0.0,0.35,0.08,0.0,0.81,0.0,0.19,0.15,0.08,13.54,71.02,4.12,60.0,0.0,0.08,0.0,0.0,1.31,0.23,0.12,0.04,32.74,35.23,1.58,1.31,26,2,4,Rusia Premier Liga,4
Daniil Glebov,0.14,0.0,63.64,0.71,0.0,0.0,1.46,1.75,0.0,1.96,0.0,0.39,0.04,0.11,45.11,80.84,6.68,51.24,0.0,0.18,0.0,0.0,1.21,0.11,0.14,0.04,35.09,56.71,0.93,0.39,28,1,3,Rusia Premier Liga,4
Ivan Kuzmichev,0.0,0.0,83.33,0.2,0.0,0.0,1.25,1.8,0.0,3.4,0.0,0.1,0.0,0.0,43.5,82.41,2.1,47.33,0.0,0.2,0.0,0.0,1.2,0.15,0.1,0.0,69.23,66.87,0.35,0.8,20,1,2,Rusia Premier Liga,4
Dmitriy Barinov,0.07,0.0,50.0,0.78,0.04,0.0,1.56,1.63,0.07,2.04,0.0,0.52,0.22,0.15,47.74,81.77,7.04,49.67,0.0,0.15,0.0,0.0,1.26,0.15,0.3,0.04,59.57,57.06,0.74,1.07,27,2,3,Rusia Premier Liga,4
Vanja Drkušić,0.04,0.04,0.0,0.96,0.04,0.0,1.19,1.85,0.0,3.96,0.0,0.19,0.04,0.04,45.62,78.33,2.19,52.55,0.0,0.19,0.0,0.0,1.27,0.31,0.19,0.04,73.2,68.78,0.77,1.08,26,1,2,Rusia Premier Liga,4
Lechi Sadulaev,0.09,0.0,53.62,1.32,0.0,0.0,1.32,0.95,0.0,0.5,0.0,0.64,0.14,0.14,14.64,67.08,4.82,34.62,0.0,0.05,0.0,0.0,0.73,0.09,0.18,0.05,50.91,50.19,1.59,1.18,22,1,3,Rusia Premier Liga,4
Aleksey Evseev,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,87.5,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,2,3,Rusia Premier Liga,4
Nikita Krivtsov,0.3,0.15,70.0,1.35,0.1,0.0,1.05,1.05,0.05,0.5,0.0,1.4,0.2,0.15,30.4,78.95,8.7,57.63,0.0,0.1,0.0,0.0,0.95,0.2,0.25,0.0,44.44,45.22,0.85,0.95,20,1,3,Rusia Premier Liga,4
