Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Mitar Ergelaš,0.04,0.04,36.84,0.65,0,0,0.74,0.3,0,0.65,0,0.61,0.17,0.13,9.87,60.35,2.13,33.33,0,0,0,0,0.61,0.04,0.13,0,36.36,44.68,1.17,0.74,23
Samir Radovac,0,0.07,100,0.53,0,0,0.93,0.47,0,0.33,0,0.67,0,0,16.27,77.46,3.87,38.46,0,0,0,0,0.73,0.07,0.07,0,27.27,50.79,0.73,0.6,15
Dајan Ponjević,0,0,57.89,0.35,0,0,1.82,0.65,0.06,1.24,0,0.88,0,0,30.47,71.62,5.06,38.04,0,0.24,0,0,0.82,0.41,0.35,0,37.5,49.59,0.59,1.24,17
Bratislav Djukic,0,0,33.33,0.13,0,0,0.52,0.7,0.04,2.3,0,0,0,0,15.57,72.07,1.48,44.44,0,0.04,0,0,0.83,0.22,0.22,0,35.9,46.91,0.48,0.78,23
Damjan Daničić,0,0,50,0.1,0,0,0.8,1.2,0,1.5,0,0.3,0,0,16.4,71.34,2.4,27.27,0,0.2,0,0,0.9,0,0.1,0,50,52.63,0.2,0.5,10
Aleksandar Ćirković,0,0,33.33,1.2,0,0,0.6,0.8,0,0.2,0,0.4,0,0,20.8,71.15,5.2,38.46,0,0.4,0,0,0.6,0.2,0,0,0,51.28,3,0.2,5
Nemanja Jović,0.09,0.09,36.84,0.86,0,0,0.73,0.14,0,0.14,0,0.5,0.09,0.09,13.73,72.19,3.82,33.33,0,0.05,0,0,0.32,0.09,0.18,0,43.59,46.86,1.59,0.95,22
Milan Mitrović,0,0,100,0.21,0,0,1.36,0.71,0.07,3.36,0.07,0.36,0,0.07,48.86,84.21,2.21,41.24,0,0.21,0,0,1.07,0.36,0.21,0,65.85,63.33,0.71,1.07,14
Stefan Kovač,0.04,0.16,62.5,1,0,0,1.4,0.96,0.04,0.28,0,1.08,0,0.04,25.08,74.32,7.24,37.7,0,0.24,0,0,0.68,0.04,0.2,0.04,39.39,39.79,0.52,2.04,25
Anton Tolordava,0,0,0,0,0,0,2.83,2,0.17,3.5,0,0.33,0,0.17,39.33,77.12,1,30.23,0,0,0,0,2.33,0.33,0.67,0,58.33,52.24,0.67,2.83,6
Nikola Popović,0,0,39.13,1,0,0,1.33,0.44,0.06,0.44,0,0.56,0.11,0.06,21.72,63.94,5.61,18.18,0,0.06,0,0,1,0.33,0.06,0,45.07,47.4,1.44,1.33,18
Uroš Vidović,0,0,0,0,0,0,0.2,0.4,0,0,0,0.1,0,0,8.8,86.36,1,75,0,0,0,0,0,0,0,0.1,0,25,0,0.2,10
Miloš Milovanović,0,0.1,0,0.4,0,0,1.9,1,0.1,1.9,0,0.3,0,0,23.6,77.97,1.1,35.71,0,0.1,0,0,0.7,0.2,0.3,0.1,46.15,57.41,0.6,1.3,10
Đorđe Ćosić,0,0.06,60,0.35,0,0,1.06,0.82,0,3.35,0,0.47,0,0,31.71,59.55,3.24,31.95,0,0.47,0,0,0.88,0.06,0.18,0.06,63.64,58.16,0.88,1,17
Sava Petrov,0.06,0.17,42.59,1.34,0,0,0.37,0.14,0,0.63,0,0.29,0.09,0.06,12.91,74.78,4.31,60,0,0.03,0,0,1.03,0.11,0.11,0,37.31,39.75,1,0.97,35
Branislav Tomić,0,0,0,0.64,0,0,0.09,0.36,0,0.18,0,0,0,0,6.27,72.46,2.18,50,0,0,0,0,0.45,0.18,0.09,0,75,50,0.27,0.09,11
Mark Oliver Roosnupp,0,0,50,0.33,0,0,0.25,0.17,0,0.5,0,0.08,0,0.08,8.25,75.76,2.67,25,0,0,0,0,0.17,0,0.08,0,52.63,44.74,0.08,0.75,12
Morice Abraham,0,0,45.45,0.53,0,0,0.4,0.07,0,0.07,0,0.33,0.13,0,7.27,76.15,2.27,71.43,0,0,0,0,0,0.07,0.13,0,16.67,41.51,0.67,0.6,15
Đorđe Gordić,0.19,0.06,23.53,0.81,0,0,1.38,0.44,0,0.38,0,0.56,0.13,0.06,22.75,76.92,6.06,40.63,0,0,0,0,1.38,0.19,0.13,0,17.65,42.86,1.56,0.94,16
Aleksa Marušić,0.1,0.1,50,0.6,0,0,0.5,0,0,0.4,0,0,0,0,6.7,85.07,2,50,0,0,0,0,0.4,0.1,0,0,41.18,44.9,0.6,0.3,10
Slavko Damjanović,0,0,0,0,0,0,1.25,1.5,0.25,2.5,0,0.25,0,0,22,64.77,0.25,31.58,0,0,0,0,1,0,0.25,0,85.71,66.67,0.25,1,4
Pavle Ivelja,0,0,0,0.33,0,0,0.22,0.67,0,0.22,0,0.11,0,0,7.11,64.06,1.67,66.67,0,0,0,0,0.89,0.11,0.11,0,42.86,37.5,0.11,0.44,9
Mehmed Ćosić,0.07,0.07,50,0.53,0,0,1.13,0.6,0,0.87,0,0.87,0,0,16.13,73.14,2.53,34.48,0,0,0,0,0.67,0.07,0.2,0,21.43,45,0.87,0.6,15
Aleksandar Ješić,0,0.04,71.43,0.64,0,0,1.04,1.08,0,1.04,0,0.48,0,0,32.2,78.88,6.8,60.24,0,0.08,0,0,0.88,0.2,0.24,0,36.36,44.74,1.24,1.28,25
Nemanja Kojčić,0,0.2,0,0.6,0,0,0.8,1.6,0,3.4,0.2,0.4,0,0,23.2,74.14,1.4,38.1,0,0.2,0,0,1.4,0.2,0,0,69.23,65.22,0.4,0.4,5
Arihiro Sentoku,0.09,0,20,0.55,0,0,0.82,0.36,0,0.18,0,0.36,0.09,0,11.27,79.03,2.27,57.14,0,0,0,0,0.36,0,0.09,0,7.69,34.55,0.73,0.82,11
Vladimir Radivojević,0.14,0.07,55,0.41,0,0,0.55,0.24,0,0.28,0,0.41,0.07,0.07,26.72,69.81,8.76,41.38,0,0,0,0,0.79,0.21,0.14,0,25.64,42.28,0.93,0.69,29
Dino Dolmagić,0,0,60,0.3,0,0,0.3,0.3,0.05,1.05,0,0.1,0.15,0.05,14.95,60.87,4.15,14.63,0,0.05,0,0,0.55,0.1,0.2,0,66.67,61.9,0.9,0.6,20
Ibrahim Tanko,0.06,0.18,44.68,0.79,0.03,0,0.65,0.15,0,0.26,0,0.18,0,0.06,7.74,64.64,2.21,28.57,0,0.03,0,0,0.38,0.12,0.06,0,51.47,46.51,0.65,1.03,34
Radivoj Bosić,0.04,0.04,47.22,0.78,0,0,0.65,0.17,0.04,0.17,0,0.43,0.09,0,7.04,70.37,2.43,58.33,0,0,0,0,0.35,0.13,0,0,21.43,44.07,0.74,0.74,23
Haris Kadrić,0.07,0.21,42.86,0.96,0.04,0,0.18,0.14,0,0.36,0,0.11,0.04,0,11.14,64.42,2.29,70.59,0,0.07,0,0,0.54,0.11,0.07,0,51.89,45.22,1.36,1.14,28
Lazar Arsić,0,0.14,35,1.19,0,0,0.62,0.52,0,0.19,0,0.43,0.05,0,17.24,67.96,4.43,35.56,0,0,0,0,0.81,0.05,0.1,0,26.09,43.97,1.71,1.14,21
Ljubiša Pecelj,0.04,0,64.86,0.24,0,0,1.76,1.12,0,2.12,0,1.2,0,0.08,39.36,73.27,7.68,34.57,0,0.32,0,0,0.76,0.32,0.16,0,54.55,47.25,0.44,1.12,25
Jovan Lukić,0,0,100,0.3,0,0,0.2,0.3,0,0.4,0,0.2,0.2,0.1,9.5,71.58,4,71.43,0,0,0,0,0.1,0,0.2,0,66.67,42.86,0.7,0.9,10
Nemanja Subotić,0.03,0.06,52.63,0.91,0,0,0.78,0.22,0,0.09,0.03,0.25,0.06,0,16.75,69.03,5.47,50.85,0,0.03,0,0,0.5,0.09,0.06,0,35.9,48.04,0.91,0.69,32
Miloš Brnović,0,0,0,0.42,0,0,0.83,0.17,0,0,0,0.08,0,0,4.5,77.78,1.67,60,0,0,0,0,0.17,0,0.08,0,28.57,41.86,0.33,0.67,12
Dimitrije Petronijević,0,0,44.44,0.57,0,0,1.5,0.71,0,0.86,0.07,0.57,0.07,0,19.29,69.63,3.14,35.71,0,0.07,0,0,0.93,0.14,0.14,0,46.67,48.75,0.5,0.93,14
Dražen Bagarić,0,0,62.5,0.81,0,0,0.63,0.19,0,0.75,0,0.44,0,0,7.69,60.98,1.5,14.29,0,0.06,0,0,0.5,0,0.19,0,47.92,44.23,0.56,1.19,16
Vladimir Prijović,0.07,0.07,57.14,0.27,0,0,1.27,1.47,0,1.47,0,0.67,0.07,0.07,24.6,67.48,3.07,32.18,0,0.2,0,0,0.87,0.07,0.13,0,55.56,40,0.53,2.53,15
Giorgi Papunashvili,0,0,20,0.33,0,0,0.33,0.33,0,0,0,0.33,0.33,0.33,18.67,89.29,7,100,0,0,0,0,1,0,0,0,0,30,0.33,0,3
Ibrahim Mustapha,0,0.17,41.18,0.25,0,0,0.33,0.08,0,0,0,0.08,0.08,0.08,9.92,84.87,4.17,0,0,0,0,0,0.17,0,0.08,0,25,49.02,1,0.58,12
Ognjen Milanović,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,75,2,0,0,0,0,0,1,0,0,0,0,100,1,0,1
Luka Borovic,0,0,0,3,0,0,1,0,0,0,0,0,0,0,24,70.83,8,100,0,0,0,0,1,1,0,0,0,30,2,1,1
Obren Kljajić,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,75,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2
Nikola Simić,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.33,62.69,0.33,39.02,2,0,0,0,0.67,0.33,0,0,0,0,0,0,3
Marko Vučić,0,0,0,0,0,0,0.33,0.67,0,0.33,0,0.33,0,0,6.33,78.95,1.33,0,0,0,0,0,0,0,0,0,0,25,0,0.33,3
Adrián Szőke,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0.25,100,0,0,0,0,0,0,0,0,0.25,0,33.33,66.67,0.5,0,4
Veljko Jovanović,0,0,0,1,0,0,0.25,0.25,0,0,0,0.25,0,0,7.75,70.97,2,100,0,0,0,0,0.75,0.25,0,0,36.36,39.13,1,0.75,4
Abdul Musa Zubairu,0,0,50,0.22,0,0,0.89,0.22,0,0,0,1,0,0,12.67,83.33,3.33,71.43,0,0,0,0,0.56,0.11,0.33,0,33.33,47.17,1.22,1,9
Aleksandar Vulić,0,0,0,0,0,0,0.06,0,0,0.76,0,0,0,0,23.29,43.94,1.88,34.64,3.12,0.06,0.18,0,1.71,0.29,0.18,0,60,75,0.12,0,17
Mihajlo Nešković,0.07,0.1,45.21,0.93,0,0,1.1,0.33,0,0.4,0,0.7,0.03,0.03,21.97,77.85,4.9,36.36,0,0.1,0,0,0.8,0.03,0.03,0,43.24,49.81,1.7,0.73,30
Filip Babić,0,0,0,0.21,0,0,1.21,1.43,0,2.07,0,0.07,0.07,0.07,26.21,71.66,3.43,48,0,0,0,0,1.71,0.29,0.29,0,61.11,58.21,0.79,1.21,14
Vukašin Bogdanović,0,0.15,20,0.45,0,0,0.55,0.3,0,0.45,0,0.05,0.1,0,9.2,63.04,2.25,40,0,0,0,0,0.75,0.1,0.2,0,36.84,41.4,1.5,1.05,20
Borko Duronjić,0.07,0.1,43.75,0.72,0,0,0.72,0.28,0.03,0.62,0,0.59,0.1,0.07,11.45,62.35,2.79,40.38,0,0,0,0,0.72,0.03,0.14,0,21.21,44.25,1.21,0.72,29
Mihajlo Petković,0.14,0.14,42.86,1.14,0,0,1.14,0,0,0,0,0.57,0.14,0,13.14,68.48,2.86,30.77,0,0,0,0,0.71,0,0,0,28.57,53.19,1.71,0.29,7
Semir Alić,0,0,50,0.42,0,0,1.83,0.42,0,0.83,0,0.67,0,0.08,15.25,72.68,2.58,48.15,0,0,0,0,0.5,0.08,0.25,0,50,46.84,0.25,1.58,12
Stefan Dimić,0.13,0.07,38.46,0.87,0,0,0.53,0.47,0,0.07,0,0.2,0.07,0,16.67,86,7.2,83.33,0,0,0,0,1.13,0.13,0.07,0,18.75,37.84,1.4,1.07,15
Ivan Vukčević,0,0.13,0,0.5,0,0,0.38,0.13,0,0.13,0,0.25,0,0.25,3.88,64.52,1.13,0,0,0,0,0,0.25,0,0,0,30.77,33.33,0.5,0.25,8
Dušan Hodžić,0,0,61.54,0.4,0,0,1.13,0.8,0.13,1,0,0.6,0,0,29.33,74.09,6.2,50.52,0,0.13,0,0,1.4,0.2,0.2,0,37.04,51.09,0.8,0.67,15
Nikola Đuričić,0,0,75,0.31,0,0,1.44,1.19,0,0.81,0,0.63,0,0,30.44,76.39,2.44,36.51,0,0,0,0,1.06,0.06,0.25,0,48.15,54.17,1.25,1.38,16
Miloš Rošević,0,0.13,50,0.25,0,0,0.25,0,0,0.63,0,0.31,0,0,6.69,51.4,1.75,66.67,0,0,0,0,0.06,0.06,0.13,0,26.67,34.02,0.5,0.56,16
Nikola Zečević,0,0,100,0.09,0,0,0.91,1.73,0,3.73,0,1,0,0,33.09,76.1,1.55,38.75,0,0.09,0,0,1.64,0,0.18,0,50,44.07,0.36,1.09,11
Milan Obradović,0,0.06,60,0.36,0,0,0.55,1.64,0.06,3.73,0,0.52,0,0,33.55,64.59,3.45,31.33,0,0.27,0,0,1.12,0.24,0.27,0.03,52.34,46.31,0.82,1.61,33
Romain Gall,0.14,0.14,44.44,1.57,0,0,0.71,0.43,0,0.14,0,0.71,0,0,10.14,66.2,2.14,16.67,0,0,0,0,0.57,0.14,0.29,0,45.45,38.78,0.71,0.86,7
Danilo Sekulić,0,0,25,0.71,0,0,0.57,0.93,0,0.64,0,0.36,0,0,26.86,71.28,4.21,38.6,0,0.07,0,0,0.86,0.07,0.07,0,58.97,51.85,0.71,0.79,14
