Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Luke Duzel,0.0,0.0,50.0,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,69.23,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.33,3,1,3
Nick Ansell,0.0,0.14,0.0,0.43,0.0,0.0,0.43,0.86,0.0,2.14,0.0,0.29,0.0,0.0,23.71,87.95,1.0,45.45,0.0,0.14,0.0,0.0,0.57,0.14,0.0,0.0,55.56,52.94,0.14,0.14,7,2,2
Daniel Arzani,0.05,0.11,47.44,1.16,0.0,0.0,0.89,0.26,0.11,0.16,0.0,0.53,0.47,0.26,21.89,76.92,6.84,47.37,0.0,0.05,0.0,0.0,0.79,0.11,0.26,0.0,0.0,44.55,1.89,1.11,19,1,3
Johnny Koutroumbis,0.0,0.0,30.77,0.5,0.0,0.0,2.13,1.56,0.06,2.5,0.0,1.0,0.06,0.06,39.94,84.82,5.63,35.29,0.0,0.13,0.0,0.0,1.13,0.06,0.13,0.0,54.84,55.65,0.56,0.44,16,2,2
Ivan Vujica,0.0,0.0,72.73,0.04,0.0,0.0,2.85,1.12,0.0,2.38,0.0,0.85,0.12,0.04,41.85,79.96,6.31,25.21,0.0,0.19,0.0,0.0,1.5,0.35,0.0,0.0,37.5,59.79,0.38,0.35,26,2,2
Jake Hollman,0.0,0.29,45.71,1.59,0.0,0.0,3.0,1.82,0.06,0.71,0.0,1.71,0.12,0.0,37.18,81.8,7.53,42.86,0.0,0.06,0.0,0.0,1.47,0.29,0.18,0.06,66.67,53.89,1.47,1.18,17,1,3
Cameron Cook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.18,0.06,0.0,0.0,24.82,67.77,0.88,38.16,3.41,0.18,0.18,0.0,1.65,0.18,0.12,0.0,100.0,75.0,0.06,0.0,17,1,1
Joshua Cavallo,0.0,0.0,50.0,0.57,0.0,0.0,1.57,0.0,0.0,0.29,0.0,0.29,0.0,0.0,11.71,71.95,2.86,60.0,0.0,0.0,0.0,0.0,0.29,0.14,0.0,0.0,20.0,54.84,0.43,0.43,7,1,3
Michael Weier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.2,0.0,0.0,0.0,24.7,76.11,0.2,32.93,3.5,0.0,0.4,0.0,1.8,0.2,0.0,0.0,66.67,80.0,0.2,0.0,10,2,1
Carlo Armiento,0.13,0.04,17.5,1.54,0.0,0.0,0.96,0.13,0.0,0.38,0.0,0.5,0.17,0.13,9.08,66.51,2.67,11.76,0.0,0.0,0.0,0.0,0.83,0.08,0.08,0.0,16.67,39.51,1.29,0.42,24,1,4
Dane Ingham,0.0,0.04,47.54,0.54,0.0,0.0,2.58,0.92,0.0,1.63,0.04,0.83,0.13,0.04,39.63,81.91,8.83,42.86,0.0,0.08,0.0,0.0,1.42,0.08,0.17,0.0,50.0,55.51,1.17,0.88,24,1,2
Rhyan Grant,0.07,0.14,68.42,0.64,0.0,0.0,1.79,1.79,0.04,1.82,0.04,1.25,0.11,0.07,51.36,85.61,8.93,44.93,0.0,0.14,0.0,0.0,1.29,0.25,0.25,0.04,44.74,51.28,1.54,1.61,28,3,2
Connor O'Toole,0.0,0.0,66.67,0.25,0.0,0.0,0.75,0.75,0.0,1.0,0.0,0.0,0.0,0.0,16.25,80.0,3.75,20.0,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.0,40.0,72.22,1.5,0.25,4,2,2
Joseph Knowles,0.05,0.14,33.33,1.05,0.0,0.0,1.38,0.57,0.0,0.67,0.0,0.24,0.1,0.14,12.9,67.9,3.29,44.44,0.0,0.05,0.0,0.0,0.57,0.05,0.1,0.0,40.91,49.2,1.38,0.95,21,2,4
Ulises Dávila,0.23,0.23,47.22,2.85,0.0,0.0,1.15,0.31,0.0,0.38,0.0,1.15,0.23,0.0,33.92,77.78,11.77,36.67,0.0,0.23,0.0,0.0,0.85,0.23,0.08,0.0,31.58,45.93,3.15,1.08,13,3,3
Luka Jovanovic,0.33,0.11,66.67,1.0,0.0,0.0,0.11,0.11,0.0,0.44,0.0,0.67,0.11,0.0,7.11,78.13,1.89,100.0,0.0,0.0,0.0,0.0,1.11,0.11,0.0,0.0,27.78,32.56,0.22,0.11,9,1,4
Carl Jenkinson,0.0,0.0,38.89,0.3,0.0,0.0,1.96,1.0,0.0,3.35,0.04,0.52,0.04,0.04,54.48,82.28,6.48,41.1,0.0,0.04,0.0,0.0,1.48,0.04,0.17,0.04,61.67,56.21,0.26,1.09,23,3,2
Hiroshi Ibusuki,0.29,0.42,29.41,2.17,0.13,0.0,0.42,0.04,0.0,1.0,0.0,0.21,0.04,0.0,13.21,70.35,2.13,77.78,0.0,0.0,0.0,0.0,0.92,0.21,0.04,0.04,60.91,46.67,0.38,1.13,24,3,4
Darryl Lachman,0.04,0.04,50.0,0.08,0.0,0.0,1.0,0.75,0.04,2.79,0.0,0.54,0.04,0.0,69.54,91.73,5.38,55.77,0.0,0.13,0.0,0.0,1.42,0.21,0.17,0.04,65.12,55.08,0.25,0.5,24,3,2
Jason Romero,0.2,0.0,50.0,0.8,0.0,0.0,1.4,1.0,0.0,0.2,0.0,0.4,0.0,0.0,15.8,81.01,4.8,60.0,0.0,0.0,0.0,0.0,1.4,0.4,0.0,0.0,21.43,37.5,0.2,0.2,5,2,4
Leigh Broxham,0.0,0.0,50.0,0.15,0.0,0.0,1.45,0.75,0.05,1.7,0.0,0.6,0.0,0.0,33.15,88.24,2.85,47.62,0.0,0.15,0.0,0.0,0.95,0.1,0.15,0.0,40.0,55.1,0.6,0.55,20,3,2
Oliver Jones,0.0,0.0,100.0,0.33,0.0,0.0,0.67,1.33,0.0,2.67,0.0,0.5,0.0,0.0,41.33,84.68,2.83,34.62,0.0,0.0,0.0,0.0,0.83,0.33,0.17,0.0,76.47,60.61,0.0,0.83,6,1,3
Jason Geria,0.0,0.0,20.0,0.4,0.0,0.0,2.4,1.0,0.0,2.47,0.0,1.0,0.07,0.0,38.13,84.27,7.67,32.61,0.0,0.0,0.0,0.0,1.13,0.13,0.0,0.0,63.89,55.17,0.27,0.8,15,2,2
Christopher Ikonomidis,0.09,0.17,42.03,1.17,0.0,0.0,0.96,0.17,0.0,0.26,0.0,0.39,0.17,0.13,19.43,76.96,6.13,52.0,0.0,0.13,0.0,0.0,0.83,0.0,0.13,0.04,33.33,40.54,0.7,0.91,23,2,3
