#,Team,Name,Appearances
293,,Petar Golubović,12
294,,Vladislav Karapuzov,22
295,,Stepan Oganesyan,20
296,,Danila Prokhin,19
297,,Vyacheslav Grulev,26
298,,Ilya Kutepov,8
299,,Danil Kazantsev,7
300,,Yuri Kovalev,20
301,,Kirill Pechenin,19
302,,Luka Gagnidze,20
303,,Zoran Nižić,11
304,,Pavel Maslov,19
305,,Victor Moses,10
306,,Kirill Zaika,15
307,,Egor Golenkov,29
308,,Aleksandr Troshechkin,19
309,,Gamid Agalarov,22
310,,François Kamano,28
311,,André,5
312,,Adolfo Gaich,8
313,,Daniil Penchikov,4
314,,Igor Yurganov,20
315,,Sergey Terekhov,27
316,,Nicolas Moumie Ngamaleu,19
317,,Alexis Duarte,7
318,,Leon Klassen,11
319,,Mark Mampasi,7
320,,Fanil Sungatulin,24
321,,Maksim Maksimov,24
322,,Denis Glushakov,20
323,,Vladimir Iljin,27
324,,Mihail Caimacov,10
325,,Moses David Cobnan,10
326,,Sergey Volkov,27
327,,Aleksandr Koksharov,7
328,,Vadim Rakov,9
329,,Marcos Guilherme,10
330,,Diego Laxalt,9
331,,Rifat Zhemaletdinov,11
332,,Nikolay Sysuev,11
333,,Ilya Svinov,24
334,,Mikhail Ignatov,21
335,,Aleksey Pomerko,8
336,,Aleksandr Ryazantsev,16
337,,Ruslan Apekov,2
338,,Mikhail Sivakov,24
339,,Rizvan Utsiev,16
340,,Igor Lebedenko,22
341,,Timofey Shipunov,15
342,,Alikhan Shavaev,9
343,,Vladislav Shitov,23
344,,Danila Khotulev,14
345,,Roman Tugarev,24
346,,Stepan Melnikov,10
347,,Ibrokhim Yuldoshev,27
348,,Igor Savić,14
349,,Artur Chernyi,11
350,,Magomed Shapi Suleymanov,4
351,,Vladislav Yakovlev,20
352,,Mateo Stamatov,15
353,,Vyacheslav Litvinov,18
354,,Konstantin Maradishvili,21
355,,Shamar Nicholson,22
356,,Daniil Lesovoy,13
357,,Ilya Gaponov,16
358,,Gyrano Kerk,17
359,,Vladimir Obukhov,11
360,,Ayaz Guliev,19
361,,Artem Samsonov,22
362,,Ákos Kecskés,1
363,,Luka Tsulukidze,1
364,,Rustam Khalnazarov,1
365,,Dmytro Ivanisenia,2
366,,Dmitriy Kratkov,2
367,,Magomed Yakuev,2
368,,Aleksey Baranovskiy,3
369,,Miha Mevlja,4
370,,Daniil Odoevski,4
371,,Nikolay Rasskazov,16
372,,Daniil Kulikov,13
373,,Leo Goglichidze,26
374,,Eli Dasa,22
375,,Maciej Rybus,8
376,,Ruslan Magal,25
377,,Kirill Glebov,6
378,,Artem Ntumba Muamba,7
379,,Kirill Bozhenov,11
380,,Nikola Antić,11
381,,Amur Kalmykov,5
382,,Egor Danilkin,5
383,,Evgeniy Tatarinov,10
384,,Oleg Shatov,4
385,,Yordy Reyna,11
386,,Alexey Keniaykin,11
387,,Maksim Turishchev,24
388,,Igor Smolnikov,22
389,,Evgeniy Markov,9
390,,Vladislav Samko,3
391,,Nikolay Titkov,16
392,,Vitaliy Gudiev,8
393,,Maksim Nenakhov,20
394,,Vladimir Poluyakhtov,20
395,,Denis Terentjev,16
396,,Roman Yuzepchuk,11
397,,Lachezar Kotev,2
398,,Maksim Danilin,2
399,,Aleksey Gorodovoy,6
400,,Stefan Melentijević,8
401,,Mario Mitaj,14
402,,Albert Sharipov,16
403,,Mukhammad Sultonov,9
404,,Amir Batyrev,9
