#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
197,,Yaroslav Mikhailov,0.1,0.14,30.52,77.54,6.95,48.61
198,,Nikita Chernov,0,0,35.92,87.82,2.46,53.19
199,,Danil Krugovoy,0,0,24.37,81.21,6.79,45.71
200,,Ilzat Akhmetov,0.15,0.19,17.63,80.04,6.52,68.42
201,,Tin Jedvaj,0,0,51.57,79.78,6.14,41.73
202,,Andrey Mendel,0,0,15.46,68.41,2.62,35.59
203,,Aleksey Sutormin,0.14,0,26.14,85.52,8.36,52.63
204,,Irakli Kvekveskiri,0,0,24.85,67.96,3.74,39.5
205,,Yaroslav Gladyshev,0.12,0.04,11.58,76.08,4.15,65.38
206,,Artem Sokolov,0.11,0.06,15.17,74.36,4.33,55.17
207,,Irakliy Chezhia,0,0,36.38,82.47,2.5,58
208,,Roman Ezhov,0.27,0.18,26.82,77.12,9.14,65
209,,Yuri Gazinskiy,0.07,0.07,37.29,79.31,8.71,53.85
210,,Luka Đorđević,0.23,0.15,10.15,73.48,2.92,55.56
211,,Kirill Ushatov,0.14,0.29,7,85.71,2.86,0
212,,Kirill Suslov,0,0,26.35,72.61,2.17,45.64
213,,Mingiyan Beveev,0.04,0.04,36.64,72.93,6.52,46.99
214,,Víctor Felipe Méndez,0.08,0,42.65,88.55,12,74.7
215,,Daniil Khudyakov,0.07,0.07,28.43,52.51,0.86,34.17
216,,Ilya Agapov,0,0,34.67,75.77,5.4,43.1
217,,Aleksandr Ektov,0.12,0.04,28.88,72.85,7.16,38.54
218,,Evgeni Morozov,0.04,0,30.76,63.2,3.68,27.53
219,,Dmitri Zhivoglyadov,0.06,0.19,28.31,75.72,6.31,45.71
220,,Timofey Margasov,0.12,0.04,31.42,74.17,6.38,45.16
221,,Aleksandr Erokhin,0,0,5.5,77.27,0.95,66.67
222,,Batraz Gurtsiev,0.13,0.25,5.25,66.67,1.13,33.33
223,,Victorien Angban,0,0,41.14,86.81,8.57,76.19
224,,Mohamed Konate,0.04,0.04,11.58,56.12,3.04,28.57
225,,Ilya Pomazun,0,0,29.83,62.2,1.76,43.49
226,,Khyzyr Appaev,0.18,0.11,18.5,59.65,5.82,31.82
227,,Kevin Pina,0,0,38.93,85.62,5.87,47.73
228,,Ivan Lomaev,0,0,28.77,71.25,1.14,42.95
229,,Nemanja Glavčić,0,0.06,23.18,75.63,7.35,44.9
230,,Igor Kalinin,0,0.07,26,52.31,4.07,31.2
231,,Sergey Petrov,0.05,0,26.16,86.32,4.47,51.06
232,,Ilya Bykovskiy,0,0,25,73.14,6.14,40.63
233,,Mario Ćurić,0.18,0.06,28.76,82.41,5.94,59.09
234,,Artem Mamin,0,0,40.33,87.6,3.33,66.67
235,,Maksim Vityugov,0,0,25.11,81.65,4.96,57.5
236,,Rai Vloet,0,0,21.87,75.3,4.93,59.7
237,,Stanislav Magkeev,0.11,0,39.42,79.57,3.37,39.55
238,,Ilnur Alshin,0.04,0,21,60.66,4.78,28.41
239,,Denis Yakuba,0,0,21.4,81.78,3.7,64.71
240,,Ivan Temnikov,0,0,13,71.15,2.25,71.43
241,,Cristian Tassano,0,0,36.33,78.44,1.83,54
242,,Igor Konovalov,0,0,32.67,82.65,6.5,31.25
243,,Bogdan Ovsyannikov,0,0,31.33,58.51,0.83,38.84
244,,Aleksandr Kutitskiy,0,0,28.23,82.13,3.82,71.43
245,,Vladislav Sarveli,0.08,0.04,16.19,76.96,4.96,35.71
246,,Mohamed Amin Brahimi,0,0.08,14.23,57.84,3.31,31.82
247,,Vladislav Kamilov,0.05,0.05,23.45,71.22,4.05,41.03
248,,Bryan Idowu,0,0,35.38,72.26,7.88,43.24
249,,Khoren Bayramyan,0.09,0,24.13,74.77,7.26,40.35
250,,Nikita Kakkoev,0,0.05,28.81,79.34,3.62,46.74
251,,Mathias Normann,0.07,0,30.21,78.49,6.29,62.32
252,,Dmitriy Stotskiy,0.04,0.08,24.25,63.92,4.67,43.44
253,,Denis Adamov,0,0,26.29,61.52,0.47,40.93
254,,Dmitry Rybchinskiy,0.04,0.04,19.32,72.46,5.44,30
255,,Reziuan Mirzov,0.04,0.04,16.67,76.25,6.75,66.67
256,,Evgeny Goshev,0,0,21.33,59.9,0.44,34.23
257,,Oleg Kozhemyakin,0.04,0,39.44,74.75,3.8,37.23
258,,Mory Gbane,0.05,0.05,24.18,73.68,4.5,59.7
259,,Oleg Dmitriev,0.13,0.06,22.19,77.18,5.19,48.39
260,,Timur Ayupov,0,0,27.13,77.56,4.7,47.67
261,,Aleksandr Dolgov,0,0.08,12.2,67.54,3.28,63.64
262,,Andrey Langovich,0.05,0,17.14,76.39,3.68,48.84
263,,Ilya Kukharchuk,0,0.06,9.75,72.44,3.06,54.55
264,,Daniil Chernyakov,0,0,12.5,68,3.5,40
265,,Marat Bystrov,0,0,32.85,78.08,3.45,45
266,,Elmir Nabiullin,0,0,13.22,73.95,3.11,41.67
267,,Sergey Babkin,0,0,13.35,84.58,3.06,52.94
268,,Zaim Divanović,0.2,0.2,12.6,79.37,4,66.67
269,,Kirill Kravtsov,0,0,22.71,74.31,5.42,59.57
270,,Lucas Masoero,0,0,36.67,72.47,5.33,35.19
271,,Maksim Mukhin,0.18,0.12,17.24,78.5,4.29,41.94
272,,Zelimkhan Bakaev,0.12,0,9.24,79.62,4.76,45.45
273,,Kirill Nababkin,0,0,34.59,80.68,5.36,46.67
274,,Artur Nigmatullin,0,0,20.22,41.21,0.89,27.24
275,,Zakhar Volkov,0,0,35.8,81.01,2.9,54.93
276,,Evgeniy Chernov,0,0,20.96,68.67,3.09,33.75
277,,Denys Kulakov,0,0.05,32.16,71.19,6.37,30.39
278,,Aleksandr Rudenko,0.04,0.04,13.84,75.14,4.72,87.5
279,,Dmitri Tsypchenko,0.04,0,13,73.4,3.5,74.07
280,,Vyacheslav Krotov,0.05,0.05,17.41,69.97,5,40
281,,Stefan Šapić,0,0,23.4,72.65,2,35.29
282,,Pavel Meleshin,0.13,0,2.88,56.52,0.88,100
283,,Danila Kalin,0,0,11,81.82,1,0
284,,Matvey Lukin,0,0,11,59.09,0.5,25
285,,Aleksei Usanov,0.5,0,23.5,74.47,6,66.67
286,,Ivan Miladinović,0,0,34.33,80.91,3.89,55.1
287,,Aleksey Nikitin,0,0,27.67,83.53,2.11,61.11
288,,Edgar Sevikyan,0,0,11.2,74.11,3.2,50
289,,Andrey Egorychev,0.05,0.14,26.19,73.09,6.9,44.26
290,,Ravil Netfullin,0,0,33.35,76.01,3.05,40.88
291,,David Karaev,0.07,0.07,20.43,72.55,5.21,56.76
292,,Vasili Cherov,0.16,0.12,18.92,63,3.4,38.24
293,,Petar Golubović,0,0,35.5,73,5,46.24
294,,Vladislav Karapuzov,0.09,0.14,14.09,67.42,3.91,34.48
295,,Stepan Oganesyan,0.05,0.05,6.8,73.53,2.6,50
296,,Danila Prokhin,0,0,35.21,76.98,4,53.09
297,,Vyacheslav Grulev,0.08,0.08,9.58,57.43,2.31,42.11
298,,Ilya Kutepov,0,0,26.38,80.09,1.38,51.43
299,,Danil Kazantsev,0,0,26,80.77,3.86,57.89
300,,Yuri Kovalev,0.15,0.05,7.65,66.01,2.6,66.67
301,,Kirill Pechenin,0.05,0.11,30.26,76.7,6.32,42.86
302,,Luka Gagnidze,0.05,0.1,21.05,79.81,5.3,60.87
303,,Zoran Nižić,0,0,27.64,83.22,1.45,58.49
304,,Pavel Maslov,0,0.11,26.16,84.71,3,53.75
305,,Victor Moses,0,0,14.6,80.14,6.8,50
306,,Kirill Zaika,0.07,0,16.8,75,3.47,30.77
307,,Egor Golenkov,0,0,5.76,62.28,1.41,50
308,,Aleksandr Troshechkin,0.16,0.16,15,66.32,4.37,47.06
309,,Gamid Agalarov,0.05,0.05,7.41,57.06,1.68,0
310,,François Kamano,0.18,0.11,18.96,78.15,5,62.5
311,,André,0,0,11.6,75.86,2.4,0
312,,Adolfo Gaich,0,0,2.25,33.33,0.25,0
313,,Daniil Penchikov,0,0,20.5,75.61,4.75,50
314,,Igor Yurganov,0,0,42.7,82.08,4.7,47.1
315,,Sergey Terekhov,0.07,0.07,50,80.74,9.04,44.68
316,,Nicolas Moumie Ngamaleu,0.11,0.11,21.74,73.85,7.37,42.42
317,,Alexis Duarte,0,0,35.57,85.54,5.29,69.57
318,,Leon Klassen,0,0,15.18,71.86,3.36,50
319,,Mark Mampasi,0,0,27.57,80.31,4.14,55.17
320,,Fanil Sungatulin,0,0,20.46,84.73,4.04,66.13
321,,Maksim Maksimov,0,0,7.83,62.23,2.08,30
322,,Denis Glushakov,0.1,0.05,23.55,76.65,4.25,48.78
323,,Vladimir Iljin,0.04,0,9.33,63.1,2.96,37.5
