#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
339,,Rizvan Utsiev,0,0,61.54,55.41,0.63,0.56
340,,Igor Lebedenko,0.18,0,20.9,30.94,0.64,0.68
341,,Timofey Shipunov,0.07,0,20,41.18,0.73,0.2
342,,Alikhan Shavaev,0.11,0,0,60.71,0.33,0.11
343,,Vladislav Shitov,0.04,0,27.59,36.84,0.65,0.52
344,,Danila Khotulev,0.36,0,50,55.7,0.64,0.86
345,,Roman Tugarev,0.13,0,21.21,38.18,0.67,0.29
346,,Stepan Melnikov,0,0,50,55,0.3,0.1
347,,Ibrokhim Yuldoshev,0.19,0,53.57,49.3,0.48,0.74
348,,Igor Savić,0.36,0,65.91,47.46,0.5,1.71
349,,Artur Chernyi,0.18,0,70.59,56.25,0.18,0.55
350,,Magomed Shapi Suleymanov,0,0,50,57.89,0.25,0
351,,Vladislav Yakovlev,0.05,0,33.33,32.35,0.25,0.75
352,,Mateo Stamatov,0.27,0,50,50.63,0.27,0.53
353,,Vyacheslav Litvinov,0.06,0.06,72.22,64.2,0.44,0.5
354,,Konstantin Maradishvili,0.14,0,8,36.96,0.57,0.52
355,,Shamar Nicholson,0.09,0,50,40.79,0.18,0.59
356,,Daniil Lesovoy,0,0,20,57.45,0.54,0
357,,Ilya Gaponov,0.06,0,63.16,51.16,0.06,0.25
358,,Gyrano Kerk,0.06,0,56.25,40.85,1,1
359,,Vladimir Obukhov,0.18,0,15.79,17.65,0.18,0.36
360,,Ayaz Guliev,0.21,0,21.43,42.67,0.79,1.26
361,,Artem Samsonov,0.36,0.09,53.33,51.72,0.64,1.45
362,,Ákos Kecskés,0,0,50,60,1,0
363,,Luka Tsulukidze,0,0,0,0,0,0
364,,Rustam Khalnazarov,0,0,100,100,1,0
365,,Dmytro Ivanisenia,0,0,100,53.85,1,0.5
366,,Dmitriy Kratkov,0,0,0,66.67,0.5,0
367,,Magomed Yakuev,0.5,0,100,62.5,0,1
368,,Aleksey Baranovskiy,0,0,50,42.86,0,0
369,,Miha Mevlja,0,0,71.43,72.73,0.5,0
370,,Daniil Odoevski,0,0.25,0,50,0.25,0.25
371,,Nikolay Rasskazov,0.06,0,50,54.9,0.38,0.25
372,,Daniil Kulikov,0.08,0,33.33,47.5,0.23,0.38
373,,Leo Goglichidze,0.15,0.04,48.84,52.17,0.88,1.04
374,,Eli Dasa,0.14,0,57.14,49.11,0.5,0.82
375,,Maciej Rybus,0.25,0.13,100,50,0.38,1
376,,Ruslan Magal,0.12,0,41.67,47.62,0.36,0.36
377,,Kirill Glebov,0.17,0,0,52.38,0.83,0.5
378,,Artem Ntumba Muamba,0,0,75,58.33,0.14,0
379,,Kirill Bozhenov,0.27,0,0,42.86,0.45,1.18
380,,Nikola Antić,0.09,0,35.29,37.25,0.18,0.55
381,,Amur Kalmykov,0,0,41.67,32,0,0.6
382,,Egor Danilkin,0.2,0,77.78,62.5,0.6,0.8
383,,Evgeniy Tatarinov,0.1,0,33.33,33.33,0.2,0.6
384,,Oleg Shatov,0,0,66.67,50,0.5,0
385,,Yordy Reyna,0,0,12.5,42.39,1.91,0.55
386,,Alexey Keniaykin,0,0,0,0,0,0
387,,Maksim Turishchev,0.08,0,25.71,30.28,0.04,0.54
388,,Igor Smolnikov,0.14,0.05,31.03,40.65,0.68,1.23
389,,Evgeniy Markov,0,0.11,38.78,44.86,1.89,1.89
390,,Vladislav Samko,0,0,0,80,0.67,0.33
391,,Nikolay Titkov,0.06,0,25,43.59,0.31,0.5
392,,Vitaliy Gudiev,0,0,100,33.33,0,0
393,,Maksim Nenakhov,0.2,0.1,55.56,55.92,0.55,0.95
394,,Vladimir Poluyakhtov,0.1,0,33.33,42.53,0.65,0.75
395,,Denis Terentjev,0,0,36.36,47.37,0.25,0.19
396,,Roman Yuzepchuk,0.09,0,50,53.13,0.36,0.64
397,,Lachezar Kotev,0.5,0,50,44.44,0,1.5
398,,Maksim Danilin,0,0,0,0,0,1
399,,Aleksey Gorodovoy,0,0,50,50,0,0
400,,Stefan Melentijević,0.38,0,53.85,38.64,0.5,1.25
401,,Mario Mitaj,0.07,0.07,58.82,57.89,0.71,0.79
402,,Albert Sharipov,0.25,0,46.15,57.38,1,0.44
403,,Mukhammad Sultonov,0,0,20,37.5,0.33,0.11
404,,Amir Batyrev,0.11,0,33.33,50,1.33,0.44
405,,Egor Sorokin,0.43,0,76.19,62.5,0.29,0.57
406,,Reda Rabeï,0,0,12.5,21.88,0.3,0.6
407,,Ilya Berkovskyi,0,0,14.29,32.26,0.17,1.17
408,,Khozhimat Erkinov,0.2,0,41.67,45.24,1.35,0.7
409,,Danil Lipovoy,0,0,33.33,37.5,0.4,0
410,,Aleksei Gerasimov,0.22,0,82.35,51.43,0.22,1.11
411,,Ivan Enin,0.14,0,31.25,40,0.27,0.91
