#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
210,,Luka Đorđević,0.15,0.15,40,0.69,0,0
211,,Kirill Ushatov,0,0,75,0,0,0
212,,Kirill Suslov,0,0.04,66.67,0.22,0,0
213,,Mingiyan Beveev,0,0,50,0.36,0,0
214,,Víctor Felipe Méndez,0,0,40,0.58,0,0
215,,Daniil Khudyakov,0,0,100,0,0,0
216,,Ilya Agapov,0,0,100,0.2,0,0
217,,Aleksandr Ektov,0.12,0,42.86,1,0,0
218,,Evgeni Morozov,0.08,0.04,66.67,0.6,0.04,0
219,,Dmitri Zhivoglyadov,0,0,50,0.44,0,0
220,,Timofey Margasov,0,0.04,50,0.65,0,0
221,,Aleksandr Erokhin,0.1,0,33.33,0.55,0,0
222,,Batraz Gurtsiev,0,0.13,37.5,1.13,0,0
223,,Victorien Angban,0,0,66.67,0.71,0,0
224,,Mohamed Konate,0.46,0.13,33.33,1.88,0,0
225,,Ilya Pomazun,0,0,0,0,0,0
226,,Khyzyr Appaev,0.11,0.14,41.38,1.07,0.07,0
227,,Kevin Pina,0.07,0,60,0.6,0,0
228,,Ivan Lomaev,0,0,0,0,0,0
229,,Nemanja Glavčić,0.06,0,50,0.24,0,5.88
230,,Igor Kalinin,0,0,33.33,0.6,0,0
231,,Sergey Petrov,0.05,0,60,0.21,0,0
232,,Ilya Bykovskiy,0.14,0,66.67,0.86,0,0
233,,Mario Ćurić,0.06,0.06,61.54,0.88,0,0
234,,Artem Mamin,0,0,100,0,0,0
235,,Maksim Vityugov,0,0,71.43,0.14,0,0
236,,Rai Vloet,0.27,0.07,55,1.87,0,0
237,,Stanislav Magkeev,0,0,100,0.21,0,0
238,,Ilnur Alshin,0.04,0,33.33,0.57,0,0
239,,Denis Yakuba,0.1,0,83.33,0.3,0,0
240,,Ivan Temnikov,0,0,0,0.75,0,0
241,,Cristian Tassano,0,0,0,0.33,0,0
242,,Igor Konovalov,0,0,100,0.17,0,0
243,,Bogdan Ovsyannikov,0,0,100,0,0,0
244,,Aleksandr Kutitskiy,0,0,75,0.27,0,0
245,,Vladislav Sarveli,0.15,0.31,52.17,1.54,0,0
246,,Mohamed Amin Brahimi,0,0,62.16,0.46,0,0
247,,Vladislav Kamilov,0.1,0,55,0.7,0,0
248,,Bryan Idowu,0,0,50,0.44,0,0
249,,Khoren Bayramyan,0.04,0.13,46.67,0.96,0,0
250,,Nikita Kakkoev,0.05,0,66.67,0.57,0.05,0
251,,Mathias Normann,0,0,72.22,0.64,0,0
252,,Dmitriy Stotskiy,0.08,0.04,52.38,0.83,0,0
253,,Denis Adamov,0,0,0,0,0,0
254,,Dmitry Rybchinskiy,0.08,0,60.42,0.76,0,0
255,,Reziuan Mirzov,0.17,0.04,40.82,1.33,0,1.39
256,,Evgeny Goshev,0,0,0,0,0,0
257,,Oleg Kozhemyakin,0,0.04,75,0.4,0,0
258,,Mory Gbane,0,0,64.71,0.64,0,0
259,,Oleg Dmitriev,0,0.06,100,0.81,0,0
260,,Timur Ayupov,0.17,0.04,50,0.65,0,0
261,,Aleksandr Dolgov,0.16,0.16,29.03,0.96,0,0
262,,Andrey Langovich,0.09,0,30.77,0.14,0,0
263,,Ilya Kukharchuk,0.19,0.13,33.33,1.19,0,0
264,,Daniil Chernyakov,0,0,0,1,0,0
265,,Marat Bystrov,0,0,69.23,0.15,0,0
266,,Elmir Nabiullin,0,0,50,0.11,0,0
267,,Sergey Babkin,0.06,0,80,0.35,0.06,0
268,,Zaim Divanović,0,0,40,1,0,0
269,,Kirill Kravtsov,0.04,0,63.64,0.38,0,0
270,,Lucas Masoero,0,0.05,75,0.43,0,0
271,,Maksim Mukhin,0.06,0.06,71.43,0.35,0,0
272,,Zelimkhan Bakaev,0.06,0,25,0.82,0,0
273,,Kirill Nababkin,0.05,0,33.33,0.36,0,0
274,,Artur Nigmatullin,0,0,0,0,0,0
275,,Zakhar Volkov,0,0,80,0.1,0,0
276,,Evgeniy Chernov,0.09,0,33.33,0.48,0,0
277,,Denys Kulakov,0,0,41.67,0.11,0,0
278,,Aleksandr Rudenko,0.16,0.16,29.79,1.64,0,0
279,,Dmitri Tsypchenko,0.13,0.21,40,1.54,0,0
280,,Vyacheslav Krotov,0.09,0,22.73,0.59,0.05,0
281,,Stefan Šapić,0.2,0,0,0.2,0,0
282,,Pavel Meleshin,0.13,0.13,0,0.75,0,0
283,,Danila Kalin,0,0,100,0,0,0
284,,Matvey Lukin,0,0,0,0,0,0
285,,Aleksei Usanov,0,0,50,0.5,0,0
286,,Ivan Miladinović,0,0,50,0.33,0,0
287,,Aleksey Nikitin,0,0,0,0.22,0,0
288,,Edgar Sevikyan,0,0,83.33,0.9,0,0
289,,Andrey Egorychev,0.1,0.1,41.38,1,0,0
290,,Ravil Netfullin,0.05,0,50,0.55,0,0
291,,David Karaev,0.07,0.07,56.36,1.64,0,0
292,,Vasili Cherov,0,0,60,0.32,0,0
293,,Petar Golubović,0,0,87.5,0.67,0,0
294,,Vladislav Karapuzov,0.09,0,65,0.55,0,0
295,,Stepan Oganesyan,0.1,0.05,46.15,0.75,0,0
296,,Danila Prokhin,0.05,0,100,0.26,0.05,0
297,,Vyacheslav Grulev,0.12,0.12,34.48,1.19,0,0
298,,Ilya Kutepov,0,0,0,0,0,0
299,,Danil Kazantsev,0,0,75,0.43,0,0
300,,Yuri Kovalev,0.1,0.05,42.86,0.7,0,0
301,,Kirill Pechenin,0,0.16,37.5,0.84,0,0
302,,Luka Gagnidze,0,0,39.13,0.6,0,0
303,,Zoran Nižić,0,0,0,0.18,0,0
304,,Pavel Maslov,0.05,0,50,0.16,0,0
305,,Victor Moses,0.2,0.1,57.89,1.2,0,0
306,,Kirill Zaika,0.13,0,33.33,0.67,0,0
307,,Egor Golenkov,0.1,0.07,62.5,0.76,0.03,0
308,,Aleksandr Troshechkin,0.11,0.16,0,0.84,0.05,0
309,,Gamid Agalarov,0.14,0.05,37.5,0.86,0,0
310,,François Kamano,0.11,0.29,52.78,1.36,0.07,0
311,,André,0.2,0,50,1.4,0,0
312,,Adolfo Gaich,0.13,0.13,75,1.13,0,0
313,,Daniil Penchikov,0,0,66.67,0.75,0,0
314,,Igor Yurganov,0,0,100,0.15,0,0
315,,Sergey Terekhov,0,0.04,25,0.37,0,0
316,,Nicolas Moumie Ngamaleu,0.11,0.05,48.15,0.95,0.05,0
317,,Alexis Duarte,0,0,100,0.57,0,0
318,,Leon Klassen,0,0,100,0.18,0,0
319,,Mark Mampasi,0,0,100,0.14,0,0
320,,Fanil Sungatulin,0,0,0,0.13,0,0
321,,Maksim Maksimov,0.17,0.17,36.36,1.21,0.04,0
322,,Denis Glushakov,0.05,0,25,1,0,0
323,,Vladimir Iljin,0.15,0.11,56.25,1,0.07,0
324,,Mihail Caimacov,0.1,0,30,0.2,0,0
325,,Moses David Cobnan,0,0.1,66.67,1.5,0,0
326,,Sergey Volkov,0.04,0.04,44.19,0.37,0.04,0
327,,Aleksandr Koksharov,0.14,0,0,0.57,0.14,0
328,,Vadim Rakov,0,0,0,0.22,0,0
329,,Marcos Guilherme,0.1,0.1,75,0.9,0,0
