#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
37,,Wílmar Barrios,0,0.39,0,0,0.5,0.07
38,,Aleksandr Maksimenko,4.67,0,0,0,1,0.33
39,,Ivan Oblyakov,0,0.21,0,0,0.43,0.04
40,,Aleksandr Sobolev,0,0.08,0,0,0.92,0.31
41,,Junior Alonso,0,0.25,0,0,1.17,0.25
42,,Brian Mansilla,0,0.05,0,0,0.82,0.09
43,,Sergey Bozhin,0,0.19,0,0,1.38,0.24
44,,Rodrigão Prado,0,0.5,0,0,0.41,0.09
45,,Guilherme Marinato,3.67,0.33,0.67,0,1,0.33
46,,Bakhtiyar Zaynutdinov,0,0.24,0,0,0.62,0.24
47,,Egor Filipenko,0,0.15,0,0,1.08,0.08
48,,Fedor Smolov,0,0.21,0,0,1.08,0.04
49,,Lucas Vera,0,0.07,0,0,1.48,0.15
50,,Fernando Costanza,0,0.23,0,0,0.85,0.15
51,,Georgiy Harutyunyan,0,0.5,0,0,0.5,0.5
52,,Alexander Dovbnya,5,0,0,0,1.33,0
53,,Jimmy Marín,0,0,0,0,1.12,0.16
54,,Andrey Mostovoy,0,0,0,0,0.38,0.07
55,,Igor Diveev,0,0.35,0,0,0.6,0.2
56,,Artem Timofeev,0,0.12,0,0,1.12,0.19
57,,Germán Conti,0,0.33,0,0,1,0
58,,Nene Bi Junior Gbamble,0,0,0,0,0.2,0
59,,Darko Todorović,0,0.14,0,0,1,0.14
60,,Roman Akbashev,0,0.14,0,0,1.04,0.21
61,,Ivan Sergeev,0,0,0,0,0.31,0
62,,Damien Le Tallec,0,0,0,0,0.89,0.11
63,,Sergey Pinyaev,0,0,0,0,0.85,0.05
64,,Lazar Ranđelović,0,0,0,0,0.61,0.06
65,,Roman Zobnin,0,0.24,0,0,1,0.24
66,,Ruslan Litvinov,0,0.2,0,0,0.64,0.2
67,,Artem Karpukas,0,0.15,0,0,0.96,0.11
68,,Lucas Fasson,0,0,0,0,0.67,0
69,,Vladimir Pisarskiy,0,0.08,0,0,1.31,0.23
70,,Daniil Glebov,0,0.18,0,0,1.21,0.11
71,,Ivan Kuzmichev,0,0.2,0,0,1.2,0.15
72,,Dmitriy Barinov,0,0.15,0,0,1.26,0.15
73,,Vanja Drkušić,0,0.19,0,0,1.27,0.31
74,,Lechi Sadulaev,0,0.05,0,0,0.73,0.09
75,,Aleksey Evseev,0,0,0,0,0,0
76,,Nikita Krivtsov,0,0.1,0,0,0.95,0.2
77,,Cristian Ramírez,0,0.26,0,0,1.22,0.19
78,,Daniil Fomin,0,0.18,0,0,1.39,0.11
79,,Artur Yusupov,0,0.12,0,0,1.31,0.31
80,,Nikita Burmistrov,0,0,0,0,0.67,0.14
81,,Egor Baburin,4.5,0.15,0.65,0.2,1.95,0.35
82,,Danijel Miškić,0,0.19,0,0,1.3,0.11
83,,Kaio,0,0.2,0,0,1,0.1
84,,Mateo Cassierra,0,0,0,0,0.31,0.12
85,,Wilson Isidor,0,0.05,0,0,1,0.15
86,,Milson,0,0,0,0,0.94,0
87,,Georgi Gongadze,0,0,0,0,0.79,0.07
88,,Nikolay Zabolotnyi,2.8,0.2,0.2,0,0.8,0.2
89,,Aleksandr Chernikov,0,0.15,0,0,0.38,0.08
90,,Moisés,0,0.25,0,0,0.75,0.21
91,,Miloš Šatara,0,0.5,0,0,0.33,0
92,,Silvije Begić,0,0.27,0,0,1.13,0
93,,Anton Miranchuk,0,0,0,0,0.89,0.07
94,,Christopher Martins Pereira,0,0,0,0,0.44,0.33
95,,Aleksey Kashtanov,0,0.04,0,0,1,0.04
96,,Aslan Dashaev,0,0,0,0,1.83,0.67
97,,Anton Mitryushkin,4.89,0.11,0.33,0,2.22,0
98,,Sergey Pesyakov,3.47,0.17,0.2,0,1.33,0.13
99,,Olakunle Olusegun,0,0.17,0,0,0.96,0.17
100,,Joãozinho,0,0.04,0,0,0.78,0
101,,Dmitriy Vorobyev,0,0,0,0,0.77,0.27
102,,Matvey Safonov,3.74,0.26,0.3,0,1.33,0.26
103,,Roberto Fernández,0,0.26,0,0,1.05,0.11
104,,Kirill Kaplenko,0,0.25,0,0,0.9,0.1
105,,Sergey Borodin,0,0.3,0,0,1.1,0.3
106,,Matías Pérez,0,0.3,0,0,1.3,0.2
107,,Nikita Goylo,3.73,0.18,0.36,0,1.45,0.18
108,,Ivan Oleynikov,0,0.08,0,0,0.71,0.08
109,,Mihajlo Banjac,0,0.11,0,0,0.81,0.19
110,,Kirill Gotsuk,0,0.23,0,0,1.46,0.15
111,,Anton Zinkovskiy,0,0.04,0,0,0.46,0.11
112,,Saša Zdjelar,0,0.26,0,0,0.67,0.11
113,,Anton Shunin,3,0.25,0.25,0,1.33,0.08
114,,Benjamín Garré,0,0.08,0,0,0.69,0.15
115,,Keita Baldé,0,0,0,0,0.42,0.17
116,,Dzambolat Tsallagov,0,0,0,0,0.5,0.5
117,,Kirill Folmer,0,0,0,0,0,0.33
118,,Nail Umyarov,0,0.08,0,0,0.75,0.33
119,,Andrey Semenov,0,0.26,0,0,0.95,0.11
120,,Aleksey Ionov,0,0,0,0,1,0.11
121,,Robert Renan,0,0.33,0,0,0.67,0.22
122,,Aleksandr Selikhov,2.59,0.26,0.15,0,1,0.26
123,,Yuri Gorshkov,0,0.13,0,0,1.08,0.13
124,,Butta Magomedov,0,0.09,0,0,1.64,0.14
125,,Konstantin Tyukavin,0,0.04,0,0,0.82,0.07
126,,Gustavo Mantuan,0,0,0,0,0.23,0
127,,Glenn Bijl,0,0.25,0,0,1.11,0.07
128,,Bernard Berisha,0,0.05,0,0,0.9,0.15
129,,Ilya Stefanovich,0,0,0,0,1.83,0.17
130,,Vyacheslav Karavaev,0,0.38,0,0,0.5,0.04
131,,Igor Akinfeev,2.03,0.34,0.17,0.07,0.76,0.17
132,,Dmitri Skopintsev,0,0.14,0,0,1.07,0.1
133,,Ivan Bašić,0,0,0,0,0.87,0.13
134,,Daniil Denisov,0,0.14,0,0,0.83,0.21
135,,Sergey Parshivlyuk,0,0.16,0,0,0.79,0
136,,Danil Kapustyanskiy,0,0,0,0,0.17,0
137,,Aleksander Vasyutin,2.67,0.33,0,0,1,0
138,,Bruno Fuchs,0,0,0,0,0.75,0
139,,Dmitri Tikhiy,0,0.22,0,0,1.78,0
140,,Léo,0,0.08,0,0,2.25,0.17
141,,Dmitri Chistyakov,0,0.13,0,0,0.6,0.2
142,,Vladis-Emmerson Illoy-Ayyet,0,0.14,0,0,1.36,0.14
143,,Alexander Yushin,0,0,0,0,0.58,0
144,,Ilja Zhigulev,0,0,0,0,0.33,0
145,,Timur Suleymanov,0,0.07,0,0,0.89,0.07
146,,Danil Prutsev,0,0.04,0,0,0.78,0.11
147,,Georgiy Dzhikiya,0,0.14,0,0,0.95,0.18
148,,Nuraly Alip,0,0.25,0,0,0.63,0
149,,Anton Shvets,0,0.19,0,0,1.07,0.15
150,,Ibragim Tsallagov,0,0.06,0,0,1.28,0.28
151,,Arsen Adamov,0,0,0,0,0.11,0
152,,Egor Pogostnov,0,0.33,0,0,0.67,0.11
153,,Giorgi Shelia,2.76,0.28,0.07,0,1.1,0.14
154,,Daniil Zorin,0,0,0,0,0,0
155,,Vyacheslav Yakimov,0,0.24,0,0,1.06,0.06
156,,Nicolás Marichal,0,0,0,0,1.57,0.07
157,,Evgeniy Kharin,0,0.12,0,0,0.69,0.12
158,,Tomás Tavares,0,0.08,0,0,1,0.31
159,,Nair Tiknizyan,0,0.14,0,0,1.28,0.17
160,,Ivan Ignatiev,0,0,0,0,0.7,0.1
161,,João Batxi,0,0,0,0,0.57,0.07
162,,Ibrahima Cisse,0,0.12,0,0,1.06,0
163,,Aleksandar Ćirković,0,0,0,0,0.5,0
164,,Miroslav Bogosavac,0,0.24,0,0,1.16,0.16
165,,Aleksandr Kovalenko,0,0.04,0,0,1.22,0.09
166,,Artem Makarchuk,0,0.14,0,0,1.24,0.28
167,,Viktor Melekhin,0,0.04,0,0,1.08,0.08
168,,Denis Makarov,0,0,0,0,0.92,0.08
169,,Georgi Melkadze,0,0,0,0,1,0.21
170,,Mikhail Shchetinin,0,0,0,0,0.33,0
171,,Viktor Aleksandrov,0,0.29,0,0,1,0.06
172,,Mikhail Kerzhakov,1.71,0.46,0.13,0,0.58,0.08
173,,Anton Zabolotnyi,0,0.08,0,0,0.17,0
174,,Daniil Khlusevich,0,0.19,0,0,0.77,0.15
175,,Saba Sazonov,0,0.21,0,0,1.17,0.13
176,,Vitalii Botnar,4,0,0,0,1.75,0
