Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Oscar Dorley,0,0.04,46.67,0.52,0,0,1.08,0.56,0.04,0.48,0,0.16,0.2,0.24,35.36,77.38,10.68,51.46,0,0.12,0,0,0.48,0.32,0.08,0.04,48.89,55.4,0.84,0.76,25
Filip Kaloč,0.07,0.03,75,1.34,0,0,0.76,1.17,0,0.86,0.03,0.24,0.03,0.07,35.38,79.43,7.28,59.09,0,0.17,0,0,1.21,0.07,0.31,0,64.29,37.5,0.38,1.83,29
Michal Rabušic,0.05,0.05,0,0.64,0,0,0.05,0.05,0,0.09,0,0.05,0.09,0,6.5,79.02,2.05,66.67,0,0,0,0,0.23,0.18,0.14,0,33.33,55.88,0.73,0.36,22
Matej Rakovan,0,0,0,0,0,0,0.04,0,0,0.96,0,0.08,0,0,32.67,58.93,2.21,43.83,3.25,0.13,0.13,0,1.54,0.21,0.08,0,85.71,76.47,0.38,0.04,24
Tomas Kucera,0.11,0,40,0.93,0,0,0.71,0.86,0,1.68,0,0.29,0,0,41.57,76.8,8.96,46.97,0,0.14,0,0,1.39,0.18,0.18,0,50,41.94,0.32,1.18,28
Matej Trusa,0.14,0,42.86,0.79,0,0,0.86,0.07,0,0.07,0,0,0,0,10,67.86,3.29,50,0,0.07,0,0,0.57,0.07,0.07,0,15.79,39.47,0.86,1.79,14
Václav Pilař,0.06,0,75,0.44,0,0,0.25,0.25,0,0.38,0,0.06,0.13,0.06,10.38,75.9,3.44,62.5,0,0,0,0,0.31,0,0.06,0,35.71,46.67,0.56,0.56,16
Jakub Martinec,0.1,0.05,66.67,0.48,0.05,0,1.19,0.86,0,3.95,0,0.38,0,0,36.95,76.55,3.67,42.64,0,0.1,0,0,1.19,0.38,0.19,0,60.34,59.74,1.43,1.24,21
Jakub Fulnek,0.07,0.03,31.25,1,0,0,1.07,0.79,0,0.86,0,0.31,0.1,0.1,22.86,60.94,6.1,42.74,0,0.24,0,0,1.03,0.1,0.03,0,50,54.48,1.1,0.55,29
Wale Musa Alli,0.09,0.06,51.43,1.11,0.03,0,0.71,0.51,0,0.09,0,0.17,0.17,0.17,16.57,72.07,5.69,51.43,0,0.03,0,0,1.03,0.26,0.09,0,36.36,48.24,1.83,0.6,35
Jan Knapík,0.05,0,33.33,0.4,0.05,0,0.9,1.25,0.05,3.55,0,0.15,0,0.05,32.35,77.28,1.15,52.21,0,0.05,0,0,1.35,0.2,0.05,0,65.79,63.16,0.9,0.85,20
Dominik Mares,0.08,0,40,0.69,0,0,0.31,0.23,0,0.15,0,0,0,0,6.92,65.56,1.31,75,0,0.08,0,0,0.23,0.08,0.08,0,75,51.85,0.38,0.62,13
Filip Žák,0.23,0.03,40,0.73,0,0,0.13,0.03,0,0.17,0,0.17,0.07,0.07,9.9,72.05,2.93,38.46,0,0,0,0,1.07,0.13,0.07,0,23.91,27.05,0.57,0.93,30
Pavel Zifcak,0.14,0.04,0,0.68,0.04,0,0.36,0.29,0,0.5,0,0.14,0.07,0.04,12.11,71.68,3.21,56.41,0,0.04,0,0,0.61,0.11,0.14,0,35.71,47.06,0.89,0.5,28
