#,Team,Name,Appearances
394,,Ahmed Ashraf Ahmed,7
395,,Eslam Gaber,24
396,,Osama El Gazar,9
397,,Mohamed El Shamy,28
398,,Hamed Khaled El Gabry,24
399,,Ahmed Masoud,8
400,,Mohamed Hozian,10
401,,Samson Akinyoola,12
402,,Omar Salah,9
403,,Gavin Kizito,3
404,,Mohamed Abdelsalam,4
405,,El Sabahy Emad,4
406,,Mohamed Diab,9
407,,Mohamed Ahmed Kamel,11
408,,Mohamed El-Maghrabi,17
409,,Abdelaziz El Sayed,28
410,,Mostafa Shakshak,23
411,,Seif Farouk Gaafar,15
412,,Mahmoud Mamdouh,19
413,,Mohamed Bassiouny,15
414,,Ahmed El Sheikh,11
415,,Basem Morsi,27
416,,Essam Sobhy,22
417,,Mostafa Gamal,31
418,,Bruno Sávio,14
419,,Alia Sylla,7
420,,Kingsley Fidelis Kuku,10
421,,Khaled El Akhmimi,19
422,,Emmanuel David,17
423,,Ibrahim Kone,16
424,,Salah Mohsen,19
425,,Gedo,24
426,,Ali Fathi,32
427,,Paul Joules,13
428,,Gaber Kamel,24
429,,Assem Salah,7
430,,Mohammed Rashid,1
431,,Motaz El Sayed,1
432,,Khaled Alnabrisi,1
433,,Sherif Dabo,1
434,,Abdoul Kader Coulibaly,1
435,,Saber El Shimi,1
436,,Mahmoud El Gharabawy,1
437,,Mahmoud Shedid Kenawi,1
438,,Ahmed El Sebai,1
439,,Shemeles Bekele,2
440,,El Habib Ahmed Hassan,2
441,,Amr Khalil,2
442,,Mohamed Benkhemassa,3
443,,Ali Yasser,3
444,,Ojo Tolulope,4
445,,Arthur Justice,5
446,,Mahmoud Gehad,6
447,,Medhat Fakousa,6
448,,Salah Zayed,7
449,,Eric Traore,12
450,,Ali Hamdy,19
451,,Ahmed Gamal,24
452,,Mahmoud Shabrawy,19
453,,Momen Atef,19
454,,Abdel Rahman Emad,20
455,,Mahmoud Emad,17
456,,Mohamed Saeed,27
457,,Mahmoud Zalaka,19
458,,Halimo,28
459,,Paulin Voavy,10
460,,Mohamed Dhaoui,9
461,,Ahmed El Saadani,9
462,,Razak Cissé,16
463,,Eric Serge,8
464,,Zeyad Tarek,8
465,,Abdelrahman Atef,27
466,,Abdallah Magdy,16
467,,Franck Mbella Etouga,10
468,,Firas Ifia,7
469,,Wagih Abdel Hakim,27
470,,Barakat Haggag,14
471,,Youssef Hassan,4
472,,Abdallah Yaisien,5
473,,Ahmed Ayman,13
474,,Mostafa El-Badry,17
475,,Islam Ateia,16
476,,Arabi Badr,10
477,,Mohamed Sadek,11
478,,Aymen Sfaxi,17
479,,Mahmoud Alaa El Katamy,8
480,,Abubakar Liday,13
481,,Karim Mostafa,22
482,,Ahmed Shousha,17
483,,Mohamed Nadi,17
484,,Ahmed Dawooda,13
485,,Omar Saoudi,3
486,,Fares Hatem,4
487,,Momen Mohamed Abd Rabo,4
488,,Tariq Alaa,7
489,,Ahmed Hamoudi,14
490,,Mahmoud Wahid,5
491,,Valentine Odoh,16
492,,Abdelghani Mohamed,21
493,,Charles Ekpenyong,13
494,,Karim Yehia,14
495,,Islam Gamal,8
496,,Momen Rady,8
497,,Ahmed Adel,26
498,,Youssef El Gohary,11
499,,Hadji Barry,15
500,,Mohamed Antar,21
501,,Ahmed Shadad,8
502,,Mohamed Nosseir,12
503,,Abdullahi Ojifinni,5
504,,Ahmed Eid,22
505,,Ziad Tolba,7
506,,Marwan Osman,9
507,,Gharib Yasser,16
508,,Amir Medhat,11
509,,Christopher John,28
510,,Mohamed Zaalouk,1
511,,Eiad El Askalany,1
512,,Alhassan Mubarak,1
513,,Mohamed Nabih,1
514,,Ahmed Hamdeen,1
515,,Salisu Mobarak,1
516,,Ahmed Rashwan,1
517,,Ahmed Ali Kamel,3
518,,Akinade Moses Ibukun,4
519,,Ibrahim Ayesh,4
520,,Hesham Sabry,4
521,,Hany Adel,5
522,,Abdul Aziz Mousa,5
523,,Islam El Mizzayn,5
524,,Mostafa Osama,7
525,,Momen Awad,12
526,,Hussein Ragab,15
527,,Moussa Diawara,19
528,,Tarek Samy,4
529,,Ahmed Mohsen,8
530,,Ahmed Nader Hawash,14
531,,Youssef Obama,5
532,,Rafaat Khalil,7
533,,Ashraf Magdy,7
534,,Ahmed Belya,7
535,,Mahmoud Abou-Gouda,9
536,,Fahd Gomaa,8
537,,Abdallah Gomaa,6
538,,Anthony Okpotu,7
539,,Mohamed Shawky Gharib,16
540,,Imad El Kabbou,1
541,,Mohamad Salah Zaki,1
542,,Ahmed Abdel Wahab,1
543,,Rida El Barjiji,2
544,,Amer Mohamed,2
545,,Mohamed Fawzy Gad,2
546,,Ahmed Abo Egela,2
547,,Mohamed Abdelnasser,2
548,,Mohammad Fouad,3
549,,Bai Kamara,3
550,,AbouBakr El Gamal,3
551,,Ahmed Amer,3
552,,Mahmoud Ezzat,4
553,,Gabriel Chukwudi,5
554,,Hamdi Nagguez,8
555,,Zakaria El Wardi,3
556,,Hossam El Saana,2
557,,Walid Farag,5
558,,Mohamed Fares,9
559,,Ahmed Kasem,6
560,,Fawzi El Henawy,11
561,,Dejan Meleg,1
562,,El Sayed Abou Amenah,1
563,,Ahmed Ali Amin,1
564,,Sayed Shabrawy,12
565,,Mahmoud Salah,8
566,,Marwan Magdy,9
567,,Hesham Hafez,2
568,,Elsayed Salem,5
569,,Ahmed Bahaa,6
570,,Mahmoud El Zanfaly,1
571,,Mostafa Ashraf,0
572,,Khaled Walid,0
573,,Islam Soliman,0
574,,Youssef Shaaban,0
575,,Mohamed Tarek,0
576,,Khaled Mostafa,0
577,,Abdel Rahman Ayman,0
578,,Sabry Gad,0
579,,Mohamed Samy,0
580,,Seif Ezzat,0
581,,Mohamed Ghazal,0
582,,Eslam Risha,0
583,,Mahmoud Gamal,0
584,,Hossam Ashraf,1
585,,Mohamed El Zareef,1
586,,Alaa Salama,1
587,,Mohamed Hamed,1
588,,Ahmed Abdulaziz,1
589,,Youssef Nader,1
590,,Ahmed Elkalamawy,1
591,,Hesham Fathallah,1
592,,Mustafa Abdelkader,1
593,,Ademola Shobowale,1
594,,Elhusseini Samir,1
595,,Abdelrahman Hassan,1
596,,Gamal El Said,1
597,,Mohamed Wagdi,1
598,,Amin Mohamed Amin,1
599,,Gamal Montasser,1
600,,Bello Babatunde Martins,2
601,,Ibrahim Sheta,2
602,,Atef Al Hakim,2
603,,Ahmad Algeaidy,3
