#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
211,,Mostafa Ziko,0.19,0.16,40.24,2.42,0,0
212,,Abdelrahman El Banouby,0.14,0.29,47.92,1.19,0,0
213,,Amr El Sisi,0.1,0,20,0.48,0,0
214,,Marwan Hamdi,0,0,33.33,1,0,0
215,,Mohab Yasser,0,0,50,0,0,0
216,,Samuel Amadi,0,0,100,0.14,0,0
217,,Mohamed Abdelsamia,0,0,46.15,0.88,0,0
218,,Zyad Farag,0,0,0,0,0,0
219,,Seif Elkhashab,0,0,0,0.14,0,0
220,,Mohamed Fakhry,0,0,45.45,0.45,0,0
221,,Salifu Moro,0,0.07,56.52,1.04,0,0
222,,Emeka Eze,0,0.04,59.09,0.52,0,0
223,,Mohamed Grendo,0.28,0.19,30.77,1.59,0,0
224,,Mohamed Hashem,0,0,66.67,0.2,0,0
225,,Amr Saadawy,0.04,0,41.94,0.29,0,0
226,,Karim El Eraki,0,0,37.5,0.37,0,0
227,,Mohammed Saleh,0,0,100,0.27,0,0
228,,Rasheed Ahmed,0.21,0.25,36.84,1.75,0.04,0
229,,Emad Mayhoub,0,0,6.25,1.18,0,0
230,,Kingsley Sokari,0.04,0,65.38,0.39,0,0
231,,Khaled Reda,0,0,100,0.06,0,0
232,,Ahmed Kendouci,0,0.07,50,0.86,0,0
233,,Mohamed Bayoumi,0,0,0,0,0,0
234,,Mohamed Shaaban,0,0,0,0,0,0
235,,Abdelkabir El Ouady,0.11,0.14,43.59,1.11,0,0
236,,John Okoli,0.26,0.26,41.82,2.21,0.06,0
237,,El-Hani Soliman,0,0,0,0,0,0
238,,Karim El Deeb,0,0.05,68.75,0.47,0,0
239,,Mohamed Metwally Canaria,0,0.07,48.57,0.55,0,0
240,,Mohamed Nassef,0,0,0,0.2,0,0
241,,Constant Wayou,0,0,85.71,0.67,0,0
242,,Amro Tarek,0,0,0,0.29,0,0
243,,Ahmed Hakam,0.04,0,0,0.41,0.04,0
244,,Mohamed Magli,0,0,66.67,0.26,0,0
245,,Mahmoud Abdel-Aziz,0,0,42.86,0.53,0,0
246,,Amr Gamal,0.13,0.04,48,1.74,0.04,0
247,,Islam Mohareb,0.14,0.04,50,0.75,0.07,0
248,,Ahmed Nabil Koka,0,0,37.5,0.33,0,0
249,,Percy Tau,0.14,0.43,47.22,1.71,0,0
250,,Ahmed El Aash,0,0,75,0.3,0,0
251,,Ahmed Atef,0.22,0.06,30.43,1.11,0,0
252,,Fakhreddine Ben Youssef,0.18,0.18,28.57,1.36,0.05,0
253,,Ibrahim Hassan,0.1,0.07,22.92,1.4,0.03,0
254,,Ahmed Youssef,0.04,0,83.33,0.59,0.04,0
255,,Louay Wael,0.13,0,0,0.13,0.13,0
256,,Jefferson Encada,0,0,53.85,0.33,0,0
257,,Sobhy Soliman,0,0,0,0,0,0
258,,Mohamed Ibrahim,0.09,0.03,44.44,0.53,0,0
259,,Shady Hussein,0.07,0.14,35.71,1.36,0,0
260,,Ammar Hamdy,0.09,0,45.45,0.55,0,0
261,,Karim Bambo,0.32,0.43,44.19,1.89,0.04,0
262,,Ahmed Awad,0,0,50,0.29,0,0
263,,Mohamed Salem,0.13,0.13,50,1.07,0,0
264,,Malick Evouna,0.33,0.17,66.67,1.33,0,0
265,,Hossam Greisha,0,0,60.87,0.33,0,0
266,,Mustafa Anani,0,0,100,0,0,0
267,,Mohamed El Fayoumi,0,0,75,0.33,0,0
268,,Hesham Mohamed,0,0,100,0.3,0,0
269,,Omar Radwan,0,0,0,0,0,0
