#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
288,,Ahmed Sayed Abdelnaby,0,0.21,0,0,0.93,0.14
289,,Ahmed Fawzi,0,0.18,0,0,0.27,0.09
290,,Ahmed Said,0,0,0,0,0.38,0.25
291,,Benjamin Bernard Boateng,0,0.03,0,0,0.5,0
292,,Dilson,0,0.04,0,0,0.75,0.04
293,,Dodo El Gabas,0,0,0,0,0.22,0
294,,Ahmed Eid,0,0.13,0,0,0.63,0.06
295,,Mohamed Bazoka,0,0.16,0,0,0.94,0.16
296,,Ahmed  Abdelkader,0,0.04,0,0,0.21,0
297,,Mohamed Mahmoud,0,0.05,0,0,0.55,0.1
298,,Tarek Taha,0,0.2,0,0,0.6,0
299,,Ziad Kamal,0,0.25,0,0,0.75,0
300,,John Okoye Ebuka,0,0.07,0,0,0.93,0.14
301,,Farid Shawky,0,0.33,0,0,0.81,0.19
302,,Omar Gaber,0,0.06,0,0,0.88,0.06
303,,Ahmed Yasser,0,0.15,0,0,0.7,0.15
304,,Abdel Naser Mohamed Di Maria,0,0,0,0,0.27,0
305,,Rafik Kabou,0,0.09,0,0,0.94,0.12
306,,Walid Mostafa,0,0,0,0,0.44,0
307,,Mohamed Ashraf,0,0.29,0,0,0.29,0
308,,Islam Salah,0,0,0,0,0.84,0.05
309,,Naser Naser,0,0.06,0,0,1,0.12
310,,Mohamed Tarek,0,0,0,0,0.75,0.13
311,,Abderrahim Deghmoum,0,0.04,0,0,0.76,0.08
312,,Mostafa Abdel Rasoul,0,0.08,0,0,0.67,0
313,,Emad Fathy,0,0.03,0,0,1.13,0.07
314,,Belal El Sayed,0,0,0,0,0.95,0.05
315,,Hesham Balaha,0,0,0,0,0,0
316,,Malek Baayou,0,0.08,0,0,1.17,0
317,,Ahmed Emad,0,0.45,0,0,0.73,0
318,,Ahmed El-Saghiri,0,0.03,0,0,0.43,0.03
319,,Khaled Stouhi,0,0.19,0,0,1.06,0.06
320,,Khaled Kamar,0,0,0,0,0.95,0.05
321,,Mohamed Hamdi,0,0.11,0,0,0.74,0.11
322,,Firas Chaouat,0,0.05,0,0,0.71,0.05
323,,Ibrahim Adel,0,0.09,0,0,0.27,0
324,,Ahmed Madbouli,0,0.03,0,0,0.72,0.1
325,,Ahmed Mostafa,0,0.04,0,0,0.88,0
326,,Sayed Abdallah,0,0,0,0,0.35,0.23
327,,Karim El Tayeb,0,0,0,0,0.31,0
328,,Saeed Kamal,0,0.5,0,0,0.5,0
329,,Mohamed Abdel Aati,0,0,0,0,0.57,0.07
330,,Ahmed Sayed Gharib,0,0,0,0,0.25,0
331,,Amr Marey,0,0,0,0,0.8,0
332,,Ahmed Yehia,0,1,0,0,0,0
333,,Ahmed Afifi,0,0,0,0,0,0
334,,Mohamed El Nahass,0,0,0,0,0,0
335,,Ahmed Esho,0,0,0,0,1,0
336,,Hassan Tarek,0,0,0,0,0,0
337,,Yehia Hamed,0,0,0,0,0,0
338,,Mohamed Hossam,0,0,0,0,0,0
339,,Ibrahim Galal,0,0,0,0,0.67,0
340,,Youssef Magdy Abdel Ghani,0,0,0,0,0,0
341,,Mohamed Abdel Shafi,0,0,0,0,0.5,0.13
342,,Omar Bassam,0,0.1,0,0,0.8,0
343,,Mohamed Ramadan,0,0,0,0,0,0
344,,Ahmed Yassin,0,0.17,0,0,0.78,0.33
345,,Mohamed Atwa,0,0.16,0,0,0.92,0.08
346,,Osama Faisal,0,0.04,0,0,0.43,0.09
347,,Osama Ibrahim,0,0.05,0,0,1.05,0.19
348,,Amr Shaaban,2.2,0.2,0,0,1.3,0
349,,Mohamed Naguib,0,0.31,0,0,1.14,0.1
350,,Abdo Yehia,0,0.07,0,0,0.71,0.04
351,,Marwan Dawoud,0,0.35,0,0,0.65,0.18
352,,Ragab Omran,0,0,0,0,0.39,0
353,,Azmi Ghouma,0,0.08,0,0,0.48,0.04
354,,Mody Naser,0,0.1,0,0,0.57,0.1
355,,Mohamed Sherif,0,0,0,0,0.41,0
356,,Abdel Aziz El Balouti,2.16,0.21,0.26,0,1.32,0.11
357,,Islam Gamal,0,0,0,0,0.5,0
358,,Ahmed El Nadry,0,0.22,0,0,1.19,0.19
359,,Salah Rico,0,0,0,0,0,0
360,,Ibrahim Ayoola,0,0,0,0,0,0
361,,Ahmed Ayman Mansour,0,0.27,0,0,1.08,0.15
362,,Youssef Osama Nabih,0,0,0,0,0.29,0
363,,Abdelrahman Body,0,0.17,0,0,0.5,0.33
364,,Ahmed Abdelrasoul,0,0.24,0,0,0.9,0.1
365,,Karim Nedved,0,0.17,0,0,0.39,0.06
366,,Hassan Ali,0,0.11,0,0,0.26,0.05
367,,Mahmoud Fahmy,0,0,0,0,0.27,0
368,,Mostafa Sobhi,0,0,0,0,0.71,0.1
369,,Mohamed Koko,1.88,0.13,0.38,0,1.19,0.13
370,,Hussein Faisal,0,0.07,0,0,0.93,0.03
371,,Ahmed Sherif,0,0.05,0,0,0.43,0.1
372,,Youssef Labib,0,0,0,0,0.33,0
373,,Mohamed Zakaria Shika,0,0,0,0,0.25,0
374,,Mohamed Samir,0,0.31,0,0,0.77,0.08
375,,Ahmed Fathi Hamza,0,0.1,0,0,1,0.13
376,,Omar El Saaiy,0,0,0,0,0.18,0
377,,Hamdy Alaa,0,0,0,0,0.57,0.05
378,,Mohamed Desouki,0,0.22,0,0,0.97,0.06
379,,Islam Abdelnaim,0,0,0,0,0.36,0.12
380,,Mohamed Farouk,0,0.1,0,0,0.2,0.2
381,,Mohamed Gaber,0,0.1,0,0,1.03,0.19
382,,Yassin Marei,0,0,0,0,1.33,0
383,,Ahmed Dahesh,0,0,0,0,0.43,0.14
384,,Ahmed El Shimi,0,0.2,0,0,0.7,0.1
385,,Mostafa Ibrahim,0,0.11,0,0,1.22,0.22
386,,Ahmed Reda,0,0,0,0,0.33,0
387,,Ali Zaazaa,0,0.05,0,0,0.15,0
388,,Omar El Said,0,0,0,0,0.12,0.04
