#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
155,,Saad Samir,0,0,44.08,85.44,4.33,48.44
156,,Saidou Simpore,0.05,0.05,47.76,78.86,4.43,46.94
157,,Luis Hinestroza,0.17,0.07,23.59,64.77,6.03,30.97
158,,Fagrie Lakay,0.1,0.14,17.03,78.54,6.24,61.54
159,,Funom Alfred,0.09,0.09,13.27,58.22,1.55,25
160,,Mohamed Saeed Shika,0,0,23.39,46.62,1.29,32.98
161,,Gabriel Orok Ibitham,0.12,0.18,20.06,75.81,5.79,60
162,,Khaled Sobhi,0,0,46.61,83.02,3.3,43.65
163,,Fady Farid,0.07,0,8.03,70.39,2.59,42.86
164,,Hossam Arafat,0.06,0,19.5,73.4,5.81,60
165,,Mohamed Shehata,0,0,20.86,73.22,5,38.81
166,,Ahmed Dahroug,0.05,0,18,65.5,3.21,38.71
167,,Karim Tarek,0.14,0.1,17.31,72.91,4.55,62.96
168,,Mohamed Reda,0.1,0.14,32.76,75.58,10.41,49.64
169,,Yehia Yasser,0.5,0,7.5,73.33,2.5,50
170,,Mohamed Rizk,0.07,0,16.67,72.8,3.33,40.54
171,,Yaw Annor,0.11,0.04,14.11,67.85,3.86,33.33
172,,Shokry Naguib,0.08,0.12,20.52,72.71,5.88,43.33
173,,Saif Thierry,0,0,5.5,72.73,1.64,0
174,,Mostafa Saad,0.1,0.1,22.65,69.09,7.45,25
175,,Allan Kyambadde,0.04,0,32.96,80.91,4.38,48.76
176,,Emad Hamdi,0.04,0.08,26.58,74.82,2.54,45.45
177,,Ahmed Ramadan,0.07,0.03,40.93,79.28,4.66,46.88
178,,Marwan Hamdy,0.08,0.04,16.32,61.03,4.84,66.67
179,,Amr Kalawa,0,0.05,20.95,80.15,5.21,50
180,,Ahmed Meteb,0.06,0.09,33.75,74.81,6.56,41.49
181,,Mohamed Morsi,0.13,0,17.5,66.79,5,50
182,,Karim Eldbees,0,0,29.25,79.49,4,27.27
183,,Naser Mansi,0.11,0,15.32,61.51,5.11,66.67
184,,Joseph Ochaya,0.1,0.1,28.03,68.47,5.26,24.36
185,,Mohamed Camacho,0,0,40.31,72.25,2.28,40.69
186,,Mostafa Khawaga,0.14,0.09,25.68,84.6,5.68,65.48
187,,Saleh Gomaa,0.31,0.15,30.23,68.19,6.92,53.61
188,,Mahmoud Gad,0,0,19.9,61.72,0.52,38.43
189,,Ahmed Castelo,0,0,33.52,71.22,2.16,35.56
190,,Mohamed Essam Emara,0.04,0.07,12.7,75.8,3.81,56
191,,Ahmed Tawfik,0.04,0.04,44.85,84.39,5.78,56.41
192,,Emad El-Sayed,0.06,0,23.41,34.67,1.29,26.57
193,,Ghanam Mohamed,0.08,0.04,44.83,85.5,9.13,62.86
194,,Ali Baheeg,0,0.2,6.1,73.77,2.3,50
195,,Mahmoud Shaaban,0.29,0,34,78.15,5.43,34.62
196,,Ahmed Khaled,0.13,0.19,29.38,78.62,8.59,37.5
197,,Seifeddine Jaziri,0.04,0,14.89,77.36,3.59,63.16
198,,Mohamed Makhlouf,0.06,0,21.63,79.77,4.13,44.9
199,,Ahmed El Bahrawy,0,0,27,77.21,2.5,40.91
200,,Khaled Sami,0.07,0,20.27,74.01,1.33,43.42
201,,Issahaku Yakubu,0.12,0.12,40.33,77.61,8.03,42.86
202,,Mohamed Ashraf Roqa,0,0.04,39.5,86.17,7.19,74.07
203,,Ahmed El Armouty,0.2,0.1,14.2,79.93,5.4,57.14
204,,Mahmoud Rizk,0,0,38.45,79.67,1.73,37.31
205,,Mahmoud Abdul Aati Dunga,0,0,15.18,82.95,3,55.26
206,,Mido Gaber,0.16,0.06,28.03,74.11,7.48,51.35
207,,Mahmoud El Hadary,0,0,36.2,78.73,0.4,34.51
208,,Mamadou Niass,0.06,0.1,10.65,72.42,2.97,42.86
209,,Ahmed Abdelaziz Mody,0,0,29.8,71.81,2.93,43.3
210,,Ahmed Abdel Rahman Zola,0.03,0.03,31.06,75.6,5.32,35.84
211,,Mostafa Ziko,0.03,0.1,30.84,74.37,8.26,53.85
212,,Abdelrahman El Banouby,0.14,0.24,19.05,72.5,5.43,45.45
213,,Amr El Sisi,0.05,0.05,32.67,85.28,7,66.67
214,,Marwan Hamdi,0,1,34,79.41,10,50
215,,Mohab Yasser,0,0.33,19.67,77.97,3.67,100
216,,Samuel Amadi,0,0.14,5.43,71.05,1.71,0
217,,Mohamed Abdelsamia,0.13,0.13,14,72.32,3.75,60
218,,Zyad Farag,0,0,18,72.22,3,0
219,,Seif Elkhashab,0,0,14.43,71.29,1.14,45
220,,Mohamed Fakhry,0.09,0,25.09,81.52,5.91,44.83
221,,Salifu Moro,0.07,0,47.37,84.21,6.59,53.91
222,,Emeka Eze,0.04,0,37.74,83.91,6.15,62.11
223,,Mohamed Grendo,0.06,0.06,19.53,72.48,5.66,47.37
224,,Mohamed Hashem,0.03,0.03,34.4,80.72,2.63,40.5
225,,Amr Saadawy,0.21,0,30.21,77.38,7.46,46.3
226,,Karim El Eraki,0,0,27.63,79.81,3.26,43.48
227,,Mohammed Saleh,0,0.07,37.13,76.48,2.33,50.34
228,,Rasheed Ahmed,0.08,0.04,10.79,60.62,2.42,62.5
229,,Emad Mayhoub,0.18,0.18,9.27,68.63,2.18,37.5
230,,Kingsley Sokari,0,0,35.89,81,5.18,54.21
231,,Khaled Reda,0.06,0.06,34.82,73.82,2.94,51.85
232,,Ahmed Kendouci,0.21,0.07,26.5,80.86,6.5,50
233,,Mohamed Bayoumi,0,0,15.5,75.81,2.88,45.83
234,,Mohamed Shaaban,0.08,0,20.46,34.21,2.08,29.15
235,,Abdelkabir El Ouady,0.04,0.07,24.57,76.6,7.39,51.61
236,,John Okoli,0.12,0.09,15.68,70.17,5.38,53.33
237,,El-Hani Soliman,0,0,27.62,40.25,2.46,32.75
238,,Karim El Deeb,0.11,0.05,19.32,80.38,4,50
239,,Mohamed Metwally Canaria,0.07,0.03,52.52,80.89,13.9,53.71
240,,Mohamed Nassef,0.2,0,17.6,76.14,3.2,27.27
241,,Constant Wayou,0,0,16.67,82,4.33,36.36
242,,Amro Tarek,0,0,15.29,72.9,1.43,43.48
243,,Ahmed Hakam,0,0,29.85,69.73,1.59,32.58
244,,Mohamed Magli,0,0,24,77.78,4.63,51.25
245,,Mahmoud Abdel-Aziz,0,0.06,25.24,78.55,3.41,45.1
246,,Amr Gamal,0.04,0,18.35,65.4,4.43,56.25
247,,Islam Mohareb,0,0.04,24.36,74.78,4.96,48.48
248,,Ahmed Nabil Koka,0.11,0.11,34.89,87.58,4.56,67.86
249,,Percy Tau,0.29,0.1,25.33,87.03,8.33,60
250,,Ahmed El Aash,0,0,48.6,73.46,3.5,45.74
251,,Ahmed Atef,0,0,9.94,72.63,2.89,42.86
252,,Fakhreddine Ben Youssef,0.09,0.09,13.36,75.17,4.32,50
253,,Ibrahim Hassan,0.33,0.1,24.6,73.71,7.27,41.79
254,,Ahmed Youssef,0.07,0.07,26.04,77.38,3.89,42.86
