#,Team,Name,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls
149,,Ernest Muçi,0.06,0,30.56,45.63,1.06,0.72
150,,Damian Rasak,0.21,0,54.69,56.44,1.69,0.97
151,,Szymon Matuszek,0.21,0,68.18,58.11,0.36,0.79
152,,Jakub Jugas,0.19,0,50.72,51.97,0.42,0.62
153,,Alexander Gorgon,0,0,72.73,54.44,0.41,0.24
154,,Lindsay Rose,0.18,0,65.22,64.29,0.53,0.41
155,,Jakub Łukowski,0.06,0,38.89,46.15,1.32,0.79
156,,Adam Deja,0.11,0,46.43,52.46,0.95,1.58
157,,Mateusz Kupczak,0.16,0,61.76,51.72,0.95,2
158,,Linus Wahlqvist,0.25,0,62.5,57.95,0.42,1.33
159,,Michał Mokrzycki,0.33,0,50,58.33,0.33,0.67
160,,Dante Stipica,0.1,0,91.67,86.96,0.17,0.07
161,,Bartłomiej Wdowik,0,0,55.56,52.66,1,0.73
162,,Norbert Wojtuszek,0.06,0,58.62,62.59,0.89,0.83
163,,Fabian Piasecki,0.17,0,46.15,45.35,0.87,1.3
164,,Patryk Kun,0.13,0.04,28.57,46.31,1.17,1.42
165,,Kristoffer Velde,0.2,0,40.74,51.21,1.9,0.77
166,,Guram Giorbelidze,0.2,0,45,60.29,1.4,1.33
167,,Łukasz Zwoliński,0.15,0,51.89,41.48,1.19,1.22
168,,Francisco Ramos,0.22,0,55,51.9,1.33,2
169,,Łukasz Sekulski,0.11,0,37.78,42.73,1.04,1.33
170,,Otar Kakabadze,0.19,0,29.55,41.98,0.33,1
171,,Arkadiusz Kasperkiewicz,0.11,0.04,55.71,52.02,0.7,1.37
172,,Michal Sáček,0.14,0,50,60.48,2,0.79
173,,Mateusz Wieteska,0.5,0.5,90.91,68.42,1,2
174,,František Plach,0.06,0,88.89,94.12,0.18,0
175,,Stefan Savić,0,0,15.38,51.04,1.27,0.27
176,,Joel Abu Hanna,0.13,0,44.44,47.79,0.6,1.27
177,,Artur Sobiech,0.13,0,36.36,41.18,0.4,0.6
178,,Bartosz Kapustka,0.24,0,35.48,50.44,1.14,0.93
179,,Victor Garcia Marin,0.1,0.03,50,51.28,0.21,0.97
180,,Jakub Bartkowski,0.21,0,62.86,58.2,0.72,0.86
181,,Kristers Tobers,0.12,0,57.63,54.61,0.46,0.77
182,,Alex Vallejo,0.21,0.07,71.43,61.97,0.57,0.5
183,,Steve Kapuadi,0.15,0.04,58.04,53.44,0.15,0.96
184,,Konrad Forenc,0.1,0,77.78,76.47,0.25,0.05
185,,Kamil Pestka,0,0,37.5,50.98,1.33,0.83
186,,Kacper Chodyna,0.06,0,47.37,40.95,0.61,0.82
187,,Patryk Lipski,0,0,28.57,60,0.4,0.2
188,,Bogdan Țîru,0.53,0,52.24,52.74,0.73,1.73
189,,Mathias Hebo Rasmussen,0.17,0,44.44,47.17,0.33,0.33
190,,Szymon Czyż,0,0,71.43,59.18,0.63,0.63
191,,Alasana Manneh,0.25,0,28.57,51.52,1,1.25
192,,Marcel Zapytowski,0.21,0,100,93.33,0.5,0
193,,Daníel Leó Grétarsson,0.11,0,50,55.71,0.79,0.79
194,,Jakub Kałuziński,0,0,44.83,45.61,0.57,0.57
195,,Konrad Poprawa,0.14,0.03,58.95,60.89,0.66,1
196,,Juliusz Letniowski,0.13,0,52,48.6,0.94,0.87
197,,Takuto Oshima,0.16,0.03,60,57.48,1.53,0.91
198,,Andrzej Niewulis,0.19,0,66.22,57.89,0.5,1.56
199,,Bozhidar Chorbadzhiyski,0.09,0,66.67,63.64,0.73,0.36
200,,Damian Jakubik,0.21,0,46,46.23,0.63,1.53
201,,Mattias Johansson,0.09,0,45.45,55,1.27,1.45
202,,Mateusz Grzybek,0.06,0,45.45,59.65,1.97,0.56
203,,Afonso Sousa,0.13,0,0,40.69,0.67,1.04
204,,Mateusz Łęgowski,0.23,0,28,48.42,1.12,1.42
205,,Filip Starzyński,0.09,0,24.14,37.97,0.72,0.56
206,,Sebastian Kowalczyk,0.09,0,27.27,42.8,1.38,0.88
207,,Ernest Terpiłowski,0.12,0,33.96,36.11,0.8,1.12
208,,Kacper Smoliński,0,0,50,33.33,0,0.67
209,,Carlos Julio Martínez,0.5,0,50,50.45,0.67,1.58
210,,Bojan Nastić,0.19,0,68,57.29,0.81,1.29
211,,Michal Stachera,0,0,0,37.5,0,0
212,,Emmanuel Agbor,0,0,66.67,56.25,4,1
213,,Michał Kucharczyk,0.2,0,56.25,50,0.6,0.7
214,,Szymon Włodarczyk,0.13,0,35.71,34.6,0.43,0.93
215,,Cornel Râpă,0.15,0,56.86,54.55,0.58,0.69
216,,Yuri Ribeiro,0.17,0,50.91,55.26,1.38,0.83
217,,Kajetan Szmyt,0.19,0,26.67,47.89,1.32,0.81
218,,Martin Pospisil,0.13,0,63.16,54.43,0.63,0.63
219,,Miguel Luís,0.07,0,37.93,40.36,0.39,0.64
