#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
156,,Adam Deja,0,0,0,0,1.05,0.16
157,,Mateusz Kupczak,0,0.26,0,0,0.68,0
158,,Linus Wahlqvist,0,0.25,0,0,0.33,0.25
159,,Michał Mokrzycki,0,0,0,0,0.67,0
160,,Dante Stipica,2.27,0.27,0.23,0.07,1.07,0.13
161,,Bartłomiej Wdowik,0,0.08,0,0,0.69,0.12
162,,Norbert Wojtuszek,0,0.06,0,0,0.61,0
163,,Fabian Piasecki,0,0,0,0,0.35,0.09
164,,Patryk Kun,0,0.42,0,0,0.54,0.17
165,,Kristoffer Velde,0,0.07,0,0,0.37,0.1
166,,Guram Giorbelidze,0,0,0,0,1.2,0.33
167,,Łukasz Zwoliński,0,0.11,0,0,1.04,0.11
168,,Francisco Ramos,0,0.56,0,0,0.67,0
169,,Łukasz Sekulski,0,0,0,0,0.56,0.26
170,,Otar Kakabadze,0,0.19,0,0,0.74,0.15
171,,Arkadiusz Kasperkiewicz,0,0.15,0,0,1.11,0.04
172,,Michal Sáček,0,0,0,0,1.14,0.14
173,,Mateusz Wieteska,0,0.5,0,0,0,0
174,,František Plach,2.3,0.3,0.15,0.03,0.7,0.24
175,,Stefan Savić,0,0,0,0,0.53,0.07
176,,Joel Abu Hanna,0,0.13,0,0,1.4,0.07
177,,Artur Sobiech,0,0,0,0,0.4,0.07
178,,Bartosz Kapustka,0,0,0,0,0.79,0.07
179,,Victor Garcia Marin,0,0.17,0,0,0.93,0.24
180,,Jakub Bartkowski,0,0.21,0,0,1.17,0.14
181,,Kristers Tobers,0,0.19,0,0,1,0.19
182,,Alex Vallejo,0,0.14,0,0,0.64,0.07
183,,Steve Kapuadi,0,0.23,0,0,1.08,0.42
184,,Konrad Forenc,2.6,0.25,0.2,0,1.1,0.15
185,,Kamil Pestka,0,0.33,0,0,0.5,0
186,,Kacper Chodyna,0,0.18,0,0,0.82,0.18
187,,Patryk Lipski,0,0.1,0,0,0.2,0.2
188,,Bogdan Țîru,0,0.13,0,0,1.27,0.07
189,,Mathias Hebo Rasmussen,0,0.33,0,0,0.75,0.08
190,,Szymon Czyż,0,0.13,0,0,0.63,0.25
191,,Alasana Manneh,0,0,0,0,1,0.25
192,,Marcel Zapytowski,3.07,0.21,0.29,0,1.5,0.14
193,,Daníel Leó Grétarsson,0,0.14,0,0,1,0.18
194,,Jakub Kałuziński,0,0.09,0,0,0.78,0.13
195,,Konrad Poprawa,0,0.21,0,0,0.93,0.24
196,,Juliusz Letniowski,0,0,0,0,0.39,0.19
197,,Takuto Oshima,0,0.19,0,0,0.72,0.16
198,,Andrzej Niewulis,0,0.13,0,0,1.25,0.19
199,,Bozhidar Chorbadzhiyski,0,0,0,0,0.45,0.27
200,,Damian Jakubik,0,0.32,0,0,0.74,0.16
201,,Mattias Johansson,0,0.27,0,0,0.91,0
202,,Mateusz Grzybek,0,0.22,0,0,0.91,0.09
203,,Afonso Sousa,0,0,0,0,0.46,0.21
204,,Mateusz Łęgowski,0,0.15,0,0,0.77,0.12
205,,Filip Starzyński,0,0.06,0,0,0.66,0.16
206,,Sebastian Kowalczyk,0,0.06,0,0,0.88,0.06
207,,Ernest Terpiłowski,0,0.08,0,0,1,0.24
208,,Kacper Smoliński,0,0,0,0,0.33,0
209,,Carlos Julio Martínez,0,0,0,0,1.67,0.17
210,,Bojan Nastić,0,0,0,0,1.29,0.1
211,,Michal Stachera,0,1,0,0,0,0
212,,Emmanuel Agbor,0,0,0,0,0,0
213,,Michał Kucharczyk,0,0,0,0,0.9,0.1
214,,Szymon Włodarczyk,0,0,0,0,0.6,0.1
215,,Cornel Râpă,0,0.23,0,0,0.62,0.15
216,,Yuri Ribeiro,0,0.29,0,0,0.67,0.21
217,,Kajetan Szmyt,0,0.1,0,0,0.61,0.06
218,,Martin Pospisil,0,0.06,0,0,0.63,0.13
219,,Miguel Luís,0,0.04,0,0,0.36,0
220,,Benjamin Källman,0,0.09,0,0,0.71,0.18
221,,Vladislavs Gutkovskis,0,0.03,0,0,0.22,0.06
222,,Dawid Kurminowski,0,0,0,0,0.5,0
223,,Karol Danielak,0,0.14,0,0,0.43,0.21
224,,Fábio Nunes,0,0.14,0,0,0.86,0.29
225,,Diogo Verdasca,0,0.1,0,0,1.14,0.14
226,,Kryspin Szcześniak,0,0.14,0,0,1.36,0.14
227,,Tomáš Pekhart,0,0.15,0,0,0.46,0.15
228,,Marco Terrazzino,0,0,0,0,0.65,0.08
229,,Michał Rakoczy,0,0,0,0,0.47,0.07
230,,Paweł Lenarcik,3.9,0,0.1,0,1.8,0.2
231,,Filip Marchwiński,0,0.04,0,0,0.37,0.15
232,,Mateusz Skrzypczak,0,0.15,0,0,0.96,0.15
233,,Ilkay Durmus,0,0.13,0,0,1.04,0.13
234,,Flávio Paixão,0,0.04,0,0,1.04,0.08
235,,Nemanja Mijušković,0,0.07,0,0,1.39,0.36
236,,Andrejs Cigaņiks,0,0.07,0,0,1,0.2
237,,Michał Szromnik,2.64,0.21,0.14,0.07,1.14,0.21
238,,Kyrylo Petrov,0,0.04,0,0,1.12,0.12
239,,Jordi Sánchez,0,0.28,0,0,0.72,0.21
240,,Mike Cestor,0,0.31,0,0,0.88,0.13
241,,Piotr Krawczyk,0,0.04,0,0,0.75,0.04
242,,Patryk Janasik,0,0.21,0,0,0.95,0.21
243,,Maciej Gajos,0,0.07,0,0,1.21,0.17
244,,Maciej Rosołek,0,0.03,0,0,0.59,0.09
245,,Damian Tront,0,0.1,0,0,1,0.3
246,,Hubert Matynia,0,0.14,0,0,1,0.14
247,,Alan Czerwiński,0,0.27,0,0,0.55,0.23
248,,Arttu Hoskonen,0,0.18,0,0,1,0.27
249,,Bogdan Racovițan,0,0.23,0,0,0.62,0.08
250,,Michał Pazdan,0,0.07,0,0,0.64,0.21
251,,Kacper Bieszczad,2.67,0.2,0.2,0,1.13,0.33
252,,Konstantinos Triantafyllopoulos,0,0.17,0,0,0.87,0.17
253,,Jakub Żubrowski,0,0,0,0,0,0
254,,Tiago Matos,0,0,0,0,0.67,0
255,,Mariusz Malec,0,0.08,0,0,0.92,0.08
256,,Fedor Černych,0,0.06,0,0,0.81,0.13
257,,Martin Konczkowski,0,0.09,0,0,1.09,0.22
258,,Filip Szymczak,0,0.19,0,0,0.24,0.1
259,,Rafał Adamski,0,0.05,0,0,0.95,0.16
260,,Ángelo Henríquez,0,0,0,0,0.79,0.21
261,,Rafał Kurzawa,0,0,0,0,1.06,0.12
262,,Yevgeni Shikavka,0,0,0,0,0.84,0.1
263,,Enis Destan,0,0,0,0,0.1,0
264,,Fabian Hiszpański,0,0.13,0,0,0.52,0.06
265,,Christos Donis,0,0,0,0,0.6,0.13
266,,Marcel Wedrychowski,0,0,0,0,0.33,0.1
267,,Filip Lesniak,0,0.07,0,0,0.86,0.31
268,,Cheikhou Dieng,0,0.17,0,0,0.5,0
269,,Mateusz Cichocki,0,0.18,0,0,0.82,0.09
270,,Henrik Castegren,0,0.29,0,0,1.29,0
271,,Luka Zahović,0,0.03,0,0,0.81,0.16
272,,Dominik Kun,0,0.09,0,0,0.73,0.3
273,,Kristoffer Normann Hansen,0,0,0,0,0.39,0.13
274,,Marcin Cebula,0,0,0,0,0.31,0
275,,Jacek Podgórski,0,0.04,0,0,0.75,0.11
276,,Jakub Świerczok,0,0,0,0,0.6,0
277,,Miguel Muñoz,0,0,0,0,0.8,0.4
278,,Robert Dadok,0,0,0,0,0.68,0.11
279,,Jean Jules Mvondo,0,0.11,0,0,1,0.04
280,,Adriel D'Avila Ba Loua,0,0.05,0,0,0.4,0
281,,Jorge Félix,0,0.07,0,0,0.39,0.14
282,,Fryderyk Gerbowski,0,0.05,0,0,0.73,0
283,,Makana Baku,0,0.05,0,0,0.32,0.18
284,,Aleksander Pawlak,0,0.13,0,0,0.65,0.3
285,,Dominykas Barauskas,0,0.25,0,0,1.38,0
286,,Berto Cayarga,0,0.06,0,0,0.81,0.13
287,,Jakub Rzeźniczak,0,0.2,0,0,1.08,0.36
288,,Dawid Błanik,0,0,0,0,0.63,0.07
289,,Tomasz Makowski,0,0.11,0,0,0.68,0.14
290,,Michał Feliks,0,0,0,0,0.3,0.2
291,,Jakub Kiełb,0,0,0,0,0.58,0.16
292,,Michael Ameyaw,0,0.12,0,0,0.23,0.12
293,,Luís Mata,0,0.13,0,0,0.81,0.06
294,,Damian Warchoł,0,0,0,0,0.4,0.05
295,,Ben Lederman,0,0.08,0,0,0.25,0.04
296,,Luís Machado,0,0.11,0,0,0.82,0.11
297,,Lisandro Semedo,0,0.06,0,0,0.56,0.13
298,,Jakub Myszor,0,0,0,0,0.25,0.05
299,,Carlitos,0,0,0,0,0.57,0.05
300,,Frank Castañeda,0,0,0,0,0.92,0.08
301,,Florian Loshaj,0,0,0,0,0.4,0.13
302,,Michał Kaput,0,0,0,0,0.25,0.13
303,,Jakub Antczak,0,0,0,0,0,0
304,,Tomáš Huk,0,0,0,0,1,1
305,,Igor Sapała,0,0,0,0,1,0
306,,Maciej Twarowski,0,0,0,0,0,0
307,,Tobiasz Kubik,0,0,0,0,0,0
308,,Filip Wilak,0,0,0,0,0,0
309,,Filip Kocaba,0,0,0,0,0.67,0.33
310,,Filip Zawadzki,0,0,0,0,0,0
311,,Grzegorz Szymusik,0,0,0,0,1,0
312,,Danijel Lončar,0,0.25,0,0,0.63,0.13
313,,Luizão,0,0.09,0,0,0.45,0
314,,Tomasz Mokwa,0,0,0,0,0.82,0.18
315,,Pedro Justiniano,0,0.08,0,0,1,0.17
316,,Juljan Shehu,0,0,0,0,0.63,0.13
317,,Marko Kolar,0,0,0,0,0.54,0
318,,Paweł Stolarski,0,0.06,0,0,1.06,0
319,,Giannis Masouras,0,0.07,0,0,0.71,0.21
320,,Michał Kopczyński,0,0.11,0,0,0.68,0.11
321,,Leândro,0,0,0,0,0.4,0.07
322,,Igor Strzalek,0,0,0,0,0.15,0.31
323,,Luciano Narsingh,0,0,0,0,0.86,0.14
324,,Jakub Holúbek,0,0.05,0,0,0.38,0.1
325,,Oskar Sewerzyński,0,0,0,0,0.6,0.07
326,,Daniel Łukasik,0,0,0,0,0.22,0
327,,Arkadiusz Pyrka,0,0.22,0,0,0.56,0.16
328,,Giorgi Tsitaishvili,0,0,0,0,0.25,0.33
329,,Łukasz Sierpina,0,0,0,0,1.17,0
330,,Levent Gülen,0,0.11,0,0,1.15,0.33
331,,João Amaral,0,0,0,0,0.38,0.1
332,,Paweł Zieliński,0,0.13,0,0,0.61,0.13
333,,Martin Doležal,0,0,0,0,0.4,0.15
334,,Michał Buchalik,3.4,0,0.4,0,2,0.2
335,,Joeri de Kamps,0,0,0,0,0.7,0.1
336,,Tomasz Pieńko,0,0,0,0,0.42,0.1
337,,Mario Zebić,0,0.25,0,0,0.75,0.13
338,,Jurgen Çelhaka,0,0,0,0,0.13,0.13
339,,Marcus Godinho,0,0.07,0,0,0.33,0
340,,Alberto Toril Domingo,0,0,0,0,0.36,0.18
341,,Wiktor Pleśnierowicz,0,0,0,0,0.33,0.13
342,,Tomasz Kupisz,0,0.06,0,0,0.5,0
343,,Marcin Szpakowski,0,0.05,0,0,0.48,0.1
344,,Jurich Carolina,0,0.13,0,0,0.91,0.35
345,,Dariusz Pawłowski,0,0,0,0,0.46,0.08
346,,Łukasz Zjawiński,0,0,0,0,0.3,0.15
347,,Rauno Sappinen,0,0.04,0,0,0.48,0.08
348,,Koldo Obieta Alberdi,0,0.03,0,0,0.59,0.17
349,,Filip Balaj,0,0,0,0,0,0
350,,Adrian Przyborek,0,0,0,0,0,0
351,,Arkadiusz Wozniak,0,0,0,0,0.36,0.18
352,,Wojciech Łaski,0,0,0,0,0.5,0
353,,Tomas Prikryl,0,0.07,0,0,1.03,0.17
354,,Gabriel Kirejczyk,0,0,0,0,0.3,0.2
355,,Janusz Nojszewski,0,0,0,0,0.2,0
356,,Adam Chrzanowski,0,0.18,0,0,0.94,0.06
357,,Bartłomiej Ciepiela,0,0,0,0,0.53,0.06
358,,Olaf Kobacki,0,0,0,0,0.92,0.21
359,,Anthony van den Hurk,0,0,0,0,0.33,0.17
360,,Dawid Drachal,0,0,0,0,0.25,0.19
361,,Wiktor Kaminski,0,0,0,0,0,0
362,,Mateusz Stawny,0,0,0,0,2,0
363,,Kacper Smiglewski,0,0,0,0,0.67,0
364,,Bartosz Kwiecień,0,0,0,0,0,0
365,,Kevin Broll,3.1,0.2,0,0,1.6,0.2
366,,Paweł Olkowski,0,0.12,0,0,0.77,0.08
367,,Michal Siplak,0,0.19,0,0,0.52,0.14
368,,Kristián Vallo,0,0.09,0,0,0.68,0.23
369,,Aurelien Nguiamba,0,0,0,0,0.91,0.09
370,,Maciej Żurawski,0,0,0,0,0.52,0.1
371,,Kamil Koscielny,0,0.16,0,0,0.47,0.05
372,,Jasmin Burić,2.2,0.2,0.6,0.4,1.6,0.2
373,,Bartosz Klebaniuk,2.4,0,0.2,0.2,1.6,0.4
374,,Mato Miloš,0,0.17,0,0,0.79,0.25
375,,Gustav Berggren,0,0,0,0,0.2,0
376,,Jonatan Kotzke,0,0.06,0,0,0.81,0.19
377,,Mateusz Wdowiak,0,0,0,0,0.23,0.1
378,,Łukasz Bejger,0,0.14,0,0,1,0.19
379,,Mateusz Bochnak,0,0.06,0,0,0.5,0.13
380,,Miłosz Matysik,0,0,0,0,1,0.13
381,,Dariusz Stalmach,0,0,0,0,0,0
382,,Tomasz Walczak,0,0,0,0,0,0
383,,Filip Koperski,0,0,0,0,0.86,0.14
384,,Adam Frączczak,0,0,0,0,0.56,0
385,,Michael Kostka,0,0.04,0,0,0.67,0.11
386,,Mateusz Lewandowski,0,0,0,0,0.5,0.06
387,,Nono,0,0.13,0,0,1.06,0.06
388,,Jakub Nowakowski,0,0,0,0,0.33,0.07
389,,Kacper Kostorz,0,0,0,0,0.08,0
390,,Mikołaj Lebedyński,0,0.04,0,0,0.67,0
391,,Paweł Żyra,0,0,0,0,0.68,0.05
392,,Kamil Drygas,0,0,0,0,0.69,0.21
393,,Mateusz Mak,0,0,0,0,0.36,0.04
394,,Róbert Pich,0,0,0,0,0.35,0
395,,Santiago Naveda,0,0.06,0,0,0.59,0.24
396,,Camilo Mena,0,0,0,0,1,0
397,,Kevin Friesenbichler,0,0,0,0,0.67,0
398,,Rafał Leszczyński,2.5,0.15,0.15,0,1.2,0.25
399,,Jacek Kiełb,0,0,0,0,0.29,0
400,,Bassekou Diabate,0,0,0,0,0.83,0.09
401,,Maciej Bortniczuk,0,0,0,0,0.1,0
402,,Mateusz Kowalski,0,0,0,0,0.45,0.09
403,,Paweł Jaroszyński,0,0.05,0,0,0.62,0.05
404,,Anton Krivotsyuk,0,0.11,0,0,1.22,0
405,,Blaž Kramer,0,0,0,0,0.42,0.08
406,,Artur Rudko,2,0,0,0,1,1
407,,David Poreba,0,0,0,0,1,0
408,,Dawid Baldyga,0,0,0,0,0,0
409,,Pawel Chrupalla,0,0,0,0,0,0
410,,Dawid Więckowski,0,0,0,0,1.5,0.5
411,,Michał Jakóbowski,0,0,0,0,1,0.33
412,,Maksymilian Pingot,0,0,0,0,0.4,0.8
413,,Bogdan Vastsuk,0,0,0,0,1.2,0
414,,Radosław Cielemęcki,0,0,0,0,0.4,0.2
415,,Jerónimo Cacciabue,0,0,0,0,1.36,0.09
416,,Sebastian Musiolik,0,0,0,0,0.29,0.06
417,,Niilo Mäenpää,0,0.03,0,0,0.48,0.1
418,,Caye Quintana,0,0,0,0,0.56,0.11
419,,Blaž Vrhovec,0,0,0,0,0.77,0.15
420,,Bartłomiej Kłudka,0,0.24,0,0,0.95,0.19
421,,Dalibor Takáč,0,0,0,0,0.74,0.11
422,,Conrado Buchanelli Holz,0,0,0,0,1.05,0.14
423,,Mateusz Bartolewski,0,0.09,0,0,0.73,0.09
424,,Kamil Zapolnik,0,0,0,0,0.45,0.09
425,,Dominik Sokół,0,0,0,0,0.29,0
426,,Patryk Sokołowski,0,0,0,0,0.33,0.11
427,,Adrian Łyszczarz,0,0,0,0,0.56,0
428,,Leândro,0,0,0,0,0.2,0
429,,Robin Kamber,0,0,0,0,0.25,0
430,,Piotr Samiec-Talar,0,0,0,0,0.74,0.16
431,,Saša Živec,0,0,0,0,0.43,0.07
432,,Bartosz Bida,0,0,0,0,0.47,0.13
433,,Igor Kharatin,0,0.11,0,0,0.33,0
434,,Christian Clemens,0,0,0,0,0.9,0.2
435,,Adam Ratajczyk,0,0,0,0,0.58,0
436,,Michał Rzuchowski,0,0.05,0,0,0.89,0.05
437,,Milan Corryn,0,0,0,0,0.38,0.13
438,,Koki Hinokio,0,0,0,0,0.77,0.14
439,,Jens Martin Gammelby,0,0,0,0,1.33,0.33
440,,Tornike Gaprindashvili,0,0,0,0,0.78,0.13
441,,Jean Franco Sarmiento,0,0,0,0,0.7,0.1
442,,Jakub Sypek,0,0,0,0,0.47,0.13
443,,Jakub Lewicki,0,0.11,0,0,1.11,0.21
444,,Mariusz Fornalczyk,0,0,0,0,0.27,0
445,,Daniel Szelągowski,0,0,0,0,0,0
446,,Kacper Trelowski,1.17,0.17,0,0,1,0.17
447,,Javier Ajenjo Hyjek,0,0,0,0,0.67,0.22
448,,Kacper Sezonienko,0,0.04,0,0,0.43,0
449,,Roberto Corral,0,0,0,0,0.4,0
450,,Mateusz Cholewiak,0,0,0,0,0.5,0
451,,Martin Šulek,0,0.05,0,0,1.2,0.25
452,,Oliwier Wojciechowski,0,0,0,0,0.57,0
453,,Szymon Sarbinowski,0,0,0,0,0.33,0
454,,Alex Sobczyk,0,0,0,0,0.1,0.1
455,,Jon Aurtenetxe,0,0,0,0,0.88,0.5
456,,Léo Borges,0,0,0,0,1.07,0.13
457,,Dawid Kocyła,0,0,0,0,0.4,0.2
458,,Miroslav Gono,0,0,0,0,0.5,0
459,,Wiktor Długosz,0,0,0,0,0.28,0
460,,Adrian Danek,0,0.11,0,0,1.06,0.11
461,,Maciej Wolski,0,0.08,0,0,0.76,0
462,,Szymon Kobusiński,0,0,0,0,0.4,0
