#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
227,,Tomáš Pekhart,0.38,0.15,25,1.31,0.23,0
228,,Marco Terrazzino,0,0,68,1.19,0,0
229,,Michał Rakoczy,0.23,0.07,45.61,1.5,0,0
230,,Paweł Lenarcik,0,0,0,0,0,0
231,,Filip Marchwiński,0.19,0.26,52.38,1.33,0.07,0
232,,Mateusz Skrzypczak,0.04,0,20,0.23,0.04,0
233,,Ilkay Durmus,0.04,0.04,46.51,1.33,0,0
234,,Flávio Paixão,0.27,0.15,44.19,1.58,0,0
235,,Nemanja Mijušković,0.07,0.07,100,0.75,0.07,0
236,,Andrejs Cigaņiks,0.07,0,78.57,0.47,0,0
237,,Michał Szromnik,0,0,0,0,0,0
238,,Kyrylo Petrov,0.08,0.08,100,0.58,0,0
239,,Jordi Sánchez,0.21,0.24,36.96,1.86,0,0
240,,Mike Cestor,0,0,33.33,0.13,0,0
241,,Piotr Krawczyk,0.17,0.17,33.33,0.92,0,0
242,,Patryk Janasik,0,0,56.25,0.58,0,0
243,,Maciej Gajos,0.14,0,43.48,1.1,0.07,0
244,,Maciej Rosołek,0.15,0.18,41.18,1.41,0,0
245,,Damian Tront,0,0,50,0.3,0,0
246,,Hubert Matynia,0,0,58.33,0.64,0,0
247,,Alan Czerwiński,0,0.05,50,0.55,0,0
248,,Arttu Hoskonen,0.09,0.09,0,0.55,0.09,0
249,,Bogdan Racovițan,0.08,0,60,0.15,0,0
250,,Michał Pazdan,0.07,0,66.67,0.21,0,0
251,,Kacper Bieszczad,0,0,0,0,0,0
252,,Konstantinos Triantafyllopoulos,0,0.09,33.33,0.57,0,0
253,,Jakub Żubrowski,0,0,0,0,0,0
254,,Tiago Matos,0,0,0,0.33,0,0
255,,Mariusz Malec,0,0.04,80,0.38,0,0
256,,Fedor Černych,0.06,0.06,25,1.31,0,0
257,,Martin Konczkowski,0,0.09,50,0.48,0,0
258,,Filip Szymczak,0.1,0.24,56.86,1.76,0.05,0
259,,Rafał Adamski,0.11,0,28.57,1.11,0.05,0
260,,Ángelo Henríquez,0.24,0.24,20,1.93,0.03,0
261,,Rafał Kurzawa,0,0,58.33,0.59,0,0
262,,Yevgeni Shikavka,0.19,0.16,36.36,1.39,0.1,0
263,,Enis Destan,0.05,0,75,0.76,0,0
264,,Fabian Hiszpański,0.03,0.1,50,0.52,0,0
265,,Christos Donis,0,0,57.14,0.47,0,0
266,,Marcel Wedrychowski,0.05,0.05,67.65,0.67,0,0
267,,Filip Lesniak,0,0,66.67,0.48,0,0
268,,Cheikhou Dieng,0,0,46.67,0.83,0,0
269,,Mateusz Cichocki,0,0,100,0.32,0,0
270,,Henrik Castegren,0,0,100,0.14,0,0
271,,Luka Zahović,0.19,0.31,48.39,1.31,0,0
272,,Dominik Kun,0.12,0.12,73.21,0.94,0,0
273,,Kristoffer Normann Hansen,0.13,0.09,66.67,0.83,0.09,0
274,,Marcin Cebula,0.08,0,42.11,0.38,0,0
275,,Jacek Podgórski,0.04,0,50.77,1.18,0,0
276,,Jakub Świerczok,0,0,80,1.8,0,0
277,,Miguel Muñoz,0,0.2,50,0.8,0,0
278,,Robert Dadok,0.14,0,43.86,1.04,0.04,0
279,,Jean Jules Mvondo,0,0,61.9,0.59,0,0
280,,Adriel D'Avila Ba Loua,0,0.15,50,0.9,0,0
281,,Jorge Félix,0.11,0.18,65.52,1,0.04,0
282,,Fryderyk Gerbowski,0.09,0.09,36.84,0.73,0,0
283,,Makana Baku,0,0.09,48.48,0.73,0,0
284,,Aleksander Pawlak,0.04,0,51.28,0.48,0,0
285,,Dominykas Barauskas,0,0,33.33,0.25,0,0
286,,Berto Cayarga,0,0.06,54.17,1.19,0,0
287,,Jakub Rzeźniczak,0,0.08,80,0.4,0,0
288,,Dawid Błanik,0.11,0.04,40.43,0.7,0,0
289,,Tomasz Makowski,0.04,0,45.45,0.5,0,0
290,,Michał Feliks,0.1,0,50,0.8,0.1,0
291,,Jakub Kiełb,0,0,37.5,0.68,0,0
292,,Michael Ameyaw,0.15,0.08,47.83,1.19,0,0
293,,Luís Mata,0,0,40,0.19,0,0
294,,Damian Warchoł,0.15,0.05,41.67,0.75,0.05,0
295,,Ben Lederman,0,0,66.67,0.46,0,0
296,,Luís Machado,0.14,0.21,46.88,1.93,0,0
297,,Lisandro Semedo,0.09,0.13,51.28,1.03,0,0
298,,Jakub Myszor,0.1,0.1,47.37,1.1,0,0
299,,Carlitos,0.05,0.29,42.86,1.81,0,0
300,,Frank Castañeda,0.08,0,27.27,0.92,0,0
301,,Florian Loshaj,0.07,0,75,0.87,0,0
302,,Michał Kaput,0,0,70,0.06,0,0
303,,Jakub Antczak,0,0,0,0,0,0
304,,Tomáš Huk,0,0,100,1,0,0
305,,Igor Sapała,0,0,0,1,0,0
306,,Maciej Twarowski,0,0,100,0,0,0
307,,Tobiasz Kubik,0,0,0,0,0,0
308,,Filip Wilak,0,0,66.67,0,0,0
309,,Filip Kocaba,0,0,0,0.67,0,0
310,,Filip Zawadzki,0,0,100,0,0,0
311,,Grzegorz Szymusik,0,0,0,0.43,0,0
312,,Danijel Lončar,0,0,0,0.25,0,0
313,,Luizão,0,0,0,0.09,0,0
314,,Tomasz Mokwa,0,0.09,28.57,0.27,0,0
315,,Pedro Justiniano,0,0.08,100,0.25,0,0
316,,Juljan Shehu,0,0.04,55.56,0.63,0,0
317,,Marko Kolar,0.15,0.12,50,0.73,0.04,0
318,,Paweł Stolarski,0,0.06,85.71,0.69,0,0
319,,Giannis Masouras,0.07,0,51.43,0.86,0,0
