Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances
Malick Evouna,0.33,0.17,66.67,1.33,0,0,0.17,0.33,0,0,0,0,0,0,8.17,57.14,1.67,50,0,0,0,0,0.5,0,0.5,0,15,28.95,0.5,1,6
Hossam Greisha,0,0,60.87,0.33,0,0,0.56,0.11,0,0.22,0,0.44,0.11,0.11,7.78,71.43,3,33.33,0,0,0,0,0.11,0,0.11,0,100,54,0.67,0.89,9
Mustafa Anani,0,0,100,0,0,0,0.25,0,0,0.25,0,0,0,0,10.25,73.17,1.25,33.33,0,0,0,0,0.25,0,0.25,0,0,42.86,0.25,1.25,4
Mohamed El Fayoumi,0,0,75,0.33,0,0,1,0.33,0,0,0,0.83,0,0,13.83,74.7,2,55,0,0,0,0,0.5,0,0.17,0,0,40.74,0.33,0.83,6
Hesham Mohamed,0,0,100,0.3,0,0,0.3,0,0,0.5,0,0.2,0,0,16.8,92.26,1.8,84.62,0,0,0,0,0,0,0,0,0,25,0,0.6,10
Omar Radwan,0,0,0,0,0,0,0,0,0.18,0.64,0,0.09,0,0,14.73,66.05,0.09,31.58,1.55,0.36,0.27,0.09,1.45,0,0.09,0,100,66.67,0.36,0.18,11
Shikabala,0.1,0,33.33,0.81,0,0,0.24,0,0,0,0,0.19,0.19,0.1,16.76,77.56,6.33,51.61,0,0,0,0,0.43,0.1,0.05,0,100,44.12,0.14,0,21
Mostafa Fawzy,0.16,0.11,0,1.21,0.05,0,0.68,0.16,0,0.21,0,0.16,0.05,0.05,9.63,56.28,2.21,55.56,0,0,0,0,0.53,0.05,0.21,0,50.42,42.64,0.63,1.32,19
Mahmoud Sayed,0.04,0,52.63,0.56,0.04,0,1.28,0.48,0,0.44,0,0.16,0.04,0.04,23.52,79.93,4.4,50,0,0.08,0,0,0.64,0.16,0.04,0,42.22,47.24,0.64,1.32,25
Hassan Magdy,0,0,28.57,0,0,0,1,0.9,0,1.5,0,0.1,0,0,25.8,75.58,4.9,51.56,0,0.1,0,0,0.6,0.1,0.2,0,45.45,50,0.4,0.6,10
